date,added,ratings,reviews,to-read
2022-08-15,1412,449,60,554
2022-08-16,1090,507,57,608
2022-08-17,1348,446,57,548
2022-08-18,839,403,46,465
2022-08-19,1143,427,48,422
2022-08-20,1214,452,44,477
2022-08-21,1366,493,51,507
2022-08-22,1271,476,54,468
2022-08-23,1309,478,42,522
2022-08-24,1150,398,46,471
2022-08-25,832,426,48,462
2022-08-26,1009,396,36,369
2022-08-27,1063,375,33,440
2022-08-28,1286,398,57,474
2022-08-29,1202,394,50,453
2022-08-30,1293,443,54,502
2022-08-31,1209,437,48,445
2022-09-01,1098,410,37,443
2022-09-02,964,335,35,388
2022-09-03,1124,418,40,422
2022-09-04,1112,381,44,424
2022-09-05,1212,410,34,395
2022-09-06,1132,372,50,392
2022-09-07,1180,478,47,428
2022-09-08,975,357,36,355
2022-09-09,927,349,47,370
2022-09-10,981,402,31,366
2022-09-11,759,424,36,399
2022-09-12,1055,351,33,399
2022-09-13,1030,350,44,377
2022-09-14,965,357,36,342
2022-09-15,870,359,48,573
2022-09-16,882,308,35,374
2022-09-17,994,327,42,462
2022-09-18,1108,379,34,431
2022-09-19,956,381,32,374
2022-09-20,803,359,36,437
2022-09-21,731,335,50,393
2022-09-22,1041,371,39,472
2022-09-23,869,338,38,342
2022-09-24,867,321,32,326
2022-09-25,978,345,34,378
2022-09-26,697,339,37,369
2022-09-27,978,337,27,378
2022-09-28,933,311,35,361
2022-09-29,862,269,29,382
2022-09-30,817,312,44,332
2022-10-01,945,303,36,388
2022-10-02,991,303,41,409
2022-10-03,940,311,38,361
2022-10-04,932,353,35,363
2022-10-05,642,319,45,336
2022-10-06,799,295,41,340
2022-10-07,781,280,33,321
2022-10-08,863,329,25,354
2022-10-09,934,324,38,344
2022-10-10,940,298,28,352
2022-10-11,882,307,35,358
2022-10-12,832,242,33,349
2022-10-13,649,289,33,392
2022-10-14,856,221,23,394
2022-10-15,791,282,24,307
2022-10-16,915,260,34,337
2022-10-17,830,282,34,278
2022-10-18,846,364,39,326
2022-10-19,776,284,31,320
2022-10-20,752,259,43,309
2022-10-21,713,243,31,286
2022-10-22,792,262,20,337
2022-10-23,951,290,35,373
2022-10-24,868,260,36,339
2022-10-25,613,287,27,326
2022-10-26,815,301,39,326
2022-10-27,711,274,31,259
2022-10-28,666,254,26,274
2022-10-29,701,260,17,257
2022-10-30,879,320,35,329
2022-10-31,752,284,16,281
2022-11-01,805,257,32,315
2022-11-02,866,299,30,324
2022-11-03,720,249,26,266
2022-11-04,668,252,22,285
2022-11-05,804,263,27,336
2022-11-06,948,305,20,357
2022-11-07,812,278,30,309
2022-11-08,793,304,36,301
2022-11-09,769,278,19,301
2022-11-10,710,274,35,286
2022-11-11,828,257,25,432
2022-11-12,838,271,23,356
2022-11-13,929,320,29,371
2022-11-14,806,311,42,308
2022-11-15,1276,323,42,706
2022-11-16,891,328,35,384
2022-11-17,733,277,20,469
2022-11-18,714,256,29,327
2022-11-19,789,245,28,320
2022-11-20,918,302,30,397
2022-11-21,834,280,18,330
2022-11-22,799,299,39,324
2022-11-23,742,265,37,330
2022-11-24,637,223,30,281
2022-11-25,692,237,23,287
2022-11-26,794,261,31,297
2022-11-27,972,316,32,422
2022-11-28,870,311,26,341
2022-11-29,858,301,34,342
2022-11-30,837,299,21,337
2022-12-01,804,268,29,341
2022-12-02,675,254,31,268
2022-12-03,800,285,33,321
2022-12-04,890,318,34,348
2022-12-05,993,293,41,507
2022-12-06,1153,306,31,619
2022-12-07,992,307,36,705
2022-12-08,848,306,34,351
2022-12-09,729,272,23,325
2022-12-10,1166,292,23,658
2022-12-11,1004,323,41,447
2022-12-12,896,297,29,373
2022-12-13,877,286,26,394
2022-12-14,806,285,32,358
2022-12-15,1276,352,34,635
2022-12-16,876,354,30,386
2022-12-17,932,297,35,416
2022-12-18,1072,317,29,477
2022-12-19,874,326,37,363
2022-12-20,731,320,27,411
2022-12-21,1025,335,33,449
2022-12-22,939,328,31,423
2022-12-23,1008,327,26,467
2022-12-24,842,286,31,435
2022-12-25,1037,256,34,522
2022-12-26,1433,377,39,684
2022-12-27,1553,461,38,728
2022-12-28,1753,562,40,845
2022-12-29,1414,586,53,860
2022-12-30,1945,595,63,926
2022-12-31,2429,793,70,1118
2023-01-01,3277,674,45,1599
2023-01-02,3010,964,70,1475
2023-01-03,2404,700,65,1149
2023-01-04,1704,645,71,993
2023-01-05,1959,631,68,931
2023-01-06,1807,582,64,908
2023-01-07,2012,525,58,1047
2023-01-08,2039,569,61,934
2023-01-09,1672,549,56,788
2023-01-10,1649,488,48,791
2023-01-11,1168,514,49,670
2023-01-12,1469,450,52,657
2023-01-13,1253,426,47,586
2023-01-14,1429,474,61,640
2023-01-15,1572,475,42,679
2023-01-16,1545,488,48,660
2023-01-17,1450,505,50,670
2023-01-18,1398,427,48,623
2023-01-19,1313,425,63,605
2023-01-20,916,431,56,501
2023-01-21,1357,458,42,582
2023-01-22,1553,483,63,674
2023-01-23,1413,435,41,663
2023-01-24,1509,426,35,696
2023-01-25,1489,438,69,688
2023-01-26,1314,440,54,596
2023-01-27,1196,345,49,562
2023-01-28,1205,360,34,521
2023-01-29,1453,471,45,577
2023-01-30,854,451,55,509
2023-01-31,1309,418,57,520
