Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
18209510,AfroVegan FarmFresh African Caribbean and Southern Flavors Remixed,7jane,671,251,4,"September 29, 2018","This book's theme is the connection between Africa and the Americas (particularly (souther) US, the Caribbean isles, and Brazil), though recipes presented here. Some are no doubt familiar from the author's previous books, but they have been 'remixed' here. There are 100+ recipes, many with pictures; at the end are some menu suggestions. Michael W. Twitty (author of ""the Cooking Gene"", another great book) gives the afterword. Again Terry gives us music with each recipes, and books/films with some, also. The theme is heritage, and it shows.I think this is perhaps his most balanced vegan cookbook, of the three so far. The theme is brought out clearly, and they have gives me the best urges to try the recipes. I don't list recipes from the first section here, but certainly from the others:Texas caviar on grilled rustic bread, Berbere-spiced black-eyed pea sliders, Sweet corn & ginger soup, Creamy coconut-cashew soup with okra corn & tomatoes, Peanut stew with winter vegetables & cornmeal dumplings, Tofu curry with mustard greens, Sautéed sugar snap peas with spring herbs, Citrus salad with arangula, Spinach-peanut sauce, Glazed carrot salad, Curried scalloped potatoes with coconut milk, Savory grits with slow-cooked collard greens, Chermoula tempeh bites, Lemongrass boiled peanuts, Skillet cornbread with pecan dukkah, Ginger-pickled green beans, Fig preserves with thyme, Date-sweetened almond milk, Teff biscuits with maple-plantain spread, Ambrosia ice pops, Roselle-rooibos drink.A very delicious experience of a read, certainly the best out of three of his I've read now. Very cheery to read, and inspiring. Very worth it.",21,N/A
18209510,AfroVegan FarmFresh African Caribbean and Southern Flavors Remixed,Lara,"4,135",339,5,"February 8, 2017","Oops, I totally forgot to add and review this book ages ago! Or at least, like three weeks ago. As half of my family is from Southeast Texas with roots in Louisiana, much of this is the kind of food I grew up on, and feels like home. Or at least like my mom's home. It's also one of the very, very few cookbooks in which I actually read all the introductions and essays and things. It's super interesting, and gives a really good overview of the history behind many of these dishes and where they come from and why they're culturally important, and also includes music and film pairings, and now I want to read everything of Bryant Terry's! Seriously, one of my very favorite cookbooks that I read this year (and I've...kind of read a shit-ton).",13,N/A
18209510,AfroVegan FarmFresh African Caribbean and Southern Flavors Remixed,Michelle,46,4,4,"December 28, 2016","although i am not vegan, nor do i plan to go vegan, i do appreciate vegan cooking. this was on my list because i was curious how to include more vegan options in my family cooking that still feels like ""home"" and familiar. my family is from the south, and i'm african american....so many of the inspirations for these recipes were familiar. pros - i love that the majority of recipes do not include the seitan or tempeh. while there is some that does include it, it isn't overwhelming like many vegan or vegetarian cookbooks i've come across. the recipes seem to be very accessible and do able. most have no crazy ingredients that you have to order special. there are a few which asks for particular herbs, but nothing too far out of the reach of a normal cook. although some of these use special sauces or rubs, the nice thing, he includes how to make those in the book. i loved how each recipe has an inspirational song, or book to further explore the culture. the only con:i wish the book had more photos, and photos which named what was in the photo. that is it.this is a book that is going on my ""to be purchased"" list for my personal library. ",7,2
18209510,AfroVegan FarmFresh African Caribbean and Southern Flavors Remixed,Madam Book Worm &#x1f380;,88,13,5,"June 9, 2020","This is actually my SECOND read of this book and honestly my first read ratings were not good but as you will see how and why that changed DRASTICALLY. I read this book a while back when I was thinking of changing to plant based. It wasn’t a good fit because I was so unfamiliar with a lot of items and terms. But now that I’m a little bit more mature in eating this way, I understood just about everything. Also I was a law student so I didn't have the time to invest in cooking and it was one of the first vegan cook books I picked up. I was saying no to every dish. Now I have more time and my taste buds have changed, which is why I picked this book back up. I know it sounds weird to read a COOKBOOK from cover to cover but this is one that you must read from cover to cover.The research and the time and effort put in this book is beyond amazing. He studied other cookbooks and cultures. If it were me, it would take me about 4-5 years to write this book but I would never be able to bring everything together as he did. He speaks about the slave market for African, African Americans, Jamaicans, Haitians and several others. He is obviously a culinary historian and I was glad he unapologetically shared these things with me in his book. He explains the history of the food and the benefit of the food to our bodies. Additionally, I appreciate the strategic naming of each recipe. For example, there is a drink recipe called Black Queen that reminded the author of elegant Southern aunties which prompted him to name the drink “BLACK QUEENS”. Further, he recommends books and music that represents artist and authors from that area that the recipe was inspired. Some of the books I’ve recently add to my “to read pile.” For music, if the food includes Ingredients for a Caribbean, African or Louisiana cuisine, he will recommend an author or a song from someone who is in or from the region. For example, for a creole based meal-there’s a song by Lil Wayne because creole is big in Louisiana and lil Wayne is from Louisiana. There are plenty of songs I don’t know from all over the world, but I will give all of them a listen to expand my pallet. (I’m glad streaming music is so easy right now). With each recipe, he tells you what it would be best served with. He also highlights what flavors will attach to your taste bud for each dish so you can get the flavor profile of the dish. So you would know if the dish is something you should try. I love the menu suggestion that create a full menu based on recipes in the book. He tells you how to pick fresh fruits from the store or the market to get the best items. For example, pick pineapples that are fragrant at the stem. Pick mangoes that are soft to touch and have a fruity aroma. He also shares when is the best season to buy certain items. When I was a kid, I always read books about places my mom could never take me. This book has taken me to Brazil￼￼, Ghana, Caribbean, ￼￼Cameroon, Egypt, Morocco, Louisiana, The South, North Carolina, Kenya, ￼Senegal, Salvador, Haiti and so many other places. I felt like a kid all over again.The only con is I don’t know where I’m going to get some of the ingredients. For example, stuff-like orange blossom water or persimmon, or Teff Flour. I wish there was a glossary in the back of the book to describe some of the unknown items and where to generally get them from. But other people may not have an issue with this because of the power of ordering anything online. Favorite Quote: “It is not enough to celebrate the food of the African diaspora without appreciating the people who gave birth to this rich culinary heritage.” Without hesitation, I would recommend this book to anyone. This is the most well researched cookbook, I’ve ever came across. Thank you Bryant! I will be trying several of these recipes because now I’m a chef right?",5,N/A
18209510,AfroVegan FarmFresh African Caribbean and Southern Flavors Remixed,Mazzou B,609,15,5,"September 4, 2014","Vibrant, brimming with flavour, Afro-Vegan is a fresh approach to some of the best flavours in the world: African, Caribbean and Southern. By blending each of these traditional cuisines together, famous chef Bryant Terry has created a scintillating eating style which is sure to please all palates. Although I am not a Vegan, I eat as many vegetables as I can possibly fit into my diet, and I always appreciate awesome vegetable recipes! The book begins with instructions on how to make many of the renown spice mixtures used in the recipes- berbere, zaatar and more. The rest of the book is packed with colorful recipes such as Cinamon-soaked Wheat Berry Salad with dried apricots; Creamy Coconut-Cashew Soup with okra, corn and tomatoes; Crispy Teff and Grit Cakes with Eggplant, Tomatoes and peanuts...If you love flavours, you will love this book. If you love the cultures of Africa, the Caribbean and the South you will be delighted by this book.If you want to update your vegetable recipes, you NEED this book! No longer will you be confined to the same repetitive vegetable recipes you've relied on day after day!I thought the cover of this book especially intriguing with its colorful design and friendly photograph of the author. Inside the book, beautiful photographs depict the recipes marvelously. Each recipe has a suggested 'theme song', or 'soundtrack'. I thought that was neat. I am so excited about this unusual recipe book! African, Caribbean, and southern food are all known and loved as vibrant and flavor-packed cuisines. In Afro-Vegan, renowned chef and food justice activist Bryant Terry reworks and remixes the favorite staples, ingredients, and classic dishes of the African Diaspora to present wholly new, creative culinary combinations that will amaze vegans, vegetarians, and omnivores alike. Blending these colorful cuisines results in delicious recipes like Smashed Potatoes, Peas, and Corn with Chile-Garlic Oil, a recipe inspired by the Kenyan dish irio, and Cinnamon-Soaked Wheat Berry Salad with dried apricots, carrots, and almonds, which is based on a Moroccan tagine. Creamy Coconut-Cashew Soup with Okra, Corn, and Tomatoes pays homage to a popular Brazilian dish while incorporating classic Southern ingredients, and Crispy Teff and Grit Cakes with Eggplant, Tomatoes, and Peanuts combines the Ethiopian grain teff with stone-ground corn grits from the Deep South and North African zalook dip. There’s perfect potluck fare, such as the simple, warming, and intensely flavored Collard Greens and Cabbage with Lots of Garlic, and the Caribbean-inspired Cocoa Spice Cake with Crystallized Ginger and Coconut-Chocolate Ganache, plus a refreshing Roselle-Rooibos Drink that will satisfy any sweet tooth. With more than 100 modern and delicious dishes that draw on Terry’s personal memories as well as the history of food that has traveled from the African continent, Afro-Vegan takes you on an international food journey. Accompanying the recipes are Terry’s insights about building community around food, along with suggested music tracks from around the world and book recommendations. For anyone interested in improving their well-being, Afro-Vegan’s groundbreaking recipes offer innovative, plant-based global cuisine that is fresh, healthy, and forges a new direction in vegan cooking.",5,N/A
18209510,AfroVegan FarmFresh African Caribbean and Southern Flavors Remixed,Annie,247,36,5,"January 1, 2018",I am not vegan But These recipes are EXTREMELY GOOD,3,N/A
18209510,AfroVegan FarmFresh African Caribbean and Southern Flavors Remixed,Callista Cassady,49,20,4,"February 12, 2015","One of the coolest cookbooks I've read in recent times. Awesome spice mixes, menu suggestions, song and book recommendations for recipes, and even a little touches of history. Not for the beginner cook, but someone comfortable in the kitchen will find it a welcome addition. I wish there were more photographs, and, as always, I wish people wouldn't wax on about how great the farmer's market fresh fruit for dessert is. Who has the time or the money to go to the farmer's market? Seriously. Not people with fast-food or retail jobs, that's for sure. /rant",2,N/A
18209510,AfroVegan FarmFresh African Caribbean and Southern Flavors Remixed,Abby,49,1 follower,5,"April 24, 2021","Yes, I read a cookbook! Afro-Vegan offers modern takes on African, Caribbean and Southern recipes while emphasizing the history of the dishes, ingredients and farm to table practices.What I particularly love is that he has a song recommendation for every recipe which is awesome for someone like me who enjoys listening to music while cooking. Some recipes also offer an additional book or movie recommendation and I am looking forward to following those.",1 like,N/A
18209510,AfroVegan FarmFresh African Caribbean and Southern Flavors Remixed,Sapphire,11,25,4,"June 18, 2018","A beautifully put together book! It feels like a personal project, which is awesome. I’ve never had a cookbook with soundtrack/movie suggestions, and now I wish every book did.",1 like,N/A
18209510,AfroVegan FarmFresh African Caribbean and Southern Flavors Remixed,Morgan,61,26,3,"June 22, 2017","Beautiful recipe book with tons of interesting recipes. Despite the recipes being delicious, I do wish that the recipes had an estimated time for how long it would take to cook because most of these recipes are very elaborate. It's definitely not an everyday cooking cook book. Its more like a cooking on a special holiday or day off book. Also, the ingredients he suggests are often pretty hard to come by at a regular grocery store. I would recommend this book as a treat, for when you feel like doing some rigorous cooking with some pretty pricey ingredients on your day off :)",1 like,N/A
