Title,URL
Joy of Cooking,https://www.goodreads.com/book/show/43822015-joy-of-cooking
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",https://www.goodreads.com/book/show/30753841-salt-fat-acid-heat
Mastering the Art of French Cooking,https://www.goodreads.com/book/show/129650.Mastering_the_Art_of_French_Cooking
How to Cook Everything: Simple Recipes for Great Food,https://www.goodreads.com/book/show/603204.How_to_Cook_Everything
The Smitten Kitchen Cookbook: Recipes and Wisdom from an Obsessive Home Cook,https://www.goodreads.com/book/show/13331199-the-smitten-kitchen-cookbook
Plenty,https://www.goodreads.com/book/show/8086216-plenty
Jerusalem: A Cookbook,https://www.goodreads.com/book/show/13536517-jerusalem
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",https://www.goodreads.com/book/show/603422.The_Moosewood_Cookbook
Keto Diet for Beginners: 30-Day Keto Meal Plan for Rapid Weight Loss.,https://www.goodreads.com/book/show/42747550-keto-diet-for-beginners
Better Homes and Gardens New Cook Book,https://www.goodreads.com/book/show/411053.Better_Homes_and_Gardens_New_Cook_Book
Cravings: Recipes for All the Food You Want to Eat,https://www.goodreads.com/book/show/25982685-cravings
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck,https://www.goodreads.com/book/show/20696032-thug-kitchen
Veganomicon: The Ultimate Vegan Cookbook,https://www.goodreads.com/book/show/1059680.Veganomicon
The Food Lab: Better Home Cooking Through Science,https://www.goodreads.com/book/show/24861842-the-food-lab
The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,https://www.goodreads.com/book/show/6361871-the-pioneer-woman-cooks
Essentials of Classic Italian Cooking,https://www.goodreads.com/book/show/19552.Essentials_of_Classic_Italian_Cooking
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,https://www.goodreads.com/book/show/120230.Barefoot_Contessa_at_Home
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",https://www.goodreads.com/book/show/688663.The_Art_of_Simple_Food
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,https://www.goodreads.com/book/show/39542.How_to_Be_a_Domestic_Goddess
Everyday Italian: 125 Simple and Delicious Recipes,https://www.goodreads.com/book/show/1192.Everyday_Italian
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food,https://www.goodreads.com/book/show/1587362.How_to_Cook_Everything_Vegetarian
The Barefoot Contessa Cookbook,https://www.goodreads.com/book/show/3895.The_Barefoot_Contessa_Cookbook
Ottolenghi Simple: A Cookbook,https://www.goodreads.com/book/show/39797678-ottolenghi-simple
"The Flavor Bible: The Essential Guide to Culinary Creativity, Based on the Wisdom of America's Most Imaginative Chefs",https://www.goodreads.com/book/show/4443485-the-flavor-bible
Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,https://www.goodreads.com/book/show/1009996.Artisan_Bread_in_Five_Minutes_a_Day
The Pioneer Woman Cooks: Food from My Frontier,https://www.goodreads.com/book/show/12072362-the-pioneer-woman-cooks
Barefoot Contessa Back to Basics,https://www.goodreads.com/book/show/2815949-barefoot-contessa-back-to-basics
