date,added,ratings,reviews,to-read
2022-08-15,4,1,1,3
2022-08-16,6,1,0,3
2022-08-17,2,2,0,1
2022-08-18,7,1,0,5
2022-08-19,3,1,0,2
2022-08-20,2,0,0,2
2022-08-21,3,1,0,3
2022-08-22,0,-1,0,0
2022-08-23,4,0,0,2
2022-08-24,2,0,0,2
2022-08-25,3,2,0,2
2022-08-26,0,0,0,0
2022-08-27,0,0,0,0
2022-08-28,2,0,1,2
2022-08-29,1,0,0,0
2022-08-30,5,2,0,1
2022-08-31,8,1,0,6
2022-09-01,5,2,0,4
2022-09-02,5,0,0,5
2022-09-03,4,-2,0,3
2022-09-04,8,3,0,7
2022-09-05,2,-1,0,1
2022-09-06,0,1,0,0
2022-09-07,0,0,0,0
2022-09-08,5,0,0,4
2022-09-09,1,-1,0,0
2022-09-10,2,0,0,1
2022-09-11,4,0,0,2
2022-09-12,1,1,0,1
2022-09-13,1,0,0,1
2022-09-14,4,0,0,3
2022-09-15,3,1,0,1
2022-09-16,1,1,0,0
2022-09-17,0,0,0,0
2022-09-18,3,0,0,2
2022-09-19,3,0,0,2
2022-09-20,2,1,0,1
2022-09-21,0,1,0,0
2022-09-22,0,0,0,0
2022-09-23,0,0,0,0
2022-09-24,4,0,0,1
2022-09-25,1,0,0,1
2022-09-26,2,0,0,2
2022-09-27,1,1,0,1
2022-09-28,2,1,0,1
2022-09-29,1,0,0,1
2022-09-30,1,1,0,0
2022-10-01,0,0,0,0
2022-10-02,0,0,0,0
2022-10-03,0,0,0,0
2022-10-04,2,0,0,0
2022-10-05,1,0,0,1
2022-10-06,1,0,0,1
2022-10-07,4,0,0,3
2022-10-08,5,1,0,1
2022-10-09,3,1,0,2
2022-10-10,3,1,0,2
2022-10-11,2,0,0,1
2022-10-12,1,1,0,0
2022-10-13,4,2,1,2
2022-10-14,2,0,0,2
2022-10-15,4,1,1,1
2022-10-16,0,0,0,0
2022-10-17,1,0,0,1
2022-10-18,2,1,0,2
2022-10-19,3,0,0,2
2022-10-20,3,0,0,3
2022-10-21,1,0,0,1
2022-10-22,2,0,0,1
2022-10-23,0,1,0,0
2022-10-24,1,0,0,1
2022-10-25,2,-1,0,2
2022-10-26,3,0,1,2
2022-10-27,5,0,0,3
2022-10-28,1,0,0,0
2022-10-29,1,1,0,0
2022-10-30,2,2,0,2
2022-10-31,5,0,0,5
2022-11-01,2,0,0,2
2022-11-02,3,-1,0,2
2022-11-03,1,-1,0,1
2022-11-04,2,1,0,1
2022-11-05,2,0,0,0
2022-11-06,2,0,0,1
2022-11-07,3,2,0,2
2022-11-08,8,2,0,6
2022-11-09,0,1,0,0
2022-11-10,0,0,0,0
2022-11-11,6,-1,0,4
2022-11-12,2,0,0,1
2022-11-13,9,0,0,7
2022-11-14,6,1,0,5
2022-11-15,4,0,0,3
2022-11-16,4,1,0,2
2022-11-17,1,1,0,0
2022-11-18,2,1,0,1
2022-11-19,3,1,0,1
2022-11-20,0,1,0,0
2022-11-21,0,1,0,0
2022-11-22,3,1,0,2
2022-11-23,4,1,0,2
2022-11-24,0,0,0,0
2022-11-25,4,1,0,1
2022-11-26,3,0,0,2
2022-11-27,1,1,0,0
2022-11-28,0,1,0,0
2022-11-29,4,0,0,2
2022-11-30,5,1,0,3
2022-12-01,5,2,0,3
2022-12-02,3,2,0,1
2022-12-03,1,0,0,0
2022-12-04,1,0,0,1
2022-12-05,3,1,0,2
2022-12-06,2,0,0,1
2022-12-07,3,0,0,2
2022-12-08,1,0,0,1
2022-12-09,1,1,1,0
2022-12-10,2,0,0,1
2022-12-11,1,1,0,0
2022-12-12,0,0,0,0
2022-12-13,2,-1,0,1
2022-12-14,3,1,0,2
2022-12-15,1,0,0,1
2022-12-16,0,0,0,0
2022-12-17,1,0,0,1
2022-12-18,5,2,0,2
2022-12-19,1,0,1,1
2022-12-20,2,0,0,1
2022-12-21,3,0,0,2
2022-12-22,2,0,0,2
2022-12-23,4,1,0,1
2022-12-24,4,0,0,3
2022-12-25,2,0,0,2
2022-12-26,4,0,0,4
2022-12-27,1,0,0,0
2022-12-28,7,2,0,2
2022-12-29,9,1,1,8
2022-12-30,19,3,0,14
2022-12-31,13,1,0,10
2023-01-01,9,2,0,6
2023-01-02,11,-1,0,6
2023-01-03,2,0,0,2
2023-01-04,4,1,0,2
2023-01-05,3,-2,0,3
2023-01-06,5,1,0,3
2023-01-07,3,1,0,1
2023-01-08,8,0,0,5
2023-01-09,8,1,0,6
2023-01-10,1,0,0,1
2023-01-11,4,2,0,1
2023-01-12,5,1,0,3
2023-01-13,4,1,0,4
2023-01-14,3,1,0,3
2023-01-15,3,0,0,1
2023-01-16,3,1,0,1
2023-01-17,1,0,0,1
2023-01-18,3,1,0,2
2023-01-19,5,0,0,5
2023-01-20,4,3,0,2
2023-01-21,6,-1,0,6
2023-01-22,4,1,0,2
2023-01-23,8,0,0,8
2023-01-24,4,0,0,3
2023-01-25,4,2,0,2
2023-01-26,1,1,0,0
2023-01-27,1,0,0,1
2023-01-28,1,0,1,0
2023-01-29,2,2,0,0
2023-01-30,1,0,0,1
2023-01-31,2,0,0,2
