date,added,ratings,reviews,to-read
2022-08-15,2,0,1,1
2022-08-16,1,0,0,0
2022-08-17,4,0,0,3
2022-08-18,4,0,0,4
2022-08-19,4,2,0,3
2022-08-20,5,0,0,0
2022-08-21,5,1,1,1
2022-08-22,3,0,0,2
2022-08-23,3,1,0,3
2022-08-24,6,3,1,4
2022-08-25,0,0,0,0
2022-08-26,2,0,0,1
2022-08-27,5,1,0,3
2022-08-28,3,-1,0,1
2022-08-29,5,0,0,4
2022-08-30,4,0,1,2
2022-08-31,1,1,0,1
2022-09-01,2,0,0,2
2022-09-02,3,1,0,2
2022-09-03,4,1,0,2
2022-09-04,1,0,0,1
2022-09-05,5,1,0,5
2022-09-06,11,0,0,8
2022-09-07,14,1,0,14
2022-09-08,6,0,0,5
2022-09-09,3,0,0,2
2022-09-10,5,0,0,4
2022-09-11,6,0,0,6
2022-09-12,4,-1,0,2
2022-09-13,3,1,0,3
2022-09-14,0,0,0,0
2022-09-15,6,1,0,4
2022-09-16,7,0,0,6
2022-09-17,2,0,0,1
2022-09-18,5,0,0,3
2022-09-19,5,1,0,4
2022-09-20,1,0,0,1
2022-09-21,5,1,0,3
2022-09-22,5,1,0,4
2022-09-23,3,0,0,1
2022-09-24,4,-1,0,3
2022-09-25,2,0,0,1
2022-09-26,4,1,0,2
2022-09-27,3,3,0,0
2022-09-28,6,0,0,4
2022-09-29,6,1,0,4
2022-09-30,5,2,2,2
2022-10-01,4,2,1,1
2022-10-02,2,1,0,1
2022-10-03,8,2,1,5
2022-10-04,1,1,0,1
2022-10-05,3,1,0,2
2022-10-06,1,2,0,1
2022-10-07,1,0,0,1
2022-10-08,6,0,0,5
2022-10-09,7,0,0,5
2022-10-10,2,1,0,0
2022-10-11,6,0,0,6
2022-10-12,6,2,0,3
2022-10-13,3,4,0,3
2022-10-14,2,2,0,1
2022-10-15,8,1,0,3
2022-10-16,4,1,0,3
2022-10-17,14,2,1,11
2022-10-18,9,1,0,8
2022-10-19,2,3,0,0
2022-10-20,7,1,1,5
2022-10-21,3,0,0,1
2022-10-22,3,0,0,2
2022-10-23,3,0,0,1
2022-10-24,9,1,1,5
2022-10-25,2,2,1,1
2022-10-26,2,1,1,2
2022-10-27,6,0,0,3
2022-10-28,4,3,0,2
2022-10-29,3,1,0,1
2022-10-30,2,0,0,2
2022-10-31,6,0,0,3
2022-11-01,4,1,0,3
2022-11-02,4,-2,0,1
2022-11-03,3,0,0,1
2022-11-04,3,1,1,3
2022-11-05,4,0,0,3
2022-11-06,10,1,0,8
2022-11-07,7,2,0,2
2022-11-08,9,3,1,7
2022-11-09,8,1,0,8
2022-11-10,4,2,1,2
2022-11-11,0,-1,0,0
2022-11-12,6,1,0,5
2022-11-13,2,0,0,2
2022-11-14,2,1,0,1
2022-11-15,4,1,0,4
2022-11-16,1,1,0,1
2022-11-17,6,1,0,5
2022-11-18,7,0,0,6
2022-11-19,5,0,0,4
2022-11-20,9,0,0,4
2022-11-21,3,0,0,3
2022-11-22,5,1,0,2
2022-11-23,6,2,1,4
2022-11-24,0,0,0,0
2022-11-25,13,1,0,11
2022-11-26,6,3,0,4
2022-11-27,4,-2,0,4
2022-11-28,5,1,0,2
2022-11-29,5,3,2,2
2022-11-30,5,1,0,3
2022-12-01,1,1,0,0
2022-12-02,3,1,1,1
2022-12-03,8,-3,0,6
2022-12-04,4,0,0,4
2022-12-05,4,0,0,2
2022-12-06,2,0,0,1
2022-12-07,5,0,0,5
2022-12-08,4,1,0,3
2022-12-09,3,0,0,3
2022-12-10,3,0,0,1
2022-12-11,2,0,0,2
2022-12-12,6,0,0,4
2022-12-13,6,1,1,4
2022-12-14,6,0,0,5
2022-12-15,8,1,0,6
2022-12-16,2,0,0,1
2022-12-17,6,1,1,1
2022-12-18,2,0,0,2
2022-12-19,1,0,0,1
2022-12-20,12,1,0,9
2022-12-21,4,1,0,0
2022-12-22,5,2,0,4
2022-12-23,9,1,0,5
2022-12-24,7,2,0,5
2022-12-25,4,1,0,2
2022-12-26,7,1,0,4
2022-12-27,16,1,0,9
2022-12-28,16,6,0,9
2022-12-29,22,2,0,19
2022-12-30,33,4,1,26
2022-12-31,27,4,0,24
2023-01-01,25,2,0,18
2023-01-02,12,3,0,8
2023-01-03,20,0,1,9
2023-01-04,26,2,0,19
2023-01-05,35,2,0,32
2023-01-06,21,-1,0,17
2023-01-07,21,2,0,16
2023-01-08,18,2,0,11
2023-01-09,15,2,0,8
2023-01-10,17,4,0,12
2023-01-11,11,2,0,10
2023-01-12,10,2,0,8
2023-01-13,12,2,1,8
2023-01-14,14,2,0,9
2023-01-15,13,3,0,5
2023-01-16,12,3,1,6
2023-01-17,6,0,0,4
2023-01-18,9,3,1,2
2023-01-19,13,3,1,9
2023-01-20,11,2,0,9
2023-01-21,11,0,0,9
2023-01-22,11,5,2,4
2023-01-23,7,5,0,4
2023-01-24,9,2,0,5
2023-01-25,9,2,1,3
2023-01-26,8,1,0,5
2023-01-27,10,2,1,7
2023-01-28,3,2,1,2
2023-01-29,8,0,0,4
2023-01-30,2,1,0,1
2023-01-31,4,4,0,1
