date,added,ratings,reviews,to-read
2022-08-15,11,7,0,7
2022-08-16,11,0,0,10
2022-08-17,11,2,0,7
2022-08-18,4,3,1,3
2022-08-19,7,1,0,5
2022-08-20,4,1,0,3
2022-08-21,11,2,0,8
2022-08-22,10,5,0,6
2022-08-23,8,3,0,5
2022-08-24,9,2,0,5
2022-08-25,10,3,0,8
2022-08-26,10,1,0,7
2022-08-27,3,1,0,2
2022-08-28,12,1,0,9
2022-08-29,8,2,0,5
2022-08-30,9,1,0,8
2022-08-31,16,2,0,13
2022-09-01,4,1,0,3
2022-09-02,6,2,0,5
2022-09-03,12,2,0,11
2022-09-04,10,1,0,7
2022-09-05,7,2,0,4
2022-09-06,16,4,0,13
2022-09-07,10,2,0,5
2022-09-08,12,5,0,7
2022-09-09,4,0,0,4
2022-09-10,13,1,0,8
2022-09-11,13,2,0,6
2022-09-12,4,2,0,2
2022-09-13,5,2,0,3
2022-09-14,9,3,0,4
2022-09-15,8,1,0,4
2022-09-16,12,2,0,9
2022-09-17,3,0,0,2
2022-09-18,10,2,0,7
2022-09-19,8,1,0,6
2022-09-20,10,3,0,6
2022-09-21,15,3,0,10
2022-09-22,13,2,-1,9
2022-09-23,9,-39,0,4
2022-09-24,9,3,0,6
2022-09-25,8,1,0,6
2022-09-26,15,-18,0,13
2022-09-27,8,-37,0,4
2022-09-28,14,-52,0,11
2022-09-29,11,-64,0,8
2022-09-30,9,1,0,6
2022-10-01,10,0,0,8
2022-10-02,12,3,0,8
2022-10-03,6,1,1,5
2022-10-04,12,2,0,9
2022-10-05,6,3,0,4
2022-10-06,7,0,0,7
2022-10-07,5,-1,0,5
2022-10-08,6,1,0,5
2022-10-09,6,1,0,4
2022-10-10,6,1,0,6
2022-10-11,7,1,0,6
2022-10-12,5,1,0,5
2022-10-13,8,1,0,6
2022-10-14,7,2,0,5
2022-10-15,12,4,0,7
2022-10-16,13,3,0,7
2022-10-17,6,3,1,4
2022-10-18,7,1,0,5
2022-10-19,11,2,0,7
2022-10-20,6,1,0,5
2022-10-21,9,0,0,8
2022-10-22,7,1,0,5
2022-10-23,8,2,0,6
2022-10-24,9,-8,0,4
2022-10-25,6,-46,0,5
2022-10-26,4,-1,0,4
2022-10-27,8,2,0,6
2022-10-28,6,1,0,5
2022-10-29,6,1,0,3
2022-10-30,7,-6,0,6
2022-10-31,5,-28,0,3
2022-11-01,9,1,0,7
2022-11-02,5,1,0,4
2022-11-03,9,2,0,5
2022-11-04,5,-1,0,5
2022-11-05,5,1,0,4
2022-11-06,6,1,0,5
2022-11-07,5,1,1,4
2022-11-08,9,0,0,6
2022-11-09,6,3,0,5
2022-11-10,5,1,0,3
2022-11-11,9,3,0,6
2022-11-12,7,0,0,4
2022-11-13,8,3,0,5
2022-11-14,4,1,0,3
2022-11-15,13,1,0,12
2022-11-16,9,1,0,7
2022-11-17,9,2,0,7
2022-11-18,11,1,0,10
2022-11-19,11,3,0,8
2022-11-20,6,2,0,3
2022-11-21,10,0,0,10
2022-11-22,9,1,0,7
2022-11-23,9,3,0,4
2022-11-24,11,1,0,10
2022-11-25,5,1,0,5
2022-11-26,13,1,0,11
2022-11-27,12,2,0,9
2022-11-28,8,3,0,3
2022-11-29,10,2,0,7
2022-11-30,11,1,0,8
2022-12-01,7,4,0,5
2022-12-02,8,1,0,4
2022-12-03,11,2,0,10
2022-12-04,10,1,0,9
2022-12-05,10,-1,0,8
2022-12-06,9,4,0,4
2022-12-07,6,2,0,2
2022-12-08,10,1,0,10
2022-12-09,4,1,0,2
2022-12-10,8,1,0,5
2022-12-11,5,0,0,2
2022-12-12,13,1,0,10
2022-12-13,10,3,0,6
2022-12-14,10,2,0,7
2022-12-15,9,3,0,7
2022-12-16,10,3,0,5
2022-12-17,8,3,0,5
2022-12-18,13,2,0,9
2022-12-19,13,3,0,10
2022-12-20,11,0,0,9
2022-12-21,7,1,0,4
2022-12-22,9,4,0,5
2022-12-23,8,2,0,3
2022-12-24,9,1,0,8
2022-12-25,21,9,0,14
2022-12-26,19,2,0,13
2022-12-27,22,4,0,15
2022-12-28,18,2,0,12
2022-12-29,17,3,0,13
2022-12-30,19,4,0,16
2022-12-31,19,3,0,14
2023-01-01,36,4,0,26
2023-01-02,37,9,0,28
2023-01-03,19,4,0,12
2023-01-04,21,3,0,17
2023-01-05,18,4,0,11
2023-01-06,19,3,1,13
2023-01-07,16,5,0,9
2023-01-08,16,2,0,12
2023-01-09,13,-1,0,10
2023-01-10,16,-1,0,10
2023-01-11,18,2,0,15
2023-01-12,11,-48,0,7
2023-01-13,12,-76,0,11
2023-01-14,20,0,0,15
2023-01-15,12,0,0,9
2023-01-16,12,3,0,8
2023-01-17,20,5,0,13
2023-01-18,7,2,0,5
2023-01-19,18,2,0,13
2023-01-20,14,2,0,11
2023-01-21,10,1,0,8
2023-01-22,12,1,0,9
2023-01-23,13,2,0,9
2023-01-24,6,2,0,4
2023-01-25,15,1,0,11
2023-01-26,9,3,0,5
2023-01-27,14,6,2,6
2023-01-28,14,4,0,9
2023-01-29,14,5,0,13
2023-01-30,15,-1,0,10
2023-01-31,12,4,0,9
