Title,URL
"The Girl with the Dragon Tattoo (Millennium, #1)",https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
And Then There Were None,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
"The Girl Who Played with Fire (Millennium, #2)",https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire
Gone Girl,https://www.goodreads.com/book/show/19288043-gone-girl
"Murder on the Orient Express (Hercule Poirot, #9)",https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest
The Girl on the Train,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train
In Cold Blood,https://www.goodreads.com/book/show/168642.In_Cold_Blood
"The Cuckoo's Calling (Cormoran Strike, #1)",https://www.goodreads.com/book/show/16160797-the-cuckoo-s-calling
"A Study in Scarlet (Sherlock Holmes, #1)",https://www.goodreads.com/book/show/102868.A_Study_in_Scarlet
Sharp Objects,https://www.goodreads.com/book/show/18045891-sharp-objects
"In the Woods (Dublin Murder Squad, #1)",https://www.goodreads.com/book/show/2459785.In_the_Woods
"The Silkworm (Cormoran Strike, #2)",https://www.goodreads.com/book/show/18214414-the-silkworm
"The Godfather (The Godfather, #1)",https://www.goodreads.com/book/show/22034.The_Godfather
"The Murder of Roger Ackroyd (Hercule Poirot, #3)",https://www.goodreads.com/book/show/16328.The_Murder_of_Roger_Ackroyd
"The Mysterious Affair at Styles (Hercule Poirot, #1)",https://www.goodreads.com/book/show/52843028-the-mysterious-affair-at-styles
Dark Places,https://www.goodreads.com/book/show/5886881-dark-places
"Death on the Nile (Hercule Poirot, #16)",https://www.goodreads.com/book/show/131359.Death_on_the_Nile
"The Hound of the Baskervilles (Sherlock Holmes, #5)",https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles
"The Silence of the Lambs  (Hannibal Lecter, #2)",https://www.goodreads.com/book/show/23807.The_Silence_of_the_Lambs
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,https://www.goodreads.com/book/show/35068432-i-ll-be-gone-in-the-dark
"The Thursday Murder Club (Thursday Murder Club, #1)",https://www.goodreads.com/book/show/46000520-the-thursday-murder-club
"The Da Vinci Code (Robert Langdon, #2)",https://www.goodreads.com/book/show/968.The_Da_Vinci_Code
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",https://www.goodreads.com/book/show/397483.The_Devil_in_the_White_City
"Career of Evil (Cormoran Strike, #3)",https://www.goodreads.com/book/show/40611999-career-of-evil
"The Big Sleep (Philip Marlowe, #1)",https://www.goodreads.com/book/show/2052.The_Big_Sleep
"Red Dragon (Hannibal Lecter, #1)",https://www.goodreads.com/book/show/28877.Red_Dragon
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
"The Snowman (Harry Hole, #7)",https://www.goodreads.com/book/show/9572203-the-snowman
"Flaggermusmannen (Harry Hole, #1)",https://www.goodreads.com/book/show/1991039.Flaggermusmannen
"Angels & Demons (Robert Langdon, #1)",https://www.goodreads.com/book/show/960.Angels_Demons
The Silent Patient,https://www.goodreads.com/book/show/40097951-the-silent-patient
"The Dry (Aaron Falk, #1)",https://www.goodreads.com/book/show/27824826-the-dry
"The Sign of Four (Sherlock Holmes, #2)",https://www.goodreads.com/book/show/608474.The_Sign_of_Four
Assuming Names: A Con Artist's Masquerade,https://www.goodreads.com/book/show/21449526-assuming-names
"The A.B.C. Murders (Hercule Poirot, #12)",https://www.goodreads.com/book/show/16322.The_A_B_C_Murders
Crime and Punishment,https://www.goodreads.com/book/show/7144.Crime_and_Punishment
The Lovely Bones,https://www.goodreads.com/book/show/12232938-the-lovely-bones
"Postmortem (Kay Scarpetta, #1)",https://www.goodreads.com/book/show/6534.Postmortem
"Killing Floor (Jack Reacher, #1)",https://www.goodreads.com/book/show/78129.Killing_Floor
"The Redbreast (Harry Hole, #3)",https://www.goodreads.com/book/show/465226.The_Redbreast
"The Black Echo (Harry Bosch Universe, #1)",https://www.goodreads.com/book/show/32508.The_Black_Echo
The Seven Deaths of Evelyn Hardcastle,https://www.goodreads.com/book/show/62229748-the-seven-deaths-of-evelyn-hardcastle
"Darkly Dreaming Dexter (Dexter, #1)",https://www.goodreads.com/book/show/17231.Darkly_Dreaming_Dexter
"Lethal White (Cormoran Strike, #4)",https://www.goodreads.com/book/show/42283287-lethal-white
Murder at the Vicarage,https://www.goodreads.com/book/show/16331.Murder_at_the_Vicarage
"Rivers of London (Rivers of London, #1)",https://www.goodreads.com/book/show/9317452-rivers-of-london
"My Sister, the Serial Killer",https://www.goodreads.com/book/show/38819868-my-sister-the-serial-killer
"Mr. Mercedes (Bill Hodges Trilogy, #1)",https://www.goodreads.com/book/show/18775247-mr-mercedes
Helter Skelter: The True Story of the Manson Murders,https://www.goodreads.com/book/show/105992.Helter_Skelter
"Déjà Dead (Temperance Brennan, #1)",https://www.goodreads.com/book/show/231604.D_j_Dead
