date,added,ratings,reviews,to-read
2022-08-15,515,105,10,311
2022-08-16,446,124,8,272
2022-08-17,487,106,5,280
2022-08-18,377,85,7,252
2022-08-19,349,87,7,213
2022-08-20,417,81,6,244
2022-08-21,439,93,3,285
2022-08-22,480,100,3,291
2022-08-23,470,105,1,273
2022-08-24,440,9,9,247
2022-08-25,409,95,3,262
2022-08-26,417,93,6,237
2022-08-27,379,75,7,221
2022-08-28,491,-40,10,272
2022-08-29,484,-193,4,292
2022-08-30,439,85,6,265
2022-08-31,417,40,2,239
2022-09-01,384,97,5,222
2022-09-02,366,69,7,216
2022-09-03,351,69,4,191
2022-09-04,431,112,11,242
2022-09-05,401,113,7,238
2022-09-06,426,9,7,237
2022-09-07,484,99,7,277
2022-09-08,344,84,9,179
2022-09-09,376,79,3,224
2022-09-10,379,81,5,213
2022-09-11,386,99,4,253
2022-09-12,363,89,10,209
2022-09-13,391,69,3,240
2022-09-14,347,64,5,215
2022-09-15,333,106,6,205
2022-09-16,343,93,8,205
2022-09-17,368,84,3,214
2022-09-18,400,86,3,222
2022-09-19,469,118,9,274
2022-09-20,407,105,3,246
2022-09-21,360,144,4,204
2022-09-22,396,110,3,205
2022-09-23,367,59,6,185
2022-09-24,322,87,5,160
2022-09-25,383,72,3,237
2022-09-26,367,-12,2,215
2022-09-27,431,-51,8,243
2022-09-28,392,-212,2,222
2022-09-29,364,-169,6,193
2022-09-30,321,85,2,186
2022-10-01,351,81,3,191
2022-10-02,419,-36,6,226
2022-10-03,351,9,5,201
2022-10-04,348,76,6,193
2022-10-05,264,80,5,176
2022-10-06,371,82,2,225
2022-10-07,296,67,8,161
2022-10-08,330,51,6,210
2022-10-09,354,44,2,209
2022-10-10,343,80,9,202
2022-10-11,387,57,3,231
2022-10-12,339,28,11,197
2022-10-13,302,78,5,200
2022-10-14,329,-166,5,193
2022-10-15,357,60,2,228
2022-10-16,411,-387,5,251
2022-10-17,368,-476,7,216
2022-10-18,437,-27,2,266
2022-10-19,490,105,7,310
2022-10-20,305,68,4,175
2022-10-21,282,-29,3,174
2022-10-22,304,-31,8,171
2022-10-23,359,-534,3,199
2022-10-24,364,-102,8,194
2022-10-25,304,14,8,190
2022-10-26,373,69,6,228
2022-10-27,344,73,2,213
2022-10-28,300,55,9,184
2022-10-29,324,71,9,173
2022-10-30,365,51,4,220
2022-10-31,307,24,2,172
2022-11-01,363,84,3,197
2022-11-02,308,78,8,183
2022-11-03,346,-29,7,217
2022-11-04,311,87,6,163
2022-11-05,338,72,9,212
2022-11-06,384,73,3,226
2022-11-07,347,80,1,197
2022-11-08,344,68,8,201
2022-11-09,360,92,7,206
2022-11-10,240,60,2,159
2022-11-11,288,71,8,171
2022-11-12,325,57,5,177
2022-11-13,369,67,2,233
2022-11-14,385,67,5,246
2022-11-15,377,67,3,212
2022-11-16,370,81,4,212
2022-11-17,288,83,6,171
2022-11-18,307,70,6,187
2022-11-19,320,65,0,170
2022-11-20,402,77,3,244
2022-11-21,316,69,8,192
2022-11-22,351,70,4,185
2022-11-23,336,87,6,182
2022-11-24,296,56,1,177
2022-11-25,307,59,-1,204
2022-11-26,349,67,5,208
2022-11-27,418,87,6,251
2022-11-28,417,92,2,256
2022-11-29,407,101,7,233
2022-11-30,391,85,6,232
2022-12-01,387,95,7,223
2022-12-02,304,66,4,167
2022-12-03,382,75,8,220
2022-12-04,462,87,9,298
2022-12-05,479,84,6,276
2022-12-06,381,70,6,237
2022-12-07,321,84,5,212
2022-12-08,339,77,5,199
2022-12-09,349,73,4,200
2022-12-10,354,70,4,212
2022-12-11,397,67,8,237
2022-12-12,403,73,6,232
2022-12-13,342,67,4,201
2022-12-14,369,87,5,216
2022-12-15,374,80,8,213
2022-12-16,370,80,10,211
2022-12-17,355,90,6,192
2022-12-18,386,73,4,212
2022-12-19,414,102,4,245
2022-12-20,366,91,6,223
2022-12-21,407,108,7,220
2022-12-22,420,117,8,229
2022-12-23,377,70,4,221
2022-12-24,411,95,6,238
2022-12-25,500,101,5,299
2022-12-26,525,108,10,316
2022-12-27,550,99,6,310
2022-12-28,634,133,8,358
2022-12-29,496,135,5,296
2022-12-30,612,138,7,358
2022-12-31,668,147,9,355
2023-01-01,1098,193,6,619
2023-01-02,1071,268,11,613
2023-01-03,1016,225,12,601
2023-01-04,755,195,9,482
2023-01-05,767,251,13,434
2023-01-06,667,152,7,387
2023-01-07,632,164,9,346
2023-01-08,739,137,13,423
2023-01-09,660,138,3,372
2023-01-10,632,125,10,361
2023-01-11,538,130,2,353
2023-01-12,628,25,7,358
2023-01-13,566,-9,4,325
2023-01-14,560,115,5,310
2023-01-15,638,127,6,363
2023-01-16,578,142,9,314
2023-01-17,571,111,2,332
2023-01-18,591,119,7,350
2023-01-19,529,93,7,332
2023-01-20,436,114,8,266
2023-01-21,461,104,4,268
2023-01-22,626,126,6,354
2023-01-23,580,112,7,338
2023-01-24,527,118,11,301
2023-01-25,566,123,7,310
2023-01-26,514,147,8,308
2023-01-27,456,118,7,252
2023-01-28,472,111,9,259
2023-01-29,494,96,8,262
2023-01-30,428,102,5,283
2023-01-31,488,102,7,277
