date,added,ratings,reviews,to-read
2022-08-15,41,15,2,6
2022-08-16,21,12,0,4
2022-08-17,39,9,0,6
2022-08-18,26,13,0,6
2022-08-19,34,10,1,5
2022-08-20,38,21,2,2
2022-08-21,35,11,0,8
2022-08-22,47,15,0,8
2022-08-23,24,15,1,3
2022-08-24,31,9,0,1
2022-08-25,25,9,1,7
2022-08-26,36,16,0,1
2022-08-27,21,11,0,2
2022-08-28,51,5,0,6
2022-08-29,38,-11,1,6
2022-08-30,56,18,0,6
2022-08-31,38,14,1,1
2022-09-01,19,12,0,2
2022-09-02,36,8,0,7
2022-09-03,34,10,1,3
2022-09-04,48,11,1,4
2022-09-05,64,26,1,6
2022-09-06,41,13,1,4
2022-09-07,51,20,2,0
2022-09-08,30,17,0,2
2022-09-09,23,8,0,2
2022-09-10,42,12,0,2
2022-09-11,31,15,0,4
2022-09-12,30,9,0,5
2022-09-13,38,12,3,4
2022-09-14,22,10,0,4
2022-09-15,27,16,1,3
2022-09-16,46,19,0,3
2022-09-17,21,8,0,2
2022-09-18,39,28,1,6
2022-09-19,29,26,0,1
2022-09-20,38,28,1,4
2022-09-21,46,37,0,1
2022-09-22,42,34,2,3
2022-09-23,47,6,2,4
2022-09-24,40,21,0,3
2022-09-25,29,17,0,4
2022-09-26,29,-3,0,4
2022-09-27,27,-26,0,3
2022-09-28,31,-23,1,2
2022-09-29,29,-66,0,2
2022-09-30,27,15,0,3
2022-10-01,26,6,0,3
2022-10-02,33,-7,0,3
2022-10-03,36,-1,0,4
2022-10-04,28,15,0,1
2022-10-05,22,13,1,3
2022-10-06,35,10,0,4
2022-10-07,33,11,0,4
2022-10-08,35,9,0,9
2022-10-09,32,1,1,7
2022-10-10,27,16,0,7
2022-10-11,34,8,0,4
2022-10-12,37,-8,0,8
2022-10-13,22,12,1,1
2022-10-14,33,-22,1,4
2022-10-15,20,7,1,1
2022-10-16,36,-34,0,4
2022-10-17,26,-33,0,1
2022-10-18,25,5,1,2
2022-10-19,26,11,0,1
2022-10-20,29,11,1,1
2022-10-21,25,4,0,0
2022-10-22,33,11,0,3
2022-10-23,32,-15,1,1
2022-10-24,30,-23,1,3
2022-10-25,20,-13,1,2
2022-10-26,23,12,0,3
2022-10-27,23,8,0,0
2022-10-28,21,7,0,2
2022-10-29,36,16,2,5
2022-10-30,22,12,0,7
2022-10-31,26,-5,0,3
2022-11-01,33,10,0,6
2022-11-02,23,8,0,5
2022-11-03,22,-10,0,3
2022-11-04,20,10,1,2
2022-11-05,37,9,0,6
2022-11-06,37,15,0,3
2022-11-07,24,10,0,1
2022-11-08,21,7,1,2
2022-11-09,27,12,1,4
2022-11-10,22,17,1,5
2022-11-11,29,10,0,7
2022-11-12,25,9,0,3
2022-11-13,32,8,0,8
2022-11-14,26,8,0,5
2022-11-15,30,11,1,7
2022-11-16,12,7,0,2
2022-11-17,17,6,-1,4
2022-11-18,35,15,1,1
2022-11-19,34,14,0,7
2022-11-20,36,5,0,8
2022-11-21,19,12,1,3
2022-11-22,31,12,0,7
2022-11-23,16,8,0,2
2022-11-24,23,7,0,1
2022-11-25,28,7,0,2
2022-11-26,40,11,0,6
2022-11-27,39,15,0,5
2022-11-28,36,10,0,2
2022-11-29,28,18,1,4
2022-11-30,28,17,1,2
2022-12-01,43,12,0,3
2022-12-02,29,19,1,2
2022-12-03,30,7,1,4
2022-12-04,34,16,0,7
2022-12-05,42,12,0,6
2022-12-06,36,17,0,5
2022-12-07,9,8,0,0
2022-12-08,21,13,1,5
2022-12-09,32,8,0,5
2022-12-10,40,16,0,4
2022-12-11,39,17,1,2
2022-12-12,31,11,1,4
2022-12-13,43,19,0,7
2022-12-14,21,10,0,1
2022-12-15,34,12,2,4
2022-12-16,26,12,0,2
2022-12-17,38,15,2,5
2022-12-18,38,12,0,6
2022-12-19,30,9,0,5
2022-12-20,33,19,0,6
2022-12-21,39,15,1,8
2022-12-22,25,12,0,7
2022-12-23,40,11,1,6
2022-12-24,24,6,0,2
2022-12-25,27,16,0,3
2022-12-26,44,13,1,6
2022-12-27,43,16,1,3
2022-12-28,46,16,1,7
2022-12-29,40,18,0,6
2022-12-30,49,23,0,1
2022-12-31,42,19,0,4
2023-01-01,61,13,0,10
2023-01-02,48,16,0,6
2023-01-03,55,18,2,12
2023-01-04,35,18,0,5
2023-01-05,39,15,0,4
2023-01-06,43,18,0,5
2023-01-07,39,22,0,8
2023-01-08,43,10,1,8
2023-01-09,38,20,0,7
2023-01-10,40,8,1,6
2023-01-11,30,19,0,5
2023-01-12,34,-14,1,8
2023-01-13,35,-19,0,4
2023-01-14,39,16,0,9
2023-01-15,25,10,0,3
2023-01-16,48,16,2,4
2023-01-17,46,20,0,5
2023-01-18,23,13,0,2
2023-01-19,31,8,0,9
2023-01-20,25,10,2,2
2023-01-21,37,9,0,7
2023-01-22,45,14,0,8
2023-01-23,46,17,1,8
2023-01-24,40,19,1,5
2023-01-25,33,19,0,1
2023-01-26,36,19,0,3
2023-01-27,40,15,0,4
2023-01-28,37,18,0,4
2023-01-29,29,7,0,6
2023-01-30,17,15,0,3
2023-01-31,27,14,1,7
