date,added,ratings,reviews,to-read
2022-08-15,124,43,8,23
2022-08-16,88,41,4,22
2022-08-17,112,39,2,21
2022-08-18,74,26,0,25
2022-08-19,99,42,1,14
2022-08-20,109,37,1,14
2022-08-21,94,47,4,14
2022-08-22,83,45,1,14
2022-08-23,67,39,4,14
2022-08-24,113,26,0,12
2022-08-25,73,47,0,14
2022-08-26,80,34,2,12
2022-08-27,77,39,1,15
2022-08-28,127,45,1,10
2022-08-29,88,13,1,14
2022-08-30,130,46,2,20
2022-08-31,129,46,4,19
2022-09-01,101,43,2,13
2022-09-02,90,30,4,18
2022-09-03,113,36,2,19
2022-09-04,140,70,4,13
2022-09-05,100,43,0,20
2022-09-06,143,41,2,16
2022-09-07,134,53,0,21
2022-09-08,92,47,0,7
2022-09-09,87,37,0,11
2022-09-10,124,46,3,18
2022-09-11,86,47,0,15
2022-09-12,94,24,3,18
2022-09-13,103,29,2,21
2022-09-14,116,46,2,11
2022-09-15,59,43,3,15
2022-09-16,118,54,0,11
2022-09-17,96,47,1,13
2022-09-18,118,35,3,16
2022-09-19,103,50,1,17
2022-09-20,81,60,2,9
2022-09-21,103,64,4,20
2022-09-22,77,51,0,13
2022-09-23,115,23,1,12
2022-09-24,105,51,4,16
2022-09-25,133,61,2,15
2022-09-26,64,-3,0,7
2022-09-27,121,-1,1,22
2022-09-28,91,-23,1,14
2022-09-29,96,-78,1,13
2022-09-30,105,52,3,17
2022-10-01,103,41,3,17
2022-10-02,115,18,2,22
2022-10-03,104,19,2,17
2022-10-04,103,43,3,15
2022-10-05,72,34,1,16
2022-10-06,86,40,0,14
2022-10-07,88,31,2,17
2022-10-08,88,30,1,16
2022-10-09,108,25,2,19
2022-10-10,112,32,0,19
2022-10-11,71,23,1,16
2022-10-12,89,14,3,21
2022-10-13,65,30,2,17
2022-10-14,95,-23,0,17
2022-10-15,96,32,1,14
2022-10-16,124,-26,2,20
2022-10-17,99,-1,2,14
2022-10-18,115,39,5,21
2022-10-19,86,28,0,22
2022-10-20,96,28,1,12
2022-10-21,80,34,1,13
2022-10-22,78,25,3,14
2022-10-23,89,-9,1,15
2022-10-24,100,17,2,16
2022-10-25,101,-3,3,34
2022-10-26,86,37,1,13
2022-10-27,112,51,4,19
2022-10-28,86,45,0,13
2022-10-29,91,27,1,16
2022-10-30,110,32,1,23
2022-10-31,90,14,2,21
2022-11-01,110,34,2,13
2022-11-02,95,42,1,15
2022-11-03,104,25,0,18
2022-11-04,96,34,1,17
2022-11-05,100,35,0,13
2022-11-06,130,38,1,29
2022-11-07,114,46,7,17
2022-11-08,109,33,3,24
2022-11-09,88,40,1,10
2022-11-10,92,31,3,13
2022-11-11,90,32,8,16
2022-11-12,91,42,2,10
2022-11-13,112,43,4,24
2022-11-14,102,44,2,11
2022-11-15,117,47,2,15
2022-11-16,94,51,4,13
2022-11-17,58,21,1,22
2022-11-18,85,37,1,21
2022-11-19,103,33,1,17
2022-11-20,104,34,0,19
2022-11-21,60,41,3,13
2022-11-22,84,38,1,11
2022-11-23,94,31,3,19
2022-11-24,66,27,1,11
2022-11-25,99,37,0,18
2022-11-26,114,31,3,25
2022-11-27,137,36,2,23
2022-11-28,120,45,3,20
2022-11-29,155,40,3,52
2022-11-30,143,47,3,41
2022-12-01,124,52,4,25
2022-12-02,143,38,3,43
2022-12-03,174,53,4,48
2022-12-04,185,54,4,54
2022-12-05,157,45,2,48
2022-12-06,155,44,3,36
2022-12-07,131,49,2,41
2022-12-08,99,46,4,28
2022-12-09,144,48,2,32
2022-12-10,138,48,3,27
2022-12-11,172,44,2,38
2022-12-12,164,43,3,21
2022-12-13,150,56,2,37
2022-12-14,155,46,3,39
2022-12-15,150,48,3,27
2022-12-16,145,45,1,27
2022-12-17,175,60,6,38
2022-12-18,193,69,6,47
2022-12-19,158,52,5,31
2022-12-20,117,48,5,32
2022-12-21,188,66,4,39
2022-12-22,176,57,0,33
2022-12-23,170,49,4,38
2022-12-24,160,57,2,37
2022-12-25,180,43,0,40
2022-12-26,250,71,2,62
2022-12-27,274,78,4,61
2022-12-28,251,94,4,65
2022-12-29,201,88,5,54
2022-12-30,292,97,8,56
2022-12-31,341,124,12,53
2023-01-01,372,94,2,79
2023-01-02,386,128,8,87
2023-01-03,290,90,5,59
2023-01-04,204,109,7,56
2023-01-05,302,85,3,69
2023-01-06,230,95,5,41
2023-01-07,270,83,2,62
2023-01-08,324,92,5,59
2023-01-09,224,94,2,52
2023-01-10,259,81,1,45
2023-01-11,155,89,4,38
2023-01-12,217,27,3,36
2023-01-13,234,12,7,40
2023-01-14,261,83,4,46
2023-01-15,231,80,8,39
2023-01-16,229,77,1,43
2023-01-17,218,79,9,37
2023-01-18,217,77,3,34
2023-01-19,196,62,0,38
2023-01-20,118,59,6,36
2023-01-21,235,73,5,36
2023-01-22,260,90,5,39
2023-01-23,205,80,6,33
2023-01-24,211,65,4,31
2023-01-25,196,63,7,35
2023-01-26,196,68,7,35
2023-01-27,169,76,3,23
2023-01-28,240,66,9,45
2023-01-29,218,77,5,33
2023-01-30,129,73,2,30
2023-01-31,186,59,1,23
