date,added,ratings,reviews,to-read
2022-08-15,46,20,4,10
2022-08-16,25,9,2,10
2022-08-17,32,13,0,10
2022-08-18,13,9,4,4
2022-08-19,44,15,0,12
2022-08-20,42,16,1,8
2022-08-21,39,16,0,14
2022-08-22,59,18,2,18
2022-08-23,54,23,2,12
2022-08-24,33,9,1,8
2022-08-25,38,13,1,12
2022-08-26,44,18,2,12
2022-08-27,32,19,1,8
2022-08-28,52,15,0,11
2022-08-29,36,-1,2,11
2022-08-30,35,17,0,13
2022-08-31,28,11,0,8
2022-09-01,45,17,0,16
2022-09-02,43,16,1,14
2022-09-03,38,12,1,12
2022-09-04,44,15,2,12
2022-09-05,23,11,0,9
2022-09-06,47,11,2,13
2022-09-07,37,9,1,13
2022-09-08,25,12,0,4
2022-09-09,31,13,2,7
2022-09-10,33,10,1,9
2022-09-11,32,25,1,11
2022-09-12,43,16,5,17
2022-09-13,35,17,1,9
2022-09-14,44,17,1,9
2022-09-15,29,16,1,10
2022-09-16,25,19,1,5
2022-09-17,47,9,2,18
2022-09-18,64,21,2,28
2022-09-19,41,13,1,12
2022-09-20,33,19,1,11
2022-09-21,31,21,1,11
2022-09-22,39,13,0,9
2022-09-23,35,3,0,9
2022-09-24,45,19,2,12
2022-09-25,39,18,2,11
2022-09-26,31,-9,1,9
2022-09-27,41,-6,0,12
2022-09-28,32,-11,1,7
2022-09-29,25,-34,2,10
2022-09-30,37,15,1,7
2022-10-01,37,14,1,14
2022-10-02,32,-17,1,6
2022-10-03,41,-5,2,10
2022-10-04,39,15,2,11
2022-10-05,12,9,0,5
2022-10-06,27,4,0,5
2022-10-07,36,6,1,13
2022-10-08,24,6,1,6
2022-10-09,54,2,0,22
2022-10-10,31,10,2,9
2022-10-11,28,8,0,6
2022-10-12,28,-6,0,9
2022-10-13,23,6,1,8
2022-10-14,25,-32,1,12
2022-10-15,28,6,1,14
2022-10-16,37,-51,0,16
2022-10-17,31,-21,1,7
2022-10-18,40,9,1,6
2022-10-19,34,13,1,11
2022-10-20,32,10,1,11
2022-10-21,24,3,0,8
2022-10-22,29,-1,0,5
2022-10-23,31,-30,0,8
2022-10-24,34,-13,1,7
2022-10-25,32,7,1,11
2022-10-26,20,12,2,10
2022-10-27,33,13,0,10
2022-10-28,17,5,0,7
2022-10-29,26,6,0,10
2022-10-30,26,8,0,12
2022-10-31,26,-1,1,9
2022-11-01,22,8,1,3
2022-11-02,28,5,1,6
2022-11-03,17,5,2,4
2022-11-04,29,6,0,4
2022-11-05,28,10,0,7
2022-11-06,26,12,1,6
2022-11-07,33,15,2,9
2022-11-08,25,8,1,9
2022-11-09,26,9,0,13
2022-11-10,23,7,1,4
2022-11-11,21,6,3,4
2022-11-12,33,14,0,5
2022-11-13,34,8,3,9
2022-11-14,32,6,0,5
2022-11-15,38,17,3,11
2022-11-16,37,11,0,9
2022-11-17,13,12,1,1
2022-11-18,37,12,2,11
2022-11-19,32,5,0,8
2022-11-20,32,12,2,10
2022-11-21,30,9,1,16
2022-11-22,37,11,2,15
2022-11-23,27,6,0,7
2022-11-24,22,9,0,7
2022-11-25,33,11,1,10
2022-11-26,28,14,2,10
2022-11-27,25,11,2,9
2022-11-28,38,11,2,14
2022-11-29,23,7,0,11
2022-11-30,33,13,0,6
2022-12-01,31,8,1,12
2022-12-02,30,9,3,8
2022-12-03,24,7,0,8
2022-12-04,22,7,1,10
2022-12-05,34,13,0,7
2022-12-06,36,12,0,11
2022-12-07,29,11,1,10
2022-12-08,25,15,2,6
2022-12-09,17,7,2,2
2022-12-10,35,12,1,7
2022-12-11,37,17,0,10
2022-12-12,27,9,0,6
2022-12-13,28,8,0,9
2022-12-14,35,12,1,5
2022-12-15,43,16,1,12
2022-12-16,27,11,0,8
2022-12-17,34,9,1,10
2022-12-18,37,8,0,13
2022-12-19,38,14,1,9
2022-12-20,27,12,2,8
2022-12-21,36,16,1,6
2022-12-22,45,18,1,18
2022-12-23,32,12,0,11
2022-12-24,38,12,1,10
2022-12-25,43,16,0,12
2022-12-26,59,19,2,12
2022-12-27,67,24,2,20
2022-12-28,51,17,0,13
2022-12-29,51,12,1,23
2022-12-30,45,21,2,12
2022-12-31,72,14,1,22
2023-01-01,78,12,1,25
2023-01-02,83,17,0,25
2023-01-03,60,18,0,18
2023-01-04,45,19,1,20
2023-01-05,48,17,0,16
2023-01-06,55,15,1,18
2023-01-07,61,20,1,16
2023-01-08,53,24,0,14
2023-01-09,36,14,0,10
2023-01-10,42,16,1,14
2023-01-11,40,15,2,20
2023-01-12,43,-6,0,15
2023-01-13,53,1,1,18
2023-01-14,50,22,2,16
2023-01-15,60,11,0,21
2023-01-16,58,18,1,18
2023-01-17,28,13,2,12
2023-01-18,48,10,1,17
2023-01-19,35,22,2,12
2023-01-20,26,8,2,8
2023-01-21,48,12,1,13
2023-01-22,60,21,1,23
2023-01-23,37,15,1,10
2023-01-24,33,8,0,10
2023-01-25,42,12,0,14
2023-01-26,50,20,2,21
2023-01-27,30,8,0,14
2023-01-28,49,10,2,17
2023-01-29,55,21,4,16
2023-01-30,39,17,1,11
2023-01-31,32,17,2,14
