date,added,ratings,reviews,to-read
2022-08-15,176,75,3,66
2022-08-16,194,104,2,58
2022-08-17,169,83,3,57
2022-08-18,158,71,0,38
2022-08-19,155,58,0,51
2022-08-20,206,84,1,68
2022-08-21,223,96,0,56
2022-08-22,179,112,1,44
2022-08-23,166,110,3,46
2022-08-24,192,34,1,45
2022-08-25,137,73,0,35
2022-08-26,153,62,2,39
2022-08-27,165,68,2,56
2022-08-28,219,48,2,60
2022-08-29,170,-2,0,65
2022-08-30,168,74,1,49
2022-08-31,202,86,2,51
2022-09-01,159,74,3,42
2022-09-02,154,71,1,49
2022-09-03,163,61,2,49
2022-09-04,171,69,1,45
2022-09-05,188,86,3,58
2022-09-06,172,47,0,41
2022-09-07,159,71,1,43
2022-09-08,150,79,1,31
2022-09-09,130,61,0,44
2022-09-10,122,46,1,43
2022-09-11,159,69,1,50
2022-09-12,166,76,1,39
2022-09-13,161,64,4,44
2022-09-14,169,90,1,34
2022-09-15,122,65,0,31
2022-09-16,162,81,1,44
2022-09-17,122,49,2,39
2022-09-18,154,68,1,33
2022-09-19,165,87,0,43
2022-09-20,183,100,1,42
2022-09-21,139,92,3,42
2022-09-22,167,85,1,41
2022-09-23,154,11,1,38
2022-09-24,149,73,0,43
2022-09-25,159,76,1,46
2022-09-26,146,2,2,43
2022-09-27,165,-74,0,40
2022-09-28,143,-186,0,42
2022-09-29,133,-111,1,34
2022-09-30,115,50,0,35
2022-10-01,143,55,1,52
2022-10-02,147,-19,4,47
2022-10-03,136,28,0,38
2022-10-04,141,62,0,49
2022-10-05,115,57,2,41
2022-10-06,122,49,1,38
2022-10-07,139,49,1,53
2022-10-08,124,49,0,33
2022-10-09,131,12,1,34
2022-10-10,128,56,1,30
2022-10-11,133,43,1,36
2022-10-12,117,-18,2,36
2022-10-13,105,41,3,30
2022-10-14,128,-70,1,44
2022-10-15,141,54,3,46
2022-10-16,132,-118,0,38
2022-10-17,144,-54,1,32
2022-10-18,167,16,1,58
2022-10-19,139,56,0,50
2022-10-20,114,42,1,28
2022-10-21,101,18,0,41
2022-10-22,120,33,1,28
2022-10-23,156,-102,0,41
2022-10-24,129,-20,0,33
2022-10-25,126,2,1,38
2022-10-26,136,42,2,37
2022-10-27,136,58,0,43
2022-10-28,136,69,1,33
2022-10-29,116,41,0,33
2022-10-30,139,-5,0,44
2022-10-31,109,-16,0,23
2022-11-01,134,51,2,42
2022-11-02,119,38,0,42
2022-11-03,107,27,1,35
2022-11-04,115,48,0,33
2022-11-05,136,46,1,38
2022-11-06,129,44,2,37
2022-11-07,135,58,1,36
2022-11-08,135,55,2,34
2022-11-09,127,47,1,31
2022-11-10,136,54,0,47
2022-11-11,144,62,1,49
2022-11-12,131,59,0,27
2022-11-13,165,74,1,47
2022-11-14,134,53,1,30
2022-11-15,149,80,1,36
2022-11-16,161,69,3,44
2022-11-17,128,61,2,40
2022-11-18,137,88,1,20
2022-11-19,140,58,2,32
2022-11-20,137,55,1,45
2022-11-21,110,52,1,29
2022-11-22,149,65,1,40
2022-11-23,117,59,0,40
2022-11-24,123,50,0,39
2022-11-25,119,53,3,34
2022-11-26,156,60,4,38
2022-11-27,162,76,0,43
2022-11-28,145,68,2,29
2022-11-29,158,69,0,39
2022-11-30,169,53,0,45
2022-12-01,142,76,1,45
2022-12-02,147,57,2,48
2022-12-03,156,84,1,32
2022-12-04,117,54,0,29
2022-12-05,110,41,0,34
2022-12-06,121,51,0,34
2022-12-07,125,64,2,33
2022-12-08,118,56,1,40
2022-12-09,114,38,0,36
2022-12-10,130,55,0,27
2022-12-11,164,68,2,49
2022-12-12,145,65,1,32
2022-12-13,119,62,2,33
2022-12-14,134,59,1,33
2022-12-15,125,68,1,21
2022-12-16,124,48,0,35
2022-12-17,134,53,0,42
2022-12-18,164,65,0,50
2022-12-19,148,68,1,41
2022-12-20,123,52,3,33
2022-12-21,147,56,1,38
2022-12-22,129,65,0,33
2022-12-23,159,66,1,46
2022-12-24,155,60,1,66
2022-12-25,241,86,1,84
2022-12-26,241,109,0,58
2022-12-27,258,114,0,67
2022-12-28,264,110,1,70
2022-12-29,252,113,0,62
2022-12-30,345,157,0,95
2022-12-31,427,189,1,94
2023-01-01,649,214,2,157
2023-01-02,547,354,1,136
2023-01-03,428,195,1,113
2023-01-04,341,204,1,80
2023-01-05,289,130,4,71
2023-01-06,301,140,3,87
2023-01-07,300,125,1,81
2023-01-08,308,119,1,83
2023-01-09,236,128,3,67
2023-01-10,280,97,2,66
2023-01-11,201,79,0,56
2023-01-12,221,-22,0,54
2023-01-13,199,-59,2,55
2023-01-14,233,81,0,61
2023-01-15,280,116,4,76
2023-01-16,226,94,1,52
2023-01-17,207,82,2,57
2023-01-18,193,78,0,54
2023-01-19,184,63,0,49
2023-01-20,141,65,3,40
2023-01-21,208,69,2,57
2023-01-22,217,90,2,64
2023-01-23,211,71,1,67
2023-01-24,211,83,2,64
2023-01-25,183,79,0,50
2023-01-26,186,85,1,55
2023-01-27,166,60,1,48
2023-01-28,209,73,3,61
2023-01-29,215,82,2,53
2023-01-30,135,62,1,41
2023-01-31,176,69,3,51
