date,added,ratings,reviews,to-read
2022-08-15,1103,462,9,396
2022-08-16,1013,474,12,379
2022-08-17,1067,447,11,367
2022-08-18,893,413,10,340
2022-08-19,820,352,0,326
2022-08-20,957,339,3,350
2022-08-21,1164,420,7,470
2022-08-22,1286,356,8,532
2022-08-23,1363,432,7,553
2022-08-24,1215,368,8,467
2022-08-25,1058,352,7,484
2022-08-26,1090,379,13,430
2022-08-27,1084,340,9,437
2022-08-28,1257,374,10,518
2022-08-29,1268,292,12,517
2022-08-30,1289,363,8,495
2022-08-31,1234,398,14,496
2022-09-01,1041,349,6,425
2022-09-02,1037,318,4,422
2022-09-03,999,300,4,402
2022-09-04,1173,376,5,414
2022-09-05,1333,433,6,489
2022-09-06,1163,376,11,486
2022-09-07,1192,391,13,431
2022-09-08,1026,359,8,414
2022-09-09,977,379,8,373
2022-09-10,1005,333,5,411
2022-09-11,976,348,15,410
2022-09-12,1111,390,11,425
2022-09-13,1117,417,11,446
2022-09-14,1101,322,12,480
2022-09-15,881,366,10,341
2022-09-16,965,349,6,382
2022-09-17,915,324,8,328
2022-09-18,1056,364,9,396
2022-09-19,1104,369,10,419
2022-09-20,1035,390,12,411
2022-09-21,886,362,7,402
2022-09-22,977,347,11,360
2022-09-23,887,290,8,327
2022-09-24,937,309,8,350
2022-09-25,1062,348,9,411
2022-09-26,870,280,9,336
2022-09-27,1064,221,8,406
2022-09-28,994,165,8,359
2022-09-29,885,191,10,340
2022-09-30,812,305,6,303
2022-10-01,874,298,7,342
2022-10-02,995,250,4,357
2022-10-03,955,251,9,339
2022-10-04,1011,347,9,376
2022-10-05,831,322,12,314
2022-10-06,896,338,10,333
2022-10-07,796,275,8,282
2022-10-08,834,307,10,318
2022-10-09,1002,288,6,371
2022-10-10,991,330,14,375
2022-10-11,1045,306,8,378
2022-10-12,935,288,10,357
2022-10-13,805,341,12,340
2022-10-14,812,212,7,297
2022-10-15,935,299,12,340
2022-10-16,1022,188,8,380
2022-10-17,965,177,12,382
2022-10-18,1062,296,8,389
2022-10-19,966,317,7,372
2022-10-20,827,289,10,314
2022-10-21,799,236,8,278
2022-10-22,851,278,9,317
2022-10-23,1068,130,11,432
2022-10-24,1135,223,8,454
2022-10-25,961,221,10,454
2022-10-26,962,299,11,392
2022-10-27,941,260,2,376
2022-10-28,878,320,6,317
2022-10-29,839,247,4,306
2022-10-30,1033,287,8,376
2022-10-31,909,275,9,286
2022-11-01,1012,317,15,367
2022-11-02,957,316,13,373
2022-11-03,936,292,11,329
2022-11-04,899,314,13,345
2022-11-05,886,283,8,306
2022-11-06,1089,346,14,406
2022-11-07,970,327,11,371
2022-11-08,933,332,9,337
2022-11-09,875,347,7,291
2022-11-10,810,289,14,279
2022-11-11,827,298,9,319
2022-11-12,822,329,11,263
2022-11-13,1041,316,9,369
2022-11-14,903,349,10,314
2022-11-15,1071,376,12,369
2022-11-16,935,342,5,329
2022-11-17,691,269,6,268
2022-11-18,785,332,7,250
2022-11-19,867,312,7,296
2022-11-20,941,326,16,342
2022-11-21,793,285,6,293
2022-11-22,857,313,7,283
2022-11-23,755,258,10,249
2022-11-24,695,266,3,257
2022-11-25,731,248,5,290
2022-11-26,840,264,11,308
2022-11-27,1029,381,11,366
2022-11-28,983,386,12,351
2022-11-29,831,394,11,331
2022-11-30,994,142,8,380
2022-12-01,862,330,16,304
2022-12-02,804,323,10,295
2022-12-03,851,318,11,292
2022-12-04,923,341,11,337
2022-12-05,940,332,5,340
2022-12-06,930,354,9,294
2022-12-07,720,313,11,294
2022-12-08,782,269,2,265
2022-12-09,737,257,1,249
2022-12-10,827,286,13,280
2022-12-11,946,352,15,316
2022-12-12,876,282,9,304
2022-12-13,789,334,9,277
2022-12-14,817,299,5,306
2022-12-15,932,345,8,326
2022-12-16,907,334,11,334
2022-12-17,947,343,10,337
2022-12-18,1072,386,8,384
2022-12-19,1021,380,16,351
2022-12-20,834,412,15,328
2022-12-21,974,358,11,361
2022-12-22,965,346,6,356
2022-12-23,874,317,10,322
2022-12-24,1048,361,6,386
2022-12-25,1587,552,6,654
2022-12-26,1581,545,3,611
2022-12-27,1576,563,18,573
2022-12-28,1719,675,11,596
2022-12-29,1515,637,15,570
2022-12-30,1879,720,17,672
2022-12-31,2207,794,23,756
2023-01-01,4314,1323,18,1483
2023-01-02,3739,1769,25,1314
2023-01-03,2894,1205,12,1008
2023-01-04,2110,963,19,772
2023-01-05,2126,738,14,736
2023-01-06,1753,670,13,592
2023-01-07,1779,629,18,632
2023-01-08,1888,739,23,612
2023-01-09,1725,711,19,559
2023-01-10,1679,581,15,587
2023-01-11,1364,608,18,535
2023-01-12,1503,468,8,544
2023-01-13,1258,415,20,462
2023-01-14,1371,484,12,502
2023-01-15,1477,535,16,494
2023-01-16,1425,490,15,489
2023-01-17,1331,490,22,448
2023-01-18,1321,468,18,460
2023-01-19,1231,408,18,454
2023-01-20,955,407,11,391
2023-01-21,1133,402,17,371
2023-01-22,1318,451,18,431
2023-01-23,1269,444,17,441
2023-01-24,1318,454,14,435
2023-01-25,1264,466,8,421
2023-01-26,1164,478,12,359
2023-01-27,1043,378,19,364
2023-01-28,1172,379,16,388
2023-01-29,1349,480,16,452
2023-01-30,972,478,12,369
2023-01-31,1162,392,15,359
