date,added,ratings,reviews,to-read
2022-08-16,225,100,3,91
2022-08-17,327,121,4,134
2022-08-18,246,128,8,92
2022-08-19,234,91,4,78
2022-08-20,249,81,3,89
2022-08-21,248,83,3,91
2022-08-22,270,98,4,86
2022-08-23,260,111,8,81
2022-08-24,269,93,0,97
2022-08-25,199,67,4,86
2022-08-26,239,87,11,89
2022-08-27,245,86,2,91
2022-08-28,253,94,9,82
2022-08-29,249,79,4,82
2022-08-30,273,91,3,94
2022-08-31,247,88,7,82
2022-09-01,242,95,5,86
2022-09-02,234,81,1,85
2022-09-03,232,70,3,91
2022-09-04,254,96,2,85
2022-09-05,219,109,5,75
2022-09-06,251,77,8,87
2022-09-07,245,66,6,93
2022-09-08,207,62,3,66
2022-09-09,237,72,1,93
2022-09-10,260,92,9,96
2022-09-11,184,89,5,75
2022-09-12,237,82,8,80
2022-09-13,262,84,7,113
2022-09-14,264,76,3,102
2022-09-15,194,90,1,80
2022-09-16,227,71,2,77
2022-09-17,215,96,5,73
2022-09-18,253,88,7,72
2022-09-19,234,90,8,77
2022-09-20,222,97,5,89
2022-09-21,203,121,6,70
2022-09-22,233,69,5,81
2022-09-23,215,44,2,74
2022-09-24,240,67,1,80
2022-09-25,241,104,4,85
2022-09-26,194,38,5,79
2022-09-27,232,0,5,81
2022-09-28,226,3,3,77
2022-09-29,219,-62,0,79
2022-09-30,292,94,4,144
2022-10-01,266,81,5,136
2022-10-02,279,53,4,123
2022-10-03,245,58,2,100
2022-10-04,232,72,5,95
2022-10-05,198,70,3,77
2022-10-06,223,77,3,83
2022-10-07,218,75,2,87
2022-10-08,228,81,1,81
2022-10-09,253,71,2,88
2022-10-10,218,74,5,73
2022-10-11,257,76,3,84
2022-10-12,212,74,6,69
2022-10-13,199,112,10,95
2022-10-14,203,23,7,81
2022-10-15,220,58,4,88
2022-10-16,219,18,1,91
2022-10-17,238,41,2,92
2022-10-18,211,64,3,74
2022-10-19,227,66,4,74
2022-10-20,191,66,5,70
2022-10-21,171,62,1,66
2022-10-22,209,59,4,71
2022-10-23,202,22,6,86
2022-10-24,223,23,6,78
2022-10-25,199,28,4,87
2022-10-26,200,55,1,76
2022-10-27,196,71,3,81
2022-10-28,185,50,1,78
2022-10-29,211,59,2,85
2022-10-30,236,40,5,79
2022-10-31,190,36,5,68
2022-11-01,204,59,3,84
2022-11-02,227,64,4,80
2022-11-03,220,69,1,81
2022-11-04,228,60,4,104
2022-11-05,270,70,4,126
2022-11-06,337,78,4,146
2022-11-07,257,62,4,135
2022-11-08,253,64,5,96
2022-11-09,244,78,3,103
2022-11-10,244,63,6,107
2022-11-11,233,63,3,96
2022-11-12,272,91,2,113
2022-11-13,286,63,6,122
2022-11-14,268,76,3,101
2022-11-15,297,83,7,123
2022-11-16,295,101,8,126
2022-11-17,217,82,3,91
2022-11-18,248,60,3,101
2022-11-19,273,85,9,112
2022-11-20,301,78,2,147
2022-11-21,239,64,3,93
2022-11-22,257,83,6,99
2022-11-23,219,94,8,72
2022-11-24,207,71,6,88
2022-11-25,244,84,3,94
2022-11-26,250,69,1,105
2022-11-27,291,93,6,112
2022-11-28,259,95,6,79
2022-11-29,258,91,7,90
2022-11-30,287,58,4,107
2022-12-01,259,66,5,97
2022-12-02,211,78,6,93
2022-12-03,244,77,2,96
2022-12-04,301,90,5,130
2022-12-05,270,84,5,95
2022-12-06,305,105,3,107
2022-12-07,185,62,7,73
2022-12-08,258,83,5,93
2022-12-09,213,79,3,80
2022-12-10,237,54,2,90
2022-12-11,265,96,5,83
2022-12-12,278,108,7,97
2022-12-13,259,110,6,80
2022-12-14,266,85,3,96
2022-12-15,232,82,7,81
2022-12-16,226,68,2,83
2022-12-17,257,96,8,97
2022-12-18,283,71,0,89
2022-12-19,282,97,9,88
2022-12-20,232,92,4,93
2022-12-21,328,95,3,118
2022-12-22,284,95,4,94
2022-12-23,275,99,1,86
2022-12-24,256,125,6,98
2022-12-25,397,110,6,164
2022-12-26,372,117,9,145
2022-12-27,440,123,6,142
2022-12-28,473,204,10,177
2022-12-29,346,155,6,130
2022-12-30,477,148,15,169
2022-12-31,580,215,17,208
2023-01-01,987,258,10,392
2023-01-02,881,377,7,342
2023-01-03,711,274,12,264
2023-01-04,548,216,13,217
2023-01-05,524,228,8,195
2023-01-06,468,-698,-44,188
2023-01-07,485,159,17,183
2023-01-08,472,133,12,178
2023-01-09,436,143,9,144
2023-01-10,428,148,9,144
2023-01-11,398,170,15,169
2023-01-12,361,64,5,130
2023-01-13,377,52,2,138
2023-01-14,421,143,13,161
2023-01-15,436,145,9,156
2023-01-16,395,153,12,124
2023-01-17,362,130,4,121
2023-01-18,356,100,11,111
2023-01-19,363,123,9,123
2023-01-20,257,104,14,105
2023-01-21,326,108,5,134
2023-01-22,377,118,8,140
2023-01-23,366,126,8,125
2023-01-24,335,113,6,109
2023-01-25,349,103,4,131
2023-01-26,313,131,5,98
2023-01-27,303,106,8,112
2023-01-28,366,117,4,126
2023-01-29,411,155,13,130
2023-01-30,264,113,4,113
2023-01-31,291,118,5,101
