date,added,ratings,reviews,to-read
2022-08-16,470,119,5,274
2022-08-17,528,103,6,313
2022-08-18,424,123,4,233
2022-08-19,413,96,3,234
2022-08-20,477,94,2,267
2022-08-21,535,119,3,296
2022-08-22,518,123,7,277
2022-08-23,463,124,4,267
2022-08-24,488,92,2,262
2022-08-25,431,91,3,268
2022-08-26,446,110,6,254
2022-08-27,468,91,9,271
2022-08-28,447,86,4,237
2022-08-29,469,69,12,265
2022-08-30,447,80,3,265
2022-08-31,497,106,6,269
2022-09-01,465,84,2,262
2022-09-02,398,83,2,228
2022-09-03,420,76,4,244
2022-09-04,479,108,6,273
2022-09-05,440,114,2,234
2022-09-06,481,60,7,251
2022-09-07,522,118,7,277
2022-09-08,373,86,1,218
2022-09-09,384,78,3,205
2022-09-10,391,82,2,217
2022-09-11,406,76,2,249
2022-09-12,417,78,6,232
2022-09-13,383,73,0,204
2022-09-14,364,97,5,216
2022-09-15,335,90,4,188
2022-09-16,348,81,4,189
2022-09-17,389,67,1,226
2022-09-18,422,98,8,244
2022-09-19,428,112,1,226
2022-09-20,384,120,6,204
2022-09-21,373,96,1,202
2022-09-22,395,106,3,200
2022-09-23,339,41,3,179
2022-09-24,381,79,2,213
2022-09-25,440,69,3,252
2022-09-26,382,39,1,220
2022-09-27,397,4,4,224
2022-09-28,384,-24,4,213
2022-09-29,382,-66,6,223
2022-09-30,372,90,3,199
2022-10-01,389,93,2,235
2022-10-02,445,46,8,257
2022-10-03,369,40,5,192
2022-10-04,382,84,3,220
2022-10-05,351,85,3,199
2022-10-06,411,75,3,253
2022-10-07,373,78,7,211
2022-10-08,432,94,2,250
2022-10-09,442,51,1,244
2022-10-10,482,92,3,283
2022-10-11,462,78,3,277
2022-10-12,398,44,4,230
2022-10-13,333,75,4,180
2022-10-14,383,13,4,232
2022-10-15,437,75,7,241
2022-10-16,460,-13,3,277
2022-10-17,423,22,3,224
2022-10-18,420,56,3,229
2022-10-19,419,79,2,239
2022-10-20,384,94,6,210
2022-10-21,357,43,2,200
2022-10-22,349,39,5,212
2022-10-23,426,-18,4,252
2022-10-24,386,8,7,205
2022-10-25,368,67,5,217
2022-10-26,398,95,5,219
2022-10-27,371,85,6,216
2022-10-28,364,86,6,207
2022-10-29,385,85,7,229
2022-10-30,429,78,3,230
2022-10-31,365,54,7,188
2022-11-01,396,65,1,230
2022-11-02,371,77,4,207
2022-11-03,396,69,3,225
2022-11-04,402,81,4,243
2022-11-05,414,91,4,241
2022-11-06,467,91,0,281
2022-11-07,406,86,4,236
2022-11-08,416,89,6,230
2022-11-09,412,81,4,243
2022-11-10,381,97,7,214
2022-11-11,315,90,4,176
2022-11-12,441,73,6,275
2022-11-13,442,77,4,259
2022-11-14,421,95,4,240
2022-11-15,496,100,3,295
2022-11-16,397,101,3,213
2022-11-17,315,85,2,173
2022-11-18,332,82,4,180
2022-11-19,392,92,6,211
2022-11-20,415,90,4,220
2022-11-21,381,96,3,199
2022-11-22,378,92,2,201
2022-11-23,339,79,8,193
2022-11-24,363,70,6,221
2022-11-25,419,89,3,221
2022-11-26,433,103,2,228
2022-11-27,469,97,3,238
2022-11-28,440,95,6,258
2022-11-29,426,97,4,223
2022-11-30,457,26,3,235
2022-12-01,446,108,2,250
2022-12-02,377,69,1,214
2022-12-03,427,89,3,231
2022-12-04,465,87,2,278
2022-12-05,457,87,4,256
2022-12-06,480,100,4,255
2022-12-07,381,96,3,223
2022-12-08,349,76,2,224
2022-12-09,388,-54,-5,215
2022-12-10,429,238,16,230
2022-12-11,460,93,2,249
2022-12-12,467,87,4,280
2022-12-13,439,102,2,243
2022-12-14,425,103,4,230
2022-12-15,454,102,7,247
2022-12-16,469,103,6,263
2022-12-17,507,92,4,299
2022-12-18,510,103,4,277
2022-12-19,509,98,4,289
2022-12-20,485,121,5,276
2022-12-21,491,111,4,267
2022-12-22,524,118,4,292
2022-12-23,478,105,5,250
2022-12-24,491,108,9,291
2022-12-25,653,107,2,378
2022-12-26,738,154,5,415
2022-12-27,727,155,2,437
2022-12-28,830,177,4,480
2022-12-29,770,189,7,428
2022-12-30,883,190,5,502
2022-12-31,1039,259,6,551
2023-01-01,1738,313,6,943
2023-01-02,1578,423,11,870
2023-01-03,1212,333,7,672
2023-01-04,965,253,8,558
2023-01-05,927,159,11,528
2023-01-06,850,177,10,487
2023-01-07,874,197,5,509
2023-01-08,905,182,8,500
2023-01-09,731,181,6,367
2023-01-10,766,197,9,394
2023-01-11,655,121,6,353
2023-01-12,743,76,7,421
2023-01-13,622,62,8,324
2023-01-14,706,167,6,401
2023-01-15,683,142,6,351
2023-01-16,672,156,11,376
2023-01-17,598,134,8,326
2023-01-18,605,140,7,295
2023-01-19,598,112,10,335
2023-01-20,500,147,10,310
2023-01-21,604,109,6,313
2023-01-22,642,172,10,341
2023-01-23,604,125,7,339
2023-01-24,633,130,7,320
2023-01-25,608,131,11,331
2023-01-26,518,133,9,276
2023-01-27,458,110,5,235
2023-01-28,532,114,7,272
2023-01-29,626,124,2,337
2023-01-30,508,132,8,308
2023-01-31,611,141,10,285
