date,added,ratings,reviews,to-read
2022-08-16,270,113,5,77
2022-08-17,283,121,8,81
2022-08-18,211,103,6,68
2022-08-19,229,98,1,50
2022-08-20,219,82,6,64
2022-08-21,293,98,7,68
2022-08-22,275,112,2,80
2022-08-23,235,118,3,74
2022-08-24,265,89,9,64
2022-08-25,214,109,6,68
2022-08-26,218,79,5,58
2022-08-27,211,83,6,55
2022-08-28,249,67,7,61
2022-08-29,191,4,6,63
2022-08-30,283,104,11,68
2022-08-31,268,100,6,69
2022-09-01,221,80,4,68
2022-09-02,219,89,5,45
2022-09-03,213,76,3,57
2022-09-04,251,110,4,56
2022-09-05,236,100,7,77
2022-09-06,278,61,11,75
2022-09-07,251,120,7,64
2022-09-08,207,70,11,62
2022-09-09,235,71,4,68
2022-09-10,238,92,4,68
2022-09-11,226,91,5,68
2022-09-12,236,99,2,74
2022-09-13,236,97,5,76
2022-09-14,235,78,7,66
2022-09-15,185,81,5,62
2022-09-16,202,75,3,62
2022-09-17,198,74,3,60
2022-09-18,227,83,4,74
2022-09-19,231,81,3,71
2022-09-20,198,109,7,55
2022-09-21,185,99,3,50
2022-09-22,201,88,3,53
2022-09-23,220,-4,2,69
2022-09-24,212,80,6,66
2022-09-25,236,88,8,72
2022-09-26,183,11,2,57
2022-09-27,250,-39,3,66
2022-09-28,223,-93,1,64
2022-09-29,224,-112,6,61
2022-09-30,223,80,4,56
2022-10-01,261,112,3,68
2022-10-02,256,44,12,53
2022-10-03,229,41,4,59
2022-10-04,223,83,8,62
2022-10-05,187,77,5,52
2022-10-06,208,88,2,58
2022-10-07,210,80,6,53
2022-10-08,191,74,4,52
2022-10-09,235,36,0,58
2022-10-10,213,85,4,50
2022-10-11,224,73,1,64
2022-10-12,205,26,4,58
2022-10-13,178,63,1,64
2022-10-14,182,-79,1,50
2022-10-15,221,54,5,58
2022-10-16,254,-76,9,76
2022-10-17,231,-47,8,54
2022-10-18,193,42,3,59
2022-10-19,233,92,6,75
2022-10-20,187,69,5,50
2022-10-21,221,44,4,43
2022-10-22,217,34,4,66
2022-10-23,231,-160,7,79
2022-10-24,213,-141,8,61
2022-10-25,181,-74,2,65
2022-10-26,156,77,8,54
2022-10-27,194,77,7,46
2022-10-28,156,65,6,53
2022-10-29,168,67,7,48
2022-10-30,208,54,5,52
2022-10-31,175,4,3,42
2022-11-01,194,79,5,48
2022-11-02,206,83,3,60
2022-11-03,214,36,2,56
2022-11-04,191,88,9,57
2022-11-05,228,85,4,74
2022-11-06,280,109,9,75
2022-11-07,239,91,7,61
2022-11-08,227,72,7,69
2022-11-09,241,105,9,65
2022-11-10,152,52,1,45
2022-11-11,182,76,6,61
2022-11-12,196,58,1,58
2022-11-13,263,82,6,70
2022-11-14,229,90,9,73
2022-11-15,265,81,2,75
2022-11-16,264,100,7,70
2022-11-17,183,75,5,53
2022-11-18,212,77,3,59
2022-11-19,235,68,7,66
2022-11-20,255,84,9,73
2022-11-21,211,73,4,63
2022-11-22,210,72,5,56
2022-11-23,172,64,2,50
2022-11-24,173,68,4,40
2022-11-25,211,72,5,53
2022-11-26,250,99,3,68
2022-11-27,290,101,8,75
2022-11-28,257,103,6,63
2022-11-29,216,96,9,75
2022-11-30,231,86,2,52
2022-12-01,229,78,11,58
2022-12-02,226,95,6,57
2022-12-03,259,75,1,79
2022-12-04,277,88,1,77
2022-12-05,246,83,11,64
2022-12-06,253,85,4,64
2022-12-07,180,83,4,58
2022-12-08,175,90,5,52
2022-12-09,195,52,2,57
2022-12-10,248,81,1,75
2022-12-11,251,82,3,60
2022-12-12,219,80,4,61
2022-12-13,228,91,7,67
2022-12-14,234,112,3,57
2022-12-15,238,83,6,55
2022-12-16,213,93,6,56
2022-12-17,261,90,5,68
2022-12-18,308,116,6,94
2022-12-19,283,134,8,84
2022-12-20,283,144,4,85
2022-12-21,310,139,3,77
2022-12-22,341,140,4,93
2022-12-23,319,143,6,79
2022-12-24,285,152,5,72
2022-12-25,352,58,3,114
2022-12-26,406,166,9,113
2022-12-27,440,132,8,117
2022-12-28,465,200,14,132
2022-12-29,379,189,7,105
2022-12-30,496,183,10,109
2022-12-31,540,283,14,122
2023-01-01,908,302,9,268
2023-01-02,846,423,5,220
2023-01-03,681,306,14,196
2023-01-04,502,248,10,154
2023-01-05,495,193,5,124
2023-01-06,414,168,8,122
2023-01-07,446,170,11,119
2023-01-08,439,184,8,102
2023-01-09,422,172,5,111
2023-01-10,404,145,3,105
2023-01-11,326,156,12,92
2023-01-12,366,33,8,105
2023-01-13,328,0,10,92
2023-01-14,333,127,8,103
2023-01-15,413,153,13,123
2023-01-16,363,148,13,88
2023-01-17,313,139,6,77
2023-01-18,327,112,8,72
2023-01-19,230,103,4,74
2023-01-20,266,114,8,76
2023-01-21,322,107,4,89
2023-01-22,389,135,6,97
2023-01-23,360,109,7,93
2023-01-24,353,134,17,105
2023-01-25,344,108,3,93
2023-01-26,287,113,11,83
2023-01-27,326,101,9,106
2023-01-28,338,123,14,90
2023-01-29,370,111,10,98
2023-01-30,280,149,9,82
2023-01-31,295,124,15,80
