Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
3682,A Great and Terrible Beauty,honestly mem,94,57,1,"October 16, 2007","A Great and Terrible Beauty is neither great nor beautiful, though it is indeed -- wait for it! -- terrible.The characters are simple and one-dimensional, their actions both petty and selfish. I find it difficult to believe any one of the four girls at the heart of the story cared for one another, much less anyone else. The story meanders, often digressing into lengthy passages that do little if anything to advance the characters or the story. As the story progresses, drawing to its predictable and dissatisfying conclusion, it becomes clear that Ms Bray has mistaken style for subtance and that her prose is not stylish enough to support this belief.Most offensive, however, is the racial and sexual content within the book. The male lead (a young man from India) is sexualized and fetishized for his ""exotic"" appearance and culture; other Indian characters are shown as either submissive or violent. The Romani people wandering the schoolgrounds suffer from even greater stereotyping: the men are portrayed as slovenly, ignorant, and sexually aggressive towards the white schoolgirls; the women are docile and suitably mystical. Her treatment of the female characters is also questionable. Though these Victorian girls wander about with decidedly un-Victorian sensibilities and though Ms Bray makes a weak attempt to decry the injustices of a society so quick to condemn the expression of feminine sexuality, the story itself does not support this modern take on the Victorian era. The girls submit to their male counterparts or pine helplessly from a distance. Sexual and romantic relationships between men and women often contain obvious and disturbing power imbalances (or violent undertones). The relationship between the four girls is emotionally shallow and deeply petty, motivated by mutual dislike and composed of backstabbing and bullying tactics. And though Ms Bray is quick to condemn the indignities and horrors of an arranged marriage, she is also quick to condemn her protagonists when they dare to act instead of react. It's a confusing mix of self-righteous pulpit pounding and misogyny, with the end result being I wanted to put my fist through the admittedly lovely and eyecatching cover.My one relief is that I had the sense to borrow this from the library instead of buying it outright. I do not recommend it.",425,87
3682,A Great and Terrible Beauty,Jennie,323,72,5,"June 1, 2015","This book is what it is: a young adult novel.That said, it's a very good one. You can read the summary on the book's page, so I won't go into that here.I loved the juxtaposition of Victorian England, colonial India, and the fairy world. The protagonist doesn't belong in any of them, and she recognizes that, which sets up the whole story: the outsider tries to find her niche.I didn't care for any of the other main characters, mostly because I felt that the protagonist, Gemma, was treading on thin ice by being friends with them. I liked Gemma - I've read reviews that said she was selfish, angry, and petty, and she can be - but what sixteen-year-old isn't? The friendship between Gemma and the other three girls is based on a desire for freedom as well as the tenuous sharing of secrets - I don't think the girls were ever meant to appear as the best of friends, even on a good day, so the reviews that criticize the friendship being shallow puzzle me. (I mean...well, yeah, right?)I thought the story flowed really well and had enough twists and turns to keep me guessing - it's also a really quick read and I was sorry when it ended as soon as it did. The visits to the fairy realm were really a delight to read - pure escapism for the characters as well as the reader. And not without a dark edge.Finally, it was a little racy, which I thought was pretty awesome for a YA novel. It's hard to write a teenage sexual awakening while so much other stuff is going on, especially without being sordid, cheesy, or flowery. Bray does this really well - and the male love interest is your typical aloof, charming, vaguely dangerous, devastatingly hot, man-of-few-words character. I can hear the swoons of teenage girls everywhere. Hell, even I sighed once or twice.I'm definitely looking forward to reading the next two books in this series.",208,8
3682,A Great and Terrible Beauty,Emily May,"1,921",29000,4,"March 30, 2012","
  
I don't know why for so long I just assumed I wouldn't like historical fiction, it's not as if I don't love history - I picked it for one of my A levels in college. But, I guess it's just one of those genres that sounds tedious and you imagine it to be all oppressed sexuality and prim and properness. Diana Gabaldon forever changed my mind with her oversexed and aggressive depiction of history and it was only a matter of time before I looked towards other works of historical fiction.This book is both everything I expected and also everything I didn't expect. It's set for the most part in a boarding school for educating girls in the art of being 'ladies', or in other words: wives. The girls were expected to be reserved, polite and, most importantly, beautiful. This I was prepared for. I was also prepared for the customs, superstitions and blatant sexism of the times. However, it never occurred to me that this novel would be simply a 19th century take on a modern school. There's gossiping, bitchiness and bullying of those who are different (in this case, from a lower class).It's a good dose of chick lit as well as a historical book. And that's before we've even gotten to the whole magic/fantasy aspect. This novel completely transcends genres and does it well. I didn't see the whole other-realm mysticality thing coming but I loved it. The gypsies are awesome as well, we have crazy gypsies, fake fortune-telling I-speak-with-dead-people gypsies, sexy gypsies (don't believe the rumours, 19th century girls didn't just lie back and think of England). And that's another thing I liked: the exploration of the girls' sexualities behind closed doors. It may not be the most reliable source, the book was written in modern times, but it's easy to imagine that beneath the surface of Victorian society's repressed sexuality, girls probably did talk about 'having' thousands of men: Earls, Dukes, Barons, Princes... Anyway, lost myself on a smutty tangent. I was saying that I liked the idea of weaving fantasy into history, I'm all for spicing up times gone by.I didn't give it 5 stars because it wasn't quite up there with my other 5 star rated books. I liked it, I loved the many different elements that made the novel hard to categorise and I liked the characters. I always like it when things aren't just as simple as ""she's a bitch"" and ""she's a freak"" in any kind of genre. I liked how, even though Gemma lost her mother at the beginning, the relationship was still built up throughout. I liked that the protagonist wasn't a pushover, even more so because the novel setting was in a very sexist society. And I love anything with dreams and/or visions.",142,7
3682,A Great and Terrible Beauty,Melanie,"1,147",97700,1,"October 22, 2017","Buddy Read with some amazing ladies and a traveling book, hosted by Julie over at Pages and Pens! ❤A Great and Terrible Beauty is exactly why I am scared to read earlier decade(s) published novels that I remember were super hyped and popular. This also reads just like an early 2000s novel, with all the problematic content being there. The basic premise of this book is a young girl named Gemma Doyle, is whisked away to a London boarding school after the death of her mother. Before her mother’s death, she is given a necklace and she is forced to realize that she is way more important and special than she ever thought! She’s the hero that can heal the realms and save the world! Then, at the boarding school that is meant to turn these girls into desirable young ladies to be married off, Gemma falls into a group with three other girls. Basically, the four girls start out like the cast of Mean Girls (Gemma = Cady, Felicity = Regina, Pippa = Gretchen, Ann = Karen) and events quickly escalate to them becoming the cast of The Craft (Gemma = Sarah, Felicity = Nancy, Pippa = Rochelle, Ann = Bonnie). Also, let the record state that I absolutely love Mean Girls and The Craft and this book is lesser in every single aspect, but the parallels are there. This book is extremely racist and homophobic, but it’s painted in a way that says, “This is just how it was back in 1895!” and it feels extremely bad to read. And even though this is supposed to be a book about four friends coming together and forming a secret order, I feel like the term friends should be used very loosely. There is so much catty girl hate in this book, that I truly believe my younger self would have hated this just as much in 2005 if I read it.And the fat shaming is constant. It actually grosses me out to think about how many people read this book, read all these terrible and hurtful passages vilifying girls because they aren’t stick thin, and thought this book was okay. And how this book handles self-harm is always disgusting. Also, to touch upon the racism more, the male love interest is from India and is constantly fetishized for being not white. His exoticness is constantly brought up and Gemma is shamed by herself and her peers for liking him. Also, the word G*psy is used constantly, and the Romani people in general are one big stereotype that is painful to read. There are also a ton of misogynistic comments, but the book tries to battle those a bit. I’ve had many people tell me that Libba Bray is a feminist writer, but this is the perfect example of what white feminism looks like. Like, this was a fucking mess. And a late 1800s setting doesn’t excuse it. Trigger warnings for self-harm, suicide, murder, animal cruelty, substance abuse and everything offensive under the sun. As for positive things I can say, I will say that this was an extremely fast read! Even with this being 400 pages, I read this quickly within two days. And each chapter does end in a way that makes you want to read more. I also really enjoyed the atmosphere of this book, especially during the Halloween season. It’s a super old and creepy boarding school, with mysteries and magic surrounding it constantly! I mean, the setting was eerie and amazing. And even though nothing much happens until the last 100 pages, this book still feels spooky.This is just my personal opinion, and I hope you all will respect that. Also, if this is one of your favorite books then I am happy you found enjoyment from it. Overall, for me, I was super disappointed to read this. Especially because this was my first time participating in a traveling book club! But it is what it is, and I will never support a book with this much problematic and offensive content, regardless the year it was published. This book should just be renamed to A Terrible Gemma Doyle. Blog | Twitter | Tumblr | Instagram | Youtube | Twitch ",122,12
3682,A Great and Terrible Beauty,Joyzi,340,424,5,"December 25, 2010","Shall I tell you a story? A new and terrible one? A ghost story?Are you ready?Shall I begin? Once upon a time there were four girls. One was pretty.One was clever.One charming, and one…One was mysterious. But they were all damaged, you see. Something not right about the lot of them. Bad blood. Big dreams. Oh, I left that part out. Sorry, that should have come before. They were all dreamers, these girls.One by one, night after night,the girls came together. And they sinned. Do you know what that sin was? Their sin was that they believed. Believed they could be different. Special. They believed they could change what they were—damaged, unloved.Cast-off things. They would be alive, adored,needed. Necessary. But it wasn't true. This is a ghost story, remember? A tragedy.They were misled. Betrayed by their own stupid hopes. Things couldn't be different for them, because they weren't special after all. So life took them, led them, and they went along, you see?They faded before their own eyes, till they were nothing more than living ghosts, haunting each other with what could be. What can't be.There, now. Isn't that the scariest story you've ever heard?",96,27
3682,A Great and Terrible Beauty,Hailey (Hailey in Bookland),599,86900,4,"October 1, 2015","4.5*Libba Bray never seems to disappoint and this was no exception! I really loved this one! I love the time period and all the witchiness and the characters were awesome, it was great!",79,2
3682,A Great and Terrible Beauty,Drew,445,504,4,"December 14, 2016","
  “Don’t you ever speak to me that way again,” I snarl. “I am no longer content to be the scared, obedient schoolgirl. Who are you, a stranger, to tell me what I can and cannot do?”
Wow, this was such a pleasant surprise. If you don't know, The Diviners by Libba Bray is one of my favorite books ever. So you can imagine I had my doubts that a book written many years earlier by the author would live up to it.But A Great and Terrible Beauty was just so good. I shouldn't have doubted Ms. Bray. It had so many great things going for it, with the Victorian setting, mysterious death of the main character's mother, supernatural elements, and rebellious, lovable narrator, Gemma Doyle.Seriously, this book was too much fun, while also taking a look at more serious historical facts, such as how many young girls were bred to be the wives of rich men during this time - even if the men were thirty years older. Gemma was a fantastic narrator; she grew up in India until her mother's sudden death forced her to come to England and attend a young ladies' boarding school.At Spence Academy Gemma befriends three girls and they start their own secret club, but when Gemma finds out she possess supernatural powers from her mother, it changes everything.The writing was wonderful; the friendships between the well-developed characters Gemma, Felicity, Pippa, and Ann were hilarious and sometimes vicious in the way that teenage girls can be. They were expected to behave like proper ladies, but these wild girls were the complete opposite and were desperate to escape constricting corsets, French lessons, and everyone telling them what not to do.I became so absorbed in this world - the Victorian era felt like something supernatural in itself, with the claustrophobic rules of Spence Academy. Gemma's mysterious family legacy, the strange boy who kept showing up in her bedroom, and the diary of a dead girl she discovered drove the plot until I felt like I was living in it. I just love when stories do that - when I become so invested in them they seem to come to life, and for a short while I'm a part of that world.A gothic, Victorian paranormal that focused on a young woman during a time where she didn't seem to fit into the social rules. It was a fun, clever, and female empowering story.
  “I think I’m beginning to understand why those ancient women had to hide in caves. Why our parents and teachers and suitors want us to behave properly and predictably. It’s not that they want to protect us; it’s that they fear us.”
",57,7
3682,A Great and Terrible Beauty,Whitney Atkinson,903,13700,4,"April 29, 2015","3.75 starsI went into this book knowing nothing about it except that it possibly had something to do with witches (which in the end was incorrect). I love that this is both historical and has magical elements, especially set at a boarding school, because the aesthetic and the setting of the book was really neat. I also love that despite the time, Gemma is a feminist and has a lot of confidence. However, I had more problems with this book than I have praise. I felt like Gemma was very gullible and foolish in her decision-making, something that made me shake my head the entire book. Additionally, I was having a hard time getting into this because for some reason I kept getting bored and picking up other things. I loved Libba Bray's writing style, though, so I can't wait to pick up her other books and maybe one day continue on with this series, but at this point I'm not sure.(sorry to all my really good friends that love this book. :c)",50,2
3682,A Great and Terrible Beauty,Trina (Between Chapters),852,3760,2,"April 29, 2016","Series review video: https://www.youtube.com/watch?v=a2qPN...Update 3 months after reading: I'm lowering my rating from 3.5 to 2.5 stars. I've finished the series and in books 2 and 3 I saw a few things to be problematic. I don't know why I suddenly picked up on them, but in hindsight I realize that at least 2 things were present in the first book also: the constant fat shaming of Ann, and the element of self harm that is not approached in any significant or respectful way. As they were never fixed or redeemed in the series, I cannot respect that they were included in the first place. Overall, I would give this series a 1 star rating. The plot was unenjoyable, and the characters ended up being extremely problematic.Original review:  Great girl power and unusual magic. Loved the characters, loved the lack of actual romance (some vivid kissy dreams though!). Although the plot meandered at times, this is only the start of a trilogy and I felt it was just laying the groundwork for bigger things to come. Gemma's discovery of this world had to start somewhere.",47,N/A
3682,A Great and Terrible Beauty,Maura,34,27,1,"February 24, 2008","This is a young adult book, so I tried really hard to take that into consideration when judging it, but there are so many other, well-done kid/teen books out there that I feel OK about occasionally trashing one.It basically follows the same overdone storyline we've all seen way too many times: boarding school kids whose parents don't want them discover they have magical powers, and they go through the whole 'magic for good versus magic for evil' struggle. This one didn't work because there was nothing new or imaginative about the story, and the whole book just felt... well, ""flat"" is the first word that comes to mind. The story was frustratingly predictable, the characters one-dimensional, and the writing drab. I appreciate that the author was trying to encourage a bit of feminist thinking by showing how repressive the Victorian era was for young women, but I think the best way she could have had a positive influence on young readers would be by having a strong protagonist. Instead, the main character is just as annoyingly angsty and self-conscious as all the other angsty teenagers in the book.",40,3
3682,A Great and Terrible Beauty,Nicky,"4,138",1003,1,"August 16, 2011","I got most of the way through this, and then found that I just didn't care. I didn't care about the characters, the plot moved in fits and starts, the romance/tension/whatever it was supposed to be, with Kartik, just felt pasted on... In conclusion, I basically ran out of give-a-damn.The writing is competent, in that it's all easy enough to read and understand, but given that the main character's voice wasn't convincing, even though she's the narrator, and the pacing felt jerky, the characters unsympathetic, etc, etc, I can't find myself recommending it. It wasn't completely terrible for me to read -- I didn't want to throw it across the room -- but honestly, I couldn't see where people get four and five star ratings for it from. I won't be reading anything else by Libba Bray any time soon.",40,9
3682,A Great and Terrible Beauty,Kirsty,475,74,5,"August 10, 2008","I picked this up after a friend kept talking about it in a GR group I belong to. I'm really glad I did pick it up. I was sucked into the book from page 1. The author definitely has a way with words... She painted such a vivid image of the surroundings that I felt as though I was there with the characters in the book.The plot moves very well, and there were a number of 'cliffhangers' which kept me turning the pages. There was a nice mixture of fantasy and realism, that made for a great read.I liked the main character, Gemma. She felt very real and I could relate to her more than I have done with main characters in other books. I liked the friendship she built with the other girls (especially Felicity), even though at first they didn't get on at all.I liked how the character of Kartik was woven into the plot, and I felt that the author had a good understanding of the feelings that girls of Gemma's age felt - especially in the dream sequences. A really great read, and I will definitely be picking up the other books in the trilogy.",38,2
