Title,URL
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
"The Hobbit (The Lord of the Rings, #0)",https://www.goodreads.com/book/show/5907.The_Hobbit
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
"A Game of Thrones (A Song of Ice and Fire, #1)",https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
"The Fellowship of the Ring (The Lord of the Rings, #1)",https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
"A Clash of Kings  (A Song of Ice and Fire, #2)",https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
"The Name of the Wind (The Kingkiller Chronicle, #1)",https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
"The Two Towers (The Lord of the Rings, #2)",https://www.goodreads.com/book/show/61215372-the-two-towers
"The Return of the King (The Lord of the Rings, #3)",https://www.goodreads.com/book/show/61215384-the-return-of-the-king
"The Final Empire (Mistborn, #1)",https://www.goodreads.com/book/show/68428.The_Final_Empire
"Six of Crows (Six of Crows, #1)",https://www.goodreads.com/book/show/23437156-six-of-crows
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses
"A Storm of Swords (A Song of Ice and Fire, #3)",https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://www.goodreads.com/book/show/28187.The_Lightning_Thief
"A Feast for Crows (A Song of Ice and Fire, #4)",https://www.goodreads.com/book/show/13497.A_Feast_for_Crows
"The Golden Compass (His Dark Materials, #1)",https://www.goodreads.com/book/show/119322.The_Golden_Compass
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",https://www.goodreads.com/book/show/10194157-shadow-and-bone
"Eragon (The Inheritance Cycle, #1)",https://www.goodreads.com/book/show/113436.Eragon
"Throne of Glass (Throne of Glass, #1)",https://www.goodreads.com/book/show/76703559-throne-of-glass
"A Dance with Dragons (A Song of Ice and Fire, #5)",https://www.goodreads.com/book/show/10664113-a-dance-with-dragons
"American Gods (American Gods, #1)",https://www.goodreads.com/book/show/30165203-american-gods
The Night Circus,https://www.goodreads.com/book/show/9361589-the-night-circus
"City of Bones (The Mortal Instruments, #1)",https://www.goodreads.com/book/show/256683.City_of_Bones
"The Cruel Prince (The Folk of the Air, #1)",https://www.goodreads.com/book/show/26032825-the-cruel-prince
"Twilight (The Twilight Saga, #1)",https://www.goodreads.com/book/show/41865.Twilight
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury
"A Darker Shade of Magic (Shades of Magic, #1)",https://www.goodreads.com/book/show/22055262-a-darker-shade-of-magic
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",https://www.goodreads.com/book/show/12067.Good_Omens
"The Way of Kings (The Stormlight Archive, #1)",https://www.goodreads.com/book/show/7235533-the-way-of-kings
Stardust,https://www.goodreads.com/book/show/16793.Stardust
"Neverwhere (London Below, #1)",https://www.goodreads.com/book/show/14497.Neverwhere
"Crooked Kingdom (Six of Crows, #2)",https://www.goodreads.com/book/show/22299763-crooked-kingdom
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear
The Lord of the Rings,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters
