date,added,ratings,reviews,to-read
2022-08-16,356,133,5,113
2022-08-17,381,127,6,91
2022-08-18,320,145,4,90
2022-08-19,299,94,4,83
2022-08-20,327,96,0,89
2022-08-21,401,116,3,142
2022-08-22,472,107,2,169
2022-08-23,500,131,4,175
2022-08-24,438,133,2,155
2022-08-25,359,112,4,145
2022-08-26,376,111,7,117
2022-08-27,379,112,1,122
2022-08-28,479,123,4,162
2022-08-29,455,43,3,146
2022-08-30,490,110,1,161
2022-08-31,471,128,4,169
2022-09-01,402,110,4,120
2022-09-02,341,84,3,119
2022-09-03,372,79,2,139
2022-09-04,448,134,0,138
2022-09-05,516,142,5,153
2022-09-06,421,92,2,164
2022-09-07,444,130,2,130
2022-09-08,374,100,3,128
2022-09-09,364,97,3,126
2022-09-10,368,111,5,122
2022-09-11,331,101,6,131
2022-09-12,388,105,0,127
2022-09-13,369,109,0,122
2022-09-14,390,108,4,144
2022-09-15,300,125,0,106
2022-09-16,336,105,5,113
2022-09-17,373,111,7,118
2022-09-18,424,129,2,132
2022-09-19,405,129,6,128
2022-09-20,366,145,5,138
2022-09-21,344,133,7,119
2022-09-22,383,132,3,112
2022-09-23,349,71,3,86
2022-09-24,327,117,1,85
2022-09-25,353,100,1,118
2022-09-26,333,30,1,125
2022-09-27,417,22,5,135
2022-09-28,392,-32,1,117
2022-09-29,338,-31,2,100
2022-09-30,321,113,2,91
2022-10-01,354,105,4,126
2022-10-02,381,21,2,125
2022-10-03,354,48,6,107
2022-10-04,382,103,5,118
2022-10-05,287,109,4,107
2022-10-06,343,112,0,94
2022-10-07,296,90,5,82
2022-10-08,319,98,3,89
2022-10-09,367,73,4,104
2022-10-10,406,100,3,135
2022-10-11,426,95,4,142
2022-10-12,323,38,3,112
2022-10-13,287,88,7,114
2022-10-14,301,-11,3,99
2022-10-15,319,66,4,109
2022-10-16,396,-16,4,120
2022-10-17,369,-23,4,115
2022-10-18,366,71,6,122
2022-10-19,349,95,6,108
2022-10-20,354,98,4,113
2022-10-21,298,62,2,95
2022-10-22,329,60,6,102
2022-10-23,426,-66,3,167
2022-10-24,444,-48,4,187
2022-10-25,387,13,5,186
2022-10-26,380,104,1,151
2022-10-27,373,110,2,115
2022-10-28,352,101,6,116
2022-10-29,368,89,4,136
2022-10-30,414,99,2,141
2022-10-31,372,71,5,109
2022-11-01,431,114,6,132
2022-11-02,353,116,1,120
2022-11-03,366,89,1,118
2022-11-04,350,102,0,106
2022-11-05,336,94,4,105
2022-11-06,403,121,3,122
2022-11-07,371,110,6,109
2022-11-08,362,108,3,123
2022-11-09,388,109,3,117
2022-11-10,364,120,3,95
2022-11-11,323,108,4,97
2022-11-12,329,103,4,106
2022-11-13,393,90,2,105
2022-11-14,376,135,4,97
2022-11-15,378,101,4,111
2022-11-16,380,112,5,86
2022-11-17,269,98,4,86
2022-11-18,320,101,1,81
2022-11-19,345,121,1,89
2022-11-20,373,88,1,103
2022-11-21,256,111,4,84
2022-11-22,346,91,5,92
2022-11-23,329,116,1,89
2022-11-24,260,86,2,63
2022-11-25,318,103,5,92
2022-11-26,331,82,8,106
2022-11-27,413,128,5,112
2022-11-28,401,119,6,111
2022-11-29,370,137,2,90
2022-11-30,393,106,6,104
2022-12-01,349,144,4,79
2022-12-02,355,108,4,95
2022-12-03,316,108,0,93
2022-12-04,372,104,3,92
2022-12-05,392,113,5,120
2022-12-06,368,121,3,92
2022-12-07,267,108,4,86
2022-12-08,273,106,5,77
2022-12-09,286,82,4,80
2022-12-10,336,94,1,89
2022-12-11,393,110,5,100
2022-12-12,350,104,7,85
2022-12-13,361,128,6,80
2022-12-14,326,99,2,86
2022-12-15,364,137,2,92
2022-12-16,372,142,9,110
2022-12-17,420,139,1,113
2022-12-18,445,123,4,125
2022-12-19,374,118,6,92
2022-12-20,305,129,6,110
2022-12-21,404,97,4,130
2022-12-22,418,131,2,120
2022-12-23,369,107,8,108
2022-12-24,366,137,4,95
2022-12-25,534,146,2,175
2022-12-26,578,170,2,203
2022-12-27,659,199,4,203
2022-12-28,698,247,7,212
2022-12-29,573,204,5,210
2022-12-30,759,227,1,212
2022-12-31,848,240,7,235
2023-01-01,1365,271,4,460
2023-01-02,1330,447,9,429
2023-01-03,1124,375,11,340
2023-01-04,758,304,6,268
2023-01-05,814,221,8,259
2023-01-06,704,208,4,220
2023-01-07,713,193,13,222
2023-01-08,821,235,5,256
2023-01-09,707,220,5,179
2023-01-10,667,195,9,198
2023-01-11,503,208,7,168
2023-01-12,637,102,4,194
2023-01-13,511,91,5,155
2023-01-14,568,155,1,179
2023-01-15,605,168,1,166
2023-01-16,578,144,7,163
2023-01-17,498,144,1,140
2023-01-18,544,160,10,155
2023-01-19,516,140,6,154
2023-01-20,368,139,5,118
2023-01-21,469,135,6,137
2023-01-22,588,159,5,137
2023-01-23,532,181,7,151
2023-01-24,533,161,8,150
2023-01-25,544,166,6,132
2023-01-26,454,173,4,102
2023-01-27,429,143,6,108
2023-01-28,509,137,9,143
2023-01-29,561,191,6,145
2023-01-30,365,162,6,105
2023-01-31,389,140,5,109
