date,added,ratings,reviews,to-read
2022-08-16,89,42,1,25
2022-08-17,141,44,4,28
2022-08-18,79,46,1,25
2022-08-19,115,40,3,23
2022-08-20,90,36,3,22
2022-08-21,79,44,3,16
2022-08-22,116,46,3,34
2022-08-23,122,37,1,24
2022-08-24,113,41,5,22
2022-08-25,58,31,1,17
2022-08-26,111,32,0,23
2022-08-27,106,38,1,21
2022-08-28,112,27,1,25
2022-08-29,125,18,3,16
2022-08-30,117,40,3,26
2022-08-31,135,36,3,28
2022-09-01,105,36,3,28
2022-09-02,91,26,0,23
2022-09-03,99,23,2,27
2022-09-04,126,37,1,25
2022-09-05,139,51,0,25
2022-09-06,132,20,1,39
2022-09-07,122,38,3,32
2022-09-08,132,44,3,28
2022-09-09,90,34,2,16
2022-09-10,97,25,0,19
2022-09-11,72,34,1,19
2022-09-12,121,41,2,23
2022-09-13,108,39,1,22
2022-09-14,74,34,2,21
2022-09-15,73,38,2,23
2022-09-16,100,40,3,23
2022-09-17,91,26,2,24
2022-09-18,124,37,2,24
2022-09-19,111,41,0,22
2022-09-20,84,33,0,26
2022-09-21,74,39,2,17
2022-09-22,90,26,0,20
2022-09-23,77,38,2,14
2022-09-24,78,23,5,19
2022-09-25,100,45,2,23
2022-09-26,86,14,0,19
2022-09-27,109,-6,1,24
2022-09-28,119,-48,0,28
2022-09-29,102,-20,0,18
2022-09-30,97,36,1,27
2022-10-01,87,30,1,17
2022-10-02,93,13,1,14
2022-10-03,93,6,1,23
2022-10-04,106,38,2,20
2022-10-05,64,42,2,12
2022-10-06,73,28,4,11
2022-10-07,80,29,2,18
2022-10-08,84,31,2,26
2022-10-09,101,11,0,27
2022-10-10,98,41,2,19
2022-10-11,122,39,3,32
2022-10-12,82,4,1,22
2022-10-13,72,27,1,23
2022-10-14,76,-15,0,16
2022-10-15,82,30,1,16
2022-10-16,103,-25,3,23
2022-10-17,102,-36,1,23
2022-10-18,104,14,1,24
2022-10-19,89,29,1,15
2022-10-20,69,37,2,14
2022-10-21,78,22,1,13
2022-10-22,83,15,1,10
2022-10-23,107,-57,2,23
2022-10-24,102,-47,0,26
2022-10-25,72,-31,0,23
2022-10-26,80,31,2,22
2022-10-27,74,40,2,11
2022-10-28,89,19,2,24
2022-10-29,86,30,2,23
2022-10-30,93,31,1,27
2022-10-31,101,25,0,24
2022-11-01,119,51,1,24
2022-11-02,93,37,0,16
2022-11-03,77,21,2,27
2022-11-04,79,22,0,23
2022-11-05,80,21,0,18
2022-11-06,101,33,2,24
2022-11-07,97,48,1,30
2022-11-08,109,33,0,21
2022-11-09,89,21,0,24
2022-11-10,54,29,1,15
2022-11-11,80,28,1,21
2022-11-12,84,23,0,19
2022-11-13,102,36,2,28
2022-11-14,98,30,1,27
2022-11-15,102,30,-1,20
2022-11-16,96,29,1,12
2022-11-17,54,38,0,16
2022-11-18,74,22,2,21
2022-11-19,75,25,0,19
2022-11-20,85,33,1,14
2022-11-21,94,32,0,24
2022-11-22,102,43,3,21
2022-11-23,90,35,2,14
2022-11-24,66,18,2,16
2022-11-25,86,28,2,18
2022-11-26,92,30,3,28
2022-11-27,109,27,0,27
2022-11-28,97,32,3,23
2022-11-29,85,35,2,23
2022-11-30,112,17,0,27
2022-12-01,94,41,1,20
2022-12-02,93,32,0,24
2022-12-03,92,27,2,21
2022-12-04,119,39,1,30
2022-12-05,117,34,1,27
2022-12-06,119,40,3,25
2022-12-07,68,40,1,18
2022-12-08,96,33,3,25
2022-12-09,86,31,1,23
2022-12-10,100,31,2,21
2022-12-11,103,40,1,23
2022-12-12,90,30,1,15
2022-12-13,89,27,3,25
2022-12-14,103,36,1,27
2022-12-15,105,27,2,17
2022-12-16,99,32,1,30
2022-12-17,103,42,2,28
2022-12-18,120,27,0,22
2022-12-19,106,46,2,18
2022-12-20,95,39,2,33
2022-12-21,110,40,1,23
2022-12-22,114,38,3,23
2022-12-23,97,26,3,14
2022-12-24,86,31,1,21
2022-12-25,108,27,0,34
2022-12-26,141,46,0,31
2022-12-27,162,42,2,36
2022-12-28,149,54,3,47
2022-12-29,106,35,2,39
2022-12-30,167,57,4,51
2022-12-31,229,71,1,54
2023-01-01,299,78,2,103
2023-01-02,246,89,2,75
2023-01-03,207,55,1,58
2023-01-04,150,66,0,38
2023-01-05,163,48,4,42
2023-01-06,157,66,2,55
2023-01-07,156,40,2,46
2023-01-08,166,54,4,45
2023-01-09,166,52,3,50
2023-01-10,171,47,3,48
2023-01-11,112,40,2,37
2023-01-12,146,34,0,35
2023-01-13,108,13,2,30
2023-01-14,125,38,3,36
2023-01-15,151,51,3,33
2023-01-16,135,49,4,35
2023-01-17,108,31,2,32
2023-01-18,146,35,4,38
2023-01-19,118,40,1,25
2023-01-20,68,28,1,22
2023-01-21,128,42,3,31
2023-01-22,154,44,4,33
2023-01-23,105,37,2,32
2023-01-24,157,49,0,38
2023-01-25,159,51,2,52
2023-01-26,104,46,2,32
2023-01-27,112,40,1,30
2023-01-28,127,45,3,32
2023-01-29,133,49,1,32
2023-01-30,84,44,2,28
2023-01-31,133,42,1,32
