date,added,ratings,reviews,to-read
2022-08-16,48,14,0,27
2022-08-17,57,10,1,33
2022-08-18,66,17,0,39
2022-08-19,47,13,0,21
2022-08-20,49,17,0,23
2022-08-21,47,21,0,24
2022-08-22,53,13,0,24
2022-08-23,64,12,2,36
2022-08-24,55,2,0,27
2022-08-25,54,3,0,32
2022-08-26,53,8,0,23
2022-08-27,44,7,1,26
2022-08-28,61,0,0,34
2022-08-29,51,-59,0,28
2022-08-30,52,10,1,28
2022-08-31,59,-6,0,28
2022-09-01,40,8,3,20
2022-09-02,40,-3,0,28
2022-09-03,59,9,1,35
2022-09-04,56,3,0,27
2022-09-05,59,29,0,26
2022-09-06,55,-45,1,26
2022-09-07,49,6,0,32
2022-09-08,49,3,0,26
2022-09-09,48,11,0,25
2022-09-10,50,7,0,29
2022-09-11,46,1,0,30
2022-09-12,57,10,1,37
2022-09-13,43,6,0,21
2022-09-14,69,-3,0,43
2022-09-15,45,11,0,25
2022-09-16,55,14,1,29
2022-09-17,59,24,-1,30
2022-09-18,57,7,0,30
2022-09-19,48,4,1,25
2022-09-20,37,12,2,19
2022-09-21,69,16,0,31
2022-09-22,39,14,1,25
2022-09-23,53,-63,4,28
2022-09-24,61,13,0,37
2022-09-25,46,12,1,29
2022-09-26,48,-88,1,25
2022-09-27,52,-122,1,19
2022-09-28,64,-187,4,32
2022-09-29,46,-238,1,24
2022-09-30,37,14,1,21
2022-10-01,48,9,0,26
2022-10-02,45,-60,0,28
2022-10-03,35,-34,1,19
2022-10-04,34,5,0,20
2022-10-05,39,7,1,22
2022-10-06,53,4,0,38
2022-10-07,42,10,2,25
2022-10-08,56,5,1,31
2022-10-09,50,-28,0,25
2022-10-10,49,7,3,26
2022-10-11,40,-3,1,22
2022-10-12,42,-52,2,28
2022-10-13,34,6,1,23
2022-10-14,39,-92,1,27
2022-10-15,40,-5,0,18
2022-10-16,42,-204,0,25
2022-10-17,43,-155,3,24
2022-10-18,50,-39,1,25
2022-10-19,32,10,3,18
2022-10-20,39,6,0,22
2022-10-21,39,-20,0,20
2022-10-22,38,-29,2,18
2022-10-23,40,-289,0,21
2022-10-24,37,-236,1,18
2022-10-25,44,-204,0,27
2022-10-26,34,10,1,19
2022-10-27,40,2,0,24
2022-10-28,34,6,1,22
2022-10-29,34,5,1,25
2022-10-30,47,-18,0,24
2022-10-31,37,-68,1,21
2022-11-01,42,3,0,24
2022-11-02,46,7,0,24
2022-11-03,30,-48,1,17
2022-11-04,35,8,1,20
2022-11-05,38,3,1,24
2022-11-06,60,6,0,35
2022-11-07,50,9,0,33
2022-11-08,53,2,1,34
2022-11-09,52,14,0,25
2022-11-10,35,6,0,23
2022-11-11,55,2,0,35
2022-11-12,42,8,0,23
2022-11-13,34,8,1,17
2022-11-14,49,11,1,34
2022-11-15,48,1,0,27
2022-11-16,34,7,0,13
2022-11-17,25,7,1,15
2022-11-18,34,7,0,15
2022-11-19,35,11,1,16
2022-11-20,35,3,0,20
2022-11-21,31,4,0,19
2022-11-22,47,10,0,28
2022-11-23,33,14,0,16
2022-11-24,44,6,1,22
2022-11-25,43,14,0,22
2022-11-26,46,9,2,27
2022-11-27,54,1,0,34
2022-11-28,60,7,2,33
2022-11-29,48,8,0,30
2022-11-30,50,10,2,19
2022-12-01,44,7,1,24
2022-12-02,44,14,1,28
2022-12-03,44,2,0,24
2022-12-04,43,13,2,24
2022-12-05,50,11,1,28
2022-12-06,42,8,0,25
2022-12-07,44,11,0,22
2022-12-08,37,5,0,23
2022-12-09,50,6,0,30
2022-12-10,32,8,0,20
2022-12-11,65,5,0,39
2022-12-12,35,-1,0,21
2022-12-13,40,8,-1,19
2022-12-14,48,10,0,25
2022-12-15,41,10,1,28
2022-12-16,41,5,1,15
2022-12-17,44,4,1,28
2022-12-18,52,8,0,33
2022-12-19,41,5,2,26
2022-12-20,45,7,1,21
2022-12-21,55,12,0,22
2022-12-22,39,14,0,22
2022-12-23,45,7,-1,24
2022-12-24,43,0,2,29
2022-12-25,65,5,0,46
2022-12-26,46,8,0,17
2022-12-27,66,9,1,27
2022-12-28,77,18,0,32
2022-12-29,70,6,0,39
2022-12-30,114,23,2,56
2022-12-31,92,17,-1,35
2023-01-01,154,6,1,79
2023-01-02,142,21,-1,71
2023-01-03,114,21,0,61
2023-01-04,80,22,0,40
2023-01-05,87,12,0,33
2023-01-06,69,11,0,30
2023-01-07,77,15,2,38
2023-01-08,62,16,3,30
2023-01-09,71,10,2,24
2023-01-10,65,14,2,36
2023-01-11,56,9,1,38
2023-01-12,93,-91,3,31
2023-01-13,71,-141,1,47
2023-01-14,60,4,0,31
2023-01-15,70,13,0,34
2023-01-16,59,4,0,31
2023-01-17,68,15,1,32
2023-01-18,54,-1,0,25
2023-01-19,59,12,1,34
2023-01-20,39,8,2,25
2023-01-21,47,4,0,21
2023-01-22,52,6,1,27
2023-01-23,65,15,0,31
2023-01-24,45,10,0,23
2023-01-25,53,9,0,33
2023-01-26,47,16,2,18
2023-01-27,48,7,1,19
2023-01-28,54,13,0,27
2023-01-29,59,10,1,31
2023-01-30,43,3,1,24
2023-01-31,48,7,0,22
