date,added,ratings,reviews,to-read
2022-08-16,908,314,37,288
2022-08-17,890,306,36,269
2022-08-18,566,299,24,256
2022-08-19,748,268,27,238
2022-08-20,753,264,36,223
2022-08-21,924,277,21,286
2022-08-22,830,299,24,248
2022-08-23,831,327,26,251
2022-08-24,819,273,21,245
2022-08-25,491,283,31,223
2022-08-26,689,224,14,197
2022-08-27,673,218,13,203
2022-08-28,887,283,30,252
2022-08-29,767,293,19,225
2022-08-30,761,292,31,225
2022-08-31,785,250,22,258
2022-09-01,718,226,13,245
2022-09-02,649,227,20,205
2022-09-03,680,259,18,228
2022-09-04,751,234,15,244
2022-09-05,811,237,22,271
2022-09-06,896,274,36,285
2022-09-07,1046,297,33,348
2022-09-08,816,228,10,257
2022-09-09,841,231,14,273
2022-09-10,798,257,25,241
2022-09-11,592,298,29,253
2022-09-12,887,277,23,258
2022-09-13,818,289,23,242
2022-09-14,809,281,26,212
2022-09-15,456,247,9,206
2022-09-16,696,256,18,196
2022-09-17,731,231,26,196
2022-09-18,863,263,27,230
2022-09-19,825,262,16,195
2022-09-20,522,266,22,213
2022-09-21,467,262,14,189
2022-09-22,706,236,19,183
2022-09-23,644,204,18,170
2022-09-24,697,233,21,195
2022-09-25,828,256,28,218
2022-09-26,444,267,24,166
2022-09-27,723,272,19,179
2022-09-28,694,216,17,209
2022-09-29,652,216,20,190
2022-09-30,601,191,20,181
2022-10-01,631,203,16,176
2022-10-02,784,250,20,206
2022-10-03,706,221,17,203
2022-10-04,729,241,18,197
2022-10-05,434,235,17,177
2022-10-06,599,219,12,154
2022-10-07,554,213,18,140
2022-10-08,638,213,22,176
2022-10-09,760,242,16,184
2022-10-10,737,244,21,189
2022-10-11,655,235,18,155
2022-10-12,624,238,25,164
2022-10-13,375,185,11,144
2022-10-14,525,182,13,157
2022-10-15,554,211,14,141
2022-10-16,696,218,14,192
2022-10-17,650,215,13,185
2022-10-18,685,228,11,164
2022-10-19,630,230,17,175
2022-10-20,581,207,18,154
2022-10-21,501,179,17,131
2022-10-22,595,185,5,144
2022-10-23,682,193,16,185
2022-10-24,626,182,18,183
2022-10-25,393,225,14,168
2022-10-26,580,186,14,183
2022-10-27,555,206,11,164
2022-10-28,478,186,16,144
2022-10-29,483,153,16,133
2022-10-30,629,210,12,171
2022-10-31,544,198,14,165
2022-11-01,669,219,16,174
2022-11-02,648,193,17,190
2022-11-03,625,210,18,167
2022-11-04,562,190,14,185
2022-11-05,571,194,16,179
2022-11-06,744,239,13,217
2022-11-07,620,221,20,172
2022-11-08,624,221,19,177
2022-11-09,567,172,17,185
2022-11-10,567,186,13,177
2022-11-11,549,174,11,168
2022-11-12,605,192,11,192
2022-11-13,716,235,15,215
2022-11-14,644,223,17,198
2022-11-15,787,264,18,249
2022-11-16,684,224,18,217
2022-11-17,374,191,14,147
2022-11-18,536,185,12,166
2022-11-19,618,191,12,197
2022-11-20,666,216,8,179
2022-11-21,667,234,14,207
2022-11-22,685,206,8,198
2022-11-23,644,210,14,192
2022-11-24,532,210,17,157
2022-11-25,563,164,10,183
2022-11-26,620,162,10,188
2022-11-27,746,242,14,214
2022-11-28,692,241,14,210
2022-11-29,686,247,10,175
2022-11-30,685,267,12,177
2022-12-01,584,212,13,156
2022-12-02,581,201,16,173
2022-12-03,653,188,11,213
2022-12-04,721,249,17,201
2022-12-05,652,217,18,190
2022-12-06,621,236,12,182
2022-12-07,412,202,8,172
2022-12-08,620,219,9,195
2022-12-09,635,224,12,203
2022-12-10,655,221,16,206
2022-12-11,759,242,21,225
2022-12-12,701,247,14,214
2022-12-13,695,250,19,240
2022-12-14,697,206,17,226
2022-12-15,727,249,9,206
2022-12-16,645,229,8,190
2022-12-17,707,194,15,205
2022-12-18,816,275,20,234
2022-12-19,750,276,20,233
2022-12-20,548,238,24,241
2022-12-21,740,264,21,224
2022-12-22,746,263,21,220
2022-12-23,744,243,9,233
2022-12-24,594,229,13,188
2022-12-25,858,219,11,297
2022-12-26,1171,348,22,407
2022-12-27,1217,375,12,449
2022-12-28,1362,427,23,478
2022-12-29,1004,440,26,428
2022-12-30,1543,503,29,516
2022-12-31,1634,551,35,490
2023-01-01,2772,661,20,1042
2023-01-02,2602,942,35,967
2023-01-03,1987,657,33,720
2023-01-04,1267,538,35,600
2023-01-05,1499,474,24,524
2023-01-06,1315,459,35,434
2023-01-07,1245,414,30,391
2023-01-08,1466,439,33,475
2023-01-09,1343,436,31,464
2023-01-10,1381,432,31,466
2023-01-11,922,410,29,462
2023-01-12,1145,314,31,374
2023-01-13,1081,320,34,373
2023-01-14,1146,317,18,407
2023-01-15,1283,412,34,401
2023-01-16,1216,407,35,393
2023-01-17,1151,406,38,339
2023-01-18,1131,349,16,329
2023-01-19,1051,368,29,331
2023-01-20,631,293,26,308
2023-01-21,1000,305,36,299
2023-01-22,1212,403,32,356
2023-01-23,1080,361,45,338
2023-01-24,1169,385,23,336
2023-01-25,1116,379,38,372
2023-01-26,1005,323,32,319
2023-01-27,979,342,28,302
2023-01-28,1021,321,31,345
2023-01-29,1206,376,30,368
2023-01-30,702,309,25,333
2023-01-31,1176,411,20,330
