date,added,ratings,reviews,to-read
2022-08-16,298,105,5,91
2022-08-17,294,97,9,87
2022-08-18,259,101,0,81
2022-08-19,245,79,3,71
2022-08-20,261,73,1,94
2022-08-21,337,93,1,125
2022-08-22,364,100,2,135
2022-08-23,397,109,0,161
2022-08-24,357,89,2,128
2022-08-25,287,75,2,130
2022-08-26,292,84,7,109
2022-08-27,299,76,2,102
2022-08-28,369,93,1,151
2022-08-29,363,3,4,139
2022-08-30,356,67,2,133
2022-08-31,361,85,5,147
2022-09-01,298,78,4,109
2022-09-02,272,62,4,111
2022-09-03,288,66,4,117
2022-09-04,326,84,1,115
2022-09-05,327,87,2,139
2022-09-06,324,30,1,153
2022-09-07,330,90,2,131
2022-09-08,285,82,1,100
2022-09-09,290,87,2,112
2022-09-10,289,95,1,106
2022-09-11,249,77,1,109
2022-09-12,271,68,1,104
2022-09-13,254,72,2,102
2022-09-14,303,68,4,125
2022-09-15,232,82,1,92
2022-09-16,254,77,3,95
2022-09-17,280,86,1,97
2022-09-18,306,93,3,109
2022-09-19,303,104,3,120
2022-09-20,289,94,5,124
2022-09-21,252,79,4,115
2022-09-22,288,92,1,104
2022-09-23,246,50,2,80
2022-09-24,261,68,0,78
2022-09-25,271,72,2,96
2022-09-26,244,-20,1,105
2022-09-27,295,-31,5,92
2022-09-28,291,-63,-1,113
2022-09-29,239,-37,2,86
2022-09-30,258,81,0,96
2022-10-01,272,90,3,95
2022-10-02,269,21,3,102
2022-10-03,273,24,0,98
2022-10-04,289,77,1,104
2022-10-05,221,90,5,92
2022-10-06,228,82,3,71
2022-10-07,203,65,0,65
2022-10-08,242,74,2,83
2022-10-09,239,26,0,81
2022-10-10,294,67,4,119
2022-10-11,344,65,3,129
2022-10-12,257,30,0,97
2022-10-13,221,72,1,94
2022-10-14,219,-25,2,85
2022-10-15,263,59,1,104
2022-10-16,289,-31,2,93
2022-10-17,268,-43,2,97
2022-10-18,281,48,3,107
2022-10-19,256,60,5,90
2022-10-20,263,72,-1,95
2022-10-21,202,27,1,77
2022-10-22,253,38,3,78
2022-10-23,326,-102,2,129
2022-10-24,357,-32,4,155
2022-10-25,319,17,5,169
2022-10-26,320,77,2,141
2022-10-27,287,74,1,93
2022-10-28,257,80,2,87
2022-10-29,288,77,2,104
2022-10-30,326,84,1,128
2022-10-31,274,51,1,94
2022-11-01,330,81,6,113
2022-11-02,266,91,6,104
2022-11-03,263,42,2,104
2022-11-04,262,74,0,95
2022-11-05,258,67,3,90
2022-11-06,295,97,5,93
2022-11-07,275,89,5,102
2022-11-08,252,70,5,86
2022-11-09,290,87,2,101
2022-11-10,204,74,2,64
2022-11-11,218,83,2,79
2022-11-12,264,59,2,99
2022-11-13,286,70,4,93
2022-11-14,276,109,4,85
2022-11-15,288,84,4,90
2022-11-16,261,68,6,80
2022-11-17,209,64,2,72
2022-11-18,222,83,0,61
2022-11-19,249,74,3,77
2022-11-20,287,66,2,94
2022-11-21,196,83,1,74
2022-11-22,240,56,4,68
2022-11-23,231,89,0,69
2022-11-24,221,67,0,61
2022-11-25,223,74,4,78
2022-11-26,259,67,2,94
2022-11-27,299,98,8,85
2022-11-28,282,82,3,85
2022-11-29,285,107,1,76
2022-11-30,300,66,1,94
2022-12-01,258,110,4,69
2022-12-02,267,71,2,83
2022-12-03,262,84,1,88
2022-12-04,280,75,1,76
2022-12-05,286,87,4,84
2022-12-06,246,89,3,65
2022-12-07,217,87,4,69
2022-12-08,207,76,4,73
2022-12-09,219,71,1,56
2022-12-10,231,57,5,73
2022-12-11,291,83,5,88
2022-12-12,288,73,2,81
2022-12-13,247,92,1,65
2022-12-14,264,77,3,82
2022-12-15,289,109,4,80
2022-12-16,257,78,-1,79
2022-12-17,271,83,1,92
2022-12-18,326,79,3,99
2022-12-19,285,80,1,79
2022-12-20,253,98,2,94
2022-12-21,309,84,4,102
2022-12-22,294,86,2,93
2022-12-23,290,90,6,86
2022-12-24,281,88,1,85
2022-12-25,374,102,0,125
2022-12-26,440,107,1,157
2022-12-27,525,140,3,167
2022-12-28,508,190,7,152
2022-12-29,399,147,5,142
2022-12-30,556,173,5,179
2022-12-31,637,180,8,196
2023-01-01,1030,171,5,365
2023-01-02,1008,316,4,365
2023-01-03,864,269,7,292
2023-01-04,650,220,4,254
2023-01-05,604,173,6,213
2023-01-06,532,157,7,179
2023-01-07,526,147,7,193
2023-01-08,604,172,6,208
2023-01-09,518,187,5,145
2023-01-10,456,138,3,152
2023-01-11,436,149,1,147
2023-01-12,460,100,6,144
2023-01-13,389,87,5,126
2023-01-14,431,121,4,134
2023-01-15,456,136,4,135
2023-01-16,426,126,5,141
2023-01-17,352,98,7,114
2023-01-18,391,109,5,117
2023-01-19,376,107,2,115
2023-01-20,278,92,1,101
2023-01-21,348,100,6,110
2023-01-22,459,117,2,121
2023-01-23,409,142,2,139
2023-01-24,397,136,4,123
2023-01-25,419,130,2,110
2023-01-26,352,125,5,101
2023-01-27,301,104,2,84
2023-01-28,387,101,3,130
2023-01-29,418,122,2,128
2023-01-30,297,124,6,105
2023-01-31,367,124,6,90
