date,added,ratings,reviews,to-read
2022-08-16,207,82,7,117
2022-08-17,283,67,4,150
2022-08-18,186,65,2,102
2022-08-19,211,47,1,107
2022-08-20,237,61,2,121
2022-08-21,299,74,9,139
2022-08-22,244,79,0,98
2022-08-23,208,63,3,119
2022-08-24,233,77,8,99
2022-08-25,184,81,4,93
2022-08-26,232,60,3,118
2022-08-27,210,66,4,92
2022-08-28,281,44,6,135
2022-08-29,237,-25,6,112
2022-08-30,236,69,7,109
2022-08-31,243,43,9,98
2022-09-01,212,62,6,119
2022-09-02,205,54,7,99
2022-09-03,217,46,1,108
2022-09-04,257,71,5,133
2022-09-05,275,54,4,134
2022-09-06,240,10,2,108
2022-09-07,230,63,1,111
2022-09-08,210,61,9,98
2022-09-09,305,55,5,199
2022-09-10,318,57,5,197
2022-09-11,212,51,2,141
2022-09-12,236,53,5,128
2022-09-13,215,57,2,102
2022-09-14,220,24,5,113
2022-09-15,128,53,2,71
2022-09-16,176,51,4,86
2022-09-17,200,49,1,100
2022-09-18,191,64,5,83
2022-09-19,231,62,6,96
2022-09-20,179,69,5,81
2022-09-21,149,56,0,79
2022-09-22,192,59,3,83
2022-09-23,178,3,8,87
2022-09-24,191,55,5,78
2022-09-25,194,58,6,93
2022-09-26,158,-53,3,83
2022-09-27,176,-37,8,78
2022-09-28,191,-150,4,82
2022-09-29,197,-82,4,93
2022-09-30,169,40,4,75
2022-10-01,177,51,9,89
2022-10-02,215,-57,4,107
2022-10-03,183,-43,7,83
2022-10-04,219,54,8,109
2022-10-05,153,73,3,78
2022-10-06,189,55,3,109
2022-10-07,138,40,1,63
2022-10-08,161,45,2,76
2022-10-09,210,-30,5,112
2022-10-10,186,37,8,87
2022-10-11,221,30,2,110
2022-10-12,162,-58,7,77
2022-10-13,147,50,5,93
2022-10-14,172,-206,2,93
2022-10-15,166,28,4,72
2022-10-16,201,-186,2,93
2022-10-17,189,-78,3,95
2022-10-18,203,11,2,115
2022-10-19,165,58,3,80
2022-10-20,180,40,3,88
2022-10-21,197,24,6,117
2022-10-22,170,9,1,100
2022-10-23,220,-152,5,113
2022-10-24,185,-73,3,76
2022-10-25,171,-54,6,106
2022-10-26,192,43,5,100
2022-10-27,204,62,7,103
2022-10-28,190,53,5,99
2022-10-29,176,35,6,94
2022-10-30,208,53,3,91
2022-10-31,180,12,5,91
2022-11-01,188,55,5,90
2022-11-02,166,51,4,71
2022-11-03,176,27,4,95
2022-11-04,158,43,4,84
2022-11-05,195,46,10,96
2022-11-06,241,57,8,118
2022-11-07,201,64,5,89
2022-11-08,171,50,3,82
2022-11-09,169,51,6,78
2022-11-10,141,45,1,83
2022-11-11,158,43,4,75
2022-11-12,172,48,2,89
2022-11-13,175,43,5,83
2022-11-14,200,52,4,96
2022-11-15,197,61,5,84
2022-11-16,192,63,1,87
2022-11-17,131,42,3,68
2022-11-18,141,37,5,64
2022-11-19,189,45,1,87
2022-11-20,203,57,4,88
2022-11-21,179,55,7,80
2022-11-22,180,58,9,82
2022-11-23,160,41,5,72
2022-11-24,141,49,3,79
2022-11-25,140,43,2,70
2022-11-26,197,40,2,109
2022-11-27,221,49,7,102
2022-11-28,198,52,5,99
2022-11-29,157,45,3,80
2022-11-30,172,-72,2,69
2022-12-01,182,66,8,75
2022-12-02,159,55,7,70
2022-12-03,205,44,5,80
2022-12-04,208,69,5,92
2022-12-05,172,58,1,85
2022-12-06,195,49,2,84
2022-12-07,150,57,5,80
2022-12-08,176,48,2,83
2022-12-09,164,56,3,73
2022-12-10,167,36,4,80
2022-12-11,227,57,4,106
2022-12-12,189,38,0,84
2022-12-13,207,54,1,111
2022-12-14,191,40,4,91
2022-12-15,199,50,3,85
2022-12-16,189,63,9,79
2022-12-17,185,61,2,93
2022-12-18,228,46,3,106
2022-12-19,199,50,3,97
2022-12-20,168,55,9,97
2022-12-21,248,66,4,119
2022-12-22,218,61,4,103
2022-12-23,226,69,4,106
2022-12-24,184,66,7,74
2022-12-25,220,60,2,93
2022-12-26,306,89,6,125
2022-12-27,294,80,10,133
2022-12-28,326,85,8,154
2022-12-29,236,98,5,142
2022-12-30,350,95,7,170
2022-12-31,382,100,7,184
2023-01-01,565,117,8,255
2023-01-02,488,148,4,248
2023-01-03,457,114,9,219
2023-01-04,347,116,7,173
2023-01-05,370,87,3,185
2023-01-06,323,97,7,137
2023-01-07,294,70,3,131
2023-01-08,373,158,17,196
2023-01-09,681,85,8,482
2023-01-10,440,98,6,260
2023-01-11,336,71,12,237
2023-01-12,418,13,6,228
2023-01-13,331,-6,3,196
2023-01-14,359,92,6,195
2023-01-15,365,88,8,204
2023-01-16,405,88,3,261
2023-01-17,414,72,4,262
2023-01-18,405,86,15,244
2023-01-19,332,67,3,204
2023-01-20,264,61,4,164
2023-01-21,304,71,6,159
2023-01-22,352,97,8,189
2023-01-23,320,86,5,159
2023-01-24,314,78,6,165
2023-01-25,291,78,6,144
2023-01-26,268,55,7,156
2023-01-27,284,62,8,161
2023-01-28,344,62,3,197
2023-01-29,367,83,6,196
2023-01-30,255,75,5,147
2023-01-31,338,83,7,176
