date,added,ratings,reviews,to-read
2022-08-16,30,16,3,8
2022-08-17,27,9,0,9
2022-08-18,18,9,2,6
2022-08-19,26,11,1,4
2022-08-20,23,11,0,7
2022-08-21,28,9,0,11
2022-08-22,24,8,0,7
2022-08-23,30,10,-1,10
2022-08-24,26,7,1,8
2022-08-25,16,5,0,5
2022-08-26,26,-2,1,9
2022-08-27,13,9,1,1
2022-08-28,21,-6,0,6
2022-08-29,15,-47,0,6
2022-08-30,28,10,1,6
2022-08-31,21,-4,0,8
2022-09-01,12,0,0,4
2022-09-02,18,6,0,4
2022-09-03,26,10,0,6
2022-09-04,28,12,2,10
2022-09-05,21,12,0,3
2022-09-06,34,-20,2,5
2022-09-07,31,17,0,7
2022-09-08,24,10,0,5
2022-09-09,23,12,0,4
2022-09-10,23,7,0,7
2022-09-11,11,0,0,7
2022-09-12,28,17,0,4
2022-09-13,18,4,0,4
2022-09-14,14,-9,0,4
2022-09-15,16,4,0,9
2022-09-16,27,8,1,9
2022-09-17,22,6,1,6
2022-09-18,14,17,1,0
2022-09-19,26,11,1,6
2022-09-20,31,17,1,4
2022-09-21,24,17,0,6
2022-09-22,25,4,0,9
2022-09-23,25,-31,0,3
2022-09-24,24,12,0,5
2022-09-25,23,14,2,2
2022-09-26,21,-57,0,4
2022-09-27,31,-62,0,5
2022-09-28,35,-132,2,4
2022-09-29,23,-107,0,6
2022-09-30,20,9,1,6
2022-10-01,25,8,0,7
2022-10-02,27,-49,1,6
2022-10-03,31,-20,0,6
2022-10-04,14,8,0,4
2022-10-05,21,4,1,6
2022-10-06,24,15,2,6
2022-10-07,11,1,0,0
2022-10-08,14,3,1,6
2022-10-09,11,-36,0,4
2022-10-10,15,4,0,3
2022-10-11,19,-6,0,10
2022-10-12,19,-21,0,7
2022-10-13,20,8,0,6
2022-10-14,15,-68,0,6
2022-10-15,17,1,1,7
2022-10-16,17,-90,0,6
2022-10-17,17,-110,2,3
2022-10-18,19,-15,1,4
2022-10-19,17,3,0,3
2022-10-20,26,7,1,11
2022-10-21,21,-26,0,7
2022-10-22,22,-15,0,8
2022-10-23,31,-171,1,11
2022-10-24,19,-119,0,10
2022-10-25,13,-106,0,5
2022-10-26,16,4,0,7
2022-10-27,14,7,0,5
2022-10-28,16,2,2,5
2022-10-29,17,1,0,6
2022-10-30,22,5,-1,7
2022-10-31,20,-23,1,5
2022-11-01,15,11,1,4
2022-11-02,13,1,0,7
2022-11-03,19,-22,0,5
2022-11-04,14,9,2,4
2022-11-05,21,4,0,8
2022-11-06,14,6,0,3
2022-11-07,22,10,0,5
2022-11-08,25,9,0,11
2022-11-09,16,6,0,9
2022-11-10,20,7,1,6
2022-11-11,21,12,1,7
2022-11-12,17,1,0,8
2022-11-13,23,7,1,5
2022-11-14,13,5,0,5
2022-11-15,16,1,0,6
2022-11-16,26,6,1,8
2022-11-17,11,1,0,4
2022-11-18,16,7,0,5
2022-11-19,17,2,1,6
2022-11-20,18,2,0,6
2022-11-21,20,10,0,5
2022-11-22,16,3,0,2
2022-11-23,21,6,2,8
2022-11-24,11,9,0,1
2022-11-25,16,2,0,6
2022-11-26,28,11,0,5
2022-11-27,25,9,0,6
2022-11-28,11,12,1,1
2022-11-29,19,8,0,4
2022-11-30,27,10,0,7
2022-12-01,20,7,0,9
2022-12-02,19,9,1,2
2022-12-03,21,4,0,10
2022-12-04,20,7,0,4
2022-12-05,30,9,0,11
2022-12-06,21,3,0,9
2022-12-07,21,5,0,8
2022-12-08,22,13,0,6
2022-12-09,7,6,0,2
2022-12-10,21,9,0,5
2022-12-11,25,6,0,9
2022-12-12,24,2,2,6
2022-12-13,23,6,1,10
2022-12-14,14,6,0,3
2022-12-15,24,3,1,7
2022-12-16,26,3,0,6
2022-12-17,28,14,0,4
2022-12-18,20,10,1,6
2022-12-19,9,7,0,1
2022-12-20,12,3,2,5
2022-12-21,27,8,1,10
2022-12-22,25,10,2,9
2022-12-23,21,8,0,6
2022-12-24,16,12,1,4
2022-12-25,16,5,0,3
2022-12-26,27,8,0,5
2022-12-27,28,5,0,8
2022-12-28,57,14,2,18
2022-12-29,34,15,1,13
2022-12-30,41,13,2,13
2022-12-31,55,8,0,10
2023-01-01,73,15,3,26
2023-01-02,73,26,1,28
2023-01-03,53,12,0,12
2023-01-04,35,17,1,10
2023-01-05,35,19,0,12
2023-01-06,40,10,1,9
2023-01-07,50,9,1,18
2023-01-08,50,14,0,11
2023-01-09,30,7,1,8
2023-01-10,33,10,0,13
2023-01-11,38,10,0,12
2023-01-12,31,-53,0,5
2023-01-13,24,-78,0,7
2023-01-14,24,11,3,6
2023-01-15,33,10,1,6
2023-01-16,22,0,0,8
2023-01-17,39,15,3,9
2023-01-18,40,20,2,9
2023-01-19,33,1,0,10
2023-01-20,28,7,4,13
2023-01-21,19,9,3,8
2023-01-22,31,7,0,4
2023-01-23,34,12,0,10
2023-01-24,21,9,0,5
2023-01-25,27,7,0,7
2023-01-26,33,11,1,11
2023-01-27,25,9,0,8
2023-01-28,18,4,1,6
2023-01-29,32,2,0,8
2023-01-30,16,6,1,5
2023-01-31,18,7,0,7
