Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
10799,A Farewell to Arms,Meg Sherman,169,412,2,"November 18, 2008","I feel like awarding the great Hemingway only two stars has officially consigned me to the seventh circle of literary hell. But I must be honest. By this website's criteria two stars indicates that a book is ""okay"" - and to me that describes this work perfectly.Hemingway himself is undeniably gifted. I love his succinct style (though at times it degenerates to downright caveman-speak), his honest diction and his wonderful sense of humor. That being said, he gets away with utterly ignoring most rules of writing - which I admire at times, but let's face it, some of those rules are there for a REASON. This book is overflowing with extreme run-on sentences, constant use of qualifiers (I think ""very"" might actually be his VERY favorite word), adjectives (even NOUNS!) used four or five times in the same paragraph, and long stretches of dialogue involving more than two speakers with absolutely no indication of who is saying what (if I hadn't been reading a library book, I would have color-coded the darn thing!) And besides style, the story itself just didn't grab me. I didn't give two farts about the self-absorbed, unthinking, unfeeling protagonist or his codependent, psychologically damaged doormat of a girlfriend. This is NOT a love story. In fact, I feel sorry for anyone who thinks it is. Men who hate women are incapable of writing love stories. And for the life of me, I can't derive a theme - or even a general POINT - to this book... unless mayhap it is ""stupid, senseless tragedy happens sometimes to people you don't care about."" I did feel like crying several times while reading, though... but only because of the mention of alcohol on almost every page of text... I could literally HEAR Hemingway drinking himself to death. It broke my heart.CRAP WE LET HIM GET AWAY WITH BECAUSE HE'S HEMINGWAY:""We walked to the door and I saw her go in and down the hall. I liked to watch her move. She went on down the hall. I went on home. It was a hot night and there was a good deal going on up in the mountains. I watched the flashes on San Gabriele. I stopped in front of the Villa Rossa. The shutters were up but it was still going on inside. Somebody was singing. I went on home."" (FOR THE LOVE WILL SOMEBODY HELP THIS GUY GET HOME????)""I came up onto a road. Ahead I saw some troops coming down the road. I limped along the side of the road and they passed me and paid no attention to me. They were a machine-gun detachment going up toward the river. I went on down the road."" (FOR THE LOVE WILL SOMEBODY HELP THIS GUY GO ON DOWN THE ROAD???)And now that I've slammed him so hard, here is a glimpse at the genius that allows him to get away with it all.FAVORITE QUOTES:""If people bring so much courage to this world the world has to kill them to break them, so of course it kills them. The world breaks every one and afterward many are strong at the broken places. But those that will not break it kills. It kills the very good and the very gentle and the very brave impartially. If you are none of these you can be sure it will kill you too but there will be no special hurry.""""They were beaten to start with. They were beaten when they took them from their farms and put them in the army. That is why the peasant has wisdom, because he is defeated from the start. Put him in power and see how wise he is.""""The coward dies a thousand deaths, the brave but one... Who said it?... He was probably a coward. He knew a great deal about cowards but nothing about the brave. The brave dies perhaps two thousand deaths if he's intelligent. He simply doesn't mention them.""""Life isn't hard to manage when you've nothing to lose.""""I was blown up while we were eating cheese.""AND MY FAVORITE SCENE: (His friend Rinaldi begins the dialogue)""Loan me fifty lire.""I dried my hands and took out my pocket-book from the inside of my tunic hanging on the wall. Rinaldi took the note, folded it without rising from the bed and slid it in his breeches pocket. He smiled, ""I must make on Miss Barkley the impression of a man of sufficient wealth. You are my great and good friend and financial protector.""""Go to hell,"" I said.",811,107
10799,A Farewell to Arms,Carolyn Marie Castagna,264,5240,5,"January 25, 2023",I have so many thoughts but no idea how to put them into words…*weeps rainy tears* ,174,2
10799,A Farewell to Arms,Ben,74,911,4,"July 25, 2009","I'm not a Hemingway guy. I yearn for internal dialogue, various and ladened spiritual questioning, and deep psychology in my characters. I prefer writing that is smooth and philosophical. Hemingway gives me little of this.But the settings of this book were beautiful, and the dialogue between characters, poignant. By the end, I found that Hemingway had craftily fucked with me to the point of my complete immersion into the novel. It made me cry. ",173,45
10799,A Farewell to Arms,Riku Sayuj,653,6926,4,"October 16, 2014","
  War is Boring
Hemingway’s narrator writes not as a soldier but as a journalist-soldier, channeling Hemingway himself, recording with precision and apparent objectivity the things that happen around him and to him - practical and prosaic and always pragmatic about everything. People die and bombs explode in the same paragraph as the one where breakfast was considered with equal interest, and he takes it all in his stride.As best as I can tell, the action of A Farewell to Arms takes place from 1916 and before the end of the war. Place references and political references come and go without troubling the narrator too much - he is not to be bothered with such details. His context is not simply this war, but all wars and the notions of honor, heroism and patriotism - all of which he looks at with pristine incomprehension.War always generates backlash, even from the Mahabharata and the Iliad to the many anti-war epics over the ages - the honor and glory that war is supposed to provide is questioned in its aftermath. The bloodlust and the fever-pitch cries of honor precedes war and then they calm down into searching questions about what those terms mean or into scathing parodies.I am not entirely sure whether Farewell to Arms is a sober questioning of these virtues or a shambolic parody of them. It is never quite clear whether Hemingway is making fun of war or just expressing profound ennui. Especially when he combines Love with War, and both seem to get the same treatment, it becomes even harder to deduce whether Hemingway is ridiculing war and its virtues or life and its delusions in general and including love also into it. After all, the famous ending doesn’t leave us with much to pick up the pieces after.The narrator tells the often ugly truth about war, without even trying to be anti-war in any way. By depicting daily life, he achieves it without an effort. It is the prosaicness of action, the utter lack of drama that becomes the most significant force in the narration - even his injury is incurred not in valorous combat but while he is eating spaghetti.All this combines to show up war as a hideous game, but one entirely not worth the bother. There are so many subtle ways in which he trivializes war, always retaining the impression that it is not a conscious effort, as if he was not even telling us anything about the war, letting it remain in the background as a boring humm.
  “The war seemed as far away as the football games of some one else's college.”
We are not even allowed particularly intelligent characters to liven up the drudgery of our reading, the novel is full of the Ordinary, the exceptional striking in its absence - and the readers are left disoriented, repeatedly trying to remind themselves that they are in the midst of the greatest and most destructive war humanity had yet known.In the end, war is exposed as not only meaningless but boring. Usually war writers exploit the Pathos of war, Hemingway walks right inside, shows us around and escorts us out after having shown us the utter blandness of the ‘heroic’ exercise.Even the “Love Story” is constructed out of the boring bits and of repeated bland conversations that seem almost never-ending and droll. Here Hemingway is probably playing us again: instead of the usual technique of showing the pleasant bucolic scenery of distant daily-life and contrasting that against gory war scenes and thus asking the reader to thirst for the war to end, Hemingway places both the personal and the public sphere next to each other, exposes both and yet somehow derides war through this. I am not yet sure how he does that, but my feelings wherever I encountered this tells me that he does it well.Hemingway’s notorious fault is the monotony of repetition, and he has always been considered a better short story writer than novelist - the short form plays into his prowess for portraying ironies in short staccato beats. In A Farewell to Arms, he brings both his strengths and weakness as a storyteller and makes them both work for him masterfully. He converts the act of boring the reader into an art form and into an exercise in supreme irony. Very effective. Almost as effective as comedy, if you ask me.While it is hard to interpret A Farewell to Arms as hopeful, to me it was so, though in a subtle way. It leaves us the hope that if only more soldiers could be like the Tenente and just walk away from all the boredom, even though only boredom awaits in normal life, things could be better.To me the most striking impression of all, in a work filled with unforgettable impressions, was the sheer acceptance exhibited by the narrator: The hustle of the war, his own life, and the entire world even seems to move past the stoic Tenente who is left a mere spectator, but who never seems to question the events that unfold.This captures the spirit of the war and also of the times.",150,60
10799,A Farewell to Arms,Steven Godin,"2,280",2148,4,"April 9, 2020","Damn. That ending. Even whilst still dusting off the cover (it's been lying around for ages) I already knew it's finale. It's simply been impossible to ignore. Even cropping up in three or four films I have seen over the years. Knowing it is one thing, but actually reading it is quite another. So, the big question is - did this in anyway tarnish the novel for me? In a word, No. As once I truly got stuck into Hemingway's compulsive narrative all was forgotten. His presentation of war was just as remarkable as his sincerity of presenting us with love. Both leading characters were simply two of the 20th century's most memorable - the all American hero Henry, a volunteer in the Italian Ambulance Service, and the sweet natured English nurse Catherine Barkley who adds a subtle feminine charm throughout the novel. All the descriptions of life on the WW1 front and in the hospitals, the talk of the officers, privates, and doctors, are crisp, clear and so natural, making for a convincing narrative the whole way through, even though Henry perhaps felt a little too mature and experienced for a young man. Catherine I saw as the more credible character, she was most skilfully modelled as the eternal feminine in nursing dress. Difficult to work out at first, but oh God how I fell in love with her. It comes as no surprise to me it was a book I found easy to read like other Hemingway books, made even easier after the head scratching and exasperation at the hands of Faulkner's The Sound and the Fury prior to this. Hemingway dramatically intensifies the narrative after the halfway point, and the story deepens on an emotional level as Henry patched up from a war wound returns to the Isonzo front. The year has been a serious one for the Italian army, and a breakthrough for the Germans at Caporetto spells disaster. The Caporetto retreat, which forms the background for an entire portion of the book, and furnishes the action, is simply a masterly piece of descriptive narration. After escaping death by diving into a river, and later arrest by concealing himself in a gun truck till it reaches Milan, the novel really does showcase two people very much in love. It reminded me of the deep love shown in Pasternak's Doctor Zhivago. I can't think of too many other novels I have read were I have felt a love so great and pure. Some of the scenes held such an atmospheric truth, whether in love or war, that it's easy to see why it's probably Hemingway's most read novel, even though it might not be his best.The story of Henry and Catherine could have been overly polished with sentimentality (one of my pet hates), and probably would have been had Hemingway been around in the Victorian era. Thankfully, there is only as much as a slight echo. This no doubt deserves to be branded as a classic, and it didn't let me down. A Farewell to Arms was simply a most moving and beautiful thing. The reason for not dishing out the five stars is that I still preferred The Sun Also Rises and A Moveable Feast. But that's just me.",127,17
10799,A Farewell to Arms,Henry Avila,446,3219,4,"January 20, 2023","An American studying architecture in Rome, Frederick Henry, is transformed into a Lt. in the Italian Army, when World War I starts. He volunteers even though America doesn't enter , the Great War, for another 3 years ! Why? He probably can't say, himself , but young men want excitement in their dull lives. He joins the ambulance corps on the northern front , in charge of four drivers , and a few motorcars, picking up the badly wounded soldiers, when feasible, the dead are carried outside the vehicles , no need now. Austrians are the enemy, but the high snowy mountains, freezing weather , make battles difficult, to fight, swollen rivers dangerous to cross , the artillery flashing in the night, screaming mortars above , and coming down no-one knows where, except the unfortunates, but too late for them. Rinaldi a very capable surgeon in the Italian army , getting better every day, putting back together the wounded bodies, saving lives, most of the time . Is Lt. Henry's affable roommate, always joking, and best friend, in a good house, in a mostly undamaged village, near the war, for officers. A man who loves women, to a certain degree ( lust may be the correct word), he has seen his latest enchanting female, but to his deep regret, not a mutual feeling between the two. The gracious doctor tells the lieutenant about the beautiful blonde, tall British nurse, Catherine Barkley, even introduces him. It doesn't take long for a romance, she lost her fiancee in France, last year, 1916, in the trenches, at first she , then he too falls in love , not wanting or expecting it, her best friend and fellow nurse Helen Ferguson , disapproves. Lonely people amid a terrible conflict somehow require something to continue their joyless existence. Shortly after, while waiting in a ditch at the front, for the bombardment to halt, a mortar shell hits, killing one of his men and badly wounding him, in both legs.The ambulance will take the driver for a ride not in front, this time, but in the back, he the young American, feels a warm liquid dropping from the top, the blood oozing out of another soldier, will not stop, Henry can't move, just endure, until there is no more. The vehicle ceases traveling, heavy rains pouring down, the dead man put on the muddy ground, and another victim carried inside. They finally arrive at the unsanitary field hospital, safely navigating the treacherous mountain roads and bombs. Catherine becomes the Lt.'s nurse and much more. Since Milan, is not far away and an American hospital has just opened (this is 1917), a better place for treatment. Catherine gets assigned there, never a difficulty, she says mysteriously. But the recovered Mr.Henry, must go back to the front when he is healed, their happiness is over. A novel based on Hemingway's experiences in the war, he was a 19 -year -old ambulance driver, almost dying of battle wounds, and having an unhappy affair with an older nurse.",117,11
10799,A Farewell to Arms,Diane,"1,079",2605,2,"April 15, 2017","Well, that was disappointing.For several months I've been focused on reading more classic literature, mostly as a way to dig deep and enrich my life during these trying political times. Until now, it has been an incredibly rewarding experience. This Hemingway novel was my first dud. I wanted to like this book. I've been reading more on World War I this past year and thought A Farewell to Arms would fit both my WWI interest and my goal of appreciating classics. But ol' Hem (as I learned to call him in A Moveable Feast, a book of his I did like) didn't make it easy for me when he wrote the character of Catherine Barkley. Catherine plays the love interest in this novel, and she is so insipid, silly and annoying that I started dreading this book.The story follows Frederic Henry, an American serving as an ambulance driver in the Italian army during the war. He meets Catherine, who is a British nurse, and they fall in love. Catherine eventually becomes pregnant, and they manage to escape to Switzerland. The ending of this book is depressing, as are most war novels.But the sad ending isn't why I disliked this book so much. Hemingway is famous for his ""terse prose,"" but I think in this book it does him a disservice. The characters are two-dimensional, the war scenes lacked grit, and the whole novel just felt flat to me. Hem does have a few famous lines that came from Farewell (some noted below), which is what kept this book from a 1 rating for me. I listened to this on audio, performed by the talented John Slattery (of ""Mad Men"" fame) but not even he could make me excited to read this Hemingway book. It reminded me of when I listened to Colin Firth read Graham Greene's The End of the Affair, and Firth's marvelousness couldn't salvage that novel, either. Both are good actors doing their best with mediocre texts.If I were going to recommend a World War I novel to someone, I would tell them to read All Quiet on the Western Front, and to skip Farewell. I'll circle back around to some other Hem novels in the future, but for now I'm going to enjoy a break from his terseness.**Note: My first instinct when writing this review was to imitate Hem's signature style, lots of ""fine and true and good and courage"" and whatnot, but frankly, Warwick wrote his review so well that I abandoned the idea and encourage you to check out his grand version. Good Quotes""All thinking men are atheists.""""If people bring so much courage to this world the world has to kill them to break them, so of course it kills them. The world breaks every one and afterward many are strong at the broken places. But those that will not break it kills. It kills the very good and the very gentle and the very brave impartially. If you are none of these you can be sure it will kill you too but there will be no special hurry.""""I know the night is not the same as the day: that all things are different, that the things of the night cannot be explained in the day, because they do not then exist, and the night can be a dreadful time for lonely people once their loneliness has started.""Final ThoughtOne addendum is that I had a print copy of A Farewell to Arms that included Hemingway's introduction to the 1948 edition, and I liked those 3 1/2 pages better than I liked the entire novel. If you do give this book a chance, try to find a copy with that author intro.""The fact that the book was a tragic one did not make me unhappy since I believed that life was a tragedy and knew it could have only one end. But finding you were able to make something up; to create truly enough so that it made you happy to read it; and to do this every day you worked was something that gave me a greater pleasure than any I had ever known. Beside it nothing else mattered.""",113,19
10799,A Farewell to Arms,Vit Babenco,"1,374",3187,5,"February 20, 2020",There is something hopeless in love in the time of war...A Farewell to Arms was the first novel I have read in English and it was the book that has made the very strong impression on me so I can’t recall it without an attack of nostalgia ever since.And you’ll always love me won’t you? Yes. And the rain won’t make any difference? No.…till war do us part.,113,4
10799,A Farewell to Arms,Luís,"1,791",431,4,"July 10, 2022","It is a strong story, beautiful and sad at the same time. It is a war novel, a book of men who question, drink, go to the front brothel, fight, die or are wounded, and try to understand where it leads them. It is a love story that lasts an hour, a night, a life, filling the void of man's solitude with the horror of war, which grows in the face of the absurdity of great words such as ""duty and honour"".A rich vocabulary and a particular rhythm made of small sentences and numerous repetitions give the Italian tone to this novel yet very American. The author uses the words brilliantly for descriptions, especially fights, and modifies his style according to the nationality and character of the characters. It is a well-researched, compelling story, an actual novel where a man finds himself naked facing her fears, facing his joys, a modern book in tone, a great novel!The first pages disturbed me a little. I understood the meaning without understanding the style. However, I did well to persevere, it is well written, and the story moved me a lot!",109,N/A
10799,A Farewell to Arms,Warwick,809,14400,3,"March 16, 2017","In the fall of that year we rented a house in the mountains that looked down across the river to the village below. The water of the river was turquoise and the village had a pretty campanile and beyond it rose more mountains and beyond them still more. The man who owned our cottage lived next door and made his own dry cured sausage and we would go round and eat it by the fire and talk about how fine the sausage tasted. On the hills all around there were deer, and in the evenings we would sit on the balcony of our cottage and wrap ourselves in blankets for the cold, and if we looked one way we would see the deer and if we looked the other way we would see the village down at the bottom of the valley.The village was called Kobarid but it also had names in other languages. The Germans called it Karfreit and the Italians called it Caporetto and I said to Hannah that it was never a good sign when so many other languages had names for one little village. Sure enough we found a museum in the village dedicated to a big battle that had taken place there during the First World War. The people at the museum pointed at the mountain slopes and I don't remember exactly what they told us but I remember feeling sick and upset and thinking that I ought to know more about what had happened there and why.The Italian army had gotten through a lot of ambulances during that war and one of the men who drove the ambulances at Kobarid was an American called Ernest Hemingway. Later he wrote a book about it and this is that book. The war parts are very good but gradually they recede into the background and a tragic love story comes to the foreground, and the tragic love story is difficult to enjoy because the woman is so old-fashionedly self-effacing and devoted to the hero that she seems either unrealistic or infuriating to modern readers.The prose is direct and world-weary and often it sounds fine and ironic and cynical like this:If people bring so much courage to this world the world has to kill them to break them, so of course it kills them. The world breaks everyone and afterward many are strong at the broken places. But those that will not break it kills. It kills the very good and the very gentle and the very brave impartially. If you are none of these you can be sure it will kill you too but there will be no special hurry.But often it just seems gratuitously pessimistic and this is especially true for the way the book ends. When I went to Kobarid we were very happy. I remember the place very well because we were on the porch of our cottage there when I asked Hannah to marry me. She said yes and our memories of that mountain and that village are very happy ones. This book does not end in the same way and although it is strong and powerful I really wish someone had told me that I should not be reading this ending while my wife is nine months' pregnant.(Dec 2013)",104,22
