Title,URL
1984,https://www.goodreads.com/book/show/61439040-1984
To Kill a Mockingbird,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
The Great Gatsby,https://www.goodreads.com/book/show/4671.The_Great_Gatsby
Animal Farm,https://www.goodreads.com/book/show/170448.Animal_Farm
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone
The Catcher in the Rye,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
"The Hunger Games (The Hunger Games, #1)",https://www.goodreads.com/book/show/2767052-the-hunger-games
"The Handmaid’s Tale (The Handmaid's Tale, #1)",https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
"The Da Vinci Code (Robert Langdon, #2)",https://www.goodreads.com/book/show/968.The_Da_Vinci_Code
The Alchemist,https://www.goodreads.com/book/show/18144590-the-alchemist
The Kite Runner,https://www.goodreads.com/book/show/77203.The_Kite_Runner
Pride and Prejudice,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
Lord of the Flies,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
"The Hobbit (The Lord of the Rings, #0)",https://www.goodreads.com/book/show/5907.The_Hobbit
Fahrenheit 451,https://www.goodreads.com/book/show/13079982-fahrenheit-451
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
Brave New World,https://www.goodreads.com/book/show/5129.Brave_New_World
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
The Book Thief,https://www.goodreads.com/book/show/19063.The_Book_Thief
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
Of Mice and Men,https://www.goodreads.com/book/show/890.Of_Mice_and_Men
"Catching Fire (The Hunger Games, #2)",https://www.goodreads.com/book/show/6148028-catching-fire
"The Girl with the Dragon Tattoo (Millennium, #1)",https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
Life of Pi,https://www.goodreads.com/book/show/4214.Life_of_Pi
Slaughterhouse-Five,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
The Curious Incident of the Dog in the Night-Time,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
"Mockingjay (The Hunger Games, #3)",https://www.goodreads.com/book/show/7260188-mockingjay
The Help,https://www.goodreads.com/book/show/4667024-the-help
Where the Crawdads Sing,https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing
Gone Girl,https://www.goodreads.com/book/show/19288043-gone-girl
"Angels & Demons (Robert Langdon, #1)",https://www.goodreads.com/book/show/960.Angels_Demons
Jane Eyre,https://www.goodreads.com/book/show/10210.Jane_Eyre
All the Light We Cannot See,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see
The Picture of Dorian Gray,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
The Fault in Our Stars,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
The Midnight Library,https://www.goodreads.com/book/show/52578297-the-midnight-library
One Hundred Years of Solitude,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
Frankenstein: The 1818 Text,https://www.goodreads.com/book/show/35031085-frankenstein
"The Fellowship of the Ring (The Lord of the Rings, #1)",https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
"A Game of Thrones (A Song of Ice and Fire, #1)",https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
