date,added,ratings,reviews,to-read
2022-08-16,259,82,3,103
2022-08-17,307,95,5,91
2022-08-18,263,112,1,96
2022-08-19,216,61,0,72
2022-08-20,259,71,5,94
2022-08-21,347,103,3,143
2022-08-22,375,83,0,146
2022-08-23,396,109,5,171
2022-08-24,334,84,2,127
2022-08-25,291,88,4,141
2022-08-26,290,85,3,123
2022-08-27,287,75,1,109
2022-08-28,346,74,3,147
2022-08-29,365,24,2,141
2022-08-30,349,81,0,149
2022-08-31,370,79,6,162
2022-09-01,311,97,2,111
2022-09-02,273,59,4,113
2022-09-03,285,52,2,135
2022-09-04,350,96,7,122
2022-09-05,366,83,5,155
2022-09-06,330,21,4,159
2022-09-07,327,84,1,144
2022-09-08,278,73,3,110
2022-09-09,290,81,2,119
2022-09-10,285,94,4,120
2022-09-11,251,72,4,121
2022-09-12,281,63,2,121
2022-09-13,282,84,3,103
2022-09-14,319,84,5,138
2022-09-15,225,77,3,102
2022-09-16,250,70,2,98
2022-09-17,255,81,3,101
2022-09-18,311,75,2,123
2022-09-19,289,87,2,125
2022-09-20,285,113,5,127
2022-09-21,252,80,2,116
2022-09-22,261,79,2,98
2022-09-23,242,3,2,88
2022-09-24,250,80,6,92
2022-09-25,259,63,1,97
2022-09-26,262,-4,3,119
2022-09-27,292,-14,2,107
2022-09-28,296,-115,2,116
2022-09-29,236,-93,1,91
2022-09-30,248,72,1,107
2022-10-01,281,90,2,106
2022-10-02,279,10,0,114
2022-10-03,261,-13,1,106
2022-10-04,275,79,3,105
2022-10-05,233,86,1,93
2022-10-06,239,90,3,89
2022-10-07,188,65,2,67
2022-10-08,221,56,0,92
2022-10-09,252,32,0,91
2022-10-10,283,71,2,124
2022-10-11,318,51,4,139
2022-10-12,246,19,2,101
2022-10-13,222,66,2,98
2022-10-14,198,-52,4,85
2022-10-15,265,54,0,111
2022-10-16,291,-54,6,112
2022-10-17,249,-83,1,108
2022-10-18,290,30,1,120
2022-10-19,251,58,2,98
2022-10-20,257,73,1,115
2022-10-21,220,41,2,94
2022-10-22,247,40,3,88
2022-10-23,310,-167,0,146
2022-10-24,335,-103,4,167
2022-10-25,315,-41,2,171
2022-10-26,298,63,0,142
2022-10-27,279,82,2,104
2022-10-28,257,81,3,101
2022-10-29,274,63,0,113
2022-10-30,306,74,1,130
2022-10-31,278,59,1,96
2022-11-01,308,71,2,120
2022-11-02,266,74,3,111
2022-11-03,265,41,5,105
2022-11-04,252,68,4,103
2022-11-05,238,56,4,97
2022-11-06,308,77,1,109
2022-11-07,273,88,1,112
2022-11-08,254,74,4,96
2022-11-09,281,79,2,116
2022-11-10,215,70,5,78
2022-11-11,226,97,0,81
2022-11-12,268,64,1,108
2022-11-13,280,70,1,91
2022-11-14,262,93,2,90
2022-11-15,260,65,0,90
2022-11-16,261,69,5,81
2022-11-17,208,68,2,85
2022-11-18,212,79,2,66
2022-11-19,248,80,3,85
2022-11-20,273,66,3,94
2022-11-21,238,90,2,82
2022-11-22,243,59,5,75
2022-11-23,230,90,1,78
2022-11-24,193,64,0,62
2022-11-25,217,66,6,75
2022-11-26,252,63,1,104
2022-11-27,297,90,2,101
2022-11-28,275,93,7,91
2022-11-29,261,112,1,90
2022-11-30,291,60,1,94
2022-12-01,256,108,3,74
2022-12-02,240,61,1,86
2022-12-03,240,65,1,102
2022-12-04,276,75,0,87
2022-12-05,276,79,1,100
2022-12-06,243,83,2,73
2022-12-07,220,75,2,73
2022-12-08,193,75,6,73
2022-12-09,206,69,0,60
2022-12-10,223,62,4,72
2022-12-11,274,76,2,95
2022-12-12,261,66,1,87
2022-12-13,248,81,1,72
2022-12-14,256,63,1,85
2022-12-15,282,95,0,92
2022-12-16,286,81,3,104
2022-12-17,283,72,1,99
2022-12-18,329,85,5,112
2022-12-19,265,83,3,87
2022-12-20,260,91,2,107
2022-12-21,315,70,1,123
2022-12-22,312,85,2,102
2022-12-23,273,87,4,94
2022-12-24,265,88,3,91
2022-12-25,373,96,4,154
2022-12-26,448,106,1,172
2022-12-27,489,129,2,186
2022-12-28,542,181,3,187
2022-12-29,412,144,5,161
2022-12-30,565,169,1,214
2022-12-31,663,175,6,237
2023-01-01,1088,202,6,427
2023-01-02,1029,340,6,433
2023-01-03,849,268,2,328
2023-01-04,604,205,3,266
2023-01-05,608,165,5,239
2023-01-06,538,149,4,193
2023-01-07,552,158,6,215
2023-01-08,625,179,3,239
2023-01-09,540,159,5,178
2023-01-10,458,132,2,181
2023-01-11,421,146,2,160
2023-01-12,462,55,4,165
2023-01-13,370,58,2,135
2023-01-14,464,129,5,153
2023-01-15,429,136,1,154
2023-01-16,428,121,3,149
2023-01-17,363,113,2,136
2023-01-18,387,101,5,143
2023-01-19,364,103,7,134
2023-01-20,279,95,1,113
2023-01-21,345,101,3,114
2023-01-22,441,126,6,138
2023-01-23,416,143,2,153
2023-01-24,387,110,2,135
2023-01-25,440,134,5,128
2023-01-26,337,132,3,100
2023-01-27,306,101,4,102
2023-01-28,392,106,5,143
2023-01-29,414,132,6,136
2023-01-30,275,107,1,107
2023-01-31,354,90,2,110
