date,added,ratings,reviews,to-read
2022-08-16,104,25,0,53
2022-08-17,144,24,3,82
2022-08-18,162,31,1,104
2022-08-19,108,26,1,61
2022-08-20,119,26,4,59
2022-08-21,92,23,0,49
2022-08-22,121,23,4,58
2022-08-23,105,31,2,50
2022-08-24,115,26,1,51
2022-08-25,86,28,1,48
2022-08-26,118,22,3,52
2022-08-27,100,28,2,44
2022-08-28,110,27,2,57
2022-08-29,110,31,1,53
2022-08-30,111,27,2,48
2022-08-31,113,25,1,53
2022-09-01,95,26,0,38
2022-09-02,90,23,2,44
2022-09-03,98,23,3,48
2022-09-04,122,34,4,56
2022-09-05,104,28,3,44
2022-09-06,108,32,1,51
2022-09-07,109,26,1,46
2022-09-08,89,19,3,40
2022-09-09,100,19,1,58
2022-09-10,99,27,3,45
2022-09-11,102,19,2,53
2022-09-12,101,23,1,51
2022-09-13,98,19,2,37
2022-09-14,101,28,3,56
2022-09-15,89,19,1,57
2022-09-16,80,18,4,40
2022-09-17,86,20,1,43
2022-09-18,110,17,1,52
2022-09-19,88,26,2,44
2022-09-20,92,26,2,50
2022-09-21,79,30,1,36
2022-09-22,78,20,3,50
2022-09-23,84,18,2,37
2022-09-24,97,15,1,41
2022-09-25,91,26,2,42
2022-09-26,82,17,2,45
2022-09-27,95,28,1,42
2022-09-28,95,17,1,46
2022-09-29,81,24,1,31
2022-09-30,78,21,1,39
2022-10-01,116,25,0,54
2022-10-02,101,30,3,39
2022-10-03,94,26,3,43
2022-10-04,101,34,0,48
2022-10-05,93,30,1,44
2022-10-06,96,30,3,56
2022-10-07,78,15,5,35
2022-10-08,106,30,0,45
2022-10-09,103,27,4,41
2022-10-10,97,24,3,50
2022-10-11,92,19,0,41
2022-10-12,80,17,3,39
2022-10-13,77,22,2,42
2022-10-14,159,26,3,100
2022-10-15,111,23,0,57
2022-10-16,117,32,3,59
2022-10-17,106,17,1,57
2022-10-18,116,22,3,64
2022-10-19,108,25,1,63
2022-10-20,98,17,2,53
2022-10-21,102,19,2,52
2022-10-22,108,18,4,49
2022-10-23,188,19,2,125
2022-10-24,96,25,0,43
2022-10-25,90,17,0,48
2022-10-26,101,25,1,55
2022-10-27,95,24,1,57
2022-10-28,92,21,3,52
2022-10-29,105,26,1,55
2022-10-30,111,20,3,58
2022-10-31,95,23,1,43
2022-11-01,108,21,1,58
2022-11-02,105,22,3,59
2022-11-03,95,19,3,46
2022-11-04,78,28,3,38
2022-11-05,108,24,1,60
2022-11-06,140,17,1,67
2022-11-07,112,23,1,71
2022-11-08,101,17,1,51
2022-11-09,89,25,1,37
2022-11-10,83,20,2,52
2022-11-11,75,18,0,39
2022-11-12,96,22,2,44
2022-11-13,94,20,2,43
2022-11-14,100,22,1,46
2022-11-15,100,26,6,45
2022-11-16,98,14,0,54
2022-11-17,82,17,1,43
2022-11-18,78,19,1,36
2022-11-19,90,21,1,41
2022-11-20,102,17,1,55
2022-11-21,63,24,7,28
2022-11-22,100,27,1,43
2022-11-23,90,23,3,39
2022-11-24,87,20,2,41
2022-11-25,90,26,3,36
2022-11-26,112,31,1,47
2022-11-27,101,31,2,35
2022-11-28,99,21,1,46
2022-11-29,75,21,0,44
2022-11-30,118,28,0,52
2022-12-01,116,27,0,49
2022-12-02,99,34,3,48
2022-12-03,112,26,3,44
2022-12-04,98,14,1,60
2022-12-05,82,8,1,45
2022-12-06,101,28,3,51
2022-12-07,87,18,1,51
2022-12-08,60,19,2,34
2022-12-09,99,21,1,47
2022-12-10,91,26,2,38
2022-12-11,112,17,1,56
2022-12-12,74,36,0,42
2022-12-13,85,16,1,33
2022-12-14,87,24,3,45
2022-12-15,130,25,1,68
2022-12-16,97,27,3,43
2022-12-17,137,22,1,85
2022-12-18,105,17,2,55
2022-12-19,89,25,3,41
2022-12-20,93,17,0,55
2022-12-21,116,19,1,57
2022-12-22,109,33,1,42
2022-12-23,149,21,3,89
2022-12-24,128,22,2,80
2022-12-25,136,22,3,74
2022-12-26,152,26,2,78
2022-12-27,168,34,0,69
2022-12-28,157,49,5,70
2022-12-29,155,34,1,78
2022-12-30,202,43,4,100
2022-12-31,223,51,5,110
2023-01-01,305,46,1,142
2023-01-02,270,75,2,118
2023-01-03,222,63,5,116
2023-01-04,166,47,3,84
2023-01-05,198,38,1,79
2023-01-06,142,44,1,58
2023-01-07,189,41,3,85
2023-01-08,176,46,3,77
2023-01-09,144,49,0,53
2023-01-10,163,35,2,57
2023-01-11,146,38,1,77
2023-01-12,148,22,4,84
2023-01-13,128,25,2,56
2023-01-14,159,44,3,61
2023-01-15,189,39,5,85
2023-01-16,155,38,0,72
2023-01-17,126,31,0,53
2023-01-18,130,28,2,60
2023-01-19,136,36,3,62
2023-01-20,115,26,3,59
2023-01-21,141,39,2,66
2023-01-22,148,34,4,75
2023-01-23,155,39,4,84
2023-01-24,159,35,4,67
2023-01-25,148,41,0,69
2023-01-26,116,36,4,49
2023-01-27,163,37,2,90
2023-01-28,194,40,1,115
2023-01-29,197,42,2,110
2023-01-30,135,37,3,87
2023-01-31,164,26,1,76
