Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
53217284,A Marvellous Light,Ellie,571,2055,4,"July 24, 2021","I cannot find a more apt way to describe A Marvellous Light than by saying it's like top-tier fanfiction - and anyone who's read top-tier fanfiction knows that equates to being a story that's incredibly fun, gorgeously written and includes a significant dose of steamy romance 👀I really loved the world and characters of A Marvellous Light (shout out to one of my favourite tropes - the magical house - and Sutton Cottage) and this first instalment sets up the rest of the series well. Secret society of magicians in London is a concept already done quite a few times over, but Marske sets AML apart by setting the story in Edwardian London (one of my favourite eras aka early Downton Abbey setting) rather than the popular Victorian London, and by including a style of magic based off of the game cat's cradle, which is really fun.Very much looking forward to book two. Hope to see more of Sutton Cottage. Also very much appreciated all the William Morris wallpaper and the mentions to Tiffany lamps. Thank you to the publishers for providing me with a review copy!*applicable A03 tags, as according to the publisher: - overthinking under-powered spiteful librarian/genial jock with surprising layers- UST (unresolved sexual tension)- VRST (very resolved sexual tension)- fantasy of very bad manners- hurt/comfort- Houses That Love You- bound by blood- bound by sexy magical restraints (lol)- gratuitous library porn- homicidal hedge maze- sleeves rolled up forearms- Messing About In Boats (classically english homoerotic trope there)[x]all in all, what a wonderful book this looks set to be",371,20
53217284,A Marvellous Light,Joel Rochester,62,16600,5,"January 28, 2022","gays trying to solve a magical conspiracy? yes plsi really enjoyed this wild adventure and i'm so excited for the sequel!maybe I'll post a more extensive review but i am a typical bookworm so it could come in a few days, six months or never",156,N/A
53217284,A Marvellous Light,Brittany Smith,223,217,2,"September 16, 2021","Thank you to Edelweiss and the publishers for the ARC in exchange for an honest review.I had a coworker looking forward to this book, and seeing the Alix Harrow blurb, I had to download it! Edwardian gay magicians, pretty cover, what’s not to love?A Marvellous Light follows two men, Robin and Edwin, in an Edwardian London with magicians. After a clerical error, non-magical Robin gets put in a government position that investigates magical circumstances and is supposed to keep them quiet so people don’t find out about magic, with Edwin as his… supervisor. But the position Robin fills is one that was recently vacated due to his predecessor being murdered. Robin is thrust into the world of magicians and it’s up to Robin and Edwin to solve his predecessor’s murder and uncover the plot he was involved with.As much as I thought I’d like this, it was a STRUGGLE to read and finish. I contemplated DNF-ing multiple times but forced myself to finish. The writing style seemed to WANT my eyes to skim over it. It did not work for me at all. The only thing I highlighted in the book was a throwaway line “several chapters’ worth of meaningless symbols…” because it felt like a summary of the book as a whole. Nothing grabbed me, and I frequently found myself stopping and getting distracted. The only reason I continued was sheer force of will alone, and nothing to do with the book itself.This book was slow. Even as an adult high fantasy reader who usually doesn’t mind slow beginnings, it was GLACIALLY slow. I would read and think I made progress, just for a few percent to go by. I had to look up how long this book is supposed to be because it seemed to stretch on with nothing remotely interesting happening forever, making me think this HAD to be a tome of a book, only to find out it’s less than 400 pages! Eventually things pick up, at about 50% through, but the novel as a whole was about as exciting and riveting as an afternoon nap, since it consisted of mostly filler and very few plot points to be found.For a dual perspective, I didn’t care much about either of the characters, and while they had different personalities, neither were compelling or endearing. And even worse than them both being wet blankets but in different ways, little was done to the writing to differentiate their perspectives, so every switch (which went unlabeled) felt as though it was fumbling as I tried to decipher what perspective I was reading from before being able to continue reading.ANY of the other characters were completely two dimensional and like cardboard cutouts, just props to place within the narrative, so even the side characters were impossible to care about. The one exception might be the woman assistant Adelaide, but even she felt two-dimensional.The magic system was fairly interesting and the romance was okay. There were a couple sex scenes, so definitely not a book for minors. Maybe the fact that it’s m/m gay will be enough of a draw to get people to read and like it, since m/m has always been more popular and “palatable” but I’ve been spoiled with amazing sapphic fantasy reads this year that have everything this book sorely lacked and this in no way compared.I think the idea of this book had a solid base, and I did (eventually) want to find out what happened but it was lacking a lot of things that are incredibly vital to any good book: excitement, investment, high stakes, good pacing, interesting characters, decent resolution. It wasn’t completely terrible, but I would consider it a stretch to even call it “good” so it’ll definitely be filed under disappointing reads.My resounding feelings and thoughts towards this book can be summed up as: meh/bad. 2 stars. I highly doubt I will continue reading this series unless there are MAJOR changes/improvements.",116,15
53217284,A Marvellous Light,Madison,566,309,3,"September 16, 2021","Can we all agree to put a moratorium on describing every gay book as ""the next Red, White & Royal Blue?"" It's ridiculous that every m/m romance novel has to exist in relation to an underwhelming (but lucrative) book from two and a half years ago. I recognize that by using RWRB as a comp, publishers are attempting to manifest the kind of financial success McQuiston (and therefore St. Martin's) had, The Secret-style, but it's an utterly meaningless comparison. Literally the only thing these two books have in common is that they're gay.A better (and completely obvious) comp is Witchmark by CL Polk. They're both gay magician historical romances set in England, for one. Another would be the The Magpie Lord by KJ Charles, yet another gay magician historical romance set in England. This is a real subgenre, people. Three seconds of research would turn up dozens more. You don't need to make lazy comparisons to the one other gay book straight people read.Like Witchmark, there's significant worldbuilding and an interesting magic system, though A Marvellous Light is more sexually explicit than what Polk writes. I thought the way magic works in this book--with hand shapes guided by string--was truly very cool. But like KJC's books, the story is overburdened with plot when people (me) would vastly prefer pining and kissing. There's a place for plot in romance books, of course. There's no satisfaction without conflict of some kind. But it's a matter of weaving it all together in a way that's interesting and seamless, and that doesn't happen here. It mostly felt like a slog through backstory and technical details.Aside from the pacing, another gripe I have is that every female character in AML is conniving, shallow, cruel, empty-headed, or some combination of all four. Adelaide is slightly more dimensional by the end, but not by much.Throughout the book, I found myself wishing for more of the tertiary villain, a character that gets one scene and then lots of later mentions. He's described pretty much exclusively as hot and mean, which already makes him leagues more interesting than the actual protagonists, both of whom are of only mild attractiveness and have the personalities of wet paper. I'm hoping book 2 is 200% more Jack Hawthorn, but even if it is I don't know that I'd be interested enough to dive back into this series. Overall, it's a straightforward and mostly forgettable romance novel.",67,4
53217284,A Marvellous Light,Meags,"2,065",354,3,"March 28, 2022","2.5 StarsA polite round-up of stars, mostly in respect to the author and her debut efforts, and the gorgeous cover design that still sets my heart on fire. This story has and will be a delight to many readers, with its queer leads and its magic-tinged Edwardian England setting. It had a lot of things going for it—it simply didn’t grab me the way I was hoping/expecting.In truth, I was bored. Start to finish, bored. Took me three times the normal period to read a book of this length, bored. To be clear, I love books with magic. I spend 95% of my reading time devouring books with LGBT characters. I love a good historical romance and I crave a good mystery arc. This should have worked a treat for me, but it didn’t.I can’t even pinpoint a specific problem, beyond simply being apathetic to the uneventful plot and the bland characters. The unique magic system should have been the real draw, but it fell completely flat in its enactments. I wanted more Harry Potter wow; more Sam of Wilds power; more Whyborne and Griffin passion; more Magpie Lord oomph! Just, more.I think, maybe, if magic-fused historical romances, featuring queer leads, was a new genre for you, this might actually be exciting.?! But for those well-versed in the genre, who LOVE the genre, this probably won’t do much for you. Will I return for the planned sequels? Probably not… but never say never. ",67,11
53217284,A Marvellous Light,mwana ,363,196,5,"January 7, 2023","
  
    We are man's marvellous light /We hold the gifts of dawn /From those now passed and gone /And carry them into the night.
  
 I love a good story. I especially love a well-written good story. And this had brilliant prose in spades. When she dropped this banger on page 10, 
  The last time he felt this way was when he found out that his parents were dead. Instead of surprise, this. An exhausted wrung-out space.
Sploosh.The story starts with Reggie Gatling, a poster body for the wrong place at the wrong time with the wrong intentions. He is involved with the Unsavoury Five* and with a binding spell on his tongue, he isn't of much use to our villains. After Gatling goes missing, hapless layabout and happy-go-lucky enthusiast Robin is hired to replace him. This doesn't sit well with Edwin. But he has no time to brood or moan about it when Robin is attacked by the Unsavoury and they have to work together to uncover whatever Gatling was involved in. An uneasy allyship is formed between our two leads. Reminiscent of Vaudrey and Day from The Magpie Lord. However, these two don't have history. They just differ as much as ice and fireworks. Robin's denial of his budding attraction to Edwin was hilarious to watch really. He became quite the poet where the other man was concerned 
  Robin managed to hold his tongue on something truly unwise like You look like a Turner painting and I want to learn your textures with my fingertips. You are the most fascinating thing in this beautiful house. I’d like to introduce my fists to whoever taught you to stop talking about the things that interest you.
 Oh and it doesn't even start there. 
  Robin's first impression was still correct. Edwin was not handsome. But from this angle, with that smile like a secret caged in glass, he had... something. A delicate, turbulent, Turner-sketch attractiveness that hit Robin like a clean hook to the jaw.
 What I wouldn't give to infatuate a book nerd with the power of a right hook. There are moments where the author over-indulges in metaphor. But it's not clumsy, it's endearing. But perhaps what made this book a solid 5-star read for me is it's interrogation of talent. Is talent innate? Must it be wielded? When the talent is something as powerful as magic, are you allowed to strip others to feed your own power? 
  Think of someone born with a great musical gift and never put in front of a piano,” said Charlie. “But one can hardly go around testing the general population just in case you unearth the occasional natural case of magic...
 But isn't this where gut-feelings come in? My heart burst the first time I saw my name in a by-line. Surely other writers are born this way.This book doesn't shy away from harsh realities. A side character, Billy, has recently had his heart broken because his betrothed turned him down for someone with better marital pedigree. Someone higher up in the magical rungs. When he confronts Kitty, it's rather an amazing display at assertion. 
  “Happy? Marrying a man you were barely friends with at the time?” This argument had the weakly bitter note of leaves twice-steeped. “If you loved me enough, you’d have told them to go hang.” “Yes,” she said.
 Deadass cheered. No one is owed reciprocation of affection. There is a clear worship of books, history, record-keeping and story telling. Stories are why anyone does anything. Perhaps this is why Edwin emerged my favourite character. Relatable to me, to an alarming degree, 
  The vivid expectation of abandonment; the bone-deep resignation to the fact that he would lose the things he wanted, or else never deserved them in the first place.
 He was a Murderbot-esque character who wants everyone (except Robin, eventually) to leave him alone so he can solve mysteries in libraries. I loved every page of this book. Even the cliche-riddled third act where the main protagonists have the requisite fight and they resolve their issues when one has to go on a rescue mission of the other. However, the trope is turned on its head and the stakes raised even more. With the promise of a sequel, one can't help but wonder what lays in store for our characters. If you are looking for a fantasy adventure story set in Victorian England with a magical protagonist who is rather under-powered with a strong sense of suspense, high stakes (well, for a romance) and an enemies-to-lovers story, look no further. This marvellous delight is for you.* not their actual name.",62,8
53217284,A Marvellous Light,"luce (englishified italian, devil incarnate)","1,406",3217,3,"October 15, 2022","| |  blog |  tumblr | ko-fi | | 3 ½ stars 
  “I am nothing like you, and yet I feel more myself with you.”
  Part cute/steamy romance, part historical fantasy romp, A Marvellous Light is a (mostly) delightful debut novel. A Marvellous Light is likely one of the best romances to come out in 2021. I really had a blast with this novel! While Freya Marske’s historical setting and the magical system is not quite as detailed & complex as Susanna Clarke's in Jonathan Strange and Mr. Norrell or Zen Cho's Sorcerer Royal series, its setting is vibrantly rendered and the fantasy aspect was a lot of fun and gave me some serious Diana Wynne Jones/Ghibli vibes. The main characters make the novel, and I found them incredibly endearing. The plot itself is fairly conventional, and it is Marske’s engaging style and her compelling protagonists that steal the show. “You woke me up. You're incredibly brave. You're not kind, but you care deeply. And I think you know how much I want you, in whatever way I can have you.”Set in Edwardian England, A Marvellous Light follows Robin Blyth and Edwin Courcey. Recently orphaned Robin is in his late twenties and despite his newly inherited title, he’s in urgent need of an income. A clerical mishap lands him in the position of ‘Assistant in the office of Special Domestic Affairs and Complaints’, his predecessor, a certain Reginald Gatling having gone suddenly MIA. On his first day on the job, Robin meets Edwin Courcey, who is the special liaison to the Chief Minister of the Magical Assembly. Robin, baffled by the discovery that magic is indeed real, is sure that someone more suitable should be taking his place. While Robin and Edwin are not keen on working together, after a certain altercation with some dubious individuals, the two decide to join forces in their effort to find out what happened to Reginald. Much of the narrative takes place in Edwin’s family home, where we learn more about how magic works and we see the bond between the two men solidify in something resembling a friendship.The narrative’s scope remains rather narrow, and the story is very much focused on the blossoming romance between Edwin and Robin. The growing sexual tension between them complicates their ‘mission’, as the two men will be forced to confront the magnitude of their feelings for each other.The dynamic between Edwin and Robin is truly charming. By switching between their perspectives we learn more about their personal histories, their relationship with their family members, and their previous romantic ‘exploits’. Edwin is a brilliant scholar, and he possesses vast magical knowledge. However, he does not possess much magic, and this has made his family treat him with open contempt. His older brother, who has a lot of magic, is a horrid bully, and his sister and parents have always turned a blind eye to his relentless tormenting of Edwin. Because of this Edwin is slow to trust, guarded to the point of rudeness. While Robin was never particularly close to his parents, who were not nearly as charitable and selfless as they liked to pretend, he is far more open and carefree. Of course, after a certain ‘event’, Robin too begins to have a lot on his mind. At Edwin’s family home the two grow closer, and as they attempt to find the truth behind Reginald’s disappearance they find themselves growing attached to one another.While we don’t learn much about the Magical Assembly or of the history of magic in England (other than a snippet here and there), the author does a fairly decent job when it comes to world-building, avoiding info-dumps and overly complicated explanations. The mystery storyline is perhaps the novel’s weakest element. There is an attempt at a twist villain but I’m afraid that it was fairly obvious that that person was indeed a ‘baddie’. The last 30% is slightly repetitive, and maybe I would have found it more gripping if the villains had been more fleshed out (we also get the uber cliched line: “Come on board, you'll have the power you've always wanted”). Speaking of secondary characters, they are somewhat one-dimensional. I kept confusing the people at Edwin’s house, as they all have ridiculously posh sounding nicknames and behaved in varying degrees of obnoxiousness.I did however like Miss Morrisey and her sister, I mean: “And we are but feeble women,” said Miss Morrisey. “Woe.” They were a fun addition and I wish they had played a bigger role in the story (hopefully we will see more of them in the sequel!).The romance between Edwin and Robin is the cherry on the cake. Their chemistry, banter, and flirting make for some thoroughly enjoyable and surprisingly sweet passages. I wasn’t really expecting the story to be quite this smutty and I have to say that the sex scenes did feel a bit overlong. I don’t mind sex scenes but smut...eeh, it does nothing for me. I either find it unintentionally funny or boring. But this is clearly a ‘me thing’ so I’m sure other readers out there will be *ahem* more appreciative of these scenes. While the plotline is somewhat predictable (we have those fairly obvious twists, the usual misunderstanding that occurs around the 70% mark in romances) Marske does have a few tricks up her sleeves and she leaves quite a few questions unanswered (hopefully the sequel will resolve some of these). Overall this was a very entertaining read. It has humour, mystery, plenty of magical hijinks, and a lively Edwardian backdrop. Robin and Edwin are guaranteed to give you ‘the feels’, and I really liked their character arcs. And, last but not least, their romance. While I could have done with fewer sex scenes and more plot, Robin and Edwin’s relationship was great. The author doesn’t rush it, so we have quite a decent amount of longing/yearning….which I have always been a sucker for (especially in historical fiction). I am super excited to read the sequel and I thoroughly recommend this, especially to those who are looking for a sweet-turned-sexy queer romance + the perfect blend of fantasy and historical fiction.ARC provided by the publisher in exchange for an honest review.",61,4
53217284,A Marvellous Light,drew ～hiatus-ish～,212,90,5,"February 8, 2022","after a string of disappointing and mediocre books, i have my first five-star read of the year!! and oh, man, it was so nice to finally really, really enjoy a book this year! buddy-reading with Parris definitely enhanced the experience for me, as well. dissecting and theorizing about plot developments and just gushing about how cute/sweet/hot Edwin and Robin were being? such a good time and definitely made my reading experience more rewarding.this is Freya Marske's debut novel and, man, did she deliver! she did such a beautiful job of balancing the book's overarching plot with its romantic aspects. Edwin and Robin were wonderfully developed, and the way their relationship slowly unfolds over the course of the book was such a joy to witness. this is what i would consider a slow-burn romance, which is really enjoyed. the foundation of their relationship is laid slowly and built upon in a realistic and rewarding way, so when they finally get together it feels earned. their romance isn't -quite- the driving force of the plot, but it does inform a lot of their reactions to the various plot points, especially towards the end of the book.my only small niggle is i felt the ending was just a tad underwhelming; i really wanted Walt to die!!!!! now, that's not to say it was a bad ending! i actually really did like how Edwin maneuvered the final showdown and outsmarted the villain; that was definitely enjoyable to me! and the book's actual ending being a sex scene? a good time nn. i know this is the first book in a trilogy, so i have faith the true, final ending to the story will be a satisfying one. overall, this was such a fun and satisfying read, and i'm really looking forward to the next two books in the series! 4.5 stars rounded up.",59,22
53217284,A Marvellous Light,Elle,584,1248,4,"December 2, 2021","A little slow to start, but I eventually got really into A Marvellous Light! It’s not my typical read, despite there being ✨magic✨ present, but it grew on me as the story went on. Did Dennis trick me into reading a period romance disguised as a fantasy? Yes, but at least he didn’t lie about how engaging it was. I alternated between the audio and the physical copy, and will fully admit the first 15% or so I had no idea what was going on. I definitely could have focused a little harder and kept from occasionally zoning out during the audio, but in my defense the beginning was kind of dull. The two main characters, Edwin and Robin, were meant to be foils to one another in many ways, but I could not keep them straight (lol) for the longest time. I eventually just started ignoring the names and figured out who was who based on whichever one was acting the grumpiest (Edwin). Without getting too much into it, Robin accidentally takes a job at magical office, despite knowing nothing of magic and having none of the ability himself. He crosses paths with Edwin who is looking for his predecessor, and the two of them end up also being pursued by an unknown party looking for the man Robin replaced. They bop around to different aristocratic, posh magical estates looking for clues, and eventually a begrudging partnership grows into something more substantial.I was warned or informed, depending on your preference, that as prim and proper as A Marvellous Light may appear, there’s a heavy ‘steam’ factor (am I saying that right) in the novel as well. But please do not expect this to happen in the first half of the book, they can barely look at each other until you’ve gotten through at least 150 pages. But once the gloves are off, everything comes off so to speak. Oh god, I’m speaking in entendres—send help.But yes, there is some light use of magic, though its existence is central to the plot. There are a number of magical orgasms too, and the romance is decidedly not closed door. It’s got a Downton Abbey feel, but more fantastical and gay! I liked it a lot overall, and I’d be interested to see where this supposed trilogy ends up going.*Thanks to @scaredstraightreads & Tordotcom for my giveaway win!**For more book talk & reviews, follow me on Instagram at @elle_mentbooks!",55,5
53217284,A Marvellous Light,Colleen is on Semi Hiatus (Health Issues),372,127,4,"December 19, 2022","I entered A Marvellous Light giveaway honestly because of the cover. It’s just so gorgeous I couldn’t resist! I found out I won (yay for me 🥳) and then I read the synopsis. 🙈 This is a Historical Fantasy…heavy on the historical. Honestly historical fiction is hit or miss for me. I’m enjoying it more these days but my brain tends to still put up resistance. 🤷‍♀️ So I wasn’t really looking forward to picking this up and I was expecting a pretty dull read. But wow..this book was so much better than I expected! And honestly the beginning was a tad bit boring, and it was kind of difficult to follow. But as the story progressed, a bit before the quarter mark, I became sucked in and completely engrossed.“We are man’s marvellous light / We hold the gifts of the dawn / From those now passed and gone / And carry them into the night.”It’s the early 1900’s in the great country of Britain. There is a secret society of magicians that the average citizen knows nothing about. Robin Blythe, a “regular” guy has been sent to liaison for The Office of Special Domestic Affairs and Complaints, after Reggie the previous liaison seems to have disappeared. Edwin the head of SDAAC, knows their has been a paperwork mistake the minute Robin sees a magical spell for the very first time. Edwin plans for Robin to be transferred immediately and send him on his way, putting this little mishap behind the both of them. But plans change when Robin is strong armed by a group of “foggy faced” men that place a painful curse on him to help encourage Robin in finding the whereabouts of a magical object that could jeopardize every magician in Great Britain. He has no choice but to work with the cold and prickly Edwin Coursey, whose made it exceedingly obvious that he is not wanted. Robin wants to find the object and get on with his life, he his has own affairs to attend to. Which includes taking care of his younger sister who needs him more than ever since their parents death, and nothing to do with magic. As these two follow the clues Robin and Edwin learn to appreciate one another and begin a sort of “friendship”. Edwin shows Robin there is more than power and cruelty in magic, it also has it’s beautiful side. But as the curse progresses and people start dying their search becomes more desperate. Can they find the unnamed object before the unknown assailants or are they doomed to fail?I was pretty sure there was a romance of sorts in the story because the blurb compared it to Red White and Royal Blue. But tbh I didn’t think it would get quite so steamy between these two very English Men especially one being cold as ice. Also I just didn’t get that vibe from the blurb. Here is my warning people: Be prepared for lots of steam and lots of blushing! True Story, I listen to my audiobooks on my speaker quite frequently (minus my romance reads 😁) and I live in a household full of people. I don’t blast them but I’m sure they can be heard because my room is in a central area of the house with lots of traffic. I usually have my phone with me so I can turn off and on and control the volume when I want. But for some reason my phone was not next to me..I didn’t know where I put it, and as I was listening one of those very steamy scenes was being broadcasted through my speaker in what felt like super sonic stereo. 📢 Picture me running in slow motion..that’s how it felt..lol I couldn’t get to my speaker fast enough. I don’t know if my roomies actually heard anything but I felt curious eyes on me the next couple of days. 😂The romance wasn’t just about steam though. It was about vulnerability and whether Edwin could truly let Robin in, he had been burned before and actually was teased a lot growing up. It was actually quite touching to see the dynamics between them. There is more mystery than magic in AML so for Fantasy Lovers who are looking for a book with a heavy dose of Fantasy, this is not that book. The mystery part of the story was interesting, it kept me guessing, and was sometimes confusing, but when everything came together it was absolutely absorbing. Freya Marsake has a way with words bringing her characters to life with depth, weaving a wonderful and intricately detailed story. I look forward to seeing what’s in store for Edwin and Robin’s next adventure. Thank You Tor/Forge & Goodreads for this gifted book!",53,20
