Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
48656848,Afterlove,AbbysBooks,71,2734,5,"August 4, 2021",I got 50 pages into this book and I KNEW it was going to be one of my new favourites. I am telling you it is THAT powerful.,263,7
48656848,Afterlove,Brend,287,248,3,"July 26, 2022","""Stop killing lesbians"" she yelled at the computer after finishing Bly Manor, then proceeded to pick up a book she knew was about dead lesbians. She sighed.",126,1 comment
48656848,Afterlove,theresa,276,4266,4,"July 20, 2021","Let’s just start this off by saying that the tagline “the lesbian love story you’ve been dying to read” is not wrong. Far from it. I adored Afterlove from the very first page and only fell deeper as I was introduced to the love interest and romance and reapers. The strength of this book definitely lay in its romance. I fell hard for Ash and Poppy almost immediately and adored getting to read about their relationship throughout the first half of this book, from a not so cute meet cute to their first date to future plans. I think some readers may find their relationship to be a bit too insta love for their preference but I loved it. It felt natural for two teenagers, especially as we already know that Ash is a romantic who falls hard and fast. Ash and Poppy definitely fit the U-Haul lesbian stereotype and this made the book all the more heartbreaking as you watched them discussing and dreaming about the long life they would have together while knowing that it would be impossible, with tragedy looming on the horizon. I not only adored Poppy and Ash’s romance but them as individuals. Their personalities complimented each other so well, from Ash’s spunk to Poppy’s clever, sunshine demeanor. The separation of the book into two parts – love and after – was really effective as it allowed the readers time to fall in love with Poppy and Ash and their relationship, making Ash’s death and the resulting grief all the more heartbreaking. I also really enjoyed the lore surrounding the reapers and felt that Byrne did a really good job of explaining everything you needed to know about this world without overwhelming the reader. I won’t go into too much detail on the next point but I will say that the ending fits the book perfectly.My only criticism is that I’d have liked to see more of Ash’s grief for her family and best friend after her death. There is an initial moment of grief but it’s almost forgotten and considering how much time we spent with Ash’s family in the first part of the book, it felt a bit abrupt for them to barely cross Ash’s mind again.Afterlove is above all a love story. A story about the power of love and human connection and its ability to transcend all, even death. A story of two girls whose love only shines brighter for all the darkness it faces. I cannot recommend this book enough if you fancy a hint of paranormal tragedy in your romance or even a sapphic They Both Die at the End.I also talk about books here: youtube | instagram | twitter *Thank you BKMRK for an advanced copy. This has not affected my review.*",120,N/A
48656848,Afterlove,Melissa ♥ Dog/Wolf Lover ♥ Martin,"3,365",9426,2,"September 24, 2021","Beautiful pink sprayed edges from Fairyloot. We got two books in our box. But, it wasn’t for me so it’s going in the trade in box for someone else. Mel 🖤🐶🐺🐾",56,N/A
48656848,Afterlove,tappkalina,627,381,2,"November 6, 2022","Not what I was expecting. I wanted something emotional and it gave me none.The prologue was the best part of it, it made me so excited, but the rest was boring. And it turned out the prologue is actually a full chapter in the book towards the middle/end, and while I loved it as a prologue, it did not fit in with the rest of the story. I felt like it was the first thing the author wrote and made it perfect, than copy-pasted it into her first draft, but not the writing style, nor the mc's emotions fit in well with the previous chapter.The end was alright, but the book itself lacked of emotions, and I failed to care about any of the characters.",51,N/A
48656848,Afterlove,Janna ,311,225,3,"September 13, 2021","The first part of the novel is about how Ash and Poppy get to know each other and fall in love. We learn about her best friend and her little sister and their lives as brown girls living in Brighton.That was the part I enjoyed the most - and even though I was looking forward to the paranormal theme of this book so much originally - that was the part that disappointed me the most. To me it felt like Ash had next to no agency after she died. Yes, she wants to see Poppy again, but that's it.I wish there would have been more to her character than that. I get that that's the main plot line, but there needs to be a little bit more to a character than a wish to see their romantic love interest for them to have some kind of depth.One last thing that I was really disappointed with was a transphobic comment made by Poppy which was left uncriticized.When Ash tells Poppy she's a lesbian, she responds ""Same. I'm strictly clitly"". It's ""just"" a sentence, but it has a big meaning. There are women who don't have vaginas - and to exclude them from your definition of being a lesbian is and will always be transphobic.It's really devastating to read these ""small"" but harmful comments made repeatedly in the books I read. I bet most authors don't even realise what they're writing is transphobic.. which might be one big problem itself: lack of education.But it's not the task of trans people to educate every single author on this planet. Honestly, if you can do your research on myths or the 17th century or whatever - you can spend a minute to educate yourself about transphobia and how to avoid including it in your writing.To conclude, I enjoyed the writing style, the setting and found the idea of the plot intriguing - the execution only to some degree, unfortunately.content warnings: death, racism, queerphobia, harry potter reference, transphobia, knife attack, car accident",50,4
48656848,Afterlove,"charlotte,","2,997",796,4,"October 12, 2020","
  …when she looks at me, smiling at me in that same slow way she did when she asked me if I wanted to jump, it’s as though she’s struck a match and set me alight.
Actual rating 3.5
  On my blog.
Rep: British Indo-Guyanese lesbian mc, lesbian li, Turkish side character, British Indian side character, hijabi side character, Indo-Guyanese side charactersCWs: death, mentions of suicides & overdosesGalley provided by publisherAfterlove is a gorgeously-written paranormal(ish) romance(is) YA novel. I say “ish” because it’s sort of both of these things but also not. It blends aspects of each very successfully to come up with something wholly in its own class.In the book, we follow Ash as she meets and falls in love with Poppy. But then the unthinkable happens and Ash wakes up, neither quite dead nor quite alive, but in between. A reaper, tasked with escorting the souls of the dead to the afterlife.The first thing I noticed about this book was how brilliant the writing was. It’s that kind of writing that can rip you apart with only a few words, so obviously I was predisposed to love it. And that writing made it very easy just to slip into the story and wait for it to break my heart.Which it duly did! Not quite as early on as I thought, admittedly, though I guess it’s a hard one to balance. You want to have your readers believe in the relationship between Ash and Poppy, which means you need to develop it. But the crux of the story is in Ash’s death and her subsequent desire to see Poppy again one last time.It made the pacing a little odd, to be honest. It felt like it was going pretty slowly up until Ash’s death, but at the same time Ash and Poppy’s relationship was developing very rapidly. The contrast between the two is what made the pacing seem strange to me. Maybe though, I was more atuned to that because I was expecting the book to almost open with Ash’s death, and not for it to be the halfway mark or so. (Also at one point, I was surprised that the book had only progressed by two weeks, when it felt like a lot longer. But I think, like I said, the pacing was a product of the story.)But that didn’t affect my liking of the story so much, thankfully. I was still fully invested throughout and desperately hoping that the foretold ending would actually somehow be subverted.And I maybe sort of teared up a bit at the end.(Seriously, can we get like a short story sequel thing? I just wanna know how they’re doing!)",42,N/A
48656848,Afterlove,Anaïs (Taylor's Version),70,19,5,"August 21, 2022",They didn't lie : it IS the lesbian love story you've been dying to read. New favorite unlocked,39,N/A
48656848,Afterlove,Sîvan Sardar,94,1036,5,"September 24, 2021",The way this exceeded every one of my expectations 😭,36,N/A
48656848,Afterlove,Bibs Harker,184,35,5,"September 5, 2021",WHY DID NO ONE WARN ME OF HOW SAD THIS BOOK IS?!?!?!?THIS BOOK. THIS BOOK IS SO GOOD IM ACTUALLY CRYING LIKE WHAT I AM SUPPOSED TO DO NOW???I WILL NEVER KNOW PEACE The plot is so unique and fast paced I couldn’t stop reading!! AND THE CHARACTERS. I LOVE THEM SO MUCH😭😭😭Please everyone READ THIS BOOK I don’t know how to cope with anything rn,31,N/A
