Title,URL
"Red, White & Royal Blue",https://www.goodreads.com/book/show/41150487-red-white-royal-blue
The Song of Achilles,https://www.goodreads.com/book/show/13623848-the-song-of-achilles
They Both Die at the End,https://www.goodreads.com/book/show/33385229-they-both-die-at-the-end
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",https://www.goodreads.com/book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe
"Call Me By Your Name (Call Me By Your Name, #1)",https://www.goodreads.com/book/show/36336078-call-me-by-your-name
"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",https://www.goodreads.com/book/show/19547856-simon-vs-the-homo-sapiens-agenda
"Heartstopper: Volume One (Heartstopper, #1)",https://www.goodreads.com/book/show/40495957-heartstopper
The Seven Husbands of Evelyn Hugo,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo
One Last Stop,https://www.goodreads.com/book/show/54860443-one-last-stop
"Heartstopper: Volume Three (Heartstopper, #3)",https://www.goodreads.com/book/show/43449920-heartstopper
"What If It's Us (What If It's Us, #1)",https://www.goodreads.com/book/show/36341204-what-if-it-s-us
"Carry On (Simon Snow, #1)",https://www.goodreads.com/book/show/32768522-carry-on
"The Gentleman's Guide to Vice and Virtue (Montague Siblings, #1)",https://www.goodreads.com/book/show/29283884-the-gentleman-s-guide-to-vice-and-virtue
Tipping the Velvet,https://www.goodreads.com/book/show/25104465-tipping-the-velvet
"Heartstopper: Volume Four (Heartstopper, #4)",https://www.goodreads.com/book/show/56060300-heartstopper
"Boyfriend Material (London Calling, #1)",https://www.goodreads.com/book/show/50225678-boyfriend-material
Boy Meets Boy,https://www.goodreads.com/book/show/23228.Boy_Meets_Boy
Rubyfruit Jungle,https://www.goodreads.com/book/show/165395.Rubyfruit_Jungle
She Drives Me Crazy,https://www.goodreads.com/book/show/52516406-she-drives-me-crazy
"Heartstopper: Volume Two (Heartstopper, #2)",https://www.goodreads.com/book/show/43307358-heartstopper
Annie on My Mind,https://www.goodreads.com/book/show/595375.Annie_on_My_Mind
The Price of Salt,https://www.goodreads.com/book/show/52258.The_Price_of_Salt
I'll Give You the Sun,https://www.goodreads.com/book/show/20820994-i-ll-give-you-the-sun
Fingersmith,https://www.goodreads.com/book/show/8913370-fingersmith
Keeping You a Secret,https://www.goodreads.com/book/show/272315.Keeping_You_a_Secret
She Gets the Girl,https://www.goodreads.com/book/show/58437812-she-gets-the-girl
The Color Purple,https://www.goodreads.com/book/show/52892857-the-color-purple
The Henna Wars,https://www.goodreads.com/book/show/44286258-the-henna-wars
Oranges Are Not the Only Fruit,https://www.goodreads.com/book/show/15055.Oranges_Are_Not_the_Only_Fruit
Giovanni's Room,https://www.goodreads.com/book/show/406235.Giovanni_s_Room
Ash,https://www.goodreads.com/book/show/6472451-ash
"Cemetery Boys (Cemetery Boys, #1)",https://www.goodreads.com/book/show/52339313-cemetery-boys
Fun Home: A Family Tragicomic,https://www.goodreads.com/book/show/26135825-fun-home
I Kissed Shara Wheeler,https://www.goodreads.com/book/show/58756420-i-kissed-shara-wheeler
"Will Grayson, Will Grayson",https://www.goodreads.com/book/show/6567017-will-grayson-will-grayson
"Delilah Green Doesn't Care (Bright Falls, #1)",https://www.goodreads.com/book/show/54756850-delilah-green-doesn-t-care
Cinderella Is Dead,https://www.goodreads.com/book/show/43900612-cinderella-is-dead
"The Priory of the Orange Tree (The Roots of Chaos, #1)",https://www.goodreads.com/book/show/40275288-the-priory-of-the-orange-tree
Fried Green Tomatoes at the Whistle Stop Cafe,https://www.goodreads.com/book/show/9375.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe
Honey Girl,https://www.goodreads.com/book/show/49362138-honey-girl
Last Night at the Telegraph Club,https://www.goodreads.com/book/show/35224992-last-night-at-the-telegraph-club
"Crier's War (Crier's War, #1)",https://www.goodreads.com/book/show/41951626-crier-s-war
Two Boys Kissing,https://www.goodreads.com/book/show/17237214-two-boys-kissing
Maurice,https://www.goodreads.com/book/show/3103.Maurice
"Written in the Stars (Written in the Stars, #1)",https://www.goodreads.com/book/show/51179990-written-in-the-stars
If This Gets Out,https://www.goodreads.com/book/show/54738255-if-this-gets-out
"Leah on the Offbeat (Simonverse, #3)",https://www.goodreads.com/book/show/31180248-leah-on-the-offbeat
History Is All You Left Me,https://www.goodreads.com/book/show/25014114-history-is-all-you-left-me
More Happy Than Not,https://www.goodreads.com/book/show/19542841-more-happy-than-not
If I Was Your Girl,https://www.goodreads.com/book/show/26156987-if-i-was-your-girl
"Geography Club (Russel Middlebrook, #1)",https://www.goodreads.com/book/show/94072.Geography_Club
"Girls of Paper and Fire (Girls of Paper and Fire, #1)",https://www.goodreads.com/book/show/34433755-girls-of-paper-and-fire
"Wayward Son (Simon Snow, #2)",https://www.goodreads.com/book/show/44017627-wayward-son
"The Upside of Unrequited (Simonverse, #2)",https://www.goodreads.com/book/show/30653853-the-upside-of-unrequited
The Miseducation of Cameron Post,https://www.goodreads.com/book/show/40801157-the-miseducation-of-cameron-post
"Openly Straight (Openly Straight, #1)",https://www.goodreads.com/book/show/16100972-openly-straight
Brokeback Mountain,https://www.goodreads.com/book/show/1627.Brokeback_Mountain
Middlesex,https://www.goodreads.com/book/show/2187.Middlesex
I Think I Love You,https://www.goodreads.com/book/show/49291330-i-think-i-love-you
"Girl, Serpent, Thorn",https://www.goodreads.com/book/show/51182650-girl-serpent-thorn
The House in the Cerulean Sea,https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea
The Gravity of Us,https://www.goodreads.com/book/show/44281034-the-gravity-of-us
Tell Me How You Really Feel,https://www.goodreads.com/book/show/41150474-tell-me-how-you-really-feel
