date,added,ratings,reviews,to-read
2022-08-16,7,3,1,5
2022-08-17,7,0,0,4
2022-08-18,6,1,0,5
2022-08-19,3,3,0,3
2022-08-20,8,0,0,7
2022-08-21,4,2,1,3
2022-08-22,6,1,0,2
2022-08-23,1,2,0,1
2022-08-24,7,0,0,6
2022-08-25,4,1,0,3
2022-08-26,3,0,0,2
2022-08-27,13,2,1,9
2022-08-28,7,-1,0,5
2022-08-29,6,0,0,5
2022-08-30,3,1,0,2
2022-08-31,1,6,1,1
2022-09-01,5,2,1,4
2022-09-02,3,1,0,3
2022-09-03,3,0,0,1
2022-09-04,3,2,1,0
2022-09-05,2,-1,0,2
2022-09-06,7,2,0,6
2022-09-07,5,2,1,3
2022-09-08,5,0,0,4
2022-09-09,8,0,0,6
2022-09-10,1,0,0,0
2022-09-11,11,1,0,7
2022-09-12,7,2,1,6
2022-09-13,6,1,1,4
2022-09-14,6,1,0,5
2022-09-15,6,4,0,4
2022-09-16,5,0,0,3
2022-09-17,9,1,0,7
2022-09-18,5,0,0,4
2022-09-19,6,1,0,6
2022-09-20,6,5,0,3
2022-09-21,7,0,1,3
2022-09-22,4,1,0,2
2022-09-23,5,2,0,2
2022-09-24,6,3,1,3
2022-09-25,2,0,0,2
2022-09-26,9,2,0,4
2022-09-27,5,1,0,2
2022-09-28,8,2,0,4
2022-09-29,6,0,0,6
2022-09-30,2,0,0,2
2022-10-01,7,0,0,5
2022-10-02,3,1,1,2
2022-10-03,11,0,0,10
2022-10-04,6,0,0,5
2022-10-05,6,2,0,5
2022-10-06,4,-1,0,3
2022-10-07,3,0,1,2
2022-10-08,9,0,0,8
2022-10-09,6,0,0,4
2022-10-10,4,-1,0,2
2022-10-11,4,1,0,2
2022-10-12,4,1,0,2
2022-10-13,2,0,0,1
2022-10-14,3,0,0,2
2022-10-15,3,0,0,1
2022-10-16,3,0,0,3
2022-10-17,2,1,1,1
2022-10-18,7,1,0,5
2022-10-19,4,1,0,3
2022-10-20,1,0,0,1
2022-10-21,5,2,0,2
2022-10-22,5,0,0,4
2022-10-23,4,1,0,2
2022-10-24,4,1,0,3
2022-10-25,2,0,0,2
2022-10-26,2,0,0,2
2022-10-27,3,1,0,2
2022-10-28,5,-1,0,4
2022-10-29,1,-1,0,0
2022-10-30,4,0,0,2
2022-10-31,10,0,0,9
2022-11-01,2,0,0,0
2022-11-02,7,2,2,4
2022-11-03,3,1,0,3
2022-11-04,9,1,0,8
2022-11-05,4,1,0,3
2022-11-06,5,1,0,1
2022-11-07,5,0,0,5
2022-11-08,5,0,0,4
2022-11-09,6,0,0,3
2022-11-10,4,0,0,3
2022-11-11,3,0,0,2
2022-11-12,8,2,0,7
2022-11-13,8,-1,0,7
2022-11-14,6,3,0,4
2022-11-15,4,1,0,3
2022-11-16,3,1,0,2
2022-11-17,6,0,1,4
2022-11-18,2,1,0,1
2022-11-19,6,1,0,4
2022-11-20,7,2,0,3
2022-11-21,5,1,0,3
2022-11-22,1,0,0,1
2022-11-23,3,1,0,1
2022-11-24,4,2,0,3
2022-11-25,9,1,0,6
2022-11-26,5,1,0,3
2022-11-27,5,1,0,4
2022-11-28,5,0,0,5
2022-11-29,10,1,0,8
2022-11-30,11,-1,0,7
2022-12-01,9,1,0,4
2022-12-02,8,-1,0,6
2022-12-03,8,3,1,3
2022-12-04,3,1,0,3
2022-12-05,9,1,0,7
2022-12-06,6,1,1,3
2022-12-07,5,1,0,5
2022-12-08,6,1,0,5
2022-12-09,6,2,1,4
2022-12-10,6,0,0,4
2022-12-11,6,0,0,6
2022-12-12,4,2,0,4
2022-12-13,5,1,1,4
2022-12-14,6,3,1,3
2022-12-15,9,1,0,6
2022-12-16,3,1,0,1
2022-12-17,8,1,0,3
2022-12-18,8,1,0,6
2022-12-19,3,0,0,2
2022-12-20,5,3,0,3
2022-12-21,8,0,1,6
2022-12-22,10,1,0,8
2022-12-23,7,0,0,4
2022-12-24,6,1,0,5
2022-12-25,5,2,0,2
2022-12-26,10,-1,0,6
2022-12-27,6,2,0,4
2022-12-28,13,4,1,8
2022-12-29,8,3,0,5
2022-12-30,14,2,0,8
2022-12-31,12,5,2,9
2023-01-01,17,2,1,13
2023-01-02,15,2,0,10
2023-01-03,7,4,0,6
2023-01-04,18,1,0,14
2023-01-05,11,2,0,8
2023-01-06,10,0,0,9
2023-01-07,10,-1,0,8
2023-01-08,9,0,0,8
2023-01-09,3,1,0,1
2023-01-10,11,2,0,8
2023-01-11,8,1,0,8
2023-01-12,10,1,0,6
2023-01-13,8,0,0,7
2023-01-14,9,0,0,7
2023-01-15,11,1,1,8
2023-01-16,19,2,0,15
2023-01-17,11,2,0,8
2023-01-18,9,2,0,5
2023-01-19,4,0,0,4
2023-01-20,8,1,0,6
2023-01-21,12,2,0,7
2023-01-22,11,1,0,10
2023-01-23,12,0,0,9
2023-01-24,8,1,0,3
2023-01-25,7,1,0,5
2023-01-26,4,0,0,1
2023-01-27,8,2,0,4
2023-01-28,11,2,0,7
2023-01-29,10,1,0,6
2023-01-30,6,0,0,5
2023-01-31,5,1,1,4
