date,added,ratings,reviews,to-read
2022-08-16,111,33,4,80
2022-08-17,167,32,5,100
2022-08-18,128,36,4,100
2022-08-19,137,26,6,74
2022-08-20,109,27,5,76
2022-08-21,155,35,9,85
2022-08-22,145,43,9,86
2022-08-23,88,34,10,68
2022-08-24,130,30,7,71
2022-08-25,96,23,3,68
2022-08-26,136,26,5,79
2022-08-27,109,22,4,60
2022-08-28,162,39,7,89
2022-08-29,159,42,10,70
2022-08-30,149,41,11,76
2022-08-31,141,27,7,86
2022-09-01,140,31,8,89
2022-09-02,128,22,3,68
2022-09-03,133,32,5,77
2022-09-04,176,36,3,114
2022-09-05,176,38,10,103
2022-09-06,157,32,5,101
2022-09-07,162,30,5,91
2022-09-08,113,26,1,55
2022-09-09,135,31,5,76
2022-09-10,114,38,8,60
2022-09-11,93,32,5,64
2022-09-12,123,27,4,63
2022-09-13,135,28,1,90
2022-09-14,82,30,7,66
2022-09-15,119,35,14,87
2022-09-16,99,22,3,49
2022-09-17,113,30,4,68
2022-09-18,128,27,3,67
2022-09-19,6088,40,7,6011
2022-09-20,971,32,8,942
2022-09-21,462,26,5,436
2022-09-22,320,34,3,297
2022-09-23,295,25,4,251
2022-09-24,276,31,3,217
2022-09-25,265,31,7,203
2022-09-26,224,33,4,199
2022-09-27,249,26,3,182
2022-09-28,253,33,5,194
2022-09-29,213,26,2,159
2022-09-30,232,28,6,179
2022-10-01,288,26,4,232
2022-10-02,240,27,2,180
2022-10-03,262,25,6,218
2022-10-04,259,22,0,205
2022-10-05,229,37,6,201
2022-10-06,248,18,3,212
2022-10-07,275,32,8,230
2022-10-08,300,17,4,250
2022-10-09,411,27,3,348
2022-10-10,917,32,6,868
2022-10-11,118,33,4,58
2022-10-12,106,24,4,55
2022-10-13,71,19,5,46
2022-10-14,86,25,2,51
2022-10-15,113,24,5,66
2022-10-16,132,28,4,76
2022-10-17,119,28,4,64
2022-10-18,136,30,5,76
2022-10-19,103,18,0,65
2022-10-20,125,30,2,74
2022-10-21,91,27,8,54
2022-10-22,114,16,3,69
2022-10-23,117,32,2,61
2022-10-24,101,25,2,56
2022-10-25,87,17,4,61
2022-10-26,133,34,3,77
2022-10-27,147,33,6,93
2022-10-28,116,32,7,62
2022-10-29,112,26,2,67
2022-10-30,128,22,4,72
2022-10-31,110,24,5,72
2022-11-01,160,16,4,108
2022-11-02,165,28,9,106
2022-11-03,163,29,5,105
2022-11-04,186,33,3,131
2022-11-05,188,28,4,135
2022-11-06,261,29,10,165
2022-11-07,166,19,3,105
2022-11-08,178,39,7,108
2022-11-09,149,23,6,91
2022-11-10,223,26,7,197
2022-11-11,248,32,5,187
2022-11-12,199,32,4,138
2022-11-13,266,44,9,171
2022-11-14,196,42,5,129
2022-11-15,206,30,3,129
2022-11-16,425,36,4,352
2022-11-17,275,37,4,251
2022-11-18,263,22,3,200
2022-11-19,227,25,4,165
2022-11-20,210,45,7,129
2022-11-21,189,44,4,110
2022-11-22,165,36,4,97
2022-11-23,157,45,9,77
2022-11-24,136,30,5,78
2022-11-25,149,27,5,86
2022-11-26,182,32,7,112
2022-11-27,204,31,10,115
2022-11-28,468,47,5,367
2022-11-29,161,43,7,124
2022-11-30,199,34,2,133
2022-12-01,201,32,6,142
2022-12-02,176,23,5,117
2022-12-03,207,39,9,144
2022-12-04,234,36,4,143
2022-12-05,199,44,13,115
2022-12-06,196,36,7,132
2022-12-07,147,28,3,126
2022-12-08,298,41,7,257
2022-12-09,203,34,6,142
2022-12-10,179,26,6,114
2022-12-11,208,38,7,131
2022-12-12,213,44,10,129
2022-12-13,165,35,5,97
2022-12-14,177,31,2,113
2022-12-15,192,41,6,118
2022-12-16,161,26,4,105
2022-12-17,201,29,0,130
2022-12-18,245,48,9,138
2022-12-19,171,35,5,110
2022-12-20,132,33,3,105
2022-12-21,191,38,7,125
2022-12-22,176,27,6,95
2022-12-23,168,37,8,98
2022-12-24,121,33,5,68
2022-12-25,195,36,2,120
2022-12-26,258,57,6,152
2022-12-27,272,48,4,171
2022-12-28,274,54,10,172
2022-12-29,183,50,6,130
2022-12-30,306,39,6,206
2022-12-31,311,67,10,187
2023-01-01,387,61,12,221
2023-01-02,406,92,13,240
2023-01-03,297,56,8,181
2023-01-04,217,61,5,157
2023-01-05,240,49,9,142
2023-01-06,219,47,15,124
2023-01-07,313,57,8,196
2023-01-08,303,57,6,181
2023-01-09,275,58,3,170
2023-01-10,262,46,8,163
2023-01-11,196,47,5,156
2023-01-12,214,52,7,115
2023-01-13,216,34,2,142
2023-01-14,233,35,7,141
2023-01-15,264,46,6,150
2023-01-16,225,47,5,120
2023-01-17,206,37,5,121
2023-01-18,221,41,3,140
2023-01-19,185,33,8,107
2023-01-20,122,29,7,101
2023-01-21,237,40,6,142
2023-01-22,264,58,10,137
2023-01-23,203,48,7,106
2023-01-24,212,51,8,125
2023-01-25,201,59,18,111
2023-01-26,196,40,6,112
2023-01-27,173,27,3,109
2023-01-28,180,45,4,100
2023-01-29,253,47,12,146
2023-01-30,141,39,4,99
2023-01-31,225,54,8,121
