date,added,ratings,reviews,to-read
2022-08-16,31,2,2,27
2022-08-17,53,1,1,46
2022-08-18,32,0,0,30
2022-08-19,19,1,0,15
2022-08-20,30,4,2,23
2022-08-21,23,5,2,18
2022-08-22,42,1,1,35
2022-08-23,31,4,1,26
2022-08-24,43,4,1,36
2022-08-25,33,5,3,32
2022-08-26,43,1,2,37
2022-08-27,30,1,3,26
2022-08-28,31,0,0,28
2022-08-29,351,3,1,348
2022-08-30,183,3,2,177
2022-08-31,128,0,0,126
2022-09-01,96,0,0,95
2022-09-02,78,1,3,74
2022-09-03,72,2,1,67
2022-09-04,86,1,0,82
2022-09-05,86,1,2,85
2022-09-06,97,2,2,86
2022-09-07,100,1,1,98
2022-09-08,60,2,2,58
2022-09-09,73,2,1,68
2022-09-10,63,0,0,63
2022-09-11,59,1,0,58
2022-09-12,61,4,1,56
2022-09-13,100,2,1,94
2022-09-14,67,1,1,66
2022-09-15,84,2,1,79
2022-09-16,111,0,0,108
2022-09-17,103,0,0,100
2022-09-18,156,0,0,149
2022-09-19,362,0,0,361
2022-09-20,67,2,1,66
2022-09-21,32,0,0,30
2022-09-22,45,4,2,39
2022-09-23,28,0,0,27
2022-09-24,37,1,1,32
2022-09-25,36,1,1,34
2022-09-26,38,2,1,36
2022-09-27,32,2,1,30
2022-09-28,37,3,2,31
2022-09-29,28,0,0,27
2022-09-30,29,1,0,29
2022-10-01,29,0,0,29
2022-10-02,36,4,1,30
2022-10-03,29,0,1,28
2022-10-04,27,1,1,25
2022-10-05,34,2,0,32
2022-10-06,23,1,0,22
2022-10-07,19,2,1,18
2022-10-08,23,2,1,19
2022-10-09,28,2,1,23
2022-10-10,29,2,1,26
2022-10-11,31,3,2,29
2022-10-12,33,4,4,29
2022-10-13,21,1,0,19
2022-10-14,28,1,1,23
2022-10-15,33,3,3,25
2022-10-16,40,4,2,35
2022-10-17,47,2,1,33
2022-10-18,33,2,3,26
2022-10-19,34,5,5,27
2022-10-20,33,3,2,25
2022-10-21,40,5,3,30
2022-10-22,53,2,1,40
2022-10-23,37,8,6,31
2022-10-24,34,6,4,24
2022-10-25,53,3,2,46
2022-10-26,173,3,2,154
2022-10-27,58,9,7,41
2022-10-28,71,13,14,50
2022-10-29,40,5,3,36
2022-10-30,62,10,7,45
2022-10-31,60,10,8,44
2022-11-01,195,9,7,148
2022-11-02,172,10,6,121
2022-11-03,155,23,6,106
2022-11-04,156,16,7,107
2022-11-05,176,26,10,124
2022-11-06,212,30,6,137
2022-11-07,155,36,10,93
2022-11-08,155,32,7,94
2022-11-09,141,40,6,79
2022-11-10,213,44,13,136
2022-11-11,163,29,8,105
2022-11-12,170,36,6,96
2022-11-13,228,51,12,136
2022-11-14,165,51,13,97
2022-11-15,163,32,7,101
2022-11-16,637,33,5,568
2022-11-17,379,45,11,351
2022-11-18,295,34,5,243
2022-11-19,250,41,7,188
2022-11-20,186,45,3,112
2022-11-21,122,33,5,99
2022-11-22,125,41,9,82
2022-11-23,120,26,8,69
2022-11-24,104,27,9,49
2022-11-25,107,35,8,60
2022-11-26,132,30,6,70
2022-11-27,130,44,7,66
2022-11-28,99,32,6,41
2022-11-29,96,34,7,30
2022-11-30,106,32,6,54
2022-12-01,127,37,7,75
2022-12-02,115,32,7,74
2022-12-03,126,25,9,75
2022-12-04,139,30,4,80
2022-12-05,114,43,9,63
2022-12-06,141,47,10,88
2022-12-07,91,33,9,71
2022-12-08,116,38,6,69
2022-12-09,116,24,10,69
2022-12-10,117,36,11,64
2022-12-11,114,31,1,67
2022-12-12,133,28,11,73
2022-12-13,152,32,9,107
2022-12-14,101,29,5,56
2022-12-15,118,29,4,65
2022-12-16,117,33,9,69
2022-12-17,117,33,6,64
2022-12-18,114,31,5,69
2022-12-19,90,33,7,47
2022-12-20,82,26,7,59
2022-12-21,108,30,3,54
2022-12-22,107,31,6,57
2022-12-23,107,33,6,65
2022-12-24,82,19,2,39
2022-12-25,86,31,9,35
2022-12-26,184,25,3,116
2022-12-27,195,43,4,118
2022-12-28,181,39,5,117
2022-12-29,103,36,7,86
2022-12-30,175,39,4,103
2022-12-31,161,49,8,84
2023-01-01,207,46,5,114
2023-01-02,176,40,11,96
2023-01-03,162,41,9,83
2023-01-04,75,44,11,56
2023-01-05,101,32,7,57
2023-01-06,116,29,5,68
2023-01-07,132,30,6,71
2023-01-08,139,38,5,74
2023-01-09,94,30,10,48
2023-01-10,105,29,7,50
2023-01-11,75,33,8,59
2023-01-12,98,28,5,44
2023-01-13,104,31,4,51
2023-01-14,125,30,7,66
2023-01-15,134,33,5,77
2023-01-16,142,33,9,68
2023-01-17,126,35,8,68
2023-01-18,110,28,5,53
2023-01-19,98,19,3,54
2023-01-20,53,25,8,38
2023-01-21,108,24,7,58
2023-01-22,127,36,6,64
2023-01-23,105,35,7,42
2023-01-24,111,30,3,57
2023-01-25,111,25,5,53
2023-01-26,89,27,8,55
2023-01-27,103,35,5,50
2023-01-28,99,18,3,57
2023-01-29,106,42,8,47
2023-01-30,75,36,5,49
2023-01-31,78,32,7,52
