date,added,ratings,reviews,to-read
2022-08-16,74,1,0,74
2022-08-17,62,0,0,59
2022-08-18,39,0,1,37
2022-08-19,46,4,2,39
2022-08-20,39,1,3,34
2022-08-21,43,2,1,41
2022-08-22,119,2,1,117
2022-08-23,273,2,2,264
2022-08-24,272,0,0,261
2022-08-25,74,1,1,72
2022-08-26,67,1,2,65
2022-08-27,47,1,0,45
2022-08-28,54,0,0,50
2022-08-29,48,1,1,46
2022-08-30,237,1,0,228
2022-08-31,170,1,2,165
2022-09-01,144,1,1,139
2022-09-02,132,2,2,127
2022-09-03,115,0,0,110
2022-09-04,121,1,1,114
2022-09-05,50,2,2,45
2022-09-06,66,4,3,60
2022-09-07,227,1,1,220
2022-09-08,83,1,1,77
2022-09-09,60,1,1,60
2022-09-10,69,1,1,66
2022-09-11,53,1,0,50
2022-09-12,74,0,0,69
2022-09-13,86,2,1,77
2022-09-14,66,2,1,63
2022-09-15,56,2,0,53
2022-09-16,41,0,0,39
2022-09-17,50,0,1,43
2022-09-18,44,0,1,38
2022-09-19,51,2,1,48
2022-09-20,56,1,1,55
2022-09-21,66,2,1,61
2022-09-22,67,2,1,64
2022-09-23,54,2,2,50
2022-09-24,57,2,2,52
2022-09-25,56,3,3,55
2022-09-26,59,0,1,55
2022-09-27,400,3,1,385
2022-09-28,373,2,3,359
2022-09-29,112,5,3,101
2022-09-30,95,5,4,78
2022-10-01,118,6,4,107
2022-10-02,120,7,3,104
2022-10-03,138,6,3,107
2022-10-04,348,8,9,300
2022-10-05,193,16,7,174
2022-10-06,187,16,4,130
2022-10-07,133,21,5,85
2022-10-08,187,19,10,126
2022-10-09,195,21,8,132
2022-10-10,175,19,6,109
2022-10-11,170,21,5,105
2022-10-12,173,35,9,113
2022-10-13,117,26,7,96
2022-10-14,119,18,6,77
2022-10-15,133,24,7,86
2022-10-16,137,24,2,68
2022-10-17,108,28,4,56
2022-10-18,119,24,6,69
2022-10-19,120,26,2,54
2022-10-20,108,27,11,46
2022-10-21,255,26,3,207
2022-10-22,547,24,6,491
2022-10-23,347,29,4,281
2022-10-24,237,33,6,174
2022-10-25,132,21,6,119
2022-10-26,156,31,8,108
2022-10-27,128,27,4,65
2022-10-28,105,18,3,66
2022-10-29,118,22,5,64
2022-10-30,114,24,4,55
2022-10-31,119,30,6,62
2022-11-01,146,27,4,89
2022-11-02,125,18,7,88
2022-11-03,123,24,6,67
2022-11-04,105,23,3,64
2022-11-05,143,25,5,86
2022-11-06,162,32,4,89
2022-11-07,116,33,8,71
2022-11-08,102,18,3,64
2022-11-09,111,26,4,56
2022-11-10,93,18,4,51
2022-11-11,101,18,2,55
2022-11-12,115,20,7,70
2022-11-13,129,26,3,69
2022-11-14,124,28,7,75
2022-11-15,115,23,4,61
2022-11-16,133,30,6,80
2022-11-17,82,17,5,62
2022-11-18,107,24,5,65
2022-11-19,117,16,3,78
2022-11-20,127,28,4,71
2022-11-21,119,28,3,68
2022-11-22,145,20,4,102
2022-11-23,149,27,6,92
2022-11-24,116,24,4,66
2022-11-25,107,27,5,63
2022-11-26,143,26,4,80
2022-11-27,171,41,5,96
2022-11-28,141,26,9,82
2022-11-29,105,35,6,57
2022-11-30,108,20,5,67
2022-12-01,97,27,3,49
2022-12-02,83,18,5,43
2022-12-03,100,24,5,56
2022-12-04,94,19,2,49
2022-12-05,92,10,6,54
2022-12-06,87,12,1,54
2022-12-07,56,17,3,40
2022-12-08,53,26,4,44
2022-12-09,88,15,2,54
2022-12-10,100,16,4,58
2022-12-11,102,20,3,60
2022-12-12,104,28,7,56
2022-12-13,83,21,2,48
2022-12-14,94,22,4,58
2022-12-15,98,19,4,59
2022-12-16,112,25,2,58
2022-12-17,91,19,4,45
2022-12-18,117,22,5,57
2022-12-19,115,31,6,70
2022-12-20,81,28,2,63
2022-12-21,106,31,7,44
2022-12-22,105,29,6,51
2022-12-23,88,19,4,42
2022-12-24,85,15,3,45
2022-12-25,106,21,7,58
2022-12-26,211,20,3,152
2022-12-27,195,29,4,130
2022-12-28,183,49,9,106
2022-12-29,123,23,4,95
2022-12-30,195,42,4,113
2022-12-31,182,46,8,105
2023-01-01,244,33,5,125
2023-01-02,219,37,7,135
2023-01-03,212,36,5,122
2023-01-04,106,40,3,82
2023-01-05,161,37,4,86
2023-01-06,132,24,4,81
2023-01-07,175,40,8,98
2023-01-08,168,37,10,83
2023-01-09,140,34,4,73
2023-01-10,137,37,7,78
2023-01-11,96,33,11,71
2023-01-12,126,26,5,67
2023-01-13,143,24,3,80
2023-01-14,128,39,5,64
2023-01-15,159,39,4,77
2023-01-16,127,34,5,65
2023-01-17,114,28,5,50
2023-01-18,114,33,7,60
2023-01-19,114,32,3,49
2023-01-20,72,29,5,50
2023-01-21,104,24,3,63
2023-01-22,110,30,5,53
2023-01-23,119,23,3,58
2023-01-24,118,26,3,64
2023-01-25,112,22,3,58
2023-01-26,101,26,5,54
2023-01-27,119,31,8,68
2023-01-28,135,22,2,69
2023-01-29,129,30,2,69
2023-01-30,69,28,5,46
2023-01-31,107,22,7,52
