date,added,ratings,reviews,to-read
2022-08-16,3,0,0,3
2022-08-17,2,1,1,1
2022-08-18,0,0,0,0
2022-08-19,4,0,0,2
2022-08-20,3,0,0,2
2022-08-21,0,0,0,0
2022-08-22,2,2,2,0
2022-08-23,1,0,0,0
2022-08-24,1,0,0,1
2022-08-25,5,1,0,2
2022-08-26,1,0,0,1
2022-08-27,0,0,0,0
2022-08-28,1,1,0,1
2022-08-29,1,0,0,1
2022-08-30,0,0,0,0
2022-08-31,0,0,0,0
2022-09-01,1,0,0,1
2022-09-02,3,1,0,0
2022-09-03,2,0,0,1
2022-09-04,2,1,0,1
2022-09-05,4,2,0,2
2022-09-06,1,1,0,0
2022-09-07,3,2,0,1
2022-09-08,1,-1,0,0
2022-09-09,1,1,0,0
2022-09-10,2,1,0,0
2022-09-11,3,2,0,1
2022-09-12,3,1,0,2
2022-09-13,4,1,0,3
2022-09-14,3,0,0,2
2022-09-15,1,0,0,0
2022-09-16,3,0,0,3
2022-09-17,2,0,0,2
2022-09-18,1,1,0,1
2022-09-19,0,0,0,0
2022-09-20,0,0,0,0
2022-09-21,4,0,0,4
2022-09-22,1,0,0,1
2022-09-23,2,0,0,0
2022-09-24,0,0,0,0
2022-09-25,2,1,0,2
2022-09-26,1,0,0,1
2022-09-27,0,0,0,0
2022-09-28,1,0,0,1
2022-09-29,4,0,0,3
2022-09-30,5,1,0,3
2022-10-01,2,1,0,1
2022-10-02,2,0,0,0
2022-10-03,4,1,0,2
2022-10-04,3,0,0,1
2022-10-05,2,1,0,2
2022-10-06,2,0,0,1
2022-10-07,1,0,0,1
2022-10-08,3,0,0,1
2022-10-09,1,0,0,1
2022-10-10,4,1,0,1
2022-10-11,0,-1,0,0
2022-10-12,0,0,0,0
2022-10-13,3,1,1,1
2022-10-14,3,0,0,2
2022-10-15,3,0,0,2
2022-10-16,1,0,0,0
2022-10-17,2,1,0,1
2022-10-18,4,1,0,2
2022-10-19,1,2,0,0
2022-10-20,1,1,0,1
2022-10-21,1,0,0,1
2022-10-22,1,0,0,1
2022-10-23,3,0,0,2
2022-10-24,2,0,0,2
2022-10-25,2,0,0,2
2022-10-26,2,1,0,1
2022-10-27,2,0,0,2
2022-10-28,2,1,0,1
2022-10-29,1,1,0,0
2022-10-30,5,0,0,4
2022-10-31,0,0,0,0
2022-11-01,2,0,0,2
2022-11-02,3,0,0,2
2022-11-03,0,0,0,0
2022-11-04,1,0,0,0
2022-11-05,1,0,0,1
2022-11-06,0,0,0,0
2022-11-07,2,1,0,1
2022-11-08,0,0,0,0
2022-11-09,1,0,0,1
2022-11-10,1,0,0,1
2022-11-11,2,0,0,1
2022-11-12,3,1,0,1
2022-11-13,7,3,0,3
2022-11-14,4,1,0,2
2022-11-15,1,1,1,1
2022-11-16,4,0,0,2
2022-11-17,1,0,0,0
2022-11-18,2,1,0,1
2022-11-19,4,1,0,1
2022-11-20,1,0,0,1
2022-11-21,2,0,0,1
2022-11-22,0,0,0,0
2022-11-23,2,1,0,1
2022-11-24,4,0,0,4
2022-11-25,2,1,0,1
2022-11-26,2,1,0,0
2022-11-27,0,0,0,0
2022-11-28,1,0,0,0
2022-11-29,1,0,0,0
2022-11-30,0,0,0,0
2022-12-01,1,0,1,1
2022-12-02,3,1,0,2
2022-12-03,3,2,0,1
2022-12-04,4,0,0,1
2022-12-05,1,0,0,1
2022-12-06,2,1,0,0
2022-12-07,3,1,0,2
2022-12-08,3,0,0,3
2022-12-09,0,0,0,0
2022-12-10,1,0,0,1
2022-12-11,0,-1,0,0
2022-12-12,4,1,0,1
2022-12-13,3,0,0,1
2022-12-14,6,3,0,3
2022-12-15,1,0,0,0
2022-12-16,5,1,0,2
2022-12-17,3,0,0,1
2022-12-18,4,0,0,1
2022-12-19,4,-1,0,2
2022-12-20,0,1,0,0
2022-12-21,3,1,0,2
2022-12-22,0,1,0,0
2022-12-23,2,0,0,2
2022-12-24,1,0,0,0
2022-12-25,4,2,1,2
2022-12-26,2,0,0,1
2022-12-27,2,1,0,2
2022-12-28,2,0,0,2
2022-12-29,4,0,0,2
2022-12-30,3,2,0,1
2022-12-31,3,0,0,2
2023-01-01,3,0,0,1
2023-01-02,1,1,0,0
2023-01-03,2,0,0,2
2023-01-04,1,0,0,1
2023-01-05,2,0,0,1
2023-01-06,7,0,0,3
2023-01-07,5,2,0,2
2023-01-08,3,1,0,2
2023-01-09,1,1,0,1
2023-01-10,2,1,0,2
2023-01-11,3,0,0,2
2023-01-12,3,1,0,2
2023-01-13,2,1,0,1
2023-01-14,1,1,0,1
2023-01-15,5,1,0,4
2023-01-16,4,1,0,3
2023-01-17,2,-1,0,2
2023-01-18,0,1,0,0
2023-01-19,1,0,0,1
2023-01-20,2,0,0,1
2023-01-21,3,1,0,2
2023-01-22,2,1,0,2
2023-01-23,1,1,0,1
2023-01-24,1,0,0,1
2023-01-25,4,0,0,4
2023-01-26,0,0,0,0
2023-01-27,2,0,0,0
2023-01-28,3,1,0,2
2023-01-29,2,1,0,0
2023-01-30,4,0,0,1
2023-01-31,1,0,0,1
