date,added,ratings,reviews,to-read
2022-08-16,22,-1,0,15
2022-08-17,25,6,0,15
2022-08-18,32,4,0,21
2022-08-19,25,8,0,14
2022-08-20,18,9,1,8
2022-08-21,33,8,0,22
2022-08-22,28,7,0,18
2022-08-23,18,5,0,11
2022-08-24,33,7,0,22
2022-08-25,17,9,0,9
2022-08-26,19,4,0,11
2022-08-27,24,4,0,17
2022-08-28,20,7,0,10
2022-08-29,20,3,1,12
2022-08-30,22,6,0,14
2022-08-31,26,14,1,14
2022-09-01,11,2,1,10
2022-09-02,16,2,2,7
2022-09-03,21,6,0,13
2022-09-04,18,3,1,11
2022-09-05,20,13,0,11
2022-09-06,19,6,1,11
2022-09-07,13,7,0,5
2022-09-08,18,3,1,12
2022-09-09,21,4,0,13
2022-09-10,22,7,1,13
2022-09-11,25,3,2,20
2022-09-12,15,5,0,8
2022-09-13,23,1,0,15
2022-09-14,16,7,0,9
2022-09-15,19,9,0,9
2022-09-16,16,7,0,10
2022-09-17,16,3,1,10
2022-09-18,17,1,0,9
2022-09-19,20,10,0,8
2022-09-20,18,5,0,13
2022-09-21,21,14,1,10
2022-09-22,15,9,0,11
2022-09-23,26,-12,0,15
2022-09-24,24,7,0,9
2022-09-25,26,10,0,12
2022-09-26,31,2,0,18
2022-09-27,30,2,2,14
2022-09-28,23,-17,0,14
2022-09-29,20,-41,0,11
2022-09-30,17,6,0,9
2022-10-01,20,6,-1,10
2022-10-02,19,4,1,8
2022-10-03,22,3,0,13
2022-10-04,17,6,0,10
2022-10-05,18,1,1,13
2022-10-06,24,2,2,16
2022-10-07,16,2,0,9
2022-10-08,22,3,1,13
2022-10-09,17,4,1,10
2022-10-10,24,6,1,9
2022-10-11,21,5,1,12
2022-10-12,12,1,0,6
2022-10-13,16,2,1,11
2022-10-14,15,-1,0,12
2022-10-15,17,0,0,13
2022-10-16,21,2,1,11
2022-10-17,20,-1,0,13
2022-10-18,23,2,0,13
2022-10-19,18,6,2,9
2022-10-20,18,3,1,12
2022-10-21,11,2,0,7
2022-10-22,17,3,1,11
2022-10-23,12,-4,0,7
2022-10-24,28,8,1,13
2022-10-25,17,-14,0,13
2022-10-26,17,1,0,12
2022-10-27,23,6,0,10
2022-10-28,18,9,0,10
2022-10-29,16,6,0,7
2022-10-30,24,1,0,16
2022-10-31,16,-7,0,10
2022-11-01,28,4,3,18
2022-11-02,25,5,1,13
2022-11-03,12,2,0,8
2022-11-04,17,5,1,11
2022-11-05,13,0,0,7
2022-11-06,22,4,0,13
2022-11-07,19,6,2,11
2022-11-08,22,3,1,13
2022-11-09,13,3,0,12
2022-11-10,10,3,0,5
2022-11-11,23,4,0,14
2022-11-12,19,2,0,13
2022-11-13,27,2,0,21
2022-11-14,25,7,2,14
2022-11-15,14,3,1,6
2022-11-16,13,0,0,9
2022-11-17,10,-2,0,5
2022-11-18,14,2,0,4
2022-11-19,9,2,0,6
2022-11-20,18,1,0,16
2022-11-21,13,3,1,8
2022-11-22,18,2,1,9
2022-11-23,10,3,0,3
2022-11-24,11,1,1,6
2022-11-25,21,6,1,14
2022-11-26,14,1,0,8
2022-11-27,17,7,0,8
2022-11-28,19,2,0,8
2022-11-29,28,13,1,17
2022-11-30,18,6,0,11
2022-12-01,10,1,1,7
2022-12-02,10,2,0,3
2022-12-03,16,-1,0,14
2022-12-04,21,3,0,14
2022-12-05,15,4,3,10
2022-12-06,8,0,0,4
2022-12-07,14,6,0,10
2022-12-08,11,3,0,7
2022-12-09,14,3,0,8
2022-12-10,14,3,1,8
2022-12-11,17,3,1,8
2022-12-12,16,3,0,11
2022-12-13,24,4,1,13
2022-12-14,18,0,0,8
2022-12-15,15,4,0,10
2022-12-16,20,7,-1,11
2022-12-17,15,3,0,7
2022-12-18,17,4,0,11
2022-12-19,10,0,0,7
2022-12-20,13,1,0,9
2022-12-21,19,3,1,12
2022-12-22,12,3,0,10
2022-12-23,13,1,1,8
2022-12-24,9,0,0,6
2022-12-25,12,4,2,10
2022-12-26,18,1,0,11
2022-12-27,24,2,0,19
2022-12-28,25,3,1,14
2022-12-29,15,5,0,9
2022-12-30,21,4,1,11
2022-12-31,28,4,1,18
2023-01-01,38,6,0,21
2023-01-02,25,2,0,13
2023-01-03,33,7,1,14
2023-01-04,14,9,0,8
2023-01-05,18,5,1,10
2023-01-06,26,8,0,16
2023-01-07,26,4,0,16
2023-01-08,30,6,0,14
2023-01-09,18,2,0,12
2023-01-10,22,5,1,9
2023-01-11,18,5,1,13
2023-01-12,26,-31,0,19
2023-01-13,27,-38,0,12
2023-01-14,27,9,1,12
2023-01-15,27,4,0,14
2023-01-16,17,4,0,8
2023-01-17,17,5,1,11
2023-01-18,15,-1,1,9
2023-01-19,17,1,0,10
2023-01-20,18,1,0,14
2023-01-21,21,6,0,10
2023-01-22,29,6,1,18
2023-01-23,17,0,0,12
2023-01-24,18,0,1,12
2023-01-25,20,-1,0,16
2023-01-26,20,1,0,14
2023-01-27,15,2,1,11
2023-01-28,17,1,0,13
2023-01-29,22,4,0,14
2023-01-30,13,2,0,10
2023-01-31,19,5,1,15
