date,added,ratings,reviews,to-read
2022-08-16,73,15,2,58
2022-08-17,75,8,0,51
2022-08-18,62,16,6,52
2022-08-19,77,11,2,50
2022-08-20,73,17,4,38
2022-08-21,81,16,4,53
2022-08-22,81,17,5,48
2022-08-23,47,12,3,31
2022-08-24,72,12,3,43
2022-08-25,40,18,5,32
2022-08-26,53,11,1,30
2022-08-27,66,12,3,42
2022-08-28,62,10,2,39
2022-08-29,51,10,0,36
2022-08-30,54,18,3,29
2022-08-31,63,16,3,43
2022-09-01,49,6,1,35
2022-09-02,67,4,1,50
2022-09-03,68,7,1,46
2022-09-04,59,9,0,44
2022-09-05,65,9,1,49
2022-09-06,70,10,2,49
2022-09-07,46,11,1,26
2022-09-08,37,7,0,17
2022-09-09,49,8,2,37
2022-09-10,53,7,3,33
2022-09-11,49,10,3,38
2022-09-12,49,8,4,29
2022-09-13,53,16,3,37
2022-09-14,46,14,1,28
2022-09-15,34,5,0,23
2022-09-16,37,10,1,26
2022-09-17,53,10,3,40
2022-09-18,63,13,3,37
2022-09-19,47,12,0,38
2022-09-20,59,8,2,48
2022-09-21,46,6,2,37
2022-09-22,55,7,1,31
2022-09-23,52,9,1,34
2022-09-24,52,9,2,29
2022-09-25,56,10,2,34
2022-09-26,31,8,0,21
2022-09-27,62,14,6,40
2022-09-28,70,13,1,50
2022-09-29,76,4,2,58
2022-09-30,54,5,1,34
2022-10-01,99,9,1,76
2022-10-02,87,10,2,62
2022-10-03,73,6,0,53
2022-10-04,78,15,0,52
2022-10-05,67,13,1,57
2022-10-06,49,13,3,32
2022-10-07,54,13,3,31
2022-10-08,70,13,2,44
2022-10-09,93,12,2,66
2022-10-10,66,8,1,42
2022-10-11,67,6,1,50
2022-10-12,67,13,0,44
2022-10-13,57,10,2,46
2022-10-14,69,10,2,49
2022-10-15,87,10,0,55
2022-10-16,83,16,2,50
2022-10-17,62,11,2,41
2022-10-18,67,12,1,43
2022-10-19,82,18,5,51
2022-10-20,68,8,1,44
2022-10-21,70,14,5,41
2022-10-22,98,18,4,66
2022-10-23,130,19,1,92
2022-10-24,108,18,8,71
2022-10-25,70,21,6,46
2022-10-26,123,11,4,85
2022-10-27,88,21,4,63
2022-10-28,80,11,2,44
2022-10-29,79,8,2,53
2022-10-30,89,23,6,48
2022-10-31,82,21,3,42
2022-11-01,94,17,7,54
2022-11-02,68,7,5,42
2022-11-03,73,16,3,40
2022-11-04,76,18,3,41
2022-11-05,96,12,3,59
2022-11-06,108,19,7,64
2022-11-07,73,23,6,36
2022-11-08,94,19,5,53
2022-11-09,83,16,1,54
2022-11-10,53,19,4,38
2022-11-11,56,9,2,34
2022-11-12,83,11,3,54
2022-11-13,103,20,3,61
2022-11-14,66,15,3,40
2022-11-15,82,16,2,51
2022-11-16,54,10,3,35
2022-11-17,41,17,1,28
2022-11-18,72,13,2,41
2022-11-19,64,13,5,37
2022-11-20,85,16,2,47
2022-11-21,50,9,3,34
2022-11-22,84,19,6,48
2022-11-23,87,20,4,49
2022-11-24,75,18,4,44
2022-11-25,66,8,4,44
2022-11-26,87,15,5,49
2022-11-27,97,12,2,63
2022-11-28,84,10,3,47
2022-11-29,36,12,2,29
2022-11-30,68,16,2,38
2022-12-01,65,13,4,36
2022-12-02,67,14,5,31
2022-12-03,76,18,2,45
2022-12-04,75,14,4,40
2022-12-05,79,11,3,44
2022-12-06,73,17,5,36
2022-12-07,54,15,4,41
2022-12-08,72,14,4,34
2022-12-09,67,10,3,42
2022-12-10,74,20,3,44
2022-12-11,83,19,4,44
2022-12-12,74,17,6,47
2022-12-13,74,16,0,44
2022-12-14,73,17,1,46
2022-12-15,77,15,1,46
2022-12-16,54,8,1,36
2022-12-17,86,19,1,58
2022-12-18,110,15,6,66
2022-12-19,85,21,2,58
2022-12-20,81,21,6,60
2022-12-21,74,13,1,42
2022-12-22,61,13,3,41
2022-12-23,82,8,0,56
2022-12-24,82,13,3,46
2022-12-25,99,14,0,60
2022-12-26,127,21,1,83
2022-12-27,135,22,6,78
2022-12-28,149,31,1,95
2022-12-29,93,18,4,69
2022-12-30,180,42,7,110
2022-12-31,152,41,5,87
2023-01-01,303,42,2,196
2023-01-02,222,44,7,152
2023-01-03,247,35,6,153
2023-01-04,164,40,6,126
2023-01-05,167,33,5,104
2023-01-06,134,22,5,83
2023-01-07,141,26,4,88
2023-01-08,144,13,2,103
2023-01-09,134,19,1,82
2023-01-10,124,20,4,69
2023-01-11,89,19,5,72
2023-01-12,116,18,2,71
2023-01-13,122,27,4,76
2023-01-14,105,15,0,70
2023-01-15,97,12,4,62
2023-01-16,114,21,2,68
2023-01-17,106,12,3,77
2023-01-18,102,14,5,65
2023-01-19,105,14,1,69
2023-01-20,73,18,6,58
2023-01-21,113,20,8,74
2023-01-22,108,18,5,66
2023-01-23,113,18,2,78
2023-01-24,101,18,1,64
2023-01-25,108,23,6,64
2023-01-26,94,12,5,60
2023-01-27,93,14,2,61
2023-01-28,87,17,4,59
2023-01-29,100,20,5,62
2023-01-30,66,16,3,51
2023-01-31,87,22,5,54
