date,added,ratings,reviews,to-read
2022-08-16,70,7,1,56
2022-08-17,78,10,1,62
2022-08-18,58,10,-1,45
2022-08-19,53,6,2,43
2022-08-20,52,6,1,41
2022-08-21,60,9,0,45
2022-08-22,64,8,1,45
2022-08-23,73,10,1,61
2022-08-24,65,0,1,52
2022-08-25,53,12,3,40
2022-08-26,62,5,0,47
2022-08-27,64,11,3,46
2022-08-28,68,10,1,55
2022-08-29,61,5,0,48
2022-08-30,76,0,1,63
2022-08-31,62,9,2,50
2022-09-01,61,11,3,48
2022-09-02,54,3,0,41
2022-09-03,49,5,1,39
2022-09-04,59,10,2,44
2022-09-05,54,4,0,44
2022-09-06,59,11,0,42
2022-09-07,56,5,0,46
2022-09-08,43,9,1,34
2022-09-09,55,11,2,38
2022-09-10,51,7,0,40
2022-09-11,60,5,2,45
2022-09-12,68,13,2,52
2022-09-13,58,7,0,43
2022-09-14,61,11,0,56
2022-09-15,34,3,1,29
2022-09-16,43,6,0,34
2022-09-17,45,4,1,31
2022-09-18,60,8,2,48
2022-09-19,65,6,1,44
2022-09-20,40,8,0,27
2022-09-21,55,8,1,47
2022-09-22,46,3,0,40
2022-09-23,39,9,0,24
2022-09-24,40,2,4,28
2022-09-25,74,7,1,52
2022-09-26,39,8,1,32
2022-09-27,60,12,4,40
2022-09-28,49,12,1,31
2022-09-29,39,6,0,27
2022-09-30,44,8,2,31
2022-10-01,59,5,1,40
2022-10-02,50,9,1,42
2022-10-03,35,4,1,24
2022-10-04,53,7,3,37
2022-10-05,41,7,1,36
2022-10-06,44,13,3,29
2022-10-07,42,3,1,31
2022-10-08,43,9,1,25
2022-10-09,46,6,1,36
2022-10-10,43,8,0,28
2022-10-11,48,5,2,35
2022-10-12,44,7,2,35
2022-10-13,44,3,0,35
2022-10-14,40,6,1,31
2022-10-15,39,4,0,31
2022-10-16,52,3,1,47
2022-10-17,46,4,1,35
2022-10-18,56,15,1,39
2022-10-19,35,0,0,26
2022-10-20,58,6,0,50
2022-10-21,33,3,0,24
2022-10-22,44,6,0,30
2022-10-23,44,7,0,29
2022-10-24,56,8,1,38
2022-10-25,34,8,0,24
2022-10-26,34,11,1,29
2022-10-27,40,4,2,31
2022-10-28,31,9,0,20
2022-10-29,44,3,0,32
2022-10-30,40,5,2,31
2022-10-31,47,10,1,33
2022-11-01,51,7,1,35
2022-11-02,42,7,0,28
2022-11-03,50,10,2,34
2022-11-04,41,10,1,33
2022-11-05,67,8,2,52
2022-11-06,57,8,0,45
2022-11-07,44,7,2,35
2022-11-08,61,0,1,52
2022-11-09,55,3,0,44
2022-11-10,42,5,0,35
2022-11-11,60,7,1,45
2022-11-12,45,7,2,34
2022-11-13,62,5,0,44
2022-11-14,53,8,1,38
2022-11-15,62,8,0,44
2022-11-16,51,8,0,42
2022-11-17,31,4,0,26
2022-11-18,46,8,0,37
2022-11-19,42,2,0,32
2022-11-20,51,4,0,40
2022-11-21,41,6,2,30
2022-11-22,48,9,1,31
2022-11-23,45,8,1,30
2022-11-24,43,7,0,33
2022-11-25,39,4,0,31
2022-11-26,34,3,0,25
2022-11-27,55,10,0,41
2022-11-28,44,10,0,30
2022-11-29,39,6,0,25
2022-11-30,38,8,0,28
2022-12-01,48,7,2,32
2022-12-02,49,5,0,36
2022-12-03,40,6,1,32
2022-12-04,53,6,0,37
2022-12-05,73,14,1,47
2022-12-06,39,8,2,28
2022-12-07,20,4,0,17
2022-12-08,39,5,0,31
2022-12-09,35,5,0,25
2022-12-10,37,4,0,26
2022-12-11,45,10,0,29
2022-12-12,48,6,3,35
2022-12-13,37,9,1,25
2022-12-14,47,12,2,31
2022-12-15,49,6,1,34
2022-12-16,36,13,3,21
2022-12-17,41,11,2,29
2022-12-18,46,3,-1,31
2022-12-19,37,5,0,24
2022-12-20,39,6,0,29
2022-12-21,58,6,1,42
2022-12-22,38,10,1,28
2022-12-23,55,11,2,37
2022-12-24,28,7,3,24
2022-12-25,57,5,2,42
2022-12-26,61,5,0,49
2022-12-27,62,5,1,41
2022-12-28,74,15,1,51
2022-12-29,62,15,5,47
2022-12-30,74,11,1,56
2022-12-31,64,20,2,43
2023-01-01,128,14,0,87
2023-01-02,148,25,3,107
2023-01-03,107,18,3,77
2023-01-04,104,15,4,82
2023-01-05,69,8,3,57
2023-01-06,78,3,0,55
2023-01-07,72,14,0,51
2023-01-08,87,9,0,62
2023-01-09,93,19,3,61
2023-01-10,82,16,1,59
2023-01-11,61,17,2,50
2023-01-12,72,9,2,49
2023-01-13,57,9,2,43
2023-01-14,67,7,1,47
2023-01-15,80,9,1,53
2023-01-16,66,13,2,52
2023-01-17,64,8,3,39
2023-01-18,73,11,1,53
2023-01-19,59,11,0,44
2023-01-20,53,5,2,51
2023-01-21,59,5,2,40
2023-01-22,69,11,0,53
2023-01-23,71,6,0,49
2023-01-24,59,6,1,42
2023-01-25,58,6,0,43
2023-01-26,62,11,4,46
2023-01-27,47,3,0,35
2023-01-28,56,10,1,38
2023-01-29,53,7,0,37
2023-01-30,47,7,3,42
2023-01-31,46,4,2,36
