date,added,ratings,reviews,to-read
2022-08-16,50,22,2,21
2022-08-17,29,13,1,11
2022-08-18,27,11,0,19
2022-08-19,25,8,1,10
2022-08-20,25,10,0,10
2022-08-21,31,7,0,13
2022-08-22,58,20,1,32
2022-08-23,100,22,1,62
2022-08-24,62,12,2,33
2022-08-25,47,17,0,24
2022-08-26,55,20,0,24
2022-08-27,41,14,0,21
2022-08-28,34,6,2,12
2022-08-29,67,-1,1,26
2022-08-30,49,25,0,19
2022-08-31,75,16,1,49
2022-09-01,46,22,0,21
2022-09-02,39,9,2,11
2022-09-03,43,9,1,21
2022-09-04,24,13,2,7
2022-09-05,27,7,1,7
2022-09-06,28,-3,-1,10
2022-09-07,55,10,2,27
2022-09-08,25,12,1,11
2022-09-09,34,12,2,12
2022-09-10,49,14,0,21
2022-09-11,45,8,-1,28
2022-09-12,59,22,4,32
2022-09-13,58,12,2,26
2022-09-14,38,12,1,18
2022-09-15,38,17,1,12
2022-09-16,35,11,1,12
2022-09-17,25,10,0,15
2022-09-18,40,11,0,18
2022-09-19,44,16,1,14
2022-09-20,48,23,5,15
2022-09-21,39,18,2,19
2022-09-22,47,22,0,11
2022-09-23,54,-8,2,16
2022-09-24,31,12,3,12
2022-09-25,41,13,3,18
2022-09-26,38,-17,2,18
2022-09-27,25,-27,1,5
2022-09-28,33,-65,0,13
2022-09-29,28,-61,1,14
2022-09-30,42,6,1,20
2022-10-01,58,14,0,36
2022-10-02,52,-4,1,26
2022-10-03,72,18,11,27
2022-10-04,43,15,1,21
2022-10-05,36,15,1,17
2022-10-06,51,16,-1,19
2022-10-07,32,13,1,16
2022-10-08,23,7,0,10
2022-10-09,22,-7,1,11
2022-10-10,50,11,1,27
2022-10-11,29,2,0,7
2022-10-12,35,-13,2,13
2022-10-13,23,9,0,11
2022-10-14,31,-21,-1,10
2022-10-15,32,10,0,13
2022-10-16,37,-48,0,12
2022-10-17,40,-33,0,16
2022-10-18,44,8,1,13
2022-10-19,47,12,0,11
2022-10-20,31,15,0,8
2022-10-21,33,7,2,11
2022-10-22,29,11,0,10
2022-10-23,33,-55,1,6
2022-10-24,34,-30,1,12
2022-10-25,29,-43,0,9
2022-10-26,57,17,1,18
2022-10-27,32,8,0,10
2022-10-28,25,13,0,12
2022-10-29,27,8,0,13
2022-10-30,36,-3,0,15
2022-10-31,43,10,7,13
2022-11-01,47,16,1,15
2022-11-02,40,22,2,9
2022-11-03,34,0,3,17
2022-11-04,44,22,3,15
2022-11-05,37,9,0,13
2022-11-06,41,15,0,13
2022-11-07,54,26,3,10
2022-11-08,35,12,0,16
2022-11-09,36,14,1,14
2022-11-10,24,5,1,10
2022-11-11,32,16,0,8
2022-11-12,25,10,1,9
2022-11-13,37,16,-1,10
2022-11-14,40,12,1,13
2022-11-15,35,17,6,9
2022-11-16,38,12,0,20
2022-11-17,28,13,1,18
2022-11-18,35,9,1,15
2022-11-19,29,8,1,6
2022-11-20,42,18,2,9
2022-11-21,26,11,2,13
2022-11-22,31,15,0,10
2022-11-23,20,6,0,9
2022-11-24,26,9,1,9
2022-11-25,33,13,0,12
2022-11-26,32,17,0,11
2022-11-27,45,14,0,17
2022-11-28,44,14,0,16
2022-11-29,38,19,2,18
2022-11-30,36,-30,-1,8
2022-12-01,28,7,1,16
2022-12-02,27,3,0,8
2022-12-03,34,11,3,15
2022-12-04,29,14,1,14
2022-12-05,46,21,2,17
2022-12-06,42,16,1,16
2022-12-07,68,34,13,16
2022-12-08,42,19,3,19
2022-12-09,45,25,16,11
2022-12-10,28,9,4,8
2022-12-11,43,8,4,13
2022-12-12,40,15,3,18
2022-12-13,39,16,2,13
2022-12-14,39,14,1,21
2022-12-15,36,7,0,10
2022-12-16,42,15,2,18
2022-12-17,34,13,1,9
2022-12-18,29,16,1,6
2022-12-19,39,11,1,8
2022-12-20,38,12,2,18
2022-12-21,45,15,1,18
2022-12-22,34,16,1,11
2022-12-23,34,18,2,8
2022-12-24,27,10,1,9
2022-12-25,49,13,1,22
2022-12-26,41,21,1,10
2022-12-27,51,18,1,17
2022-12-28,61,17,1,24
2022-12-29,39,24,1,11
2022-12-30,54,22,2,15
2022-12-31,84,34,7,26
2023-01-01,103,31,1,37
2023-01-02,95,43,4,26
2023-01-03,74,47,4,24
2023-01-04,63,30,3,22
2023-01-05,61,26,2,28
2023-01-06,57,20,0,16
2023-01-07,53,21,1,17
2023-01-08,53,19,2,23
2023-01-09,65,28,3,21
2023-01-10,46,29,1,16
2023-01-11,51,18,2,26
2023-01-12,46,-16,2,20
2023-01-13,60,-24,3,30
2023-01-14,57,27,2,26
2023-01-15,50,12,3,22
2023-01-16,57,18,0,31
2023-01-17,53,15,4,20
2023-01-18,52,25,3,19
2023-01-19,77,19,2,34
2023-01-20,61,27,3,29
2023-01-21,103,15,4,86
2023-01-22,50,13,1,27
2023-01-23,53,19,2,19
2023-01-24,48,18,1,22
2023-01-25,54,19,1,19
2023-01-26,45,22,0,17
2023-01-27,36,16,1,7
2023-01-28,34,7,1,16
2023-01-29,57,11,2,19
2023-01-30,34,17,2,18
2023-01-31,40,12,1,18
