date,added,ratings,reviews,to-read
2022-08-16,12,3,0,7
2022-08-17,17,5,1,11
2022-08-18,19,4,0,17
2022-08-19,24,9,1,12
2022-08-20,22,12,2,12
2022-08-21,24,8,1,15
2022-08-22,16,7,0,9
2022-08-23,13,4,0,12
2022-08-24,18,9,-1,6
2022-08-25,69,7,0,56
2022-08-26,32,5,1,23
2022-08-27,16,3,0,13
2022-08-28,18,9,0,6
2022-08-29,16,3,0,14
2022-08-30,17,3,0,9
2022-08-31,22,9,3,13
2022-09-01,15,7,1,10
2022-09-02,17,4,0,10
2022-09-03,11,2,3,8
2022-09-04,25,4,1,14
2022-09-05,11,5,0,5
2022-09-06,22,3,0,11
2022-09-07,27,13,5,14
2022-09-08,19,6,3,14
2022-09-09,17,7,0,12
2022-09-10,21,4,0,11
2022-09-11,17,6,2,12
2022-09-12,16,9,0,6
2022-09-13,14,5,1,8
2022-09-14,16,2,-1,11
2022-09-15,16,3,0,13
2022-09-16,14,3,0,10
2022-09-17,24,10,1,13
2022-09-18,25,5,0,15
2022-09-19,20,2,1,19
2022-09-20,13,3,0,7
2022-09-21,10,7,1,6
2022-09-22,12,6,0,6
2022-09-23,9,4,1,6
2022-09-24,11,4,1,4
2022-09-25,13,6,0,6
2022-09-26,9,4,0,5
2022-09-27,17,4,0,8
2022-09-28,8,5,1,3
2022-09-29,7,1,0,4
2022-09-30,21,3,1,10
2022-10-01,17,11,2,5
2022-10-02,14,5,1,10
2022-10-03,13,3,0,6
2022-10-04,12,4,1,4
2022-10-05,14,7,1,8
2022-10-06,15,7,1,10
2022-10-07,9,3,0,6
2022-10-08,18,3,1,10
2022-10-09,13,2,0,9
2022-10-10,8,4,0,6
2022-10-11,19,4,1,15
2022-10-12,14,4,0,8
2022-10-13,21,6,3,11
2022-10-14,10,4,0,7
2022-10-15,13,6,0,6
2022-10-16,11,4,0,6
2022-10-17,18,6,2,13
2022-10-18,12,5,0,8
2022-10-19,13,1,1,8
2022-10-20,17,7,0,8
2022-10-21,15,6,-1,8
2022-10-22,13,1,0,8
2022-10-23,10,3,0,5
2022-10-24,10,1,1,5
2022-10-25,11,4,0,9
2022-10-26,11,2,0,7
2022-10-27,10,2,0,5
2022-10-28,16,5,1,10
2022-10-29,15,4,0,5
2022-10-30,10,8,3,5
2022-10-31,12,2,0,7
2022-11-01,12,3,0,7
2022-11-02,7,2,2,4
2022-11-03,14,2,0,8
2022-11-04,14,7,0,10
2022-11-05,14,3,1,7
2022-11-06,9,6,1,6
2022-11-07,17,4,1,13
2022-11-08,15,4,1,9
2022-11-09,13,1,0,7
2022-11-10,17,6,0,13
2022-11-11,8,3,0,5
2022-11-12,19,4,0,13
2022-11-13,16,3,0,13
2022-11-14,14,3,0,6
2022-11-15,21,7,0,11
2022-11-16,17,2,0,9
2022-11-17,9,4,1,6
2022-11-18,11,7,0,7
2022-11-19,19,5,0,15
2022-11-20,24,3,0,17
2022-11-21,16,2,0,12
2022-11-22,21,4,0,13
2022-11-23,28,5,0,13
2022-11-24,16,8,1,9
2022-11-25,15,3,1,5
2022-11-26,23,9,2,12
2022-11-27,18,10,3,9
2022-11-28,23,7,3,12
2022-11-29,17,9,1,6
2022-11-30,17,8,0,9
2022-12-01,18,0,0,12
2022-12-02,6,2,1,2
2022-12-03,22,5,-1,9
2022-12-04,18,10,2,10
2022-12-05,27,8,0,12
2022-12-06,14,4,0,8
2022-12-07,12,8,3,5
2022-12-08,19,6,0,11
2022-12-09,9,6,0,6
2022-12-10,12,5,0,5
2022-12-11,17,9,1,9
2022-12-12,14,4,1,7
2022-12-13,16,6,0,6
2022-12-14,17,3,0,8
2022-12-15,21,12,4,7
2022-12-16,18,8,0,7
2022-12-17,25,11,3,16
2022-12-18,29,6,1,9
2022-12-19,32,15,1,14
2022-12-20,21,11,1,9
2022-12-21,24,7,2,12
2022-12-22,11,6,3,4
2022-12-23,22,7,0,14
2022-12-24,23,9,2,9
2022-12-25,35,12,2,19
2022-12-26,32,10,1,13
2022-12-27,35,18,2,16
2022-12-28,34,16,1,22
2022-12-29,28,5,1,16
2022-12-30,37,24,2,15
2022-12-31,48,33,5,10
2023-01-01,42,15,2,23
2023-01-02,44,17,6,21
2023-01-03,42,16,3,21
2023-01-04,29,15,1,15
2023-01-05,28,9,2,15
2023-01-06,27,12,1,13
2023-01-07,20,16,1,10
2023-01-08,29,14,2,8
2023-01-09,21,8,5,8
2023-01-10,27,9,0,12
2023-01-11,22,19,2,8
2023-01-12,25,13,2,12
2023-01-13,20,4,1,12
2023-01-14,25,8,4,7
2023-01-15,21,10,2,9
2023-01-16,35,8,2,20
2023-01-17,19,13,2,7
2023-01-18,23,5,0,11
2023-01-19,20,9,2,10
2023-01-20,17,8,2,7
2023-01-21,26,13,2,9
2023-01-22,24,10,3,13
2023-01-23,23,12,3,11
2023-01-24,24,9,3,12
2023-01-25,23,14,0,8
2023-01-26,23,10,1,6
2023-01-27,21,6,0,10
2023-01-28,22,14,1,10
2023-01-29,26,8,0,12
2023-01-30,20,10,1,9
2023-01-31,17,6,1,8
