date,added,ratings,reviews,to-read
2022-08-16,29,11,1,16
2022-08-17,30,7,0,17
2022-08-18,28,10,3,19
2022-08-19,26,5,0,14
2022-08-20,29,9,0,14
2022-08-21,34,12,1,24
2022-08-22,31,13,3,19
2022-08-23,29,9,0,16
2022-08-24,33,9,0,19
2022-08-25,17,14,1,9
2022-08-26,21,5,0,12
2022-08-27,17,5,0,9
2022-08-28,16,10,1,11
2022-08-29,22,1,0,13
2022-08-30,28,10,2,9
2022-08-31,32,7,0,21
2022-09-01,24,6,1,16
2022-09-02,28,4,1,12
2022-09-03,31,7,1,15
2022-09-04,26,12,0,14
2022-09-05,34,11,0,17
2022-09-06,17,8,2,5
2022-09-07,26,8,1,7
2022-09-08,24,13,1,8
2022-09-09,21,8,1,10
2022-09-10,29,6,0,21
2022-09-11,30,13,3,20
2022-09-12,24,7,1,13
2022-09-13,27,8,0,13
2022-09-14,30,11,0,16
2022-09-15,22,8,1,14
2022-09-16,20,9,0,6
2022-09-17,28,10,3,12
2022-09-18,23,13,2,12
2022-09-19,29,9,0,15
2022-09-20,20,6,0,10
2022-09-21,23,9,1,11
2022-09-22,12,7,0,7
2022-09-23,26,3,0,13
2022-09-24,28,15,1,12
2022-09-25,20,14,0,10
2022-09-26,35,7,2,26
2022-09-27,23,5,-1,10
2022-09-28,26,12,1,13
2022-09-29,17,8,1,8
2022-09-30,25,3,0,14
2022-10-01,38,12,1,23
2022-10-02,27,9,0,13
2022-10-03,15,11,1,7
2022-10-04,26,10,2,13
2022-10-05,12,4,0,6
2022-10-06,19,2,0,11
2022-10-07,24,8,2,9
2022-10-08,18,3,0,11
2022-10-09,23,4,1,13
2022-10-10,17,5,0,11
2022-10-11,24,7,0,15
2022-10-12,28,10,1,15
2022-10-13,22,5,2,16
2022-10-14,21,8,0,12
2022-10-15,26,10,0,12
2022-10-16,39,11,1,21
2022-10-17,34,12,0,16
2022-10-18,24,9,3,12
2022-10-19,26,9,0,16
2022-10-20,14,3,0,11
2022-10-21,22,2,0,12
2022-10-22,18,7,0,13
2022-10-23,30,8,2,15
2022-10-24,19,5,1,8
2022-10-25,16,9,1,11
2022-10-26,18,6,2,8
2022-10-27,18,5,0,7
2022-10-28,14,4,0,11
2022-10-29,20,11,3,6
2022-10-30,37,9,0,19
2022-10-31,27,9,2,10
2022-11-01,15,7,2,7
2022-11-02,22,6,1,10
2022-11-03,10,7,0,6
2022-11-04,22,6,1,15
2022-11-05,10,5,1,6
2022-11-06,36,8,3,20
2022-11-07,17,10,1,5
2022-11-08,24,3,1,12
2022-11-09,15,11,1,10
2022-11-10,18,6,0,9
2022-11-11,21,5,1,11
2022-11-12,14,7,1,11
2022-11-13,24,7,0,11
2022-11-14,29,9,0,16
2022-11-15,16,4,0,6
2022-11-16,24,6,0,16
2022-11-17,16,3,0,10
2022-11-18,30,9,1,12
2022-11-19,30,12,2,11
2022-11-20,26,8,3,17
2022-11-21,21,8,1,12
2022-11-22,18,10,2,6
2022-11-23,19,8,0,8
2022-11-24,24,4,0,11
2022-11-25,19,8,2,8
2022-11-26,28,3,2,13
2022-11-27,31,12,0,12
2022-11-28,38,13,1,15
2022-11-29,29,12,1,16
2022-11-30,20,5,1,8
2022-12-01,21,4,3,10
2022-12-02,26,3,0,19
2022-12-03,27,9,1,15
2022-12-04,33,12,1,21
2022-12-05,25,7,1,13
2022-12-06,23,7,2,15
2022-12-07,22,13,2,13
2022-12-08,34,2,2,28
2022-12-09,12,6,1,6
2022-12-10,23,4,1,10
2022-12-11,34,11,3,18
2022-12-12,33,8,0,24
2022-12-13,33,6,2,16
2022-12-14,36,11,1,18
2022-12-15,24,9,3,10
2022-12-16,19,5,0,9
2022-12-17,24,9,0,17
2022-12-18,30,10,1,8
2022-12-19,28,8,0,13
2022-12-20,21,6,1,11
2022-12-21,28,7,0,14
2022-12-22,32,10,1,15
2022-12-23,38,11,2,20
2022-12-24,30,11,2,17
2022-12-25,46,18,2,26
2022-12-26,41,10,0,24
2022-12-27,35,10,4,20
2022-12-28,42,15,1,24
2022-12-29,38,19,6,15
2022-12-30,64,33,5,31
2022-12-31,45,18,5,21
2023-01-01,72,17,5,42
2023-01-02,68,15,1,37
2023-01-03,60,17,1,27
2023-01-04,46,16,3,23
2023-01-05,35,21,4,17
2023-01-06,47,14,4,24
2023-01-07,39,17,3,18
2023-01-08,49,12,0,27
2023-01-09,39,13,0,15
2023-01-10,38,13,1,19
2023-01-11,38,8,1,23
2023-01-12,40,6,1,20
2023-01-13,36,10,3,21
2023-01-14,38,10,2,21
2023-01-15,42,18,0,19
2023-01-16,36,5,0,24
2023-01-17,32,9,1,17
2023-01-18,40,12,1,14
2023-01-19,29,6,0,11
2023-01-20,27,15,3,16
2023-01-21,32,13,1,16
2023-01-22,30,11,1,13
2023-01-23,36,15,1,18
2023-01-24,37,9,0,22
2023-01-25,35,12,0,15
2023-01-26,26,12,3,11
2023-01-27,21,6,-1,13
2023-01-28,33,9,2,17
2023-01-29,37,13,0,23
2023-01-30,27,6,2,17
2023-01-31,30,11,1,18
