date,added,ratings,reviews,to-read
2022-08-16,28,17,0,11
2022-08-17,24,7,1,5
2022-08-18,20,14,1,6
2022-08-19,22,11,0,9
2022-08-20,17,11,2,4
2022-08-21,17,7,0,5
2022-08-22,21,14,1,7
2022-08-23,23,58,6,6
2022-08-24,21,9,0,7
2022-08-25,19,4,0,7
2022-08-26,17,3,0,7
2022-08-27,16,6,0,4
2022-08-28,22,12,1,4
2022-08-29,22,11,1,7
2022-08-30,20,5,1,10
2022-08-31,28,3,1,11
2022-09-01,34,15,2,14
2022-09-02,19,0,-1,1
2022-09-03,14,7,0,8
2022-09-04,26,10,0,13
2022-09-05,16,14,0,4
2022-09-06,35,10,0,17
2022-09-07,26,8,0,13
2022-09-08,26,13,0,7
2022-09-09,38,16,1,16
2022-09-10,24,16,0,5
2022-09-11,17,8,1,7
2022-09-12,22,14,0,6
2022-09-13,19,12,0,8
2022-09-14,22,7,-1,11
2022-09-15,18,6,0,5
2022-09-16,18,8,0,5
2022-09-17,25,10,0,10
2022-09-18,23,8,0,8
2022-09-19,24,14,0,9
2022-09-20,28,14,0,13
2022-09-21,17,16,0,1
2022-09-22,18,9,0,7
2022-09-23,24,14,0,9
2022-09-24,14,8,1,3
2022-09-25,21,13,0,7
2022-09-26,24,12,1,10
2022-09-27,28,13,0,9
2022-09-28,21,14,0,6
2022-09-29,22,15,0,8
2022-09-30,20,5,0,8
2022-10-01,23,7,1,9
2022-10-02,44,15,0,19
2022-10-03,45,19,0,17
2022-10-04,56,21,0,33
2022-10-05,40,17,-1,20
2022-10-06,45,22,2,24
2022-10-07,45,16,0,21
2022-10-08,34,18,0,18
2022-10-09,56,20,1,34
2022-10-10,56,17,0,29
2022-10-11,46,23,0,16
2022-10-12,50,26,0,23
2022-10-13,71,31,0,30
2022-10-14,50,32,1,25
2022-10-15,52,22,0,27
2022-10-16,43,14,1,17
2022-10-17,48,23,0,22
2022-10-18,43,18,0,19
2022-10-19,47,19,0,21
2022-10-20,45,26,0,17
2022-10-21,46,27,1,20
2022-10-22,38,13,1,23
2022-10-23,27,7,1,13
2022-10-24,28,12,0,11
2022-10-25,40,19,0,19
2022-10-26,37,12,0,20
2022-10-27,33,17,0,18
2022-10-28,23,8,0,12
2022-10-29,32,14,1,13
2022-10-30,24,8,0,9
2022-10-31,27,10,-1,11
2022-11-01,28,11,1,8
2022-11-02,31,11,0,12
2022-11-03,18,8,1,7
2022-11-04,33,11,0,16
2022-11-05,26,19,1,8
2022-11-06,20,6,0,8
2022-11-07,17,4,1,8
2022-11-08,20,10,0,8
2022-11-09,19,1,0,8
2022-11-10,23,12,2,11
2022-11-11,32,7,0,11
2022-11-12,13,9,0,8
2022-11-13,19,7,1,4
2022-11-14,19,9,0,5
2022-11-15,26,7,0,11
2022-11-16,20,14,1,1
2022-11-17,16,4,1,5
2022-11-18,20,10,0,5
2022-11-19,15,6,1,8
2022-11-20,21,5,0,6
2022-11-21,23,11,1,12
2022-11-22,17,13,0,6
2022-11-23,20,6,0,9
2022-11-24,20,8,0,10
2022-11-25,15,4,-1,5
2022-11-26,19,6,0,6
2022-11-27,27,15,0,10
2022-11-28,18,4,0,6
2022-11-29,9,5,0,5
2022-11-30,23,-10,0,11
2022-12-01,18,8,0,5
2022-12-02,19,3,1,5
2022-12-03,36,15,1,15
2022-12-04,28,16,1,10
2022-12-05,24,2,0,11
2022-12-06,18,10,1,9
2022-12-07,15,12,0,4
2022-12-08,21,8,0,9
2022-12-09,31,5,0,6
2022-12-10,24,12,0,5
2022-12-11,21,12,0,7
2022-12-12,22,15,1,4
2022-12-13,27,10,1,10
2022-12-14,23,14,0,6
2022-12-15,18,7,0,6
2022-12-16,15,9,-1,3
2022-12-17,22,9,0,8
2022-12-18,13,5,0,4
2022-12-19,20,10,0,10
2022-12-20,26,7,0,6
2022-12-21,17,8,2,4
2022-12-22,33,23,1,10
2022-12-23,28,7,0,9
2022-12-24,19,14,0,8
2022-12-25,37,12,2,19
2022-12-26,30,13,0,14
2022-12-27,35,14,0,12
2022-12-28,42,9,0,18
2022-12-29,32,16,1,19
2022-12-30,44,18,0,8
2022-12-31,38,18,0,7
2023-01-01,55,16,0,25
2023-01-02,33,7,0,12
2023-01-03,42,14,0,12
2023-01-04,42,21,1,8
2023-01-05,45,23,0,16
2023-01-06,37,14,1,11
2023-01-07,32,9,1,11
2023-01-08,36,25,0,7
2023-01-09,33,11,0,14
2023-01-10,34,13,1,10
2023-01-11,26,9,2,7
2023-01-12,21,17,0,5
2023-01-13,22,15,1,5
2023-01-14,31,14,1,8
2023-01-15,18,15,2,8
2023-01-16,38,9,0,11
2023-01-17,24,13,0,11
2023-01-18,21,11,0,5
2023-01-19,26,8,0,9
2023-01-20,14,14,1,2
2023-01-21,23,6,1,9
2023-01-22,29,5,1,12
2023-01-23,35,16,0,9
2023-01-24,34,17,0,12
2023-01-25,36,19,1,14
2023-01-26,23,6,0,13
2023-01-27,27,8,0,9
2023-01-28,20,6,1,10
2023-01-29,38,14,1,12
2023-01-30,16,10,0,5
2023-01-31,29,14,0,6
