date,added,ratings,reviews,to-read
2022-08-16,16,10,1,6
2022-08-17,19,7,1,5
2022-08-18,12,5,0,7
2022-08-19,21,5,0,5
2022-08-20,19,9,0,8
2022-08-21,12,5,0,4
2022-08-22,9,9,0,0
2022-08-23,12,3,0,3
2022-08-24,18,10,0,4
2022-08-25,11,8,1,2
2022-08-26,14,6,0,5
2022-08-27,12,5,1,4
2022-08-28,14,6,0,3
2022-08-29,15,7,0,8
2022-08-30,16,6,1,4
2022-08-31,10,7,0,2
2022-09-01,18,2,0,9
2022-09-02,9,0,0,5
2022-09-03,15,7,1,4
2022-09-04,8,3,1,0
2022-09-05,3,2,0,1
2022-09-06,11,5,0,3
2022-09-07,13,3,-1,5
2022-09-08,9,5,0,2
2022-09-09,5,2,0,1
2022-09-10,11,2,0,7
2022-09-11,14,7,1,4
2022-09-12,8,5,1,1
2022-09-13,7,1,0,2
2022-09-14,14,5,0,9
2022-09-15,9,3,0,5
2022-09-16,11,4,1,1
2022-09-17,12,6,0,4
2022-09-18,13,2,0,3
2022-09-19,10,2,0,4
2022-09-20,9,6,0,4
2022-09-21,4,3,1,2
2022-09-22,10,5,0,0
2022-09-23,12,4,0,5
2022-09-24,13,1,0,6
2022-09-25,13,4,0,7
2022-09-26,10,1,0,4
2022-09-27,10,1,0,2
2022-09-28,17,5,0,5
2022-09-29,4,3,0,3
2022-09-30,6,3,0,1
2022-10-01,7,1,0,0
2022-10-02,13,4,0,3
2022-10-03,11,0,0,5
2022-10-04,6,3,0,2
2022-10-05,7,3,1,3
2022-10-06,10,0,0,4
2022-10-07,7,2,0,2
2022-10-08,9,3,1,5
2022-10-09,8,2,1,2
2022-10-10,11,3,0,6
2022-10-11,4,1,0,1
2022-10-12,7,2,1,3
2022-10-13,7,4,1,3
2022-10-14,9,4,0,3
2022-10-15,14,6,1,3
2022-10-16,8,3,0,3
2022-10-17,15,3,0,7
2022-10-18,15,7,1,4
2022-10-19,8,4,0,1
2022-10-20,5,2,0,1
2022-10-21,11,1,0,2
2022-10-22,9,3,1,3
2022-10-23,9,3,0,3
2022-10-24,13,7,0,8
2022-10-25,10,-1,0,5
2022-10-26,12,9,1,2
2022-10-27,13,2,1,3
2022-10-28,12,4,-1,5
2022-10-29,12,4,1,2
2022-10-30,10,5,0,2
2022-10-31,10,6,0,1
2022-11-01,15,4,0,3
2022-11-02,12,4,0,3
2022-11-03,7,5,1,1
2022-11-04,11,1,0,6
2022-11-05,12,1,0,5
2022-11-06,10,4,1,4
2022-11-07,15,3,0,4
2022-11-08,10,5,0,3
2022-11-09,10,4,0,4
2022-11-10,10,5,0,4
2022-11-11,5,3,0,0
2022-11-12,13,2,0,2
2022-11-13,9,11,0,2
2022-11-14,16,4,0,4
2022-11-15,9,6,1,0
2022-11-16,7,3,0,1
2022-11-17,8,7,2,3
2022-11-18,13,3,0,5
2022-11-19,12,3,0,6
2022-11-20,11,4,0,4
2022-11-21,7,5,1,3
2022-11-22,12,4,2,3
2022-11-23,9,3,0,4
2022-11-24,13,1,0,4
2022-11-25,10,4,1,6
2022-11-26,5,4,0,2
2022-11-27,15,2,0,4
2022-11-28,11,8,0,3
2022-11-29,13,1,0,6
2022-11-30,6,-6,0,1
2022-12-01,11,2,0,5
2022-12-02,9,0,0,5
2022-12-03,12,-1,1,1
2022-12-04,10,0,0,7
2022-12-05,6,4,1,3
2022-12-06,7,0,1,3
2022-12-07,10,5,0,0
2022-12-08,8,5,0,5
2022-12-09,18,5,1,8
2022-12-10,8,2,0,3
2022-12-11,12,3,0,1
2022-12-12,13,6,-1,1
2022-12-13,20,8,0,5
2022-12-14,13,8,0,2
2022-12-15,11,4,0,2
2022-12-16,8,4,0,1
2022-12-17,13,5,0,4
2022-12-18,12,5,0,0
2022-12-19,11,5,0,7
2022-12-20,13,7,0,5
2022-12-21,17,5,1,4
2022-12-22,7,4,0,2
2022-12-23,10,4,0,1
2022-12-24,9,10,0,4
2022-12-25,19,7,0,4
2022-12-26,15,7,0,5
2022-12-27,19,4,0,9
2022-12-28,8,3,0,2
2022-12-29,21,2,1,8
2022-12-30,25,10,1,6
2022-12-31,29,19,1,5
2023-01-01,31,7,0,7
2023-01-02,31,7,0,7
2023-01-03,21,8,0,6
2023-01-04,13,5,0,3
2023-01-05,17,1,0,5
2023-01-06,12,9,0,0
2023-01-07,16,10,1,3
2023-01-08,24,7,1,14
2023-01-09,15,5,0,7
2023-01-10,23,10,3,4
2023-01-11,11,2,0,5
2023-01-12,17,8,2,6
2023-01-13,12,7,0,0
2023-01-14,8,2,0,2
2023-01-15,18,7,0,5
2023-01-16,10,3,0,3
2023-01-17,14,3,0,6
2023-01-18,12,5,0,3
2023-01-19,9,5,0,5
2023-01-20,12,6,0,3
2023-01-21,9,5,0,4
2023-01-22,13,4,0,3
2023-01-23,14,10,-1,2
2023-01-24,18,6,1,3
2023-01-25,12,7,0,2
2023-01-26,15,3,0,5
2023-01-27,8,5,0,4
2023-01-28,19,5,0,8
2023-01-29,18,4,1,9
2023-01-30,8,1,0,6
2023-01-31,12,1,1,3
