date,added,ratings,reviews,to-read
2022-08-16,22,14,0,9
2022-08-17,28,11,0,5
2022-08-18,21,13,1,7
2022-08-19,25,11,0,6
2022-08-20,27,8,0,10
2022-08-21,22,10,0,6
2022-08-22,18,8,1,2
2022-08-23,14,7,0,4
2022-08-24,26,20,0,3
2022-08-25,20,10,0,5
2022-08-26,27,10,0,11
2022-08-27,18,10,1,3
2022-08-28,24,13,0,6
2022-08-29,31,12,1,12
2022-08-30,29,10,1,7
2022-08-31,21,10,0,7
2022-09-01,30,9,-1,11
2022-09-02,26,13,2,9
2022-09-03,18,9,1,5
2022-09-04,16,9,2,5
2022-09-05,17,3,0,5
2022-09-06,21,8,0,8
2022-09-07,21,5,0,8
2022-09-08,16,3,0,5
2022-09-09,22,10,0,9
2022-09-10,18,7,0,3
2022-09-11,13,9,0,5
2022-09-12,10,6,0,1
2022-09-13,16,6,0,2
2022-09-14,16,9,0,5
2022-09-15,14,9,2,5
2022-09-16,24,16,0,2
2022-09-17,18,12,1,7
2022-09-18,20,9,0,6
2022-09-19,19,9,0,4
2022-09-20,19,5,0,8
2022-09-21,19,10,1,5
2022-09-22,22,12,1,5
2022-09-23,18,12,1,3
2022-09-24,24,11,0,6
2022-09-25,21,8,0,14
2022-09-26,15,4,0,5
2022-09-27,14,5,0,4
2022-09-28,22,13,1,1
2022-09-29,20,7,2,5
2022-09-30,16,7,0,7
2022-10-01,10,3,0,1
2022-10-02,19,5,0,6
2022-10-03,17,6,0,5
2022-10-04,14,7,1,6
2022-10-05,12,8,0,2
2022-10-06,19,8,1,7
2022-10-07,21,6,1,5
2022-10-08,25,12,0,7
2022-10-09,20,10,1,4
2022-10-10,29,9,0,10
2022-10-11,14,5,0,4
2022-10-12,17,7,0,1
2022-10-13,13,8,0,2
2022-10-14,15,4,0,2
2022-10-15,23,4,1,4
2022-10-16,26,12,0,3
2022-10-17,21,14,0,3
2022-10-18,27,54,2,12
2022-10-19,26,11,1,3
2022-10-20,10,7,1,0
2022-10-21,24,9,0,5
2022-10-22,25,8,0,5
2022-10-23,20,16,1,6
2022-10-24,28,13,1,10
2022-10-25,15,2,0,1
2022-10-26,24,9,0,5
2022-10-27,26,10,0,6
2022-10-28,25,16,1,5
2022-10-29,25,8,1,3
2022-10-30,24,16,0,4
2022-10-31,21,11,0,3
2022-11-01,31,11,2,7
2022-11-02,26,8,2,5
2022-11-03,25,11,0,7
2022-11-04,19,7,0,6
2022-11-05,18,8,1,3
2022-11-06,29,11,0,3
2022-11-07,22,8,0,8
2022-11-08,18,11,1,2
2022-11-09,24,12,1,5
2022-11-10,10,3,0,2
2022-11-11,15,12,1,2
2022-11-12,25,4,1,7
2022-11-13,22,12,1,4
2022-11-14,16,4,0,3
2022-11-15,21,5,0,5
2022-11-16,22,13,0,3
2022-11-17,16,13,0,2
2022-11-18,18,14,0,1
2022-11-19,22,12,0,6
2022-11-20,21,11,1,7
2022-11-21,21,9,0,6
2022-11-22,29,14,0,3
2022-11-23,19,7,0,5
2022-11-24,13,5,1,5
2022-11-25,18,7,1,3
2022-11-26,20,6,0,9
2022-11-27,20,7,0,7
2022-11-28,25,8,0,8
2022-11-29,31,7,1,12
2022-11-30,24,0,0,3
2022-12-01,22,8,1,5
2022-12-02,26,10,1,6
2022-12-03,17,5,1,8
2022-12-04,23,9,0,2
2022-12-05,26,11,0,7
2022-12-06,19,12,1,4
2022-12-07,11,10,0,5
2022-12-08,16,2,1,5
2022-12-09,28,14,0,9
2022-12-10,22,11,0,3
2022-12-11,26,12,0,7
2022-12-12,28,11,0,6
2022-12-13,25,15,1,3
2022-12-14,25,11,1,8
2022-12-15,20,13,1,5
2022-12-16,16,3,1,5
2022-12-17,25,6,0,7
2022-12-18,23,9,0,4
2022-12-19,20,9,0,7
2022-12-20,25,12,1,8
2022-12-21,23,7,0,6
2022-12-22,24,9,2,5
2022-12-23,20,9,1,4
2022-12-24,20,10,1,4
2022-12-25,21,7,0,9
2022-12-26,26,12,0,8
2022-12-27,33,9,1,11
2022-12-28,27,12,0,4
2022-12-29,21,12,1,7
2022-12-30,28,7,0,3
2022-12-31,41,23,0,9
2023-01-01,52,15,0,16
2023-01-02,53,21,0,10
2023-01-03,43,21,0,7
2023-01-04,34,11,-1,7
2023-01-05,37,12,1,11
2023-01-06,25,19,2,3
2023-01-07,33,16,1,12
2023-01-08,40,16,1,7
2023-01-09,32,20,1,4
2023-01-10,24,8,1,4
2023-01-11,20,13,1,7
2023-01-12,34,14,1,6
2023-01-13,23,12,0,2
2023-01-14,29,10,0,9
2023-01-15,26,7,0,4
2023-01-16,27,10,0,9
2023-01-17,25,9,1,6
2023-01-18,16,6,1,7
2023-01-19,19,10,0,7
2023-01-20,18,8,0,3
2023-01-21,23,11,0,5
2023-01-22,19,8,0,5
2023-01-23,22,9,1,4
2023-01-24,25,11,0,8
2023-01-25,26,11,2,8
2023-01-26,29,10,0,5
2023-01-27,22,17,1,3
2023-01-28,19,7,0,5
2023-01-29,28,9,5,9
2023-01-30,13,12,1,4
2023-01-31,21,5,2,6
