date,added,ratings,reviews,to-read
2022-08-16,51,32,1,6
2022-08-17,43,25,-1,11
2022-08-18,42,26,0,8
2022-08-19,47,24,1,9
2022-08-20,53,27,1,14
2022-08-21,52,18,0,18
2022-08-22,55,23,0,19
2022-08-23,54,30,0,15
2022-08-24,51,31,0,11
2022-08-25,35,8,1,12
2022-08-26,50,12,0,20
2022-08-27,40,27,1,8
2022-08-28,53,23,1,12
2022-08-29,62,37,2,14
2022-08-30,56,19,0,10
2022-08-31,44,24,2,15
2022-09-01,50,23,1,13
2022-09-02,48,22,0,15
2022-09-03,43,22,0,10
2022-09-04,42,17,1,12
2022-09-05,36,21,0,9
2022-09-06,55,25,2,16
2022-09-07,47,27,0,13
2022-09-08,57,20,0,20
2022-09-09,43,28,1,13
2022-09-10,35,13,1,7
2022-09-11,54,20,0,24
2022-09-12,42,29,0,9
2022-09-13,48,22,0,7
2022-09-14,41,23,1,12
2022-09-15,30,22,1,7
2022-09-16,60,28,2,12
2022-09-17,42,23,1,10
2022-09-18,45,14,-1,8
2022-09-19,33,24,1,6
2022-09-20,38,21,1,7
2022-09-21,33,20,0,10
2022-09-22,51,17,1,13
2022-09-23,39,12,1,14
2022-09-24,42,21,0,13
2022-09-25,39,11,0,11
2022-09-26,50,27,0,12
2022-09-27,43,19,1,10
2022-09-28,37,24,2,4
2022-09-29,44,17,0,9
2022-09-30,52,33,0,13
2022-10-01,43,16,1,10
2022-10-02,50,27,0,11
2022-10-03,38,19,0,12
2022-10-04,38,16,0,15
2022-10-05,28,15,1,10
2022-10-06,52,22,1,17
2022-10-07,40,17,0,14
2022-10-08,32,17,1,10
2022-10-09,40,14,0,9
2022-10-10,49,33,1,13
2022-10-11,43,24,0,11
2022-10-12,45,19,2,12
2022-10-13,38,25,0,6
2022-10-14,40,14,1,16
2022-10-15,45,19,0,9
2022-10-16,40,32,3,10
2022-10-17,45,28,1,12
2022-10-18,46,16,0,15
2022-10-19,43,22,0,12
2022-10-20,35,17,1,7
2022-10-21,35,19,1,5
2022-10-22,34,17,1,5
2022-10-23,37,16,0,11
2022-10-24,48,21,0,10
2022-10-25,36,21,1,16
2022-10-26,41,24,1,10
2022-10-27,46,31,0,8
2022-10-28,34,31,2,9
2022-10-29,26,13,2,7
2022-10-30,32,16,0,7
2022-10-31,41,19,0,10
2022-11-01,49,25,0,11
2022-11-02,46,28,4,8
2022-11-03,29,15,-1,10
2022-11-04,38,12,0,11
2022-11-05,25,19,1,5
2022-11-06,51,21,1,9
2022-11-07,39,19,1,11
2022-11-08,52,25,0,12
2022-11-09,46,32,0,9
2022-11-10,29,22,1,6
2022-11-11,27,15,0,8
2022-11-12,44,15,2,11
2022-11-13,48,20,1,9
2022-11-14,38,26,1,7
2022-11-15,46,11,1,14
2022-11-16,49,20,0,17
2022-11-17,29,18,0,7
2022-11-18,36,28,0,3
2022-11-19,28,14,0,10
2022-11-20,39,24,0,8
2022-11-21,43,25,0,9
2022-11-22,50,35,0,6
2022-11-23,40,23,2,10
2022-11-24,29,18,1,9
2022-11-25,37,14,0,9
2022-11-26,35,18,1,10
2022-11-27,41,14,0,10
2022-11-28,47,25,0,13
2022-11-29,44,22,3,12
2022-11-30,32,-57,0,6
2022-12-01,26,14,0,6
2022-12-02,40,14,0,13
2022-12-03,49,21,0,14
2022-12-04,39,18,1,7
2022-12-05,41,22,0,15
2022-12-06,39,22,0,14
2022-12-07,29,17,0,7
2022-12-08,41,21,1,14
2022-12-09,33,14,0,12
2022-12-10,37,11,-1,8
2022-12-11,46,20,0,10
2022-12-12,31,16,0,9
2022-12-13,45,21,2,12
2022-12-14,38,22,0,15
2022-12-15,42,26,0,8
2022-12-16,37,13,0,10
2022-12-17,51,26,0,18
2022-12-18,46,27,0,9
2022-12-19,43,22,1,8
2022-12-20,51,27,2,17
2022-12-21,47,22,0,15
2022-12-22,26,17,0,3
2022-12-23,37,18,0,5
2022-12-24,37,19,0,10
2022-12-25,46,22,1,8
2022-12-26,50,26,0,13
2022-12-27,71,28,1,24
2022-12-28,66,34,0,12
2022-12-29,55,25,2,21
2022-12-30,71,27,-1,20
2022-12-31,70,41,2,17
2023-01-01,97,30,2,24
2023-01-02,97,48,1,20
2023-01-03,85,53,1,19
2023-01-04,72,37,2,18
2023-01-05,76,39,0,20
2023-01-06,55,27,2,10
2023-01-07,58,24,1,13
2023-01-08,79,36,1,18
2023-01-09,67,51,2,16
2023-01-10,60,27,0,10
2023-01-11,61,34,1,13
2023-01-12,75,32,1,22
2023-01-13,47,33,1,7
2023-01-14,50,32,1,10
2023-01-15,63,30,1,15
2023-01-16,69,22,0,16
2023-01-17,50,30,1,13
2023-01-18,52,24,0,15
2023-01-19,39,31,1,10
2023-01-20,36,19,0,13
2023-01-21,44,15,0,14
2023-01-22,41,21,1,10
2023-01-23,53,34,2,9
2023-01-24,52,15,-1,15
2023-01-25,62,34,1,18
2023-01-26,49,23,1,9
2023-01-27,38,16,0,12
2023-01-28,53,27,0,9
2023-01-29,42,21,0,11
2023-01-30,34,15,1,9
2023-01-31,43,14,0,7
