date,added,ratings,reviews,to-read
2022-08-16,88,59,2,23
2022-08-17,102,53,-1,28
2022-08-18,90,48,3,23
2022-08-19,70,37,0,22
2022-08-20,94,45,2,21
2022-08-21,99,49,5,30
2022-08-22,84,49,2,28
2022-08-23,80,34,4,26
2022-08-24,92,60,1,13
2022-08-25,89,45,3,27
2022-08-26,98,41,0,38
2022-08-27,60,34,0,15
2022-08-28,92,39,2,24
2022-08-29,97,57,2,29
2022-08-30,105,45,2,28
2022-08-31,75,37,1,23
2022-09-01,81,34,2,21
2022-09-02,91,48,1,27
2022-09-03,66,36,-1,16
2022-09-04,89,38,1,25
2022-09-05,71,45,-1,22
2022-09-06,86,31,3,32
2022-09-07,90,40,-1,31
2022-09-08,85,32,1,26
2022-09-09,81,55,1,18
2022-09-10,53,28,1,14
2022-09-11,67,32,2,20
2022-09-12,79,52,3,23
2022-09-13,83,25,2,28
2022-09-14,80,48,2,23
2022-09-15,57,27,0,23
2022-09-16,76,42,1,20
2022-09-17,67,35,1,14
2022-09-18,64,30,-1,16
2022-09-19,87,44,0,31
2022-09-20,75,43,4,18
2022-09-21,68,44,0,18
2022-09-22,83,37,0,24
2022-09-23,66,40,1,20
2022-09-24,70,31,1,18
2022-09-25,64,41,2,17
2022-09-26,66,37,0,16
2022-09-27,68,32,1,22
2022-09-28,72,31,1,18
2022-09-29,83,38,1,25
2022-09-30,66,36,1,21
2022-10-01,63,27,1,22
2022-10-02,86,36,3,28
2022-10-03,80,44,1,16
2022-10-04,83,33,2,27
2022-10-05,52,29,1,14
2022-10-06,67,41,0,15
2022-10-07,68,32,2,19
2022-10-08,65,28,1,22
2022-10-09,68,34,0,20
2022-10-10,83,54,2,20
2022-10-11,86,35,1,26
2022-10-12,79,26,1,32
2022-10-13,63,28,1,21
2022-10-14,70,32,1,27
2022-10-15,59,24,3,16
2022-10-16,71,40,2,24
2022-10-17,63,36,2,20
2022-10-18,73,32,0,20
2022-10-19,67,35,1,15
2022-10-20,59,30,2,16
2022-10-21,52,29,1,15
2022-10-22,59,23,1,18
2022-10-23,69,34,0,15
2022-10-24,74,39,1,23
2022-10-25,67,32,0,24
2022-10-26,71,49,2,18
2022-10-27,67,36,3,14
2022-10-28,64,38,2,19
2022-10-29,58,28,3,17
2022-10-30,59,26,1,15
2022-10-31,60,29,2,11
2022-11-01,77,46,1,18
2022-11-02,62,33,2,20
2022-11-03,64,30,2,22
2022-11-04,61,31,1,18
2022-11-05,61,22,0,17
2022-11-06,74,35,1,22
2022-11-07,70,35,1,20
2022-11-08,68,31,5,18
2022-11-09,70,42,3,10
2022-11-10,55,38,0,16
2022-11-11,53,25,0,11
2022-11-12,62,28,0,19
2022-11-13,69,31,2,14
2022-11-14,69,30,0,20
2022-11-15,81,35,1,25
2022-11-16,87,46,0,25
2022-11-17,52,33,1,15
2022-11-18,59,33,1,15
2022-11-19,56,24,0,12
2022-11-20,67,28,1,27
2022-11-21,71,36,1,25
2022-11-22,66,34,0,19
2022-11-23,57,25,1,22
2022-11-24,72,-60,-10,20
2022-11-25,53,33,1,18
2022-11-26,68,29,-1,20
2022-11-27,69,22,0,22
2022-11-28,76,41,0,23
2022-11-29,68,30,1,16
2022-11-30,63,-38,0,16
2022-12-01,67,39,2,20
2022-12-02,67,32,0,18
2022-12-03,73,33,1,23
2022-12-04,79,37,2,19
2022-12-05,70,46,0,21
2022-12-06,77,30,2,23
2022-12-07,57,24,1,21
2022-12-08,61,28,0,26
2022-12-09,57,29,-1,24
2022-12-10,57,19,0,13
2022-12-11,81,31,0,18
2022-12-12,60,43,-1,20
2022-12-13,76,38,3,17
2022-12-14,69,34,7,20
2022-12-15,71,32,1,19
2022-12-16,53,25,0,17
2022-12-17,92,36,1,28
2022-12-18,84,39,1,24
2022-12-19,84,40,1,23
2022-12-20,82,35,-1,28
2022-12-21,90,40,3,27
2022-12-22,68,32,0,19
2022-12-23,76,39,1,24
2022-12-24,78,33,0,30
2022-12-25,93,37,1,33
2022-12-26,77,30,0,21
2022-12-27,126,55,2,44
2022-12-28,114,57,0,32
2022-12-29,104,50,2,31
2022-12-30,114,48,0,28
2022-12-31,149,71,3,31
2023-01-01,239,71,3,69
2023-01-02,212,130,0,52
2023-01-03,175,87,-1,37
2023-01-04,130,70,2,41
2023-01-05,144,56,2,39
2023-01-06,126,66,3,24
2023-01-07,118,55,3,34
2023-01-08,133,69,0,28
2023-01-09,123,71,0,29
2023-01-10,119,65,0,32
2023-01-11,114,65,4,31
2023-01-12,108,51,1,37
2023-01-13,107,52,3,34
2023-01-14,98,49,1,23
2023-01-15,98,46,2,25
2023-01-16,109,54,5,29
2023-01-17,93,46,1,23
2023-01-18,98,46,3,26
2023-01-19,68,44,3,22
2023-01-20,81,48,0,24
2023-01-21,69,33,2,27
2023-01-22,82,32,0,24
2023-01-23,95,51,1,18
2023-01-24,94,43,1,29
2023-01-25,98,39,5,27
2023-01-26,97,45,2,25
2023-01-27,94,40,2,27
2023-01-28,69,36,2,18
2023-01-29,70,38,2,18
2023-01-30,73,40,1,23
2023-01-31,67,30,1,19
