date,added,ratings,reviews,to-read
2022-08-16,36,25,2,8
2022-08-17,34,21,0,8
2022-08-18,37,16,0,8
2022-08-19,45,29,1,6
2022-08-20,49,28,2,16
2022-08-21,44,17,1,12
2022-08-22,37,23,1,7
2022-08-23,36,28,2,6
2022-08-24,46,27,0,9
2022-08-25,41,30,4,7
2022-08-26,41,20,2,10
2022-08-27,38,19,1,8
2022-08-28,47,23,2,7
2022-08-29,56,35,2,16
2022-08-30,61,32,3,12
2022-08-31,47,23,0,10
2022-09-01,49,20,-1,15
2022-09-02,41,22,0,13
2022-09-03,37,21,1,10
2022-09-04,35,16,0,7
2022-09-05,32,17,1,5
2022-09-06,51,19,0,19
2022-09-07,45,30,0,13
2022-09-08,46,25,3,15
2022-09-09,39,22,0,12
2022-09-10,34,19,0,5
2022-09-11,32,13,-1,10
2022-09-12,31,20,3,10
2022-09-13,37,18,0,10
2022-09-14,41,19,1,14
2022-09-15,26,22,2,11
2022-09-16,39,23,0,4
2022-09-17,34,16,0,13
2022-09-18,36,14,0,5
2022-09-19,36,21,1,9
2022-09-20,35,7,0,13
2022-09-21,22,10,1,14
2022-09-22,45,21,1,6
2022-09-23,35,21,1,8
2022-09-24,44,22,1,13
2022-09-25,51,25,0,16
2022-09-26,39,27,0,7
2022-09-27,42,13,1,10
2022-09-28,27,19,0,5
2022-09-29,28,12,3,9
2022-09-30,36,25,1,6
2022-10-01,31,10,1,6
2022-10-02,32,16,0,9
2022-10-03,31,15,0,3
2022-10-04,31,23,1,10
2022-10-05,32,16,0,7
2022-10-06,38,20,0,12
2022-10-07,29,17,2,3
2022-10-08,26,8,1,9
2022-10-09,36,8,2,11
2022-10-10,42,27,3,8
2022-10-11,46,24,0,13
2022-10-12,44,13,0,11
2022-10-13,24,25,1,3
2022-10-14,34,16,0,9
2022-10-15,47,22,0,9
2022-10-16,41,26,1,10
2022-10-17,55,22,1,11
2022-10-18,44,23,1,8
2022-10-19,44,18,2,10
2022-10-20,35,16,1,4
2022-10-21,43,27,0,13
2022-10-22,39,24,1,6
2022-10-23,45,22,1,15
2022-10-24,40,18,1,13
2022-10-25,36,14,0,9
2022-10-26,39,26,2,6
2022-10-27,47,25,3,6
2022-10-28,44,26,2,10
2022-10-29,34,15,3,9
2022-10-30,34,24,2,4
2022-10-31,63,25,4,14
2022-11-01,48,36,2,7
2022-11-02,40,21,4,7
2022-11-03,41,26,4,8
2022-11-04,33,11,2,6
2022-11-05,31,16,3,9
2022-11-06,55,19,0,12
2022-11-07,36,23,2,8
2022-11-08,24,6,0,6
2022-11-09,33,24,0,10
2022-11-10,32,18,1,12
2022-11-11,29,16,0,6
2022-11-12,35,17,1,10
2022-11-13,45,27,0,8
2022-11-14,41,19,1,12
2022-11-15,31,21,1,5
2022-11-16,39,15,0,11
2022-11-17,24,20,1,2
2022-11-18,34,21,1,10
2022-11-19,32,11,0,10
2022-11-20,30,12,1,6
2022-11-21,28,18,1,7
2022-11-22,36,21,2,7
2022-11-23,32,18,2,6
2022-11-24,28,16,0,6
2022-11-25,28,11,0,8
2022-11-26,26,18,1,5
2022-11-27,42,12,0,12
2022-11-28,37,22,1,11
2022-11-29,41,16,2,13
2022-11-30,30,-46,2,6
2022-12-01,28,13,1,8
2022-12-02,37,19,0,9
2022-12-03,34,18,1,11
2022-12-04,38,13,0,9
2022-12-05,28,15,0,6
2022-12-06,26,17,1,12
2022-12-07,29,15,1,8
2022-12-08,28,14,1,10
2022-12-09,39,17,0,6
2022-12-10,30,22,1,7
2022-12-11,39,14,0,8
2022-12-12,27,9,-1,9
2022-12-13,34,13,0,8
2022-12-14,42,15,0,13
2022-12-15,32,18,1,9
2022-12-16,26,8,1,9
2022-12-17,48,16,1,12
2022-12-18,35,19,1,5
2022-12-19,33,14,0,8
2022-12-20,51,26,0,21
2022-12-21,38,13,0,9
2022-12-22,22,17,1,8
2022-12-23,20,8,0,6
2022-12-24,31,20,1,7
2022-12-25,42,14,0,12
2022-12-26,37,11,-1,5
2022-12-27,47,22,0,13
2022-12-28,61,24,0,17
2022-12-29,40,13,4,15
2022-12-30,59,24,0,15
2022-12-31,57,29,2,6
2023-01-01,84,28,2,23
2023-01-02,94,40,1,14
2023-01-03,69,38,1,14
2023-01-04,51,30,3,13
2023-01-05,62,21,1,14
2023-01-06,54,30,0,15
2023-01-07,48,23,1,7
2023-01-08,52,25,1,12
2023-01-09,48,19,1,19
2023-01-10,39,14,1,11
2023-01-11,37,21,1,8
2023-01-12,58,30,1,17
2023-01-13,37,26,0,6
2023-01-14,36,19,0,8
2023-01-15,52,29,1,10
2023-01-16,51,19,0,7
2023-01-17,38,16,2,15
2023-01-18,42,20,0,13
2023-01-19,38,17,3,11
2023-01-20,30,10,0,9
2023-01-21,46,20,0,11
2023-01-22,37,22,0,8
2023-01-23,29,18,-1,5
2023-01-24,31,14,1,9
2023-01-25,41,19,4,10
2023-01-26,41,13,0,9
2023-01-27,44,21,2,14
2023-01-28,34,13,1,10
2023-01-29,35,14,1,10
2023-01-30,29,11,2,12
2023-01-31,44,12,1,15
