Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
72579,Alias Grace,Annet,570,710,5,"September 12, 2019","Sometimes I whisper it over to myself: Murderess, Murderess. It rustles, like a taffeta skirt along the floor... Highlight of 2017 for me!A pure gem. That is Alias Grace, for me. Another grand work of Margaret Atwood. Atwood, described as ‘one of the most brilliant and unpredictable novelists alive’ (Literary Review)……and also: ‘A witty, elegant, generous and patient writer.’ I would say a strong-minded, self-willed, wayward writer, sometimes also dark and ruthless. This story keeps you hooked from beginning to end, following Grace Marks in her troubled life. A colourful, multifaceted and intriguing story, that keeps you reading for more than 500 pages…. This is how Atwood describes the story outline in her Author’s Afterword, which I recommend everyone to read in full: About Grace is a work of fiction, although it is based on reality. Its central figure, Grace Marks, was one of the most notorious Canadian women of the 1840s, having been convicted of murder at the age of sixteen. The Kinnear-Montgomery murders took place on July 23, 1843, and were extensively reported not only in Canadian newspapers but in those of the United States and Britain. The details were sensational: Grace Marks was uncommonly pretty and also extremely young. Nancy Montgomery had previously given birth to an illegitimate child and was Thomas Kinnear’s mistress; at her autopsy she was found to be pregnant. Grace and her fellow servant James McDermott had run away to the US together and were assumed by the press to be lovers…..The trial was held in early November. Only the Kinnear murder was tried. …. McDermott was hanged in front of a huge crowd on November 21, but opinion about Grace was divided from the start and due to the efforts of her lawyer and a group of respectable gentlemen petitioners –who pleaded her youth, the weakness of her sex and her supposed witlessness her sentence was commuted to life…. She continued to be written about over the course of the century, and she continued to polarize opinion. Attitudes towards her reflected contemporary ambiguity about the nature of women: was Grace a female fiend and temptress, the instigator of the crime and the real murderer of Nancy Montgomory, or was she an unwilling victim, forced to keep silent by McDermott’s threats and by fear of her own life? ….So this story takes you in more than 500 pages in a quiet pace through the life of Grace… and a variety of characters surround her in the progress of the story. Including the fascinating Dr. Jordan, who comes into play to assess Grace and in that process we witness his struggle and moral decline….As Atwood says in her afterword: she stayed with the historical facts, but there were gaps there or unclarities/various versions and in that case she took the liberty to fill those gaps in. What can I say. I think Atwood is a true artist – solid writing – sharp observations – great writing. What more can I want? 5 stars and highly recommended. I'm a fan (was already, now it's official :-))",299,70
72579,Alias Grace,Kalliope,681,22,5,"December 17, 2015","Working with patches. Patchwork. Putting together various pieces of material that already existed and joining them into a new design.This is the theme that Margaret Atwood has developed through her novel, and I am not making this up for the sake of my review. Her concluding paragraphs, spoken by her heroine, are about the patched Tree of Paradise.
  The Tree itself is of triangles, in two colours, dark for the leaves and a lighter colour for the fruits; I am using purple for the leaves and red for the fruits.
And so Atwood constructed her fiction. She has taken fragments from a past reality, from a crime committed in the Canada of the 1840s. The unifying thread is the fictionalized account of Grace Marks, one of the two people convicted for a double murder. The other person accused was hanged, but her sentence was commuted to life in prison. Through her novel Atwood has called her to live again--in fiction. Thanks to her stitches.Using this textual thread, one spun out of the materials of memory and invention, Atwood has joined many other pieces. Some add colour and veracity, for she includes fragments from newspapers – for as this became a famous case, a plethora of texts narrated this event before Atwood did – as well as extracts from the written confessions by Marks herself, or from letters written by real life figures such as the Medical Superintendent of the Asylum where Marks was interned, or from the Diary of the Warden of the Penitentiary where Marks spent the early part of her sentence. Other fragments included add a different tonality and ingenuity. Stanzas from poems, sonnets, stanzas and tragedies interspersed here and there add insight and sensitivity. This crafty use of lyrical and dramatic elements appeal to our fancies and sharpen our awareness, and the overall effect is new and compelling.And as we notice Atwood’s abilities in working with patches, we recognized her literary artistry and her understanding of the powers of fiction. When stories are woven they are nothing at all, but when they are finished, with all their parts sewn together, they become what they are. Not surprisingly is Scheherezade invoked in the novel. For stories, mixing truths and falsities acquire the nature of something else. They are not too different from the Tree of Paradise, the tree of Life and of Good&Evil.",284,49
72579,Alias Grace,Tatiana,"1,379",11700,3,"June 6, 2011","I felt about Alias Grace the same way I did about probably half of Atwood's novels I've read so far - I just didn't fully get it. Nobody conveys Life ain't easy for a woman message as well as Atwood. Past, present, future - the living is rough for women. It is particularly unpleasant for Grace Marks, a young servant girl in mid-19th century Canada, accused of murdering her employer and his housekeeper with the help of her co-worker and alleged paramour, and who is locked up first in an insane asylum and then prison. Atwood finds a way to explore plenty of issues from a feminist standpoint here - poverty, servitude, sexual repression, violence, insanity - and does is marvelously.What didn't work for me was Grace's story itself. Evidently, this real-life criminal case got a lot of attention back in a day. Was Grace a cunning murderess? Or did her supposed lover force her to participate in this gruesome crime? Did she make up her convenient memory loss? People speculated about this 150 years ago without coming to any definitive conclusion. Atwood doesn't give any answers in her fictionalized version either. After establishing Grace's character so well, the author failed in my eyes to come up with a convincing solution to the mystery, or a believable motivation for either scenario. If Grace was in fact the evil murderess, why did she desire to kill her master? And if her co-conspirator was in charge, what was his reason? I never understood this.I appreciate ambiguity on fiction, but what is the point of reconstructing a crime, examining it if you do not give any opinion as to what actually took place? Frustrating.",191,17
72579,Alias Grace,Fabian,933,1525,5,"April 23, 2020","I keep kicking myself for having ditched the Atwood Speaking Gala at A.W.P. in Chicago this year (2012). The fierce literati kept the attendance so high that it was virtually as if Lady Gaga herself were to give a lecture on her impressive body of work. I was more interested in walking all around Chitown, anyway, but I really (sorta) regret not having nabbed a coveted seat. She was probably amazing: uberclever & brilliant.Without two minor (teeny) infractions, “Alias Grace” is pretty much a well-rounded, totalizing, COMPLETE novel—one which paints a full world with such realistic colors that the reader quickly forgets that the plot actually comes from the 1850’s Annals of Canadian Crime. Before I start extolling it madly, let me quickly state what those two “minor infractions” are: Grace’s 1st-person accounts are not completely authentic-sounding; they are far too articulate and intelligent—symbols become too clearly presented to the reader (who should feel slightly MORE confused, as psyches are often deep chasms) as the author’s own signature is made overly-clear in Grace’s own declarations (Atwood adds on her character’s openly-questionable credibility pretty early on, to her credit). Also, there is this feeling that without that added spice of changing POV’s and tenses, the plot would have been banal & tedious—the middle indeed sags, but the conclusion, the last 80 pages of it, is ultimately positively stellar. Luckily for us, the writer was hyperaware of how much of her own added element would befit this seemingly-simple story of homicide. Those symbols of femininity (the red peonies, the patchwork quilt, the washing & scrap-booking) have never been placed in such intense context before—I was genuinely enthralled, impressed like a rabid Atwood fanboy. I truly like this one, perhaps not as much as her fantastic “Oryx and Crake,” but far more than her most famous “Handmaid’s Tale” & her more recent “Year of the Flood.”",167,6
72579,Alias Grace,jessica,"2,475",29600,4,"February 7, 2019","
  ‘if we were all on trial for our thoughts, we would all be hanged.’
the year is 1843 and grace marks has been arrested and convicted for her alleged involvement in two murders. she is only 16 years old and will spend the next 29 years incarcerated. but what would possess a young girl to commit such a crime? and why did she give three conflicting confessions of what happened? was it a crime of passion or unfortunate circumstances?the answers to these questions is exactly what dr. jordan hopes to discover. as the doctor prompts graces memories, the reader is immersed in a story surrounded by sex, violence, and insubordination, with the uncomfortable realisation that not everything is so black and white.atwood is a very thorough storyteller. its evident by reading this that atwood has exhausted all sources when researching grace marks and that tragic day in history. and whilst the subject matter is hauntingly gripping, my only complaint it this is a little dry. its a long exposé of graces character and is very slow at times (especially when recounting her early life), almost to the point where i become emotionally deattached from everything that was happening. but i cant deny that this dramatic tale is thought-provoking, as much as it is entertaining. its a definite must read for those who enjoy the true crime of historical fiction. ↠ 3.5 stars",160,8
72579,Alias Grace,Bionic Jean,"1,212",999,4,"January 28, 2023","""When you are in the middle of a story it isn't a story at all, but only a confusion; a dark roaring, a blindness, a wreckage of shattered glass and splintered wood; like a house in a whirlwind, or else a boat crushed by the icebergs or swept over the rapids, and all aboard powerless to stop it. It's only afterwards that it becomes anything like a story at all. When you are telling it, to yourself or to someone else.""This powerful passage is from Margaret Atwood's 1996 novel Alias Grace. She developed the novel from her television script ""The Servant Girl"" of 1974, and it was shortlisted for the Booker prize. The story is about the notorious 1843 murders of Thomas Kinnear and his housekeeper Nancy Montgomery in Canada. Grace Marks and James McDermott, both servants in the household, were convicted of the crime. McDermott was hanged and Marks was sentenced to life imprisonment.Alias Grace is based on factual events. However the author explains that she has used verifiable facts wherever possible, but that where there were none she felt at liberty to embroider or invent. One of her creations is the character of a doctor, Simon Jordan, who researches the case. Although he is conducting research into criminal behaviour, he slowly becomes more and more personally involved in the story which is gradually unveiled to him by Grace Marks. He finds it increasingly difficult to reconcile the gentle, self-controlled woman he sees every day with the murderess who has been convicted.The novel follows the story of Grace's life, as she relates it to Doctor Jordan. These parts with Grace as the viewpoint character are cleverly written with no punctuation. Therefore, because they are written from Grace's point of view, the reader is never sure whether Grace is speaking or thinking. Atwood's use of language is poignant and evocative in these descriptions of events. Colours, smells, feelings - all are described in minute detail, which would be extraordinary feats of expression if spoken aloud by Grace herself. An example of this is the quotation above. It is attributed to Grace, but was this spoken aloud? Were these her own innermost thoughts? Or is it being addressed to the reader?Other parts are written from Doctor Jordan's point of view, although Atwood uses the third person in these passages, whereas for Grace, it is always ""I"". This switching between points of view makes the reader uncertain, and the narrative quite edgy. In addition, authentic newspaper articles and letters from doctors and those in charge of Grace during her time in prisons and asylums are interspersed at the end of some of the chapters. They are not chronological, which again adds to the disjointed feel of the text. Most of the detail is of events prior to the murders, and some date from a long time earlier, but we do find out what happens to both Grace and Doctor Jordan after the long consultations. Although in the afterword Atwood states that the facts are inconclusive, throughout the reader is trying to ascertain what really happened. We feel there is a mystery.  Was Grace insane, as some people believed? Was she a calculating murderess? Was she, as Doctor Jordan was grasping at, suffering from an as yet unidentified mental illness such as multiple personality?  At this distance we will never know, and in any event this is a novel. But it is very well-constructed and parts are beautifully written.",153,39
72579,Alias Grace,Lisa,971,3331,5,"November 13, 2018","""If we were all on trial for our thoughts, we would all be hanged."" When I first read Alias Grace, I thought it was ""less"" relevant than her other, almost prophetically painful novels. I changed my mind. Not immediately, and not deliberately. But slowly, steadily, like a patchwork taking form, I could see the novel in a new light long after I finished it. It grew in my memory as it faded, and all of a sudden, it occurred to me that it was a masterpiece of quiet rebellion where the other novels, like the Handmaid's Tale, Oryx and Crake, the Penelopiad or Cat's Eye are angry, eloquently shouted manifestos.What is sanity? That painful interregnun between phases of blissful insanity, as Poe wittily claims, or the opinion of the (insane) majority? What is murder? What is guilt? How can one determine what really happened if all people involved in the action live in different minds, meaning different realities? How do we establish ""truth"" in the tangle of myths, passions, prejudices and conventions?As always, we solve the mystery of a story by telling another, and Margaret Atwwod seemed to define my journey as a reader long before I knew what I was reading myself:""When you are in the middle of a story it isn't a story at all, but only a confusion; a dark roaring, a blindness, a wreckage of shattered glass and splintered wood; like a house in a whirlwind, or else a boat crushed by the icebergs or swept over the rapids, and all aboard powerless to stop it. It's only afterwards that it becomes anything like a story at all. When you are telling it, to yourself or to someone else.""",152,14
72579,Alias Grace,Jamie,321,238,5,"February 7, 2009","Margaret Atwood occupies a strange nook in my heart. She's become a bit of a chore lately, as I'm including her in my senior honors thesis; on the other hand, I've now read almost all of her novels, and while none are bad or even...not really good. Just that because a few of the novels shine so brightly, that the others seem duller in comparison.Well, Alias Grace is a supernova. It's an absolutely phenomenal novel, and a truly thrilling read. It's a departure for Atwood, as it's historical fiction (of course, she did do the Journals of Susanna Moodie before), but moreover, it employs similar narrative techniques as detective fiction, while turning them on their head--in any case, it's definitely a page-turner, which is not something you usually mention in conjunction with Atwood. This doesn't discount the literary merit--there's enough meat in the book to write a dissertation or five on it. There's something quite fresh in her style here, with many many passages I absolutely had to read aloud to whomever was (un)fortunate enough to be near me as I read.The general structure of the novel is from the outset quite fascinating--each section is tied under the flag of a quilt pattern, and each begins with a series of epigraphs, combining historical documents, poetry, ""witness accounts"" and so forth--ultimately questioning the validity of each, and how we reconfigure the past with necessarily limited frameworks at hand. Writing a fictionalized account of a historical person is itself an indictment of history, but Atwood takes it so much farther, and in much more wonderfully 'political' ways. Grace is still a frustrating enigma by the end of the text, but you'll adore her and her sly moves, her secret longings, and her storytelling ability--Dr. Jordan, as we discover, has no idea what he's getting into with her. It's certainly a dark read, and often I would have to lay the book down for at least a minute or two to catch my breath. But Atwood has a wonderful way of infusing humor into even the bleakest of moments, so there were just as many times when I found myself laughing aloud. This book will not leave you for a long time.",129,6
72579,Alias Grace,Candi,598,4532,5,"September 2, 2015","This book is a gem. A work of fiction, but based on actual historical events, Alias Grace is the story of the convicted murderess, Grace Marks. Sixteen year old Grace and fellow servant James McDermott are said to have brutally murdered their employer, Thomas Kinnear and his housekeeper and supposed mistress, Nancy Montgomery, in Canada during the 1840’s. However, Grace claimed to have no memory of her own culpability in these murders. Both were found guilty; James McDermott was condemned to death and Grace Marks was sentenced to life imprisonment in the Provincial Penitentiary in Kingston, Canada.In the novel, Grace’s story is revealed to Dr. Simon Jordan, a fictional, progressive, young doctor who is trained in the study of mental illnesses. Dr. Jordan’s expertise has been requested by a group of individuals who are petitioning for a pardon for Grace. Grace’s story, as she relates it in the first person to Dr. Jordan, is so very compelling, I could not put this book down. I was immediately drawn to Grace as she so expressively recounted her memories of her childhood, her migration to Canada from Ireland, her new life as a servant, her trial and her life in prison. Just like Dr. Jordan, I at first wondered about her guilt, her sanity, and whether or not she was speaking with candor or artifice. The prose here is so wonderfully moving. At the end of one of her sessions with Dr. Jordan, Grace says, either to the reader or to herself:“While he writes, I feel as if he is drawing me; or not drawing me, drawing on me – drawing on my skin – not with the pencil he is using, but with an old-fashioned goose pen, and not with the quill end but with the feather end. As if hundreds of butterflies have settled all over my face, and are softly opening and closing their wings.”“But underneath that is another feeling, a feeling of being wide-eyed awake and watchful. It’s like being wakened suddenly in the middle of the night, by a hand over your face, and you sit up with your heart going fast, and no one is there. And underneath that is another feeling still, a feeling like being torn open; not like a body of flesh, it is not painful as such, but like a peach; and not even torn open, but too ripe and splitting open of its own accord. And inside the peach there’s a stone.”Grace also has a way of discerning others that is at times both shrewd and witty. I felt as if she could easily have switched roles with Dr. Jordan – she being the analyst and he being the subject of her scrutiny rather than vice versa. And, Dr. Jordan, I felt was verily in need of some rehabilitation of his own psyche!  In addition, I found even her general observations of her surroundings to be rather droll. I found myself laughing out loud on occasion. In her description of a bustle, she says “it was like having another bum tied on top of your real one and the two of them following you around like a tin bucket tied to a pig.” Grace’s narrations of her dreams, too, were so vivid; I could feel the stirring emotions these evoked. “I was seeing it all for the first time, although I also knew I had been there before, as is the way in dreams… And I longed to be there, although in the dream I was there already; but I had a great yearning towards this house, for it was my real home.”I grew to admire Grace throughout this book. But, was she innocent or guilty of the heinous crime for which she was convicted? Are we, the readers, able to come to a conclusion based on Ms. Atwood’s spin on this factual event? Or, is that not the real purpose here – to come to a veritable conclusion? No matter what you conclude, the consummate storytelling in this Atwood novel is well worth your time.",125,31
72579,Alias Grace,Baba,"3,503",725,4,"April 16, 2022","Margaret Atwood had a long time fascination with 19th century Canada's most sensational murders and trial, where the Irish-Canadian 15 year old housemaid, Grace Marks was co-accused and divided many - those that thought she was a cold killer and those that thought she was a tad naive and just another victim of the 20-year old James McDermott. In Alias Grace, Atwood takes us for a whirl with a number of 'well-meaning' narrators pro and anti - Grace; and one honourable and honest, but stoic narrator or a very cunning unreliable narrator ...Grace Marks, devil, angel or something in between?With such a salacious topic to write about, it's almost a marvel that the book still completely centres around Grace and what we learn from what she thinks and tells us. I sat down almost presuming innocence from the off, her being a highly underprivileged girl with no real power, yet despite this, the more I read, the more torn I was. That's what I really liked about the way the story is presented to the reader, the more you know, the less you know. Yes Grace was and is treated horrendously from her childhood through to her trial and then imprisonment; but did that make her a murderer or did it make her vulnerable to being caught up in a murder?This is technically an epistolary novel, although some of the entries are so long it doesn't feel like it is. Atwood conjures up a not often seen Canada a few years before the American Civil War, and through a number of characters sets the out the status quo of the time. The historical backdrop is fascinating, as was the way they diagnosed and treated mental health; but of everything, it made me think, when I realised that sexism may have been the key to Grace's escape from the death penalty! Yet another Atwood good read, in this case, one that I feel went on too long - 8 out of 122020 read",124,N/A
