Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
355697,All Quiet on the Western Front,Maureen ,"1,291",7114,5,"May 15, 2022","There are already thousands of reviews for this deeply moving and heartbreaking book here on Goodreads, and I don't know that I could add anything new. It simply broke my heart. However I do feel really strongly that I should describe the vivid imagery that I'm left with. Bright red poppies in bloodied fields Where death stalked its victims. It cared not for age, creed, or nationality  What would they have achieved in life, These young men, with so much yet to experience, So many dreams to fulfil  If duty hadn't called, and they hadn't answered When the sun set for one final time It set on the lives they never lived",958,490
355697,All Quiet on the Western Front,Warwick,809,14400,4,"July 18, 2014","Man, I need a break. I've been reading about the First World War solidly since December and I've had enough now. There's only so many times you can go through the same shit, whether they're English, French, German, Russian – oh look, another group of pals from school, eagerly jogging down to the war office to sign up. Brilliant. Now it's just a matter of guessing which horrible death will be assigned to them: shrapnel to the stomach, bleeding to death in no-man's-land, drowning in mud, succumbing to dysentery, shot for deserting, bayonetted at close range, vaporised by a whizz-bang, victim of Spanish flu. It's like the most depressing drinking game ever.I wish, after spending many months reading around this subject, that I could pick out some obscure classic to recommend (and perhaps I will still find some, because I intend to keep reading about 1914–18 throughout 2014–18), but I have to say that this novel, famously one of the greatest war novels, is in fact genuinely excellent and left quite an impression on me, despite my trench fatigue. Remarque has the same elements as everyone else – because pretty much everyone in this war went through the same godawful mind-numbingly exhausting terror – but he describes it all with such conviction and such clarity that I was sucker-punched by the full horror of it all over again.The story is studded with remarkable incidents that linger in the mind: roasting a stolen goose in the middle of a barrage, for instance, or stabbing a Frenchman to death in a fit of panic while sheltering in the same shell-hole. The arrangements made to allow a hospital inmate to enjoy a marital visit with his wife, while the rest of the patients in the room concentrate on ‘a noisy game of cards’. I loved the moment where our narrator and his friends swim across a river to have a drink with some local French girls, arriving naked because they couldn't risk getting their uniforms wet. And back in the trenches, an infestation of huge rats, ‘with evil-looking, naked faces’, is described with more than Biblical loathing:They seem to be really hungry. They have had a go at practically everybody's bread. Kropp has wrapped his in tarpaulin and put it under his head, but he can't sleep because they run across his face to try and get at it. Detering tried to outwit them; he fixed a thin wire to the ceiling and hooked the bundle with his bread on to it. During the night he puts on his flashlight and sees the wire swinging backwards and forwards. Riding on his bread there is a great fat rat.There is also a fair bit of philosophising. While guarding a group of Russian prisoners-of-war, our narrator is overcome by the arbitrariness of the whole situation:An order has turned these silent figures into our enemies; an order could turn them into friends again. On some table, a document is signed by some people that none of us knows, and for years our main aim in life is the one thing that usually draws the condemnation of the whole world and incurs its severest punishment in law. How can anyone make distinctions like that looking at these silent men, with their faces like children and their beards like apostles? Any drill-corporal is a worse enemy to the recruits, any schoolmaster a worse enemy to his pupils than they are to us. […] I don't want to lose those thoughts altogether, I'll preserve them, keep them locked away until the war is over. […] Is this the task we must dedicate ourselves to after the war, so that all the years of horror will have been worthwhile?I found this quote and this resolution very moving, because Germany's post-war history rendered it so utterly futile. When the Nazis came to power in 1933 – just four years after this was published – they set about burning the book, which tended to be their first response to any problem. While Ernst Jünger's vision of a German people purified and hardened by the war was venerated (poor guy), Remarque's text was denounced as an ‘insult to the German soldier’. He took the hint, and sailed to the US in 1939. The German state, in what amounted to a fit of pique, cut his sister's head off instead and then billed what was left of his family for wear and tear to the blade.So – as can't be said enough – fuck them. The insights that Remarque and Barbusse and Sassoon and Genevoix and Manning found in extremis – of the essential commonality of human beings – are, we like to think, now accepted by society over the alternatives, despite what we sometimes have to infer from the content of our newspapers.With all of that said, this is a novel. It is not a memoir. Remarque only spent a month on the front lines (whereas Jünger, who apparently had the time of his life, was there for years).This 1994 translation from Brian Murdoch is excellent and reads entirely naturally; he also contributes a thoughtful and unassuming essay which – finally, a publisher that gets it! – is helpfully placed as an Afterword so as not to spoil the novel itself. All in all a very powerful and moving piece of writing: if I had to recommend just one contemporary novel from the First World War, so far this is probably it.",514,63
355697,All Quiet on the Western Front,Vit Babenco,"1,374",3187,5,"October 18, 2020","They were young. They were twenty-year-old. The war has stolen their youth.To me the front is a mysterious whirlpool. Though I am in still water far away from its centre, I feel the whirl of the vortex sucking me slowly, irresistibly, inescapable into itself.From the earth, from the air, sustaining forces pour into us—mostly from the earth. To no man does the earth mean so much as to the soldier. When he presses himself down upon her long and powerfully, when he buries his face and his limbs deep in her from the fear of death by shell-fire, then she is his only friend, his brother, his mother; he stifles his terror and his cries in her silence and her security; she shelters him and releases him for ten seconds to live, to run, ten seconds of life; receives him again and often for ever.The war has changed the values and priorities in man’s life – instead of learning the art of love and living one had to learn the skill of staying alive for however a short while longer.Erich Maria Remarque was a humanist who could vividly portray the atrocity of war in all its terrors.I am young, I am twenty years old; yet I know nothing of life but despair, death, fear, and fatuous superficiality cast over an abyss of sorrow. I see how peoples are set against one another, and in silence, unknowingly, foolishly, obediently, innocently slay one another. I see that the keenest brains of the world invent weapons and words to make it yet more refined and enduring. And all men of my age, here and over there, throughout the whole world see these things; all my generation is experiencing these things with me. What would our fathers do if we suddenly stood up and came before them and proffered our account? What do they expect of us if a time ever comes when the war is over? Through the years our business has been killing;—it was our first calling in life. Our knowledge of life is limited to death. What will happen afterwards? And what shall come out of us?The rich, for whom it’s All Quiet on the Western Front, get filthily richer while the young and innocent and able pay with their lives for the riches of those who wield power.",328,17
355697,All Quiet on the Western Front,Lyn,"1,845",16300,4,"December 20, 2018","The greatest war novel?Maybe.This was one of the first books that made me think that even though I wanted to be a writer someday, maybe I did not have what it takes. This was a sharp, swift kick in the gut; a none too subtle reminder that there are somber, very real and poignant moments captured in literature that escape petty categorization and cynicism, there are real moments that cannot be trivialized and placed on a genre specific bookshelf. Powerful.** 2018 - This book, as a war novel, is cautionary. No doubt there are those novels that glorify and even romanticize battles, and there are others whose goal it is to revel in the martial experience. Remarque, though, has crafted a simple story that focuses instead on the individual and how this ugly time affects his life. In doing so Remarque declares the value of that individual life, in all life, and shines a discerning, damning light on war.",285,23
355697,All Quiet on the Western Front,Nataliya,710,11300,5,"November 12, 2022","It’s been over a century since Remarque’s Paul Bäumer went through the meatgrinder of the senseless brutal war, and not a single fragging thing has changed except for better weapons. It’s still the perceived offense of one country over whatever seems so important to those idiots in charge - the ones who are safe and whose families are safe no matter what happens, and who will benefit from the senseless slaughter - that sends a bunch of regular people to slaughter other regular people, the violence begets violence, and the wheel turns grinding everyone under its relentless trudge. Kropp had it right: 
  “Kropp on the other hand is a thinker. He proposes that a declaration of war should be a kind of popular festival with entrance-tickets and bands, like a bull fight. Then in the arena the ministers and generals of the two countries, dressed in bathing-drawers and armed with clubs, can have it out among themselves. Whoever survives, his country wins. That would be much simpler and more just than this arrangement, where the wrong people do the fighting.”
———————
  “How long has it been? Weeks—months—years? Only days. We see time pass in the colourless faces of the dying, we cram food into us, we run, we throw, we shoot, we kill, we lie about, we are feeble and spent, and nothing supports us but the knowledge that there are still feebler, still more spent, still more helpless ones there who, with staring eyes, look upon us as gods that escape death many times.”
Simple but poignant, without a shred of overwriting and overwroughtness, without descending into misery porn, without moralizing, without dropping anvil messages, in compact couple of hundred pages Remarque does what is not easy to achieve. He gets his point through in the way that is so effectively unsettling that those final two paragraphs - just four short lines - make the world sway for just a minute. And that’s more than I can say about 99% of literature out there.
  “At once a new warmth flows through me. These voices, these quiet words, these footsteps in the trench behind me recall me at a bound from the terrible loneliness and fear of death by which I had been almost destroyed. They are more to me than life, these voices, they are more than motherliness and more than fear; they are the strongest, most comforting thing there is anywhere: they are the voices of my comrades.I am no longer a shuddering speck of existence, alone in the darkness;—I belong to them and they to me; we all share the same fear and the same life, we are nearer than lovers, in a simpler, a harder way; I could bury my face in them, in these voices, these words that have saved me and will stand by me.”
The youth spent on satisfying others’ need for violence. Survival and camaraderie borne of that. The intersection of cynicism and idealism. The clear-headed realism too tired to be angry.
   “Tjaden reappears. He is still quite excited and again joins the conversation, wondering just how a war gets started.“Mostly by one country badly offending another,” answers Albert with a slight air of superiority.Then Tjaden pretends to be obtuse. “A country? I don’t follow. A mountain in Germany cannot offend a mountain in France. Or a river, or a wood, or a field of wheat.”“Are you really as stupid as that, or are you just pulling my leg?” growls Kropp, “I don’t mean that at all. One people offends the other—”“Then I haven’t any business here at all,” replies Tjaden, “I don’t feel myself offended.”
Remarque’s book is the work of genius.5 stars.————Buddy read with Dennis.————(Review courtesy of a very delayed plane flight).————
  “He fell in October 1918, on a day that was so quiet and still on the whole front, that the army report confined itself to the single sentence: All quiet on the Western Front.He had fallen forward and lay on the earth as though sleeping. Turning him over one saw that he could not have suffered long; his face had an expression of calm, as though almost glad the end had come.”
——————Also posted on my blog.",257,60
355697,All Quiet on the Western Front,Candi,598,4532,5,"January 8, 2019","""It’s unendurable. It is the moaning of the world, it is the martyred creation, wild with anguish, filled with terror, and groaning.""This slim novel about the horror of the World War I trenches and the senselessness of war was published in 1929. If you open this book up today, it is absolutely just as relevant now as it was decades ago. It is powerful and breathtaking. I finished my second reading of this last month and barely a day goes by without me thinking about it. I had read “All Quiet” for the first time ages ago and the haunting feeling I had then has stayed with me all these years. If you have not ever read this book, you must do so. It is that meaningful.""Shells, gas clouds, and flotillas of tanks – shattering, corroding, death. Dysentery, influenza, typhus – scalding, choking, death. Trenches, hospitals, the common grave – there are no other possibilities.""This is a story of a German soldier, Paul Bäumer, and his comrades. Since the book is so widely known and reviewed here on Goodreads, I won’t go into plot details. But I want to make note of some portions that affected me quite deeply. For instance, Remarque so clearly reflects the feeling of camaraderie that these men, most of them not even twenty years old, experienced in the field and on the front. These were some of the most moving passages of the novel. ""These voices, these quiet words, these footsteps in the trench behind me recall me at a bound from the terrible loneliness and fear of death by which I had been almost destroyed. They are more to me than life, these voices, they are more than motherliness and more than fear; they are the strongest, most comforting thing there is anywhere; they are the voices of my comrades."" I’ve never read such stirring words about the soldier’s intimacy with not a woman, but rather with the very earth itself. The writing is truly remarkable. ""To no man does the earth mean so much as to the soldier. When he presses himself down upon her long and powerfully, when he buries his face and his limbs deep in her from the fear of death by shell-fire, then she is his only friend, his brother, his mother; he stifles his terror and his cries in her silence and her security; she shelters him and releases him for ten seconds to live, to run, ten seconds of life; receives him again and often forever.""When Paul goes home on leave, he finds that the life he once knew and loved no longer has the same meaning. His books, his case of butterflies and his piano no longer bring him the joy they once had. He cannot speak of what he has seen; he feels that those that have not been on the front and mired in the trenches can truly understand him. He feels alone. I was heartbroken when he cried out for his lost childhood.""Ah! Mother, Mother! You still think I am a child – why can I not put my head in your lap and weep? Why have I always to be strong and self-controlled? I would like to weep and be comforted too, indeed I am little more than a child; in the wardrobe still hang short, boy’s trousers – it is such a little time ago, why is it over?""I don’t know if a book exists that so effectively conveys the meaninglessness of war. If there is another, I have yet to read it. I suspect that Remarque had a marked influence on many authors writing about the topic since, but I don’t think this one can be beat in its simple yet passionate and well-expressed message. There were moments of fleeting pleasures and true companionship that allowed me to intermittently rejoice along with Paul and dream of a future when the war would be ended. But I also keenly felt his moments of hopelessness and despair. I nodded my head when he recognized in the enemy a man much like himself. His sense of humanity truly shined at these times. Something as basic as the sharing of cigarettes with the Russian prisoners was very telling.""I take out my cigarettes, break each one in half and give them to the Russians. They bow to me and then light the cigarettes. Now red points glow in every face. They comfort me; it looks as though there were little windows in dark village cottages saying that behind them are rooms full of peace.""Ah, if only this book could be read everywhere by everyone. Perhaps then we could all see the reflection of ourselves, our mothers, our fathers, our brothers and sisters, and our lovers in the face of another human being. Could we then avoid the devastation of war? This book deserves a place on your bookshelf. Grab a copy if you haven’t already. Mine is sitting on my all-time favorites shelf.""I think it is more of a kind of fever. No one in particular wants it, and then all at once there it is. We didn’t want the war, the others say the same thing – and yet half the world is in it all the same.""",252,99
355697,All Quiet on the Western Front,Zain,"1,288",117,5,"January 28, 2023","Futile!I was just beginning to reach the age when you become critical of the world around you, when I first read this book. You know, a teenager on her high-horse.But re-reading this book still makes me feel the same. The futility of war. The utter waste of life. What a shame. Why can’t the generals go down into the trenches? Let them fight it out.Wouldn’t be a lot of wars.Five stars. ⭐️⭐️⭐️⭐️⭐️",243,30
355697,All Quiet on the Western Front,Lisa of Troy,375,2777,3,"September 21, 2022","All Quiet on the Western Front is a book about a 20-year-old German boy named Paul. He is serving in World War I – this is hand-to-hand combat, trench warfare, barbed wire, bayonets, and gas.All Quiet on the Western Front is about the devastation of war, and that no one survives even if the soldier returns from war. Personally, this book is okay. It is very character driven (not plot driven), and I don’t usually enjoy character driven books. The narrator is a bit detached, but maybe that is supposed to show that to survive the soldier has to become desensitized. All Quiet on the Western Front is a relatively short book, 160 pages, and it does raise some good points. Paul’s schoolteacher encouraged his classmates to enlist. While the schoolteacher is patting himself on the back, most of the new recruits have perished. On his journey, Paul runs into someone while on leave. This is a person who has not served in the military (let alone the front lines); however, this person has big opinions and doesn’t mind sharing them (no matter how improbable or unrealistic his plans).All Quiet on the Western Front reminded me a great deal of Nick by Michael Farris Smith where Nick also serves in World War I and has a very similar detached narrator vibe.2022 Reading ScheduleJan Animal FarmFeb Lord of the FliesMar The Da Vinci CodeApr Of Mice and MenMay Memoirs of a GeishaJun Little WomenJul The Lovely BonesAug Charlotte's WebSep Life of PiOct DraculaNov Gone with the WindDec The Secret GardenConnect With Me!Blog Twitter BookTube Facebook Insta",221,4
355697,All Quiet on the Western Front,J.L.   Sutton,651,824,5,"May 5, 2022","“I am young, I am twenty years old; yet I know nothing of life but despair, death, fear, and fatuous superficiality cast over an abyss of sorrow.”
  
From its opening in the trenches with the German Army in WWI to an end replete with utter hopelessness, Erich Maria Remarque's All Quiet on the Western Front presents a devastating picture of a soldier at war. What's clear is that our protagonist, Paul, could be a soldier of any country; his concerns and emotions could be those of a soldier of this century rather than the beginning of the 20th century. In fact, despite the images we associate with WWI (such as the gas attacks and brutal conditions in the trenches), there is something very modern about All Quiet on the Western Front. It may well have to do with Remarque's attitude toward war. From the outset, we are warned that this is not an adventure; even those who manage to escape the war unscathed are damaged. In effect, a generation is destroyed by the war.In trying to make sense of the war, Remarque explores the powerlessness of soldiers on the front lines. From a belief in their government's rationale in going to war, soldiers increasingly focus on their own deliverance. The end is utterly bleak. All the promise of youth is destroyed by disease, starvation and ultimately death. Those who come back from this war are still damaged; there is no way they can go through the horrors of war without the scars.",191,10
355697,All Quiet on the Western Front,Kiekiat,68,127,5,"January 5, 2020","This is the best war novel I've ever read! I'm not sure how much that's saying about me or the book, since I haven't exactly read a great many war novels. I've been on a World War I jag lately, which should not be misinterpreted as READING a great many books about WW I. Rather, I have been BUYING a great many books about World War I. All Quiet on the Western Front is a book I've owned about 25 years and this was actually my second try at reading it. The only reason I know this is that I noticed upon reading that it had passages underlined ending on page 64. I remembered nothing of what I'd read couldn't recall ever trying to read the novel. Senescence is a cruel affliction!Why was this the best war novel I've ever read? Well, the book told the truth. It was the truth of the author but, I suspect, it is a truth shared by many infantry soldiers who've been engaged in trench warfare or any close combat. There are exceptions to this. Ernst Junger fought in the trenches much longer than Erich Remarque and was wounded nine times--yet he wrote an account of The Great War very different, in some ways, than Remarque's. Remarque survived the war, but came away with a damaged psyche and horrific memories that, fortunately, he was able to rise above to become a successful novelist. I think his writing actually helped exorcise his demons from the war. Junger saw the war as a patriotic struggle and a test of his mettle. That is, he saw (or created) a purpose for the war, with the ultimate purpose being victory for Germany and personal victory which required that he stay alive. Interestingly, Adolph Hitler was another who apparently enjoyed the perils of fighting in The Great War. This is not an indication, though, that Junger and Hitler were similar men. Junger despised Hitler from all accounts I have read.Remarque has courage even while admitting to being scared, as anyone would be while being fired upon by artillery, shells, mustard gas and aerial bombardments. But his view of The Great War is far different. He views the war as pointless and futile and the work of a group of old men who won't have to fight who decide based on shaky or spurious pretexts that, suddenly, this nationality is our enemy, another is our friend. Remarque's thinking was more in line with the Bob Dylan song, ""Only a Pawn in their Game."" Soldiers were cannon fodder, and when they died, as they frequently did, other recruits were brought in as more cannon fodder--young boys of 19, many who enlisted at the urging of their schoolmasters--men who would not have to sleep standing up in a trench as bombs dropped around them and lice ate them and rats battled for their bread. When/if the war ended, it was because these same gray eminences met again in some far-off city and signed pieces of paper saying that, despite all the carnage, the nations were once again friends.Human instinct propelled survival and experience in battle and taught one the skills to survive; though in Remarque's world, even survival skills were often trumped by sheer luck. Old heads could talk of duty to the ""Fatherland"" but all war really meant to the combatants was a fight for reasons they could not understand, created by powerful men in faraway rooms who signed documents allowing men to commit atrocities that under normal circumstances would have led them to the gallows or the firing squad. I'm a bit torn over whether Remarque's war experiences are universal or whether they reflect his particular personality or the particular war he was fighting? WW I was a gruesome, protracted conflict. It probably could have been fought at the negotiation table, as internecine European squabbles are settled nowadays. No doubt it was easy for the common foot soldier on all sides to forget that the war started because an heir apparent to the throne of a dying empire was shot by a Bosnian youth who wanted his country free from the yoke of this decaying empire. Ironically, he killed a man and his wife who were sympathetic to his cause.Perhaps, as General Sherman said, ""War is hell"" and is hell under any conditions but especially hell for a soldier on the front lines in a ground war. I have heard interviews with fighter pilots and Navy SEALS, among other elite forces, where the retired soldiers said they missed the war and there was never a time when they felt more alive than when fighting in battle. It appears that some revel in the conflicts and get a thrill from combat, though I'm guessing that a great many more, upon reflection, might hold a view closer to Remarque's, and a great many, if you got them under the hot lights, might allow that war has its downsides, too.Perhaps in wars like WW II, where soldiers on the allied side had a real sense of purpose, such dissonance as Remarque felt was far less common? Perhaps if soldiers can be convinced of the necessity of the war then doubts a combatant might harbor can be dispelled. I suspect, though, that combatants in most wars are battling demons, with varying degrees of success, after experiencing the horrors of war.",176,42
