Title,URL
The Book Thief,https://www.goodreads.com/book/show/19063.The_Book_Thief
All the Light We Cannot See,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see
The Nightingale,https://www.goodreads.com/book/show/21853621-the-nightingale
"Outlander (Outlander, #1)",https://www.goodreads.com/book/show/10964.Outlander
The Help,https://www.goodreads.com/book/show/4667024-the-help
"The Pillars of the Earth (Kingsbridge, #1)",https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth
Memoirs of a Geisha,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha
The Guernsey Literary and Potato Peel Pie Society,https://www.goodreads.com/book/show/39832183-the-guernsey-literary-and-potato-peel-pie-society
The Song of Achilles,https://www.goodreads.com/book/show/13623848-the-song-of-achilles
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",https://www.goodreads.com/book/show/37470.The_Other_Boleyn_Girl
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",https://www.goodreads.com/book/show/37470.The_Other_Boleyn_Girl
The Seven Husbands of Evelyn Hugo,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo
To Kill a Mockingbird,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
A Gentleman in Moscow: A Novel,https://www.goodreads.com/book/show/34066798-a-gentleman-in-moscow
The Kite Runner,https://www.goodreads.com/book/show/77203.The_Kite_Runner
Pachinko,https://www.goodreads.com/book/show/34051011-pachinko
Between Shades of Gray,https://www.goodreads.com/book/show/7824322-between-shades-of-gray
Salt to the Sea,https://www.goodreads.com/book/show/25614492-salt-to-the-sea
"Wolf Hall (Thomas Cromwell, #1)",https://www.goodreads.com/book/show/6101138-wolf-hall
The Boy in the Striped Pajamas,https://www.goodreads.com/book/show/39999.The_Boy_in_the_Striped_Pajamas
The Alice Network,https://www.goodreads.com/book/show/32051912-the-alice-network
Gone with the Wind,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
