date,added,ratings,reviews,to-read
2022-08-16,126,38,5,71
2022-08-17,137,45,1,51
2022-08-18,90,42,5,46
2022-08-19,113,47,5,42
2022-08-20,120,43,2,41
2022-08-21,150,47,4,54
2022-08-22,129,56,6,47
2022-08-23,87,53,4,43
2022-08-24,123,44,2,51
2022-08-25,97,32,3,51
2022-08-26,103,38,5,42
2022-08-27,129,44,6,50
2022-08-28,126,49,2,38
2022-08-29,125,53,4,47
2022-08-30,131,41,5,49
2022-08-31,109,39,2,43
2022-09-01,105,48,3,45
2022-09-02,105,33,2,49
2022-09-03,99,34,5,35
2022-09-04,143,49,6,58
2022-09-05,101,45,5,32
2022-09-06,122,40,3,44
2022-09-07,136,56,3,45
2022-09-08,106,42,1,37
2022-09-09,89,44,4,32
2022-09-10,90,31,2,42
2022-09-11,101,38,4,52
2022-09-12,95,41,5,30
2022-09-13,104,38,2,39
2022-09-14,100,43,3,32
2022-09-15,85,23,1,55
2022-09-16,90,29,5,41
2022-09-17,108,29,5,49
2022-09-18,131,39,2,54
2022-09-19,106,42,6,38
2022-09-20,91,33,1,52
2022-09-21,72,26,4,42
2022-09-22,104,43,6,41
2022-09-23,99,32,1,37
2022-09-24,101,45,2,36
2022-09-25,106,38,3,45
2022-09-26,74,40,2,38
2022-09-27,115,35,3,43
2022-09-28,93,42,4,38
2022-09-29,98,34,2,38
2022-09-30,80,29,0,36
2022-10-01,79,29,5,31
2022-10-02,136,34,3,81
2022-10-03,107,35,4,55
2022-10-04,101,26,1,45
2022-10-05,76,32,3,35
2022-10-06,91,28,1,34
2022-10-07,106,32,3,55
2022-10-08,99,33,1,38
2022-10-09,109,46,5,40
2022-10-10,94,23,0,33
2022-10-11,86,41,5,30
2022-10-12,80,36,5,20
2022-10-13,46,26,1,21
2022-10-14,72,18,4,33
2022-10-15,81,27,3,28
2022-10-16,110,33,6,41
2022-10-17,95,42,5,34
2022-10-18,88,32,8,35
2022-10-19,78,32,3,27
2022-10-20,71,18,1,29
2022-10-21,67,25,1,26
2022-10-22,71,23,1,34
2022-10-23,89,31,2,33
2022-10-24,97,35,1,40
2022-10-25,65,22,0,28
2022-10-26,82,21,1,33
2022-10-27,77,24,4,34
2022-10-28,77,26,2,16
2022-10-29,79,25,1,32
2022-10-30,120,32,4,41
2022-10-31,63,22,1,29
2022-11-01,77,35,4,28
2022-11-02,92,35,3,33
2022-11-03,87,28,1,30
2022-11-04,65,23,0,25
2022-11-05,85,34,2,37
2022-11-06,116,39,0,42
2022-11-07,96,40,5,37
2022-11-08,108,45,5,41
2022-11-09,93,30,3,40
2022-11-10,61,30,1,32
2022-11-11,95,32,4,41
2022-11-12,87,19,2,33
2022-11-13,110,40,7,37
2022-11-14,77,19,-1,30
2022-11-15,90,39,5,29
2022-11-16,108,44,3,36
2022-11-17,62,34,2,37
2022-11-18,86,28,4,32
2022-11-19,88,29,1,33
2022-11-20,101,41,0,48
2022-11-21,71,33,1,42
2022-11-22,76,24,9,26
2022-11-23,85,31,4,32
2022-11-24,65,30,0,19
2022-11-25,85,20,3,41
2022-11-26,70,19,4,30
2022-11-27,97,30,3,36
2022-11-28,97,34,0,41
2022-11-29,111,35,6,45
2022-11-30,110,32,2,45
2022-12-01,89,34,4,29
2022-12-02,97,36,6,35
2022-12-03,104,39,1,41
2022-12-04,108,38,3,44
2022-12-05,95,32,4,42
2022-12-06,93,31,4,37
2022-12-07,60,31,2,29
2022-12-08,46,21,2,27
2022-12-09,80,22,1,29
2022-12-10,94,31,2,45
2022-12-11,107,32,3,47
2022-12-12,110,14,0,52
2022-12-13,85,33,2,32
2022-12-14,63,28,4,28
2022-12-15,83,25,2,34
2022-12-16,71,27,4,24
2022-12-17,91,40,2,26
2022-12-18,114,42,1,41
2022-12-19,75,37,2,31
2022-12-20,64,25,3,28
2022-12-21,77,27,5,38
2022-12-22,114,38,3,34
2022-12-23,88,40,4,35
2022-12-24,69,32,3,32
2022-12-25,90,28,2,37
2022-12-26,144,44,9,57
2022-12-27,144,51,1,63
2022-12-28,148,43,3,64
2022-12-29,95,52,5,36
2022-12-30,144,46,3,61
2022-12-31,149,60,3,49
2023-01-01,237,54,4,98
2023-01-02,250,72,8,115
2023-01-03,188,68,6,83
2023-01-04,130,40,7,63
2023-01-05,152,52,3,57
2023-01-06,152,45,5,65
2023-01-07,161,43,5,74
2023-01-08,208,48,2,93
2023-01-09,159,49,3,66
2023-01-10,154,51,8,57
2023-01-11,97,53,3,47
2023-01-12,114,31,5,47
2023-01-13,121,50,4,45
2023-01-14,149,33,4,49
2023-01-15,158,64,3,54
2023-01-16,140,58,4,52
2023-01-17,126,54,6,40
2023-01-18,129,46,2,54
2023-01-19,108,36,6,37
2023-01-20,71,37,4,31
2023-01-21,130,35,4,52
2023-01-22,141,59,9,50
2023-01-23,137,48,5,44
2023-01-24,127,40,2,44
2023-01-25,132,34,7,50
2023-01-26,94,31,1,33
2023-01-27,98,38,5,33
2023-01-28,105,33,1,37
2023-01-29,124,38,3,38
2023-01-30,81,37,2,38
2023-01-31,75,43,5,32
