date,added,ratings,reviews,to-read
2022-08-16,4,6,0,2
2022-08-17,10,3,0,5
2022-08-18,11,4,0,6
2022-08-19,11,5,1,2
2022-08-20,9,2,0,1
2022-08-21,13,4,1,5
2022-08-22,8,3,0,3
2022-08-23,8,2,0,2
2022-08-24,14,5,1,3
2022-08-25,10,1,0,5
2022-08-26,13,3,0,5
2022-08-27,7,3,0,4
2022-08-28,9,-9,0,2
2022-08-29,5,-49,0,4
2022-08-30,13,3,0,7
2022-08-31,5,-6,0,3
2022-09-01,8,5,0,0
2022-09-02,3,2,0,3
2022-09-03,10,0,0,7
2022-09-04,11,1,1,3
2022-09-05,9,-4,0,3
2022-09-06,6,-24,0,5
2022-09-07,8,1,-1,3
2022-09-08,6,1,0,4
2022-09-09,6,2,0,3
2022-09-10,11,3,0,7
2022-09-11,6,0,0,3
2022-09-12,13,4,1,6
2022-09-13,5,1,1,3
2022-09-14,7,-2,1,4
2022-09-15,9,4,0,3
2022-09-16,4,2,0,3
2022-09-17,9,3,0,4
2022-09-18,11,1,0,3
2022-09-19,6,1,0,2
2022-09-20,4,2,0,1
2022-09-21,7,3,2,2
2022-09-22,8,2,0,6
2022-09-23,7,-38,0,5
2022-09-24,9,2,0,4
2022-09-25,12,-1,0,7
2022-09-26,6,-38,1,4
2022-09-27,7,-44,0,1
2022-09-28,12,-84,0,6
2022-09-29,9,-94,0,3
2022-09-30,6,0,1,4
2022-10-01,8,2,1,3
2022-10-02,6,-32,0,2
2022-10-03,9,-16,1,1
2022-10-04,6,1,1,3
2022-10-05,6,3,0,3
2022-10-06,7,3,0,4
2022-10-07,4,-1,0,1
2022-10-08,8,0,0,8
2022-10-09,16,-16,0,6
2022-10-10,4,2,0,2
2022-10-11,7,-3,0,4
2022-10-12,8,-30,2,3
2022-10-13,5,4,1,2
2022-10-14,8,-41,0,1
2022-10-15,7,1,0,2
2022-10-16,5,-68,0,3
2022-10-17,10,-57,0,1
2022-10-18,9,-14,0,2
2022-10-19,9,2,0,0
2022-10-20,12,5,1,6
2022-10-21,2,-3,0,1
2022-10-22,4,-4,0,1
2022-10-23,9,-79,2,3
2022-10-24,8,-59,0,2
2022-10-25,10,-58,0,6
2022-10-26,8,2,0,4
2022-10-27,10,1,0,5
2022-10-28,9,4,0,3
2022-10-29,6,1,0,3
2022-10-30,10,-1,0,3
2022-10-31,6,-15,0,3
2022-11-01,6,4,0,2
2022-11-02,14,3,0,4
2022-11-03,8,-21,0,3
2022-11-04,8,3,0,4
2022-11-05,10,1,0,5
2022-11-06,8,1,0,4
2022-11-07,11,2,0,6
2022-11-08,7,1,0,5
2022-11-09,4,3,1,4
2022-11-10,7,1,0,3
2022-11-11,12,3,2,9
2022-11-12,10,3,0,4
2022-11-13,14,4,0,5
2022-11-14,6,3,0,3
2022-11-15,10,2,0,6
2022-11-16,5,2,0,3
2022-11-17,6,3,0,3
2022-11-18,3,0,0,1
2022-11-19,7,3,0,4
2022-11-20,4,1,0,1
2022-11-21,5,0,0,4
2022-11-22,11,2,1,7
2022-11-23,10,2,0,4
2022-11-24,11,2,0,3
2022-11-25,4,2,0,2
2022-11-26,11,2,0,5
2022-11-27,13,6,0,5
2022-11-28,11,2,0,2
2022-11-29,4,4,0,1
2022-11-30,10,2,0,5
2022-12-01,13,0,0,9
2022-12-02,7,1,0,5
2022-12-03,8,4,0,3
2022-12-04,5,2,0,2
2022-12-05,10,6,0,5
2022-12-06,11,3,0,5
2022-12-07,11,2,0,3
2022-12-08,5,5,0,2
2022-12-09,8,2,0,6
2022-12-10,6,1,0,3
2022-12-11,10,2,0,3
2022-12-12,2,4,0,1
2022-12-13,8,5,0,2
2022-12-14,8,1,1,6
2022-12-15,10,5,1,4
2022-12-16,10,3,1,2
2022-12-17,9,1,0,3
2022-12-18,13,3,0,5
2022-12-19,11,8,1,5
2022-12-20,12,2,0,7
2022-12-21,7,3,0,4
2022-12-22,12,4,1,3
2022-12-23,7,5,0,3
2022-12-24,6,1,0,1
2022-12-25,7,2,0,3
2022-12-26,15,6,0,5
2022-12-27,15,2,0,4
2022-12-28,12,5,1,4
2022-12-29,11,2,1,2
2022-12-30,16,4,0,9
2022-12-31,14,5,1,1
2023-01-01,25,4,0,7
2023-01-02,21,5,0,9
2023-01-03,26,7,2,8
2023-01-04,21,8,1,11
2023-01-05,25,5,0,9
2023-01-06,25,3,1,9
2023-01-07,15,4,0,9
2023-01-08,11,4,1,2
2023-01-09,18,3,0,8
2023-01-10,10,2,2,3
2023-01-11,7,6,0,1
2023-01-12,12,-49,1,7
2023-01-13,14,-51,0,4
2023-01-14,13,5,0,7
2023-01-15,28,0,0,14
2023-01-16,17,5,0,5
2023-01-17,9,4,2,5
2023-01-18,12,-1,0,4
2023-01-19,15,8,2,5
2023-01-20,16,2,1,9
2023-01-21,12,5,0,7
2023-01-22,21,6,0,8
2023-01-23,15,2,0,8
2023-01-24,17,2,1,6
2023-01-25,16,5,0,6
2023-01-26,22,4,2,9
2023-01-27,14,4,2,6
2023-01-28,13,4,0,8
2023-01-29,14,1,0,5
2023-01-30,10,3,-1,3
2023-01-31,8,3,1,4
