date,added,ratings,reviews,to-read
2022-08-16,1104,408,22,507
2022-08-17,1069,372,18,496
2022-08-18,931,319,15,550
2022-08-19,881,294,20,389
2022-08-20,950,342,17,424
2022-08-21,1053,331,26,477
2022-08-22,1029,361,17,424
2022-08-23,944,339,15,391
2022-08-24,920,339,21,388
2022-08-25,748,319,19,374
2022-08-26,917,291,26,432
2022-08-27,908,272,15,420
2022-08-28,980,291,19,443
2022-08-29,929,248,22,434
2022-08-30,1033,347,22,449
2022-08-31,899,332,21,372
2022-09-01,818,311,22,366
2022-09-02,796,250,19,391
2022-09-03,1121,280,11,661
2022-09-04,1164,316,27,632
2022-09-05,1075,310,25,514
2022-09-06,901,282,28,418
2022-09-07,910,341,21,396
2022-09-08,807,277,14,373
2022-09-09,710,251,19,333
2022-09-10,816,247,12,388
2022-09-11,761,325,20,380
2022-09-12,797,298,18,336
2022-09-13,793,275,18,332
2022-09-14,807,275,19,353
2022-09-15,664,283,10,335
2022-09-16,681,270,20,286
2022-09-17,737,243,19,331
2022-09-18,867,324,15,367
2022-09-19,763,273,16,321
2022-09-20,716,292,16,380
2022-09-21,656,263,10,342
2022-09-22,707,259,14,297
2022-09-23,708,192,21,305
2022-09-24,667,263,12,300
2022-09-25,766,251,23,346
2022-09-26,613,159,18,288
2022-09-27,733,186,18,296
2022-09-28,646,-18,18,292
2022-09-29,604,22,15,257
2022-09-30,557,200,17,260
2022-10-01,646,211,13,280
2022-10-02,769,182,15,335
2022-10-03,656,185,11,261
2022-10-04,669,259,18,294
2022-10-05,536,254,11,266
2022-10-06,624,203,18,273
2022-10-07,567,225,14,234
2022-10-08,644,217,14,308
2022-10-09,773,247,17,336
2022-10-10,723,254,11,302
2022-10-11,689,194,14,295
2022-10-12,635,172,12,287
2022-10-13,521,202,13,250
2022-10-14,574,134,11,241
2022-10-15,661,204,10,303
2022-10-16,707,108,17,306
2022-10-17,667,139,19,276
2022-10-18,854,273,17,395
2022-10-19,701,217,14,358
2022-10-20,673,228,18,304
2022-10-21,640,170,20,330
2022-10-22,682,211,13,327
2022-10-23,746,84,16,352
2022-10-24,696,101,19,289
2022-10-25,562,188,19,266
2022-10-26,671,217,18,306
2022-10-27,605,314,12,268
2022-10-28,553,211,21,231
2022-10-29,604,220,14,260
2022-10-30,649,181,15,267
2022-10-31,599,219,7,250
2022-11-01,704,223,14,300
2022-11-02,673,231,13,289
2022-11-03,711,221,15,313
2022-11-04,611,218,18,264
2022-11-05,682,206,15,303
2022-11-06,813,250,12,384
2022-11-07,705,233,17,335
2022-11-08,689,260,13,295
2022-11-09,641,212,16,287
2022-11-10,608,217,11,289
2022-11-11,585,202,16,253
2022-11-12,634,178,9,310
2022-11-13,721,210,14,317
2022-11-14,750,228,18,344
2022-11-15,711,259,19,314
2022-11-16,691,248,11,281
2022-11-17,524,246,14,251
2022-11-18,610,221,15,245
2022-11-19,625,225,16,252
2022-11-20,675,229,15,290
2022-11-21,638,231,16,278
2022-11-22,621,227,12,240
2022-11-23,615,236,16,233
2022-11-24,588,219,15,246
2022-11-25,574,216,17,238
2022-11-26,596,198,9,272
2022-11-27,733,264,17,302
2022-11-28,705,237,15,318
2022-11-29,686,273,16,277
2022-11-30,712,257,20,274
2022-12-01,642,245,8,293
2022-12-02,535,202,15,208
2022-12-03,721,236,9,290
2022-12-04,734,262,22,334
2022-12-05,691,246,19,300
2022-12-06,667,256,16,254
2022-12-07,562,255,18,274
2022-12-08,679,255,13,301
2022-12-09,569,208,10,257
2022-12-10,628,203,10,268
2022-12-11,722,250,14,302
2022-12-12,712,274,15,294
2022-12-13,711,221,20,322
2022-12-14,639,210,20,287
2022-12-15,743,272,11,317
2022-12-16,710,249,19,317
2022-12-17,706,266,14,285
2022-12-18,802,277,14,328
2022-12-19,754,298,27,316
2022-12-20,663,294,17,320
2022-12-21,780,281,22,334
2022-12-22,783,288,11,327
2022-12-23,872,298,15,430
2022-12-24,776,250,14,385
2022-12-25,1010,328,22,445
2022-12-26,1217,394,20,539
2022-12-27,1248,404,13,544
2022-12-28,1337,509,32,616
2022-12-29,1174,481,29,581
2022-12-30,1580,539,36,712
2022-12-31,1733,608,26,735
2023-01-01,2699,777,33,1102
2023-01-02,2664,1116,49,1122
2023-01-03,2145,902,35,895
2023-01-04,1690,693,29,764
2023-01-05,1700,614,41,727
2023-01-06,1395,522,26,610
2023-01-07,1495,534,14,634
2023-01-08,1563,568,30,641
2023-01-09,1311,482,32,588
2023-01-10,1354,473,19,570
2023-01-11,1081,465,30,514
2023-01-12,1153,323,23,497
2023-01-13,1001,286,20,424
2023-01-14,1123,396,19,464
2023-01-15,1281,420,24,534
2023-01-16,1208,578,44,517
2023-01-17,1105,404,27,464
2023-01-18,1065,362,25,438
2023-01-19,1048,384,26,484
2023-01-20,739,332,14,379
2023-01-21,1019,335,24,391
2023-01-22,1189,414,25,507
2023-01-23,1051,401,28,442
2023-01-24,1053,357,15,478
2023-01-25,1070,387,31,440
2023-01-26,974,346,31,434
2023-01-27,911,327,20,418
2023-01-28,956,321,18,454
2023-01-29,1115,394,30,459
2023-01-30,935,364,20,499
2023-01-31,1162,327,21,557
