date,added,ratings,reviews,to-read
2022-08-16,298,60,7,219
2022-08-17,337,64,2,193
2022-08-18,246,49,1,168
2022-08-19,275,54,3,173
2022-08-20,285,51,7,170
2022-08-21,337,62,4,188
2022-08-22,310,63,6,190
2022-08-23,307,62,7,188
2022-08-24,341,58,5,207
2022-08-25,222,47,3,144
2022-08-26,237,45,2,147
2022-08-27,263,37,3,160
2022-08-28,301,53,5,187
2022-08-29,263,42,5,172
2022-08-30,303,52,3,183
2022-08-31,288,65,6,166
2022-09-01,234,56,3,147
2022-09-02,244,60,7,130
2022-09-03,252,39,3,163
2022-09-04,357,48,3,241
2022-09-05,249,64,6,149
2022-09-06,266,42,4,145
2022-09-07,272,70,7,148
2022-09-08,237,53,8,133
2022-09-09,230,52,5,142
2022-09-10,273,47,2,167
2022-09-11,249,51,6,150
2022-09-12,260,65,6,146
2022-09-13,238,48,5,136
2022-09-14,244,49,6,141
2022-09-15,178,51,2,124
2022-09-16,205,50,8,109
2022-09-17,198,43,4,114
2022-09-18,264,50,7,171
2022-09-19,223,40,7,129
2022-09-20,219,58,6,149
2022-09-21,209,48,1,144
2022-09-22,224,49,3,126
2022-09-23,212,37,9,128
2022-09-24,221,46,2,133
2022-09-25,268,46,3,173
2022-09-26,227,41,6,155
2022-09-27,222,41,3,139
2022-09-28,208,31,2,137
2022-09-29,213,-10,2,138
2022-09-30,179,50,3,104
2022-10-01,239,43,2,155
2022-10-02,224,28,3,117
2022-10-03,253,28,5,154
2022-10-04,253,50,3,143
2022-10-05,168,51,7,97
2022-10-06,205,43,3,109
2022-10-07,210,38,3,124
2022-10-08,229,46,2,125
2022-10-09,232,36,6,132
2022-10-10,235,48,6,143
2022-10-11,233,52,3,124
2022-10-12,224,28,4,120
2022-10-13,202,46,5,138
2022-10-14,231,29,2,117
2022-10-15,215,46,4,125
2022-10-16,286,36,2,157
2022-10-17,232,42,4,139
2022-10-18,268,48,2,152
2022-10-19,407,60,4,295
2022-10-20,350,56,2,244
2022-10-21,405,28,3,328
2022-10-22,310,44,4,206
2022-10-23,295,27,5,186
2022-10-24,233,37,1,128
2022-10-25,198,40,8,132
2022-10-26,238,56,4,146
2022-10-27,208,44,4,110
2022-10-28,174,37,4,80
2022-10-29,193,49,4,96
2022-10-30,238,35,3,135
2022-10-31,211,172,18,114
2022-11-01,223,52,5,128
2022-11-02,220,47,4,125
2022-11-03,227,39,1,145
2022-11-04,183,39,3,106
2022-11-05,705,71,4,539
2022-11-06,817,94,5,642
2022-11-07,461,57,8,337
2022-11-08,493,59,3,345
2022-11-09,337,61,5,220
2022-11-10,286,58,9,215
2022-11-11,264,40,3,165
2022-11-12,288,44,5,183
2022-11-13,288,57,6,175
2022-11-14,236,62,5,125
2022-11-15,257,63,5,156
2022-11-16,247,41,2,133
2022-11-17,219,55,2,148
2022-11-18,211,45,3,124
2022-11-19,243,49,5,155
2022-11-20,257,49,3,161
2022-11-21,192,54,1,114
2022-11-22,208,49,6,121
2022-11-23,255,58,2,145
2022-11-24,184,39,3,110
2022-11-25,237,44,5,141
2022-11-26,249,35,3,157
2022-11-27,262,39,5,155
2022-11-28,262,67,7,147
2022-11-29,185,59,5,115
2022-11-30,242,41,0,129
2022-12-01,219,45,1,128
2022-12-02,219,55,4,123
2022-12-03,221,58,6,111
2022-12-04,261,51,5,151
2022-12-05,247,50,4,138
2022-12-06,232,42,2,135
2022-12-07,175,35,3,112
2022-12-08,200,39,2,126
2022-12-09,204,50,5,105
2022-12-10,218,30,2,114
2022-12-11,213,46,4,122
2022-12-12,209,39,4,118
2022-12-13,198,42,6,118
2022-12-14,212,48,5,128
2022-12-15,232,62,2,133
2022-12-16,232,58,4,137
2022-12-17,266,57,4,167
2022-12-18,242,49,5,145
2022-12-19,212,61,1,121
2022-12-20,186,45,0,117
2022-12-21,243,43,3,139
2022-12-22,278,54,1,166
2022-12-23,279,76,8,145
2022-12-24,219,53,4,124
2022-12-25,275,45,3,157
2022-12-26,397,72,4,222
2022-12-27,432,81,1,251
2022-12-28,425,102,9,229
2022-12-29,307,76,7,188
2022-12-30,431,89,10,254
2022-12-31,515,109,9,255
2023-01-01,648,103,8,331
2023-01-02,703,126,9,396
2023-01-03,625,127,11,357
2023-01-04,417,99,6,243
2023-01-05,476,92,4,248
2023-01-06,424,108,12,233
2023-01-07,423,95,7,223
2023-01-08,438,103,6,223
2023-01-09,446,76,0,253
2023-01-10,353,70,9,204
2023-01-11,316,83,11,202
2023-01-12,361,80,9,202
2023-01-13,342,62,1,195
2023-01-14,405,75,8,247
2023-01-15,435,76,9,267
2023-01-16,389,86,17,206
2023-01-17,374,70,11,214
2023-01-18,369,61,10,217
2023-01-19,333,78,11,179
2023-01-20,211,57,4,137
2023-01-21,320,70,5,168
2023-01-22,408,73,10,236
2023-01-23,359,88,6,181
2023-01-24,339,88,7,178
2023-01-25,327,70,8,189
2023-01-26,351,69,10,212
2023-01-27,331,63,11,188
2023-01-28,378,70,3,226
2023-01-29,417,68,5,237
2023-01-30,358,75,4,274
2023-01-31,327,72,10,219
