date,added,ratings,reviews,to-read
2022-08-16,150,29,2,79
2022-08-17,152,32,2,76
2022-08-18,112,35,1,65
2022-08-19,103,33,1,47
2022-08-20,133,29,1,74
2022-08-21,117,31,2,70
2022-08-22,164,34,3,75
2022-08-23,128,39,2,57
2022-08-24,115,20,1,69
2022-08-25,102,19,2,65
2022-08-26,122,39,2,61
2022-08-27,122,23,0,64
2022-08-28,129,17,2,63
2022-08-29,96,-15,4,62
2022-08-30,135,33,3,74
2022-08-31,148,32,1,70
2022-09-01,101,34,3,47
2022-09-02,108,24,1,63
2022-09-03,112,28,2,53
2022-09-04,132,31,2,74
2022-09-05,141,31,2,70
2022-09-06,139,8,6,73
2022-09-07,137,28,0,65
2022-09-08,98,26,2,51
2022-09-09,91,30,1,45
2022-09-10,94,23,0,43
2022-09-11,88,32,2,56
2022-09-12,106,32,1,44
2022-09-13,109,28,2,53
2022-09-14,109,20,1,55
2022-09-15,85,31,2,47
2022-09-16,106,31,1,58
2022-09-17,103,28,6,42
2022-09-18,124,22,0,56
2022-09-19,115,27,1,62
2022-09-20,79,35,1,39
2022-09-21,117,28,2,57
2022-09-22,108,36,2,58
2022-09-23,86,-10,2,38
2022-09-24,126,19,2,64
2022-09-25,130,34,0,72
2022-09-26,110,5,0,67
2022-09-27,111,-16,0,51
2022-09-28,103,-42,0,51
2022-09-29,121,-85,1,71
2022-09-30,96,17,2,53
2022-10-01,87,24,0,38
2022-10-02,182,5,4,96
2022-10-03,110,1,2,48
2022-10-04,127,29,5,66
2022-10-05,68,25,3,43
2022-10-06,110,20,0,66
2022-10-07,77,10,0,42
2022-10-08,117,25,3,58
2022-10-09,109,0,5,49
2022-10-10,109,19,0,61
2022-10-11,122,16,3,63
2022-10-12,94,-15,1,46
2022-10-13,64,20,2,37
2022-10-14,87,-45,6,47
2022-10-15,94,16,1,44
2022-10-16,108,-51,1,47
2022-10-17,112,-38,2,55
2022-10-18,103,6,0,53
2022-10-19,97,18,1,53
2022-10-20,87,17,2,53
2022-10-21,90,8,1,51
2022-10-22,93,7,3,54
2022-10-23,121,-35,2,59
2022-10-24,117,-18,1,57
2022-10-25,94,-12,0,47
2022-10-26,80,22,0,42
2022-10-27,81,21,2,38
2022-10-28,96,25,2,50
2022-10-29,77,20,1,34
2022-10-30,101,12,1,50
2022-10-31,96,2,2,56
2022-11-01,95,15,1,49
2022-11-02,86,16,2,53
2022-11-03,105,15,2,52
2022-11-04,112,21,1,61
2022-11-05,88,21,2,47
2022-11-06,130,31,1,64
2022-11-07,112,23,2,58
2022-11-08,100,22,4,57
2022-11-09,82,20,0,41
2022-11-10,73,17,2,43
2022-11-11,78,18,0,47
2022-11-12,91,27,3,48
2022-11-13,103,25,3,56
2022-11-14,110,15,1,63
2022-11-15,105,15,0,59
2022-11-16,90,20,1,42
2022-11-17,72,23,1,45
2022-11-18,89,21,1,46
2022-11-19,107,26,0,54
2022-11-20,94,18,0,44
2022-11-21,103,23,0,50
2022-11-22,88,14,0,44
2022-11-23,82,15,1,38
2022-11-24,84,20,0,44
2022-11-25,90,22,2,48
2022-11-26,86,19,2,45
2022-11-27,100,22,3,55
2022-11-28,93,18,0,53
2022-11-29,74,30,3,40
2022-11-30,94,26,0,47
2022-12-01,73,25,2,35
2022-12-02,83,14,0,49
2022-12-03,106,26,1,50
2022-12-04,114,37,3,49
2022-12-05,101,24,2,53
2022-12-06,96,24,0,45
2022-12-07,78,29,1,40
2022-12-08,89,33,3,35
2022-12-09,87,17,0,52
2022-12-10,87,23,2,48
2022-12-11,106,22,0,52
2022-12-12,91,24,2,58
2022-12-13,80,11,1,49
2022-12-14,101,26,2,53
2022-12-15,88,24,5,47
2022-12-16,76,11,0,42
2022-12-17,98,18,1,58
2022-12-18,102,28,2,49
2022-12-19,88,27,2,41
2022-12-20,89,24,2,54
2022-12-21,109,34,0,52
2022-12-22,86,25,1,50
2022-12-23,109,20,2,58
2022-12-24,99,27,0,51
2022-12-25,108,15,1,65
2022-12-26,135,31,2,73
2022-12-27,163,28,1,94
2022-12-28,172,32,1,87
2022-12-29,141,44,2,85
2022-12-30,217,30,0,130
2022-12-31,224,42,3,120
2023-01-01,311,47,2,170
2023-01-02,308,76,4,165
2023-01-03,249,57,8,121
2023-01-04,175,52,2,94
2023-01-05,200,41,3,99
2023-01-06,162,43,2,77
2023-01-07,170,45,3,72
2023-01-08,176,54,5,81
2023-01-09,186,40,6,89
2023-01-10,166,38,2,72
2023-01-11,125,38,1,60
2023-01-12,146,-13,1,75
2023-01-13,152,-29,1,87
2023-01-14,171,34,1,87
2023-01-15,175,43,2,72
2023-01-16,159,54,4,69
2023-01-17,137,37,3,74
2023-01-18,128,27,3,65
2023-01-19,126,26,3,53
2023-01-20,91,23,2,49
2023-01-21,140,36,3,56
2023-01-22,136,35,4,68
2023-01-23,134,23,3,63
2023-01-24,111,24,3,45
2023-01-25,134,28,3,67
2023-01-26,135,28,1,63
2023-01-27,109,23,3,57
2023-01-28,122,36,2,54
2023-01-29,136,30,5,81
2023-01-30,94,17,2,63
2023-01-31,103,15,1,46
