date,added,ratings,reviews,to-read
2022-08-16,244,67,4,103
2022-08-17,205,60,5,82
2022-08-18,197,89,13,91
2022-08-19,205,71,9,72
2022-08-20,218,56,4,98
2022-08-21,246,60,2,98
2022-08-22,217,60,3,89
2022-08-23,214,53,4,122
2022-08-24,219,54,5,88
2022-08-25,203,56,7,120
2022-08-26,188,50,6,69
2022-08-27,192,50,2,86
2022-08-28,211,44,5,99
2022-08-29,232,35,3,108
2022-08-30,204,60,2,91
2022-08-31,221,56,3,81
2022-09-01,202,64,4,76
2022-09-02,171,37,4,76
2022-09-03,211,50,4,97
2022-09-04,223,73,2,87
2022-09-05,178,64,7,89
2022-09-06,589,47,8,445
2022-09-07,439,56,4,287
2022-09-08,319,51,2,182
2022-09-09,365,55,2,246
2022-09-10,392,53,5,232
2022-09-11,327,57,6,224
2022-09-12,381,66,4,223
2022-09-13,358,62,4,197
2022-09-14,366,73,8,202
2022-09-15,297,79,8,179
2022-09-16,288,85,8,143
2022-09-17,287,74,6,142
2022-09-18,297,73,6,111
2022-09-19,248,61,3,100
2022-09-20,230,91,5,112
2022-09-21,216,73,5,119
2022-09-22,268,86,9,104
2022-09-23,222,59,3,81
2022-09-24,241,59,4,111
2022-09-25,269,71,5,125
2022-09-26,183,35,10,99
2022-09-27,249,47,4,97
2022-09-28,249,59,6,112
2022-09-29,269,26,3,114
2022-09-30,243,69,4,108
2022-10-01,223,67,5,98
2022-10-02,273,77,10,103
2022-10-03,286,74,6,118
2022-10-04,251,66,9,95
2022-10-05,196,63,4,103
2022-10-06,208,66,4,103
2022-10-07,236,58,7,90
2022-10-08,216,60,4,93
2022-10-09,273,59,5,120
2022-10-10,280,77,5,107
2022-10-11,238,65,4,107
2022-10-12,274,31,6,118
2022-10-13,201,76,3,109
2022-10-14,230,48,6,101
2022-10-15,248,65,7,100
2022-10-16,268,54,3,108
2022-10-17,286,44,3,120
2022-10-18,293,64,9,118
2022-10-19,270,89,9,123
2022-10-20,606,78,6,403
2022-10-21,404,77,5,237
2022-10-22,329,58,5,185
2022-10-23,484,71,7,275
2022-10-24,433,69,9,237
2022-10-25,265,79,6,153
2022-10-26,356,98,7,162
2022-10-27,314,88,5,128
2022-10-28,531,102,15,324
2022-10-29,576,85,8,359
2022-10-30,620,136,13,333
2022-10-31,551,111,5,304
2022-11-01,569,137,15,282
2022-11-02,551,115,13,295
2022-11-03,524,117,8,253
2022-11-04,469,103,7,254
2022-11-05,555,129,15,306
2022-11-06,638,172,21,302
2022-11-07,556,159,14,240
2022-11-08,527,158,20,251
2022-11-09,493,124,18,261
2022-11-10,399,100,6,183
2022-11-11,523,135,15,256
2022-11-12,518,159,6,258
2022-11-13,713,155,10,388
2022-11-14,547,136,10,273
2022-11-15,529,182,7,245
2022-11-16,500,142,8,227
2022-11-17,369,146,15,212
2022-11-18,424,137,13,192
2022-11-19,457,141,15,203
2022-11-20,497,140,11,207
2022-11-21,440,134,12,202
2022-11-22,447,134,5,190
2022-11-23,396,130,8,175
2022-11-24,393,123,7,177
2022-11-25,383,105,5,172
2022-11-26,474,133,8,244
2022-11-27,497,142,16,223
2022-11-28,459,143,12,205
2022-11-29,503,140,12,223
2022-11-30,440,95,12,179
2022-12-01,390,150,9,166
2022-12-02,376,120,8,163
2022-12-03,426,132,15,204
2022-12-04,491,146,12,201
2022-12-05,445,154,16,195
2022-12-06,435,124,9,192
2022-12-07,331,129,4,188
2022-12-08,409,119,7,203
2022-12-09,399,92,5,207
2022-12-10,446,-189,-15,203
2022-12-11,399,109,8,182
2022-12-12,368,95,10,153
2022-12-13,408,113,11,194
2022-12-14,384,106,12,185
2022-12-15,337,105,11,139
2022-12-16,347,117,9,143
2022-12-17,358,104,4,161
2022-12-18,363,108,7,136
2022-12-19,340,84,8,142
2022-12-20,311,118,9,166
2022-12-21,391,122,14,175
2022-12-22,371,136,6,150
2022-12-23,402,109,6,183
2022-12-24,344,99,6,150
2022-12-25,459,97,5,194
2022-12-26,589,129,7,264
2022-12-27,596,141,7,295
2022-12-28,583,150,14,260
2022-12-29,398,188,5,211
2022-12-30,547,154,16,212
2022-12-31,575,199,14,215
2023-01-01,878,199,16,352
2023-01-02,883,282,19,358
2023-01-03,777,235,12,338
2023-01-04,588,226,17,283
2023-01-05,607,185,14,263
2023-01-06,570,171,15,237
2023-01-07,581,156,16,241
2023-01-08,655,182,12,288
2023-01-09,556,171,7,218
2023-01-10,592,170,19,247
2023-01-11,427,164,29,214
2023-01-12,505,116,14,201
2023-01-13,460,119,13,209
2023-01-14,524,144,14,234
2023-01-15,558,159,16,220
2023-01-16,491,142,19,198
2023-01-17,448,125,5,195
2023-01-18,449,133,14,180
2023-01-19,473,128,18,210
2023-01-20,324,119,9,188
2023-01-21,456,122,19,214
2023-01-22,557,133,11,227
2023-01-23,468,151,11,207
2023-01-24,623,136,6,328
2023-01-25,632,119,6,329
2023-01-26,606,167,15,277
2023-01-27,542,137,11,274
2023-01-28,577,129,11,281
2023-01-29,684,172,15,298
2023-01-30,402,171,14,222
2023-01-31,407,157,16,207
