Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
243685,A History of Western Philosophy,Riku Sayuj,653,6926,4,"April 15, 2015","A Critical (& Patronizing) Survey of Western PhilosophyRussell is consistently opinionated throughout his presentation and it might confuse some of the readers that he is so casual in writing off some of the major philosophers and their key ideas. This is because the book is not a mere history of philosophy, a mere account of ideas, by any stretch. Instead it is a critical survey, a long catalogue of what Russell agrees and disagrees with among all the major doctrines. The format followed is: a brief historical sketch to give context to a doctrine, an even briefer explanation, and then a long critical take that will put forward Russell’s opinions, usually about why it is misguided in the light of modern scientific approach. And more often than not, he is wary of those ideas which, from the point of view of his war-torn present, seemed 'dangerous.' In fact, I think that three strands of vexation can be discerned:1. Leading to orthodoxy in religion2. Leading to rigidity in logic3. Leading to Totalitarian fantasiesAny idea which Russell felt was tending towards these were roundly attacked and put in place. Must have felt like a humanitarian act, writing this book! After all, the long stretch of time that allowed Russell to undertake the tome was granted him by a stay in prison — his crime was distributing pacifist literature during the First World War. Hitler caused him to later renounce his pacifism, to the point that he wished he were younger so that he might don a uniform himself.If you were to attempt a history of philosophy, you can write a history without imposing on the reader what your own opinions are. Or you can write a history just to let the reader know exactly what you (as a thinker of some standing yourself, you might add!) think of each philosopher. Or you can write a history and try to justify why you prefer some, even one, more than the others. Russell has opted to for a mix of the last two options — and he prefers himself over all others, that’s all!As the book progresses it becomes more and more clear that it is a summary of Russell’s views, and not of the philosophers being discussed. This means that most of them gets short shrift. And as we approach modern times it is amusing to see how Russell is almost impatient for the history to quickly reach and culminate in his own position of Logical Positivism, which he clearly thinks is the best approach to philosophy and in the light of which he judges everyone else. This allows him to narrate the entire historical progress in a patronizing and all-knowing tone that might be jarring to a reader who is not willing to take the same attitude towards Russell’s own naivete! You have to out-patronize the patronizing author to enjoy this fully. That is the trick. And if you do, there is no end of fun to be had form this eminently readable epic.",258,61
243685,A History of Western Philosophy,Trevor,"1,279",21300,5,"July 3, 2009","This is a remarkable book. Over the years I have found various reasons to look into it now and again, but have never read the whole thing. Mostly I’ve read the bits about particular philosophers: Heraclitus, Schopenhauer, Nietzsche and Marx for example. I hadn’t realised that ‘dipping’ in this way was missing much of the point of the book. This is not just a history of Western Philosophy, but also a bit of a ‘how do all of the main schools of Western Philosophy fit into their culture and times'. So, much time is spent giving thumb-nail sketches of the history of certain periods in a way that will help the student of philosophy understand where philosophers were coming from when they said such bizarre things as: nothing changes, everything changes, everything is fire, everything is water, matter does not exist, mind does not exist, and so on.He makes some truly fascinating points in this book – not least that there is no philosophy that is wholly logically consistent and that sometimes the danger is when a philosopher seeks to remain logically consistent rather than acknowledge the horrendous conclusions that the logical consistency of his ideas forces him toward. I use the male pronoun not simply because Russell also uses it throughout, but because all of the philosophers discussed sport a Y-chromosome. The book is divided into three parts: Ancient Philosophy, Catholic Philosophy and Modern Philosophy. It was written during the Second World War and I think this shows in part, particularly when Russell is discussing the merits of some philosophers – not least Nietzsche and Marx. I had thought that I would find the middle section on Catholics the least interesting – I believe that we ‘moderns’ feel we have much more in common with Ancients than we do with the Catholic scholastics of the dark and middle ages – but Russell is very kind to these philosophers, although in the main I found them to be little more than pedants adding Christian footnotes to Plato and Aristotle. Perhaps, in another life, I will have time to read one or two of them and see if my attitude changes.This is not a book that requires either an extensive knowledge of philosophy, nor an extensive knowledge of history to be understood. Russell is a remarkably clear writer (something that for a philosopher really is worth commenting on and something that deserves the highest praise). He also is occasionally quite amusing. Now, I know that people who follow either Marx, Kant, Hegel, Dewey, Nietzsche or even Aristotle might find quite a few things to say in disagreement with Mr Russell, but that in no way takes away from the value of this book. I’ve listened to a Teaching Company ‘Great Ideas In Philosophy’ course which covered all of the philosophers discussed here, and I think Russell does at least as good a job as was done there. Invaluable is a word that is grossly overused on this site – particularly by me – but I do think this book gives an invaluable helicopter view of the history of Western Philosophy that is both accessible and often profound. I once received my lowest mark in my degree for saying pretty much what Russell says here about his mate Dewey - I am rather proud of the fact that I've only discovered our shared view now - twenty years later. I’ve always found Instrumentalism (otherwise known as Pragmatism) a thoroughly unsatisfactory philosophical standpoint, despite both James and Dewey seeming to be nice enough people in themselves. My main problem with the total rejection of the possibility of any sense that there might be ‘truth’ (which Russell, as might be expected, confines to logical statements) has always had a bit of a smell about it. When I said this in a class paper at Uni I was nearly lynched by both the lecturer (a declared Instrumentalist) and the other students (who knew better than I which side their bread was buttered). I think Russell’s arguments in this section are similar to the ones I tried to make, but are made in a way that is infinitely clearer than I was capable of at the time - a time when I was keen to seem very 'philosophic' ie, totally unclear. Essentially, I've always thought that to move away from discussing the ‘truth’ of statements and to instead consider their ‘efficacy’ is a slippery slope and one that can all too easily bring us to splash down into logical and moral difficulties.His discussion of Bergson’s philosophy was enough to ensure I will never read anything by Bergson. I find irrationalism dull and, what is even worse, mind-numbingly ‘poetic’ in the very worst sense of that word. Sometimes one needs to be obscure because what you are trying to say does not allow you to be immediately clear. However, as Russell displays so beautifully in this book, that is rarely really necessary and the onus is on the writer to make it clear why being turgid or obscure to the point of impenetrability is in either the interests of the reader or the writer.What is best about this book is that it has inspired me to read some more Plato (I started his complete dialogues some time ago, but things got in the way.) Russell's discussion of Socrates and his relationship to Plato is worth reading the book on its own. Plato is a fascinating character, not least because it seems a case can be made that he became increasingly less convinced of his theory of forms as his dialogues went on. Given that this is the core of his system, this would seem somewhat of a problem.The book ends by saying that a consistent philosophy that takes into consideration Quantum Theory is still to be written - as little as I know of modern philosophy, I would imagine the intervening 60 years have done little to correct this want. Quantum Theory still remains an enigma and all too often leaves the door wide open for all types of very silly ideas.This is a book that repays the effort of reading it – it is not a short introduction by any means (being over 800 pages), but it is only a difficult read when he discusses philosophers like Hegel and Bergson who are notoriously difficult anyway. For what this book sets out to do – pretty much, give the average reader an overview of Western Philosophical thought and its place within Western Culture and History, it does a remarkable job. Although I still think it is very handy as a ready reference on a great many philosophers – it is much better, as I've found, to have read it all first.",123,25
243685,A History of Western Philosophy,Dylan Popowicz,31,4,2,"August 6, 2011","At first it seems impressive that a single individual could accumulate such a vast understanding of Werstern Philosophy from Thales to Dewey. At first it seems that the work is well researched, objective, and only humorously judgemental at times. . . And for the first five-hundred pages these feelings seem to preside. Yet, when Russell reaches what, to me, is the important period of Philosophy, namely the modern period from the Rennaisance till the present, I find that Russell's analysis of each philosopher begins to grow shallower, leading not to a decent caricature or snapshot of the work in question, but more to a wholly unfair criticism of all those Russell finds himself at odds with.Strangely enough, with the men of history that he finds himself in agreement with, he expresses a humility in regards to their work, clearly laying out his interpretation even though he dares not say that he truly understands m as fully as intended . . . this same humitlty, when faced with Nietzsche, Schopenhauer, Kant, Hegel etc. is turned into a ridiculous (and hypocritical) demolition of their works on a shallow basis. It remains unclear whether Russell in-fact understands the depths of his opponent's work, although it doesn't matter to him.Sadly, even to an amateur as myself, his criticisms seem to miss the point entirely. In what I assume to be an attempt at avoiding obscurantism and reaching a simplicity for the layman, it seems that he has relegated subtlety for the blockish ideas of solid forms. No philosophy stands fairly against such disregard for language, intepretation etc.Overall the work may act as a decent introduction to philosophy as a whole, but I personally feel you would be better off delving into the faster read and likely more honest books out there . . . Philosophy for Dummies, Introducing Philosophy etc. I'm sure this book would be much to the liking of anyone with the same mindset as Russel himself, but have to say that objectivity is here greatly tarnished by shallow thought, misunderstanding, stupidity (yes), and an obsession with modern-day values and prejuidices with no apparent explanation for his own ethical standpoint.",35,4
243685,A History of Western Philosophy,Ms.pegasus,687,130,5,"May 5, 2022","Cogito, ergo sum; God is dead.... Too often the ideas of past philosophers are eclipsed by glib taglines. Russell invites us to go deeper: what motivated these philosophers? How have their ideas evolved? Russell creates a historical context that clarifies their concerns. This book is as much about history as it is about philosophy.  “To understand an age or a nation, we must understand its philosophy, and to understand its philosophy we must ourselves be in some degree philosophers. There is a reciprocal causation: the circumstances of men's lives do much to determine their philosophy, but, conversely, their philsophy does much to determine their circumstances.” (p.11)Russell also delineates some broader themes. Mystical elements, what he calls “Orphic,” intertwined with logic in Greek philosophy. Clergy and secular authorities engaged in a struggle throughout the middle ages for ascendancy, shaping the arguments of the Scholastics. The ongoing conflict between individual freedom and orderly governance was intensified by the romantic era. The latter is of particular concern to Russell who wrote this book in the aftermath of World War II.  “If we could all live solitary and without labour, we could all enjoy this ecstasy of independence; since we cannot, its delights are only available to madmen and dictators. Revolt of solitary instincts against social bonds is the key to the philosophy, the politics, and the sentiments, not only of what is commonly called the romantic movement, but of its progeny down to the present day.” (p.863) At the same time, Russell is wary of an arid rationalism.  “Prudence versus passion is a conflict that runs through history. It is not a conflict in which we ought to side wholly with either party.” (p.41)Russell's style is entertaining and irreverent. He skewers Nietsche with his psychological analysis. He chides both Socrates and St. Thomas Aquinas for intellectual dishonesty, finding arguments for positions they have decided in advance rather than engaging in pure inquiry. He creates indelible portraits of these men. Schopenhauer's semi-mystical pronouncements on “The Will” is paired with his self-indulgent lifestyle and celebratory exclamation,  'Obit anus, abit onus' (the old woman dies, the burden departs) on the death of his landlady whom he owed annual compensation for shoving her down a flight of stairs.Russell shows how philosophy has evolved from a focus on things to a focus on process, bringing it in alignment with quantum physics. Space-time, he maintains, is now space and time and the idea of a continuum is challenged with the idea of intervals.  “Einstein substituted events for particles; each event had to each other a relation called 'interval,' which would be analysed in various ways into a time-element and a space-element.” (p.1059)This is a thousand plus page book. My understanding of philosophy remains imperfect. My takeaway? Ideas have intellectual pedigrees. That history helps to explain what an ever-changing language has obscured and reveals criticisms that remain to be addressed.Three of us formed a splinter book club to read this book. We could not have made it to the finish without our weekly discussions. Despite its length and heavy focus on metaphysics, this was definitely a worthwhile read.",23,2
243685,A History of Western Philosophy,David Huff,153,46,5,"August 21, 2018","This 895-pager (including the index), could alternatively have been titled, just as fittingly, and perhaps even more accurately, ""Bertrand Russell's Opinions of Western Philosophers"". And, though you now have my opinion as well, don't let that deter you from approaching this well-written work.His broad overview of Western philosophy was published in 1945, toward the end of World War II, and includes brief to medium length chapters on many major philosophers, from the pre-Socratics to John Dewey. Russell has divided this work into three major divisions: 1. Ancient Philosophy, from the rise of Greek civilization through Plotinus (approx. 6th century to A.D. 270), 2. Catholic Philosophy, from Augustine to William of Occam (approx. 339 to 1350), and 3. Modern Philosophy, from the Italian Renaissance to John Dewey (approx. 1350 to 1945). In each of these periods, Russell is careful to provide a meaningful amount of historical context, as he describes the major life events, the ideas, and the influence of the philosophers he covers. He clearly is a man of deep intellect, vast historical knowledge, and very clear and pointed, occasionally controversial, opinions. I also found the care he takes in placing these individuals, and their thought, into the flow of the historical timeline, and the current events of their day, to be quite helpful.As I read this, what impressed me the most was the clarity with which Bertrand Russell wrote. Maybe I expected a large survey of philosophy to be next to incomprehensible, who knows? But Russell's writing was very clear, interesting, organized, and typically easy to follow, particularly when he worked to summarize the dense, almost impenetrable writings of some of these philosophers into understandable key concepts.Definitely recommended to anyone with enough interest in the subject to persevere for over 800 pages. You likely won't agree with all of Russell's views, but you'll appreciate his more than considerable knowledge and his skill as a writer.",22,2
243685,A History of Western Philosophy,Bram,102,278,4,"July 15, 2011","Not only is this an excellent primer on all the major Western philosophers and an impressive synthesis of the evolution of philosophic thought over a 2500-year span, it's also one of the wittier books I've ever read. I'd be quite interested to hear Bertrand Russell's thoughts on the past 65 years; I did stumble upon his remarkable final statement, written two days before his death at age 97, which shows him putting his formidable powers of rationality to work in succinctly and accurately assessing the nature of the Middle East conflict. Sadly, little has changed in the 40 years since the writing of this statement, as Israel continues to expand into Palestinian territory, to deny the rights of refugees, and ""to discover how much more aggression the world will tolerate"" (empirical answer: quite a lot):""The development of the crisis in the Middle East is both dangerous and instructive. For over 20 years Israel has expanded by force of arms. After every stage in this expansion Israel has appealed to “reason” and has suggested “negotiations”. This is the traditional role of the imperial power, because it wishes to consolidate with the least difficulty what it has already taken by violence. Every new conquest becomes the new basis of the proposed negotiation from strength, which ignores the injustice of the previous aggression. The aggression committed by Israel must be condemned, not only because no state has the right to annex foreign territory, but because every expansion is an experiment to discover how much more aggression the world will tolerate.The refugees who surround Palestine in their hundreds of thousands were described recently by the Washington journalist I.F. Stone as “the moral millstone around the neck of world Jewry.” Many of the refugees are now well into the third decade of their precarious existence in temporary settlements. The tragedy of the people of Palestine is that their country was “given” by a foreign Power to another people for the creation of a new State. The result was that many hundreds of thousands of innocent people were made permanently homeless. With every new conflict their number have increased. How much longer is the world willing to endure this spectacle of wanton cruelty? It is abundantly clear that the refugees have every right to the homeland from which they were driven, and the denial of this right is at the heart of the continuing conflict. No people anywhere in the world would accept being expelled en masse from their own country; how can anyone require the people of Palestine to accept a punishment which nobody else would tolerate? A permanent just settlement of the refugees in their homeland is an essential ingredient of any genuine settlement in the Middle East.We are frequently told that we must sympathize with Israel because of the suffering of the Jews in Europe at the hands of the Nazis. I see in this suggestion no reason to perpetuate any suffering. What Israel is doing today cannot be condoned, and to invoke the horrors of the past to justify those of the present is gross hypocrisy. Not only does Israel condemn a vast number of refugees to misery; not only are many Arabs under occupation condemned to military rule; but also Israel condemns the Arab nations only recently emerging from colonial status to continued impoverishment as military demands take precedence over national development.All who want to see an end to bloodshed in the Middle East must ensure that any settlement does not contain the seeds of future conflict. Justice requires that the first step towards a settlement must be an Israeli withdrawal from all the territories occupied in June, 1967. A new world campaign is needed to help bring justice to the long-suffering people of the Middle East.""",21,6
243685,A History of Western Philosophy,Stian,86,128,3,"July 22, 2015","A very subjective history of philosophy. Russell makes it very clear what he thinks of every philosopher mentioned and it's not very hard to see who he likes and who he dislikes. The first part of the book on Ancient Philosophy I thought was excellent and very fascinating. The variety of thought and ideas here was really incredible and made for very easy and interesting reading throughout. In fact, once I had finished Russell's examination of Plato I decided to read three of Plato's dialogues, all of which I enjoyed. This book starts with Thales and moves all the way to Plotinus, before it continues into the second book, which is on Catholic Philosophy. The second book isn't nearly as riveting as the first. A lot of this I found to be rather tedious and not as fun to read as the book before it. However, I was inspired to read St. Augustine's Confessions, and I also bought a collection of writings of St. Thomas Aquinas. Although tedious, it definitely had a lot of interesting things to say. The third and last part is on Modern Philosophy, dealing with the renaissance and up. This was, much like the first book, really fascinating and was relatively interesting to read. There was only one thing that really bugged me in this book and that was the omission of Kierkegaard. One would think that a history of philosophy would at least contain a mention of him, but alas! This book, like the others, also inspired me to dig a little further and I've acquired Hume's A Treatise of Human Nature, Spinoza's Ethics, and finally Hegel's Phenomenology of Spirit. All in all a very fascinating read which flows along nicely, spiced with Russell's wit and opinions. Definitely a book I enjoyed but hardly more than three stars. As a short introduction to every philosopher this certainly does the job. ",18,2
243685,A History of Western Philosophy,Supreeth,118,270,4,"December 25, 2019","I know I'm supposed to start with Greeks. I've heard Bertrand Russell is biased. And for no apparent reason I skipped ancient and catholic philosophy. So having read only modern philosophy(about 400 pages) , I can say that Bertrand Russell is pretty concise, accessible and definitely based; and he's not trying to hide it. Neitzsches chapter does seem like a hard roasting. I'll probably pick Gottlieb's Dream of Reason for Greek philosophy, and later Anthony Kenny's book for another reference when I decide to do this again. Either way, I've found good amount of original texts to read further. ",17,3
243685,A History of Western Philosophy,May 舞,281,4,4,"October 7, 2019","FINALLY!As my first philosophy book, this sure was heavy; however, it was extremely interesting and thought-provoking as well!",15,N/A
243685,A History of Western Philosophy,Amirography,198,123,5,"August 6, 2017","There are three points I want to make:1.The author has a very fantastic style of writing. It uses the classic way of writing non-fiction. When you read it, you won't feel you are reading a textbook, because you can know what the author is thinking and that he is sharing his thoughts with you. not just mentioning them when he is talking to himself. 2. The author uses a critical and analytical method of representing the ideas he is going to make. I believe it is a great demonstration of the early analytical philosophy. I love this school of thoughts and I learned more than I could have ever hoped for from this work. 3. This book should not be used by a novice reader of philosophy. If that is the case for you, I strongly suggest that you first read another history of philosophy, and then compliment that by this book. Russell's history of philosophy is more of an ""Actually guys... it isn't like that"" sort of history. So you should know at least some history of philosophy to know what he is talking about. ",14,N/A
