Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
2767,A Peoples History of the United States,Mike (the Paladin),"3,145",1783,1,"July 16, 2022","Update: I took this out of the library to attempt a reread...no changes, wanted to be fair. Still don't care for it. As noted, no changes. Oh my goodness aren't we brave to tell (re-tell) American history this way? ""You've been lied to and only I have the strength of character to tell you about it""Yeah, yeah, yeah I've heard it all before. In C.S. Lewis' Great Divorce there's a high churchman of the Church of England who's going on about how brave he was to take a secular stand and renouncing ""traditional"" beliefs. The ""person"" he's talking to (who was with him at that time) calls him on it and says you were never in danger of being renounced. You were in the main stream and only pretending (or possibly fooling yourself to put the best face on it) to go against the main stream. That's what we've got here, Since the 70s it's been ""fashionable"" to try and ""debunk"" American values and heroes. This one goes right down the line from going for the worst take possible on Columbus to attacking the motives of everyone involved in the American Revolution. You want to read this, fine. But let me suggest some balance, bias is bias no matter which side it comes from or comes down on. I won't debate (for example) Christopher Columbus' motives here...just realize he like everyone else was a product of his times and if you read his own writings you'll find ""slavery and genocide"" were the farthest things from his mind.European ""industrial"" culture met a hunter gatherer culture and we got the predictable result. Does anyone really think that maybe fencing off the ""New World"" and making it a sort of preserve for tribal culture would ever have happened? Yes there were tragedies (I am not taking them lightly, all human history is rife with tragedy) but the continual self flagellation and the ""let's all hate America and feel guilty about history-ism"" has gotten silly. If we can't look at it for what it is and was and then move on we'll destroy ourselves.*******I'm adding these review segments from other sources simply to bolster the point that what I say/said here is far from some simply biased conservative opinion (though I am generally speaking conservative). I would suggest that those who read this review and have the reaction that is common for many on the left first read the 7 pages (update 7/10/2022, now there are 10 pages) of arguments (attacks) that are already here. Answering that same comments over and over is getting silly.We as a people (America) are losing (giving up) the ability to think for ourselves. Many are far more likely to try and shout down any opposing thoughts rather than think about them. We are at a place where communication has almost ceased. If we don't get back to the ""loyal opposition"" and the ability to disagree logically and civilly we will soon reach a point of no return. So please just think and consider what you believe.:Judging by the History News Network’s online vote conducted in 2012, many American historians loathe Howard Zinn’s A People’s History of the United States. More than 600 historians who participated in this vote pronounced Zinn’s radical history the second “least credible history book in print.” Comments by participants in the HNN vote suggest that this negative verdict on A People’s History had an ideological dimension. Zinn’s “viewing American history through a Marxist lens is a painful exercise in tortured reasoning” complained one online critic, while another denounced A People’s History as “absolutely atrocious agit-prop. ******Stanford Education Professor Sam Wineburg.:""Wineburg, one of the world's top researchers in the field of history education, raises larger issues about how history should be taught. He says that Zinn's desire to cast a light on what he saw as historic injustice was a crusade built on secondary sources of questionable provenance, omission of exculpatory evidence, leading questions and shaky connections between evidence and conclusions.  Indeed, says Wineburg, while Zinn pulled his anecdotes from a secondary source, Lawrence Wittner's 1969 book Rebels Against War, Zinn ignored evidence in that same book that undermines his claim. Among the examples Zinn overlooks is Wittner's point that 24 percent of the registrants eligible for the war were African American, while the percentage of draft-evasion cases involving blacks was only 4.4 percent of the total pursued by the Justice Department. And a similar trend held with conscientious objectors. ""Surprisingly few black men became C.O.s,"" Wittner adds.Similarly, Zinn roots his argument that the Japanese were prepared to surrender before the United States dropped the atomic bomb on a diplomatic cable from the Japanese to the Russians, supposedly signaling a willingness to capitulate. Wineburg writes that Zinn not only excludes the responses to the cable, but also that he fails in the later editions of the book to incorporate the vast new scholarship that emerged after the death of the Emperor Hirohito with the publication of memoirs and new availability of public records, all of which support the position of Japan's resolve to fight to the last.""*******************KIRKUS REVIEW""For Howard Zinn, long-time civil rights and anti-war activist, history and ideology have a lot in common. Since he thinks that everything is in someone's interest, the historian--Zinn posits--has to figure out whose interests he or she is defining/defending/reconstructing (hence one of his previous books, The Politics of History). Zinn has no doubts about where he stands in this ""people's history"": ""it is a history disrespectful of governments and respectful of people's movements of resistance."" So what we get here, instead of the usual survey of wars, presidents, and institutions, is a survey of the usual rebellions, strikes, and protest movements. Zinn starts out by depicting the arrival of Columbus in North America from the standpoint of the Indians (which amounts to their standpoint as constructed from the observations of the Europeans); and, after easily establishing the cultural disharmony that ensued, he goes on to the importation of slaves into the colonies. Add the laborers and indentured servants that followed, plus women and later immigrants, and you have Zinn's amorphous constituency. To hear Zinn tell it, all anyone did in America at any time was to oppress or be oppressed; and so he obscures as much as his hated mainstream historical foes do--only in Zinn's case there is that absurd presumption that virtually everything that came to pass was the work of ruling-class planning: this amounts to one great indictment for conspiracy. Despite surface similarities, this is not a social history, since we get no sense of the fabric of life. Instead of negating the one-sided histories he detests, Zinn has merely reversed the image; the distortion remains.""***************",778,485
2767,A Peoples History of the United States,J.G. Keely,546,9406,1,"May 3, 2013","Howard Zinn saw a problem in the world, a great bias in our understanding of history, a history written by the winners--by tyrants and industrial magnates and warmongers--and so he did something about it: he created an equally flawed and opposed bias, just as carefully constructed to prop up his own one-sided conclusion, in an act which always calls to my mind Bob Dylan's line:
  ""In a soldier's stance, I aimed my hand. At the mongrel dogs who teach. Fearing not that I'd become my enemy. In the instant that I preach.""
A staunch idealist, Zinn's standard method is to throw out the baby with the bathwater: he finds an imperfection in a plan or event, and declares that, since it it not perfect, it should be rejected, outright. There is no pragmatism, no sense of compromise, no utilitarian notion of 'the greater good' for Zinn--if there is a flaw in an action, then that action must be condemned.He has come out as saying that war is never a solution, that since people died, the conflict of World War II is not excusable, that the cessation of the Fascist war machine was not worth the cost. Of course, this beggars the question: what else? Is there some better solution to the problem, is there anything else that could have been done to prevent it?Likewise, he has rejected US intervention in Korea, despite the fact that when we look at the split Koreas today--the North a wasteland of violence, malnutrition, and ignorance, the South a modern nation with a thriving economy--it is difficult to argue that, despite the deaths in that war, the intervention was not, overall, a positive.Certainly, I am not of the camp who believes the US to be some sort of 'World Hero', that we are justified in policing the world, or in enforcing our ideals upon other nations, but neither do I buy the image Zinn paints of the US as a hand-wringing Disney villain that ruins everything it touches--the real truth of the matter is somewhere in between.Some things which the US has done, such as our interference in Afghanistan--well on its way to becoming a modernized, self-sustaining nation in the mid-20th Century--tearing down its government, arming its warlords, and making it the staging ground for our Cold War battles with Russia--are awful examples of selfishness forced upon the world. The actions of our government and intelligence community there were not for the greater good, they were at the expense of the Afghans to our own benefit, and there are many such damning examples, but to focus solely on them is just as bad as ignoring them entirely.Zinn has received much credit for revealing truth, for reinvigorating our education system and our view of history, but honestly, his work was a bit late for that--already, such diverse perspectives were emerging, and while it took some time for them to trickle down to Middle Schools and the public consciousness, nothing in his book was a revelation to devoted students of history.Even those historians who were sympathetic to minority experiences and opposed to the white-washing of history tended to condemn Zinn for cobbling together a poorly-researched work which took only those parts that were convenient to his thesis and left out all else--and beyond that, twisting and misrepresenting his sources to his own ends.But his work is sensationalistic, and work of that sort has a way of finding its way into popular discussion, whether it is accurate or not. His opponents can cite him of an example of 'all that is wrong with that point of view', while his supporters are attracted by the fact that his work tends to cast as the true heroes of history the uninvolved thinker, the academic who talks a great deal, attends protests, but does not get his own hands dirty, since in Zinn's approach, to interact directly with the imperfect world is to sully one's self.It's hardly surprising that, in the modern age of 'Entertainment News', as represented by the vehement spewing of incoherent bias, figures like Zinn and Chomsky should become elevated. Zinn's book is like the 'documentaries' 
  Zeitgeist
, or 
  What the Bleep Do We Know?
, like Daniel Quinn's 
  Ishmael
 or Hesse's 
  Siddhartha
, or the writing of Bell Hooks--all works that are fundamentally more concerned with the author's prejudice than with anything resembling fact.In college, it's not uncommon to find folks who are devoted to all of the above--and if there's a better way than that to say ""I have relatively little capacity for critical thought, but need constant confirmation of my own specialness', I don't know it. But then, such works are liable to spark off movements--not because they are accurate or well-written, but because they flatter certain preconceptions in the person who reads or watches them--meaning that the movements they inspire are not far removed from cults, centered as they are on philosophies which do not correspond to reality.It is truly sad that, in the end, the common state of politics can be boiled down to a question like 'Do you follow rush Limbaugh, or Kieth Olbermann?', when in fact both of them are equally sensationalistic purveyors of half-truths delivered by way of ideology-filled rants. One sometimes wonders what we might achieve if we were able to think of the world in terms other than false dichotomies--but since I, unlike Zinn, am not an idealist, I shall have to accept the fact that it's simply how the human mind works, and do my best to work within that system.",428,75
2767,A Peoples History of the United States,Meg,416,176,4,"June 24, 2007","I finally finished this after slogging through it for two weeks, and it was definitely worth it. Besides being a good refresher in U.S. history, particularly from a non-nationalist perspective, I learned a lot about people's movements, and the ways that people (as opposed to 'the great men of history') have created change in our country.It's good to know that some of what Zinn covers in A People's History, even though unorthodox at the time he wrote it, has already filtered into public education. For instance, it was very clearly taught in my high school U.S. history course that Columbus was not the genteel 'discoverer' of the Americas but rather the wealth-obsessed leader of a genocide against indigenous people in the Caribbean.However, we didn't cover the fact that even as late as the 1960s and '70s the U.S. government was supporting violence against American Indians. Or that 'equal protection' under the 14th amendment was granted to corporations many decades before it was granted to women. (Literally, judges declared that corporations were considered 'persons' - just as they had finally said black men were persons and not just property - and then they later ruled that the term didn't apply to women.) And we certainly didn't cover the continuous use of military forces by both corporations and government against worker protests, events like the Ludlow Massacre (a strike by miners against the Rockefeller family's Colorado Fuel & Iron Corporation), where first the Rockefeller's own hired thugs, and then the government's attempts to bring in strikebreakers, did not break the determination of the workers, and eventually the National Guard launched machine gun fire on a tent colony of workers and their families. And while we maybe mentioned the death of civilians at Hiroshima, we didn't talk about the millions of civilians killed by U.S. troops in the Philippines, Cuba, Vietnam, Laos, Cambodia, and both directly/indirectly in numerous Central and South American countries.The gist of Zinn's book (and this is a long gist, but it's a long book): the U.S. was founded to protect the interests of the wealthy, and continuous class conflict has been suppressed regularly through the creation of nationalist sentiment, as well as through the pitting of oppressed social groups one against the other (for instance, poor blacks against poor whites, or the lower class against the middle class). Furthermore, as we have accepted 'history' as it has been given to us in school textbooks, we've allowed ourselves both to believe the myth that 'the people' are actually represented by the government, and that we have democracy, while allowing a rich elite to maintain power and help create the continuous war economy we now live in, in which we continuously say we cannot afford to provide people with jobs, food, or education, but yet somehow shell out trillions to military contractors to create weapons we should never even be thinking about using.Some of this I had already picked up here and there, but Zinn's book is a sort of a thick concentration of it all, a thorough look at who ""we"" as the United States really are. While certainly not a pretty self-portrait, it does end on a hopeful note: 'the people' have created change, and we can do it again. The catch: change has always been achieved by direct action (violent and non-violent). It has never been achieved by voting.",222,7
2767,A Peoples History of the United States,Billy,8,8,1,"August 11, 2007","DO NOT READ THIS BOOK! EVER! BURN IT! HOWARD ZINN SHOULD BE DRAWN AND QUARTERED IN A PUBLIC FORUM!!!Seriously though, when I describe my highschool sophomore year history class I generally use the following sentence, ""The theme of sophomore year history was: White people - bad, the downtrodden - good."" Howard Zinn's ""A People's History of the United States"" was our textbook. I HATE THIS BOOK! His basic thesis is that America was built on the blood and suffering of the poor. And while this is definitely a perspective that should be considered and included in any comprehensive understanding of American history, it SHOULD NOT BE THE PRIMARY MEANS OF INTERPRETING OUR HISTORY!!!!Zinn is one of those people who will ALWAYS find something to bitch and moan about. There are other histories out there that cover the time, and do so well, probably even delving into many of the situations and events that Zinn does. But Zinn's is book is much closer to propaganda than history. It's necessary to have a bias in your writing, but some level of impartiality is also useful. Anyway, there's my take, do with it what you will, but when I count up the list of my most reviled books/ideas that I've ever been exposed to, Mr. Zinn's ""A People's History of the United States"" ranks up near the top of the list.",193,150
2767,A Peoples History of the United States,Michael,274,746,5,"March 3, 2017","The ratings on this book tend to be polarized here on Goodreads, with lots of people giving it 5 or 4 stars, and quite a few giving it 1. This is because this book is upfront about where it stands politically: Howard Zinn runs with the notion that poor people tend to be exploited by rich ones. (GASP!) If you agree with this general human tendency, yet STILL believe we should teach the NERFed version of American History--where Columbus is a swell fella, the Native Americans were using the land wrong anyway, and rich people have no advantages over poor ones--I'm not sure how you can reconcile these ideas. One common critique of Howard Zinn is that this book, if taught by itself, will present a skewed version of history that inspires a general hatred of rich people. So, I fully expect these reviewers to give low ratings to every history book, including those that pretend to be objective. By giving a low rating to only the books that point out flaws in the U.S. government, these people are essentially admitting the direction of their own bias. Of course, we're all biased, whether we're writing history books or reviewing them. If I weren't politically biased towards LIKING this book, I'd probably give it a four-star rating because there were some topics I wish Zinn would've gone into that he didn't.All historians have an agenda, so the obvious solution is to teach from two or more textbooks with conflicting views. There. Problem solved! Moving on...I'm gonna talk about the book itself now, so that I remember to do so. Then, I'm going to get into political rant mode, because I want to talk about why Zinn and the Tea Party SHOULD be best friends if people were more rational than they are. The Part Where I Talk About the Book:Zinn, in the newest versions of this book, discusses U.S. history from its origins all the way up to Bush Jr.'s presidency. Throughout, he pulls no punches, questioning the motives of those in power regardless of their political party, because there's really not that much difference between the right and the left. He covers a whole lot, even considering the length of the book, and has done a lot of work since the book's original publication to add sections addressing the plight of those segments of our population that were ignored in the earliest printings. Keep in mind as you're reading this that there really WASN'T anything like this book when it was written. Before Zinn, no schools taught history from the perspective of the lower classes...in fact, most of them STILL don't. I know mine didn't. So, I think we need more historians like Zinn, willing to challenge the assumptions we make about history. Like every academic field, history should be evolving and growing more nuanced over time. I should've known I'm incapable of actually FOCUSING on the book. The Part Where I Talk About Other Stuff:As those who have talked to me about politics know, I have a lot of frustration with the tea party. First off, some of them don't realize how batshit nuts Sarah Palin is. That's bad. And, that's not nearly as bad as the fact that they don't realize how batshit nuts GLENN BECK is.  But, more importantly, the so-called Tea Party developed at the same time that a democrat entered office, developed under the leadership of republicans, yet developed saying they were independent from this big-business-focused party, and that they were all about lowering taxes. Pardon me while I take that with a VERY BIG grain of salt. I'm still willing to be proven wrong, though, if it turns out that the tea party actually DOES want to cut taxes, and not just assist the federal government in deep-throating big business a little bit more. Until SOME political party is willing to come right out and say, ""Guys, we're spending more than 500 billion THIS YEAR on the military. We could pretty much kill everything alive a few times over with the weapons we have stockpiled. Maybe it's time to think about cutting part of THAT spending instead of complaining about health care expenses."" Until someone comes right out and says that, I'm not declaring my allegiance to any party.I have yet to hear anyone willing to challenge the importance of the military industrial complex...anyone in politics, that is. A lot of normal humans think this is a pretty fucking solid place to cut spending. The government can only be improved if we as citizens are willing to call it out when it acts in ways that are unethical. The notion that patriotism is connected to a blind faith in the current version of the political structure is foolish. Those who really believe in freedom will recognize that freedom applies to everyone, including those of us who want to examine whether or not the government is operating in our interests. After examining it, a lot of people are convinced it isn't. That said, we're all gonna get along better when we stop focusing on the issues that we don't agree on, and focus on what we think a government should do. When we say the government is ""of the people, by the people, and for the people,"" I think ""the people"" includes everyone who lives here, including those of us who didn't make any money on the bailout, and those of us who don't want to help finance murder abroad through ""Overseas Contingency Operations."" I would think pro-lifers would agree with me on that.Anyway, I'm going to climb off my soap box now, but I give this book my recommendation. Read it if your American history education hasn't included enough skepticism.",177,5
2767,A Peoples History of the United States,Warwick,809,14400,4,"June 23, 2015","In 1846, in Concord, Massachusetts, the writer Henry David Thoreau ran into a tax collector called Sam Staples, who asked for his poll tax. Thoreau declined to pay, refusing – he said – to contribute to what he regarded as the government's illegal war against Mexico. He was put in prison.When Emerson visited Thoreau in jail and asked, ‘What are you doing in there?’ it was reported that Thoreau replied, ‘What are you doing out there?’Howard Zinn is not in jail (he's dead), but the message to readers is much the same. This is a big book with a big chip on its shoulder. It's not really a history of the US at all, it's a kind of ‘Marxist Companion to’ American history – but none the worse for that, and Zinn can hardly be accused of concealing his biases. He's very upfront about the fact that this book ‘leans in a certain direction’. His reading of history is one dominated by social and economic inequality presided over by governments that protect capitalist interests at the expense of people's lives. And, as you might imagine, he's not short of examples. It's interesting that many of those who dislike this book seem almost personally offended by it. That is worrying, because it suggests that American patriotism (which is almost a state religion) has succeeded in convincing people to identify themselves with their governments, one of the things that Zinn is trying, passim, to argue against. Certainly ‘America’ as a state does not come out of this very well, but I rather doubt that Zinn believes any other countries are much better; the point is only that the US is no different.Instead of memorable dates or acts of statesmanship, then, we have a history of the disenfranchised and the working-classes, from Columbus to the War on Terror, demolishing the fiction that the US is a ‘classless’ society and establishing the importance of protest and activism in achieving any meaningful social advances.In some cases this means coming at the familiar stories of American history from a new angle – as is the case with the settling of North America, which Zinn sees as straightforwardly genocidal, or his account of the ‘Roaring’ 1920s, which focuses on the country's staggering wealth disparity. Sometimes again, Zinn's approach is more or less in line with traditional narratives, as for instance when it comes to the civil rights movement. And finally there are the stories in here which you don't typically see in histories of the U.S. at all, such as the rise and ultimate fall of American unionism, something I, like most people in Europe, have often wondered about.What I love about books that focus on protest movements is that they help break down the idea that countries are monolithic, or that the behavior of a state is even moderately successful in enacting the wishes of its populace. And the US has had some of the most courageous and eloquent protesters anywhere. Emerson may not have gone to jail for his beliefs like his friend Thoreau, but consider the letter he wrote to President Van Buren in 1838, on the subject of Indian Removal. The policy, he says, isa crime that really deprives us as well as the Cherokees of a country for how could we call the conspiracy that should crush these poor Indians our government, or the land that was cursed by their parting and dying imprecations our country any more?Others had the presence of mind to produce this stuff on the fly. Eugene Debs, jailed for speaking out against the First World War, told his judge in court:Your honor, years ago I recognized my kinship with all living beings, and I made up my mind that I was not one bit better than the meanest on earth. I said then, and I say now, that while there is a lower class, I am in it; while there is a criminal element, I am of it; while there is a soul in prison, I am not free.(And critics call this an anti-American book! You're cheering over heroic Americans the whole way through – they just happen to be in confrontation with their government most of the time. It's very moving, and I was a bit of an emotional wreck for much of the three weeks I spent reading it.) The gradual emancipation of women furnishes some of the best anecdotes. Elizabeth Blackwell, a doctor who got her medical degree in 1849 from Geneva College, wrote about one of her first cases, where she called in a local physician for consultation on a pneumonia patient:This gentleman, after seeing the patient, went with me into the parlour. There he began to walk about the room in some agitation, exclaiming, “A most extraordinary case! Such a one never happened to me before; I really do not know what to do!” I listened in surprise and much perplexity, as it was a clear case of pneumonia and of no unusual degree of danger, until at last I discovered that his perplexity related to me, not to the patient, and to the propriety of consulting with a lady physician!It was interesting to discover that many of the radical female activists of the early twentieth century – and there were a lot of awesome women involved in anarchist syndicates and that kind of thing – were ambivalent on the question of suffrage, regarding votes as, at best, a distraction from the real issue of class warfare. Zinn is broadly sympathetic, just because he likes people who are angry; indeed activists who take a more conciliatory approach don't always come off well here. Martin Luther King's ‘I have a dream’ speech, for instance, is ‘magnificent oratory, but’ – the crucial qualification – ‘without […] anger’.All of the book's themes come together when it discusses war. There is a bracing résumé of the US's appalling military interference in Central America, and cynical (but convincing) discussions of Korea and Iraq. On Vietnam, Zinn is even more scathing than conventional wisdom would suggest – indeed, there is a sense that self-congratulatory cultural ‘admissions’ of failure have served to gloss over the ugly realities. Consider the 660 Vietnamese civilians massacred at My Lai, for example. The soldiers of Charlie Company took their time raping and dismembering the women, rounding up and killing the children, and forcing the rest of the villagers to lie down in ditches while they walked up and down shooting them, while divisional command staff watched from a helicopter. None of the anguished, important, self-examining Hollywood treatments of the conflict have come close to facing up to this kind of thing.War is recognised here as a class issue. ‘If there is a war,’ wrote Bolton Hall in an appeal to the working classes in 1898, ‘you will furnish the corpses and the taxes, and others will get the glory.’ Zinn encourages readers to consider what exactly is meant when politicians talk about the ‘national interest’, so often to be equated with corporate profits. But more generally, there is a welcome consideration of the justification for spending citizens' money on vast military projects instead of on ways to help those of them with no food, housing, or employment. As Eisenhower said, in a moment of rare presidential clarity:Every gun that is made, every warship launched, every rocket fired, signifies in a final sense a theft from those who are hungry and are not fed, those who are cold and not clothed.Welfare is one of the many issues on which both sides of the American political spectrum have united in inactivity, allowing the term itself to become almost a dirty word. (A similar process has happened with ‘socialism’.) In a 1992 survey, 44 percent of people thought too much was being spent on ‘welfare’, but 64 percent thought too little was being spent on ‘assistance to the poor’. *headdesk* Vocabulary is everything…It's true that there is, at times, an unnecessarily conspiratorial tone here – the implication that some knowing capitalist-patriarchal cabal is deliberately manipulating events to the people's detriment. Events are manipulated to the people's detriment, but the reason is systemic rather than down to individual villains (though yes, there are some conspicuous exceptions). And the ruling classes can't win: advances in social justice or economical equality – of which there are, in fact, many – are attributed to an Establishment desire for ‘long-range stability of the system’ rather than to any humanitarian motives. Where concessions have been made, ‘the chief motive was practicality, not humanity’.Zinn does say at one point that the American system ‘was not devilishly contrived by some master plotters; it developed naturally out of the needs of the situation’, but such reminders are only necessary because they are belied by his general stance. Still, over the 700-odd pages, I think the system is illustrated rather well. The account left me energised, fired-up. And people should be angry. As Zinn's history shows, the advances in American society have only come about because people got angry and forced the government to act. Now is certainly no time to stop.",145,16
2767,A Peoples History of the United States,Alex,"1,419",4274,4,"April 12, 2019","A People's History's 750 pages can be boiled down to two statements:1) America sucks;2) The only way to change it is to organize.Both of these things are true, and Zinn makes his case with comprehensive thunder - so if you're new to all this, get ready to be adorable. The extermination of Native Americans; the genocide of slavery; the systematic fight against civil rights, socialist and labor movements; all the way up to the horrors of Vietnam, Zinn shows us how America's interests have always been big business at the expense of the people. ""To give people a choice between two different parties and allow them, in a period of rebellion, to choose the slightly more democratic one was an ingenious mode of control,"" says Zinn, and you're like oh snap.PS and ETA, summer 2016: hello, Bernie Sanders fans! This review has gotten more likes during Bernie's run than it did before, and you are correct that it amounts to the Sanders Bible. I realize that, following HRC's nomination, you are now faced with exactly the choice quoted above. Please do keep in mind that while it is indeed an ingenious and cynical mode of control, Zinn is not suggesting that you allow the much less democratic option to win in protest. This is known as ""cutting off your nose to spite your face."" Suck it up and vote for Hillary. Thank you.PPS, winter 2016: well shitAnyway. This is a valuable book: one of the best broadsides against the Establishment ever written. But it suffers from two big problems:First, as he says right in the title, one of Zinn's goals is to tell a different kind of history - one not dominated by individual heroes and villains, but by groups of people - movements - who come together to change the direction of American society. That's nice, but we learn best when information is presented in the form of stories, and stories work best when they have protagonists; Zinn's refusal to give us protagonists makes it hard to keep straight what's going on. (Even when protagonists do show up, Zinn often fails to put them in context: Mother Jones pops into the story a few times with zero explanation of who the hell she is.) It unfortunately makes the book feel somewhat like the textbooks you used to know and loathe during high school - just long lists of events and numbers and happenings, that make your eyes glaze over. Only a masochist would count the number of times Zinn says, ""[x] people marched at [somewhere] to protest [a thing], and the police beat the shit out of [many] of them."" It's a lot. I was left with a chaotic sense that lots of people have been unhappy with lots of things, and generally gotten beat up for it. This is very well-written, for a history textbook...but that's not saying much.(Zinn's disdain for the mechanics of storytelling is also manifested in his dreadful taste in books, by the way. When he cites literature, it tends to be stuff like Edward Bellamy's boring proto-scifi Looking Backward or Jack London's awful dystopia Iron Heel - well-intentioned but terrible socialist literature. Makes you think Zinn might be a pain in the ass to have over for dinner.)Second, Zinn's consciously biased tone ends up making it easy to disagree with him. He makes his point so many times, so persistently, that even I found myself at times wanting to argue - and I'm firmly on his team. It's just...when a guy repeats himself a thousand times one's natural inclination is to be like ""Shut up."" That's just how it goes. Zinn freely admits that this isa biased account, one that leans in a certain direction. I am not troubled by that, because the mountain of history books under which we all stand leans so heavily in the other direction - so tremblingly respectful of states and statesmen and so disrespectful, by inattention, to people's movements - that we need some counterforce to avoid being crushed into submission.And Zinn's right: I remember dismissing my high school textbooks out of hand because they were so clearly biased that I felt immediately that they couldn't be trusted. The problem is that although Zinn is philosophically opposite, the effect is the same. Anyone who's not already inclined to agree with Zinn will find it all too easy to dismiss his entire book, which means that A People's History is doomed to do its preaching only to the converted. Top reviews of it on Goodreads tend to be five stars or one, divided by whether the reviewer already agreed with Zinn or not.As the converted, this still had value for me. Zinn makes the very clear point that I am exactly the problem: the former activist who's settled comfortably into the middle class and therefore deactivated. I got mine, right? I'm actually mentioned in this book: Zinn describes a Boston protest against the first Gulf War that I was at. But it's been a long time since I took to the streets. So, okay, as an extra-credit assignment in Zinn's Shitty History 101, I promise to get back out there. As long as I don't have brunch plans.",84,9
2767,A Peoples History of the United States,Julie ,"3,989",58900,3,"March 13, 2017","A People’s History of the United States by Howard Zinn is a 2005 Harper Perennial Modern Classics publication. I admit, up front, that this my first go at this book. I vaguely remember some controversy surrounding a history book that exposed the darker side of American History, and whether or not it belonged next to traditional history text in schools. However, this book came along after I graduated from high school, having been published in 1980, to the best of my knowledge, and my own children used traditional history textbooks in school. It wasn’t until I heard the state of Arkansas was trying to have this book banned from its schools, that it piqued my interest. So, I checked it out of the library just to see what was so controversial about it. It’s been a very long time since I picked up a history textbook of any kind. So, if nothing else, this book gave me a little refresher course on historical events. But, of course, I do see why some people would find learning about the underbelly of American history disconcerting. The history covered begins in 1492 and was updated up to 2000’s war on Terrorism. I’d never heard about most of these ‘untold’ portions of history, but as long as they are true, I don’t see the problem with informing students of the darker aspects of their history. The important thing to note, however, is the motive behinds some of these events and one's own perception of them.If I began looking through this book with any kind of preset ideas, it would be in favor of telling the whole truth, not just the truth that paints our ancestors in the most flattering light possible. Still, I did pick up on a ‘tone’ here and there I wasn’t so sure should exist in a book designed as a teaching tool. Of course, one could argue, those same ‘tones’ show up in more traditional history textbooks, too, and keep in mind that my ability to access 'tones' can be wonky sometimes, apparently. Because I checked this book out of the library, and needed to get it turned back in, I didn’t read the book like I would a novel or any other kind of book. I skipped around here and there, skimmed some areas, and spent a great deal of time on topics that interested me the most. The point, the author seemed intent on stressing, was that the rich took power and gained much off the backs of the poor or ‘downtrodden’. I think you would have to be truly dense not to pick up on that, but again, if it’s true, then by all means, at least allow the book in the classroom as a companion to the more traditional studies. One thing I believe is clearly under attack in our present climate, is critical thinking. To disallow this book in the classroom because it shows another side of the story, is unhealthy. Students must learn to look at the information and make informed decisions about the data presented to them. Not only that, I just don’t like the idea of banning books. If the schools feel that strongly about using the book in the classroom, then at least give them the chance to check it out of the school library. This is not your typical ‘dry’ history text, and I do understand why some people either loved it or hated it. For me, I hate to be wishy washy, but I fall somewhere in the middle. I didn’t hate it, and while it was interesting, I didn’t feel overly impressed either. 3 stars",82,9
2767,A Peoples History of the United States,Always Pouting,568,677,4,"March 24, 2022","I had wanted to read this for quite a while and I was finally able to borrow it from the library only to realize its 700+ pages. I felt really anxious about finishing it before I had to return it so I spent the past few days reading and not doing any of my work. I need to come up with a plausible lie to tell my boss tomorrow about what I've been working on. I also still have 15 days left before I have to return the book so I kind of feel dumb now.At this point I've heard most of what's covered in this book before. I think if it had been my first time reading about these things I would've been moved more deeply and I would be one of those people who tells others how great this book is and how they have to read it. I personally think it's important for us to contend with the history of this country, to even allow ourselves to feel angry or bad about the things that have happened while also not feeling like it's some sort of attack on us personally. I think it's also okay to just acknowledge that our government does a lot of shitty things that we may sometimes benefit from and that we can be somewhat culpable for. I also am not that sensitive to being critiqued or told I'm a piece of shit so maybe that's why I think its an overreaction when people get so viscerally angry at books like this for painting the country in a bad light. It's also kind of weird in my opinion to tie your identity so closely to your country but to each his own.Anyways I enjoyed the book, probably because it has politics similar to mine.",66,4
2767,A Peoples History of the United States,Tom Quinn,531,135,4,"September 13, 2019","I had to wait literally two years for this book to become available at my local library. Very encouraging to see this rise of civic responsibility in my community. Every U.S. citizen owes it to the country to understand our history, and few sources can compare to Zinn's impressive A to Z. It's about as far from an impartial account as I can imagine, and with good reason: Zinn wants to highlight the history of the U.S. not through a few heroic individuals but rather the larger body of its citizens.I am pleased to report that a lot of his interpretation has entered America's cultural zeitgeist already. I am disappointed to report that relevant action in light of these histories remains to be seen.Written with spirited vigor, Zinn directs his (not always engrossing) narrative to move quickly through his major points. Supporting text from primary sources is integrated well, and if anyone complains that he's cherry-picking his quotes the retort must be made that he's specifically selecting voices and focusing on events to support his argument. This is not an unbiased piece, nor is it meant to be. The Shelley quote he opens with makes pretty clear what type of action he's calling readers to.3.5 stars out of 5. I didn't do much shopping around for editions and the one I read has lengthy sections at the end of each chapter with discussion questions or classroom guidance, so the page count is heavily padded. I also ended up first with the 1997 edition and finished the updated info from 2003 by eBook. This made my experience kind of disjointed - I would have preferred a version with the teaching materials excised.",57,6
