date,added,ratings,reviews,to-read
2022-08-16,34,4,1,27
2022-08-17,39,7,0,28
2022-08-18,26,9,2,17
2022-08-19,24,9,0,14
2022-08-20,131,5,0,113
2022-08-21,167,14,1,155
2022-08-22,83,7,0,77
2022-08-23,50,7,1,39
2022-08-24,65,4,0,49
2022-08-25,27,10,0,17
2022-08-26,37,9,0,20
2022-08-27,28,8,0,22
2022-08-28,35,7,0,25
2022-08-29,29,-10,0,20
2022-08-30,30,7,0,18
2022-08-31,38,6,0,28
2022-09-01,22,2,0,15
2022-09-02,32,9,0,17
2022-09-03,33,2,1,27
2022-09-04,44,9,0,21
2022-09-05,49,27,0,27
2022-09-06,44,5,0,24
2022-09-07,38,9,0,24
2022-09-08,30,10,1,19
2022-09-09,26,9,1,19
2022-09-10,25,3,0,17
2022-09-11,21,4,1,17
2022-09-12,34,9,0,23
2022-09-13,36,7,0,28
2022-09-14,27,6,0,18
2022-09-15,31,12,1,17
2022-09-16,23,10,0,12
2022-09-17,35,2,0,29
2022-09-18,50,19,0,28
2022-09-19,37,17,0,20
2022-09-20,41,18,0,24
2022-09-21,41,16,0,21
2022-09-22,41,15,0,19
2022-09-23,36,-39,0,13
2022-09-24,38,16,0,22
2022-09-25,42,14,0,26
2022-09-26,38,2,0,14
2022-09-27,36,-29,0,25
2022-09-28,26,-35,0,12
2022-09-29,32,-77,0,19
2022-09-30,35,7,0,27
2022-10-01,32,2,0,25
2022-10-02,24,-3,0,19
2022-10-03,39,-12,1,30
2022-10-04,19,5,0,13
2022-10-05,18,4,0,11
2022-10-06,28,3,0,17
2022-10-07,24,4,0,19
2022-10-08,30,6,0,16
2022-10-09,42,-5,0,30
2022-10-10,21,2,0,17
2022-10-11,22,-1,0,13
2022-10-12,30,-2,0,16
2022-10-13,20,2,-1,15
2022-10-14,24,-12,0,22
2022-10-15,26,-1,0,18
2022-10-16,27,-17,1,22
2022-10-17,30,-21,1,17
2022-10-18,25,-4,0,15
2022-10-19,163,8,1,144
2022-10-20,195,11,1,175
2022-10-21,97,3,0,83
2022-10-22,42,-4,0,38
2022-10-23,48,-32,0,36
2022-10-24,38,-34,1,28
2022-10-25,33,-29,0,25
2022-10-26,22,8,1,15
2022-10-27,32,5,0,22
2022-10-28,22,3,0,16
2022-10-29,29,6,1,16
2022-10-30,30,4,0,22
2022-10-31,26,-10,0,15
2022-11-01,24,4,0,16
2022-11-02,27,1,0,22
2022-11-03,30,-7,0,25
2022-11-04,33,10,2,20
2022-11-05,36,4,0,24
2022-11-06,34,4,1,21
2022-11-07,27,6,1,21
2022-11-08,23,11,2,12
2022-11-09,29,5,0,19
2022-11-10,18,4,0,11
2022-11-11,27,2,0,18
2022-11-12,26,4,0,19
2022-11-13,42,8,0,28
2022-11-14,22,6,0,13
2022-11-15,38,3,0,26
2022-11-16,31,8,0,22
2022-11-17,18,8,2,11
2022-11-18,35,8,1,23
2022-11-19,32,5,0,20
2022-11-20,29,7,0,22
2022-11-21,32,7,0,25
2022-11-22,25,4,0,16
2022-11-23,19,2,0,13
2022-11-24,31,3,1,21
2022-11-25,29,5,0,19
2022-11-26,42,7,0,27
2022-11-27,32,10,2,22
2022-11-28,30,9,0,21
2022-11-29,27,4,0,19
2022-11-30,33,0,2,19
2022-12-01,29,4,1,21
2022-12-02,16,4,0,13
2022-12-03,36,5,0,27
2022-12-04,28,7,0,16
2022-12-05,22,5,1,12
2022-12-06,30,4,1,23
2022-12-07,29,6,0,18
2022-12-08,25,6,0,20
2022-12-09,27,-1,2,21
2022-12-10,32,5,2,21
2022-12-11,28,8,0,20
2022-12-12,25,4,1,17
2022-12-13,27,7,0,19
2022-12-14,21,6,1,14
2022-12-15,24,2,0,19
2022-12-16,25,4,0,19
2022-12-17,15,2,0,9
2022-12-18,31,3,1,21
2022-12-19,23,5,0,18
2022-12-20,26,4,0,21
2022-12-21,33,7,1,23
2022-12-22,32,7,1,26
2022-12-23,33,5,0,26
2022-12-24,27,8,0,17
2022-12-25,32,1,0,25
2022-12-26,27,3,1,22
2022-12-27,35,7,0,25
2022-12-28,41,3,0,31
2022-12-29,39,8,0,29
2022-12-30,33,6,0,23
2022-12-31,54,6,0,37
2023-01-01,65,13,0,48
2023-01-02,53,7,0,38
2023-01-03,44,16,2,35
2023-01-04,40,4,0,29
2023-01-05,34,7,0,22
2023-01-06,52,6,1,39
2023-01-07,30,5,0,25
2023-01-08,40,6,0,29
2023-01-09,26,1,0,20
2023-01-10,27,7,0,20
2023-01-11,47,11,0,33
2023-01-12,35,-77,0,28
2023-01-13,34,-81,0,25
2023-01-14,44,4,1,38
2023-01-15,45,8,1,29
2023-01-16,36,9,1,24
2023-01-17,33,6,0,22
2023-01-18,40,5,0,30
2023-01-19,142,6,0,136
2023-01-20,47,6,1,38
2023-01-21,53,11,1,32
2023-01-22,48,6,1,37
2023-01-23,32,3,0,24
2023-01-24,34,7,0,24
2023-01-25,33,6,0,23
2023-01-26,31,9,1,22
2023-01-27,32,7,0,20
2023-01-28,35,2,0,26
2023-01-29,34,8,1,26
2023-01-30,27,1,0,18
2023-01-31,33,3,0,23
