date,added,ratings,reviews,to-read
2022-08-16,30,1,0,24
2022-08-17,33,3,0,25
2022-08-18,30,4,1,20
2022-08-19,34,5,0,28
2022-08-20,36,3,0,27
2022-08-21,33,3,0,25
2022-08-22,30,3,0,23
2022-08-23,21,3,1,17
2022-08-24,32,2,0,26
2022-08-25,27,4,0,18
2022-08-26,33,6,0,21
2022-08-27,25,7,0,16
2022-08-28,32,6,1,22
2022-08-29,33,3,2,23
2022-08-30,31,5,0,22
2022-08-31,21,0,0,16
2022-09-01,27,0,0,21
2022-09-02,20,0,0,18
2022-09-03,27,2,0,21
2022-09-04,28,0,1,20
2022-09-05,22,6,0,18
2022-09-06,28,4,0,18
2022-09-07,26,5,0,20
2022-09-08,18,4,0,13
2022-09-09,18,1,1,16
2022-09-10,33,3,0,27
2022-09-11,30,5,1,23
2022-09-12,31,4,1,23
2022-09-13,25,4,0,17
2022-09-14,26,7,1,22
2022-09-15,28,3,0,20
2022-09-16,27,5,0,21
2022-09-17,18,4,0,13
2022-09-18,28,4,0,18
2022-09-19,24,4,0,19
2022-09-20,25,6,1,17
2022-09-21,26,8,1,17
2022-09-22,27,4,0,23
2022-09-23,21,-9,0,19
2022-09-24,21,4,0,15
2022-09-25,31,4,0,22
2022-09-26,26,-6,1,19
2022-09-27,27,-5,2,19
2022-09-28,21,-14,0,12
2022-09-29,28,-14,0,21
2022-09-30,31,7,1,21
2022-10-01,19,4,0,13
2022-10-02,21,0,1,16
2022-10-03,30,3,0,23
2022-10-04,24,3,0,16
2022-10-05,21,5,0,10
2022-10-06,14,2,0,11
2022-10-07,25,2,0,18
2022-10-08,30,5,0,23
2022-10-09,25,-8,0,21
2022-10-10,20,3,0,12
2022-10-11,34,3,1,32
2022-10-12,22,3,0,13
2022-10-13,26,0,0,21
2022-10-14,18,-2,0,15
2022-10-15,22,-2,0,13
2022-10-16,25,-1,0,18
2022-10-17,30,-14,0,22
2022-10-18,26,1,0,15
2022-10-19,33,5,0,25
2022-10-20,33,6,0,27
2022-10-21,24,1,0,18
2022-10-22,29,-4,0,22
2022-10-23,31,-20,0,20
2022-10-24,24,-21,0,17
2022-10-25,25,0,1,21
2022-10-26,36,4,0,24
2022-10-27,28,8,0,23
2022-10-28,24,1,0,18
2022-10-29,26,6,0,11
2022-10-30,25,0,0,21
2022-10-31,26,-2,0,19
2022-11-01,34,6,1,22
2022-11-02,29,4,1,20
2022-11-03,17,-2,1,11
2022-11-04,26,5,0,17
2022-11-05,24,2,0,20
2022-11-06,28,2,0,19
2022-11-07,28,5,0,13
2022-11-08,31,5,0,22
2022-11-09,22,3,2,14
2022-11-10,33,4,1,25
2022-11-11,21,3,1,16
2022-11-12,26,5,0,17
2022-11-13,30,7,1,24
2022-11-14,26,2,0,23
2022-11-15,35,3,0,25
2022-11-16,30,7,1,20
2022-11-17,16,5,0,11
2022-11-18,20,3,0,16
2022-11-19,24,3,1,17
2022-11-20,36,4,0,25
2022-11-21,24,8,0,20
2022-11-22,30,8,0,21
2022-11-23,22,2,0,13
2022-11-24,27,3,0,21
2022-11-25,20,5,1,15
2022-11-26,29,3,0,22
2022-11-27,35,5,1,26
2022-11-28,20,5,0,13
2022-11-29,30,3,0,23
2022-11-30,34,8,1,17
2022-12-01,28,3,0,22
2022-12-02,19,5,0,13
2022-12-03,25,-2,0,18
2022-12-04,25,6,0,19
2022-12-05,34,7,0,23
2022-12-06,23,7,0,16
2022-12-07,20,5,0,14
2022-12-08,24,5,1,20
2022-12-09,25,2,0,18
2022-12-10,37,3,0,30
2022-12-11,27,3,0,22
2022-12-12,29,4,0,21
2022-12-13,23,0,0,19
2022-12-14,15,0,0,14
2022-12-15,25,1,0,22
2022-12-16,27,5,0,18
2022-12-17,30,5,-1,22
2022-12-18,30,6,1,26
2022-12-19,27,2,1,19
2022-12-20,26,1,0,20
2022-12-21,29,3,0,22
2022-12-22,23,2,0,18
2022-12-23,32,4,0,20
2022-12-24,37,6,1,27
2022-12-25,43,3,1,36
2022-12-26,54,2,0,43
2022-12-27,41,6,0,27
2022-12-28,49,7,0,37
2022-12-29,40,8,1,30
2022-12-30,50,8,0,39
2022-12-31,57,8,1,42
2023-01-01,91,11,0,70
2023-01-02,89,9,0,70
2023-01-03,71,10,0,60
2023-01-04,61,5,0,44
2023-01-05,49,7,0,38
2023-01-06,47,4,0,35
2023-01-07,40,6,0,30
2023-01-08,51,10,0,41
2023-01-09,52,11,0,36
2023-01-10,43,4,0,31
2023-01-11,40,5,0,30
2023-01-12,34,-12,0,26
2023-01-13,34,-12,1,25
2023-01-14,41,3,0,31
2023-01-15,43,3,0,36
2023-01-16,28,7,0,15
2023-01-17,35,3,0,26
2023-01-18,37,5,1,24
2023-01-19,27,7,0,24
2023-01-20,25,5,0,18
2023-01-21,35,3,0,23
2023-01-22,44,0,0,38
2023-01-23,39,6,0,28
2023-01-24,39,4,0,32
2023-01-25,38,7,0,25
2023-01-26,28,3,0,22
2023-01-27,33,3,0,23
2023-01-28,30,3,0,21
2023-01-29,38,7,1,25
2023-01-30,32,8,1,27
2023-01-31,36,0,0,25
