date,added,ratings,reviews,to-read
2022-08-16,50,7,0,35
2022-08-17,57,2,1,38
2022-08-18,43,8,0,36
2022-08-19,38,7,0,20
2022-08-20,37,5,1,27
2022-08-21,56,7,0,44
2022-08-22,46,3,1,34
2022-08-23,34,6,2,27
2022-08-24,54,5,1,43
2022-08-25,48,6,0,35
2022-08-26,32,8,0,20
2022-08-27,53,3,0,45
2022-08-28,37,5,0,24
2022-08-29,43,5,0,29
2022-08-30,50,2,0,35
2022-08-31,43,7,1,28
2022-09-01,42,5,0,28
2022-09-02,46,9,0,33
2022-09-03,46,5,0,30
2022-09-04,45,5,0,32
2022-09-05,46,8,0,34
2022-09-06,44,5,0,30
2022-09-07,45,5,0,29
2022-09-08,34,4,0,25
2022-09-09,33,4,1,21
2022-09-10,43,0,0,37
2022-09-11,48,2,0,31
2022-09-12,45,7,0,30
2022-09-13,44,4,0,36
2022-09-14,40,4,0,34
2022-09-15,36,2,0,31
2022-09-16,43,1,1,36
2022-09-17,40,4,0,28
2022-09-18,46,3,0,37
2022-09-19,35,8,1,26
2022-09-20,36,4,0,29
2022-09-21,38,5,0,29
2022-09-22,38,7,1,29
2022-09-23,42,4,1,33
2022-09-24,47,10,0,35
2022-09-25,39,5,2,29
2022-09-26,30,3,0,23
2022-09-27,37,2,0,29
2022-09-28,40,5,2,28
2022-09-29,35,5,1,24
2022-09-30,29,5,0,20
2022-10-01,36,4,0,20
2022-10-02,50,9,0,36
2022-10-03,29,2,0,17
2022-10-04,32,1,0,24
2022-10-05,30,7,1,22
2022-10-06,46,2,0,31
2022-10-07,41,3,1,30
2022-10-08,45,3,0,37
2022-10-09,49,6,0,38
2022-10-10,29,5,0,18
2022-10-11,35,4,0,27
2022-10-12,37,5,0,23
2022-10-13,24,3,1,19
2022-10-14,28,3,0,20
2022-10-15,48,6,1,34
2022-10-16,28,1,0,22
2022-10-17,32,4,0,23
2022-10-18,39,5,0,28
2022-10-19,32,2,0,21
2022-10-20,31,3,0,17
2022-10-21,30,4,0,20
2022-10-22,25,3,0,18
2022-10-23,36,9,1,25
2022-10-24,34,3,1,23
2022-10-25,39,9,1,24
2022-10-26,38,15,1,26
2022-10-27,29,0,0,25
2022-10-28,40,2,0,35
2022-10-29,30,0,0,24
2022-10-30,49,4,1,35
2022-10-31,25,6,0,16
2022-11-01,39,6,0,21
2022-11-02,37,2,0,27
2022-11-03,38,2,0,28
2022-11-04,34,5,0,23
2022-11-05,37,4,0,26
2022-11-06,64,5,0,50
2022-11-07,48,3,0,37
2022-11-08,43,6,1,32
2022-11-09,42,7,0,29
2022-11-10,38,3,0,30
2022-11-11,29,0,0,22
2022-11-12,40,2,0,24
2022-11-13,31,5,1,21
2022-11-14,38,7,0,24
2022-11-15,46,6,0,34
2022-11-16,38,2,0,24
2022-11-17,37,2,0,29
2022-11-18,37,7,0,27
2022-11-19,34,4,0,24
2022-11-20,43,5,0,27
2022-11-21,39,7,0,28
2022-11-22,43,3,0,30
2022-11-23,35,5,0,21
2022-11-24,22,3,0,15
2022-11-25,35,0,0,26
2022-11-26,47,3,1,37
2022-11-27,49,8,1,30
2022-11-28,47,3,0,31
2022-11-29,33,6,0,26
2022-11-30,44,6,0,35
2022-12-01,39,4,0,27
2022-12-02,45,8,2,30
2022-12-03,47,8,0,37
2022-12-04,41,2,0,31
2022-12-05,51,8,1,32
2022-12-06,38,2,-1,28
2022-12-07,37,2,1,29
2022-12-08,39,5,1,29
2022-12-09,41,4,0,31
2022-12-10,46,4,0,33
2022-12-11,46,4,0,39
2022-12-12,46,4,0,30
2022-12-13,34,2,0,24
2022-12-14,41,5,0,28
2022-12-15,46,7,1,33
2022-12-16,45,6,0,31
2022-12-17,42,5,0,30
2022-12-18,47,9,0,32
2022-12-19,42,8,2,27
2022-12-20,32,3,0,24
2022-12-21,40,2,0,30
2022-12-22,39,9,0,23
2022-12-23,44,10,1,26
2022-12-24,40,2,0,34
2022-12-25,52,3,0,37
2022-12-26,59,5,0,46
2022-12-27,62,7,3,37
2022-12-28,58,6,1,42
2022-12-29,66,5,0,53
2022-12-30,59,3,0,40
2022-12-31,63,8,1,47
2023-01-01,74,7,0,54
2023-01-02,89,9,0,66
2023-01-03,92,9,0,67
2023-01-04,78,10,1,57
2023-01-05,72,7,0,55
2023-01-06,59,2,0,44
2023-01-07,67,12,2,41
2023-01-08,56,9,0,40
2023-01-09,57,4,0,45
2023-01-10,62,5,0,47
2023-01-11,51,12,2,39
2023-01-12,46,5,1,35
2023-01-13,62,8,1,39
2023-01-14,58,13,1,40
2023-01-15,64,5,2,48
2023-01-16,58,3,1,46
2023-01-17,47,2,1,35
2023-01-18,48,6,0,32
2023-01-19,49,5,0,36
2023-01-20,42,4,0,29
2023-01-21,44,7,0,34
2023-01-22,52,-2,0,41
2023-01-23,61,6,1,48
2023-01-24,49,7,0,33
2023-01-25,49,8,0,30
2023-01-26,46,3,1,36
2023-01-27,44,3,0,32
2023-01-28,58,4,0,42
2023-01-29,58,7,0,45
2023-01-30,58,3,0,48
2023-01-31,45,5,0,36
