date,added,ratings,reviews,to-read
2022-08-16,26,9,0,12
2022-08-17,47,6,0,23
2022-08-18,31,7,2,19
2022-08-19,26,11,0,12
2022-08-20,26,4,1,10
2022-08-21,28,2,0,13
2022-08-22,32,7,1,17
2022-08-23,21,3,0,10
2022-08-24,23,7,1,10
2022-08-25,21,9,0,9
2022-08-26,27,11,2,9
2022-08-27,28,9,1,7
2022-08-28,25,5,0,12
2022-08-29,12,5,0,3
2022-08-30,26,4,0,15
2022-08-31,31,8,3,15
2022-09-01,22,7,0,13
2022-09-02,33,11,0,11
2022-09-03,39,14,3,16
2022-09-04,31,9,0,13
2022-09-05,28,5,0,16
2022-09-06,21,7,1,8
2022-09-07,18,6,0,6
2022-09-08,34,8,0,19
2022-09-09,24,6,0,7
2022-09-10,28,8,0,13
2022-09-11,24,5,0,15
2022-09-12,33,11,2,15
2022-09-13,79,11,1,68
2022-09-14,47,7,0,37
2022-09-15,35,13,4,23
2022-09-16,38,3,0,24
2022-09-17,23,4,0,13
2022-09-18,32,10,0,12
2022-09-19,26,12,1,12
2022-09-20,20,4,0,16
2022-09-21,24,10,0,12
2022-09-22,22,9,-1,13
2022-09-23,24,11,1,11
2022-09-24,24,6,0,12
2022-09-25,17,2,1,7
2022-09-26,16,9,1,6
2022-09-27,24,4,0,15
2022-09-28,19,4,1,10
2022-09-29,20,6,0,12
2022-09-30,22,7,0,12
2022-10-01,20,8,0,10
2022-10-02,28,6,1,18
2022-10-03,10,2,1,6
2022-10-04,18,5,1,9
2022-10-05,14,3,1,9
2022-10-06,28,6,1,15
2022-10-07,16,4,2,11
2022-10-08,24,4,0,14
2022-10-09,29,8,0,10
2022-10-10,25,11,1,13
2022-10-11,19,3,0,11
2022-10-12,27,10,1,9
2022-10-13,18,7,2,8
2022-10-14,23,1,0,14
2022-10-15,22,5,1,12
2022-10-16,25,7,1,7
2022-10-17,25,10,2,13
2022-10-18,18,2,1,11
2022-10-19,25,5,1,10
2022-10-20,33,8,0,13
2022-10-21,33,4,1,19
2022-10-22,22,8,1,12
2022-10-23,26,6,0,13
2022-10-24,18,4,0,9
2022-10-25,13,3,0,6
2022-10-26,20,6,0,11
2022-10-27,30,3,1,17
2022-10-28,36,5,0,24
2022-10-29,23,5,0,11
2022-10-30,23,5,1,10
2022-10-31,23,7,1,8
2022-11-01,25,1,1,10
2022-11-02,25,3,0,12
2022-11-03,18,9,0,9
2022-11-04,25,5,0,15
2022-11-05,34,8,1,21
2022-11-06,28,4,0,13
2022-11-07,26,6,0,15
2022-11-08,16,5,0,7
2022-11-09,13,1,0,4
2022-11-10,16,3,1,11
2022-11-11,22,5,1,11
2022-11-12,18,1,0,10
2022-11-13,30,5,1,16
2022-11-14,29,4,1,15
2022-11-15,31,8,3,12
2022-11-16,24,6,2,10
2022-11-17,34,13,0,17
2022-11-18,22,9,1,8
2022-11-19,31,7,1,20
2022-11-20,22,5,1,9
2022-11-21,18,8,1,11
2022-11-22,27,10,2,9
2022-11-23,26,5,0,12
2022-11-24,23,5,1,14
2022-11-25,23,2,0,14
2022-11-26,28,7,0,18
2022-11-27,33,5,1,17
2022-11-28,23,8,1,11
2022-11-29,29,8,0,15
2022-11-30,22,8,0,8
2022-12-01,27,8,0,3
2022-12-02,21,6,2,18
2022-12-03,30,4,0,12
2022-12-04,31,3,1,16
2022-12-05,29,2,0,11
2022-12-06,24,12,2,11
2022-12-07,18,5,1,10
2022-12-08,19,2,0,13
2022-12-09,21,4,0,11
2022-12-10,27,7,0,13
2022-12-11,28,5,3,14
2022-12-12,20,6,0,10
2022-12-13,24,7,3,11
2022-12-14,30,7,1,14
2022-12-15,25,11,1,6
2022-12-16,18,5,0,9
2022-12-17,27,5,0,12
2022-12-18,23,7,0,13
2022-12-19,20,4,0,12
2022-12-20,20,13,1,8
2022-12-21,32,8,2,14
2022-12-22,22,5,0,14
2022-12-23,40,7,1,20
2022-12-24,21,7,0,14
2022-12-25,29,5,2,13
2022-12-26,32,6,0,18
2022-12-27,29,8,1,11
2022-12-28,28,10,1,9
2022-12-29,34,11,0,22
2022-12-30,24,6,1,14
2022-12-31,47,20,2,18
2023-01-01,81,13,1,38
2023-01-02,71,19,1,26
2023-01-03,66,20,3,27
2023-01-04,41,9,0,20
2023-01-05,45,7,1,26
2023-01-06,36,10,1,18
2023-01-07,43,7,2,21
2023-01-08,41,9,0,19
2023-01-09,25,10,0,7
2023-01-10,52,6,1,23
2023-01-11,28,9,0,17
2023-01-12,35,10,1,20
2023-01-13,37,6,0,19
2023-01-14,40,12,1,17
2023-01-15,41,14,3,20
2023-01-16,41,12,2,19
2023-01-17,32,12,0,16
2023-01-18,39,9,0,17
2023-01-19,24,1,1,16
2023-01-20,25,8,3,12
2023-01-21,33,12,0,16
2023-01-22,50,8,1,29
2023-01-23,36,12,0,19
2023-01-24,35,6,1,19
2023-01-25,37,6,1,24
2023-01-26,30,9,1,14
2023-01-27,40,5,1,21
2023-01-28,34,6,1,21
2023-01-29,43,8,1,20
2023-01-30,32,11,0,18
2023-01-31,31,10,0,12
